day,hour,departures
0,0,1.75
0,1,1.38
0,2,1.25
0,3,2.5
0,4,2.75
0,5,3.88
0,6,4.38
0,7,7.0
0,8,5.25
0,9,4.12
0,10,3.38
0,11,3.62
0,12,3.38
0,13,3.5
0,14,4.25
0,15,5.62
0,16,5.38
0,17,4.12
0,18,4.12
0,19,5.44
0,20,3.0
0,21,2.78
0,22,3.0
0,23,2.89
1,0,3.0
1,1,1.56
1,2,1.44
1,3,2.78
1,4,2.56
1,5,3.33
1,6,4.56
1,7,6.67
1,8,5.33
1,9,3.89
1,10,3.78
1,11,3.56
1,12,3.56
1,13,3.78
1,14,4.33
1,15,5.89
1,16,5.33
1,17,4.56
1,18,4.33
1,19,4.89
1,20,3.11
1,21,3.44
1,22,3.22
1,23,3.22
2,0,3.44
2,1,1.67
2,2,1.56
2,3,3.11
2,4,3.11
2,5,4.22
2,6,5.56
2,7,7.56
2,8,6.89
2,9,4.78
2,10,4.11
2,11,4.11
2,12,4.0
2,13,4.0
2,14,5.11
2,15,6.22
2,16,5.89
2,17,5.11
2,18,4.56
2,19,5.89
2,20,3.11
2,21,3.56
2,22,2.78
2,23,3.44
3,0,3.0
3,1,1.67
3,2,1.67
3,3,3.33
3,4,3.44
3,5,4.22
3,6,6.0
3,7,7.89
3,8,6.56
3,9,5.11
3,10,4.0
3,11,4.0
3,12,3.89
3,13,4.11
3,14,4.67
3,15,6.78
3,16,5.67
3,17,5.89
3,18,4.56
3,19,5.89
3,20,3.33
3,21,3.44
3,22,3.22
3,23,3.11
4,0,3.22
4,1,1.78
4,2,1.67
4,3,3.44
4,4,3.44
4,5,4.22
4,6,5.89
4,7,8.44
4,8,7.0
4,9,4.78
4,10,4.33
4,11,4.22
4,12,4.22
4,13,4.56
4,14,5.11
4,15,6.33
4,16,5.78
4,17,4.67
4,18,4.33
4,19,5.22
4,20,2.89
4,21,3.22
4,22,2.89
4,23,2.78
5,0,3.0
5,1,1.56
5,2,1.44
5,3,2.89
5,4,2.78
5,5,2.22
5,6,2.78
5,7,2.11
5,8,2.67
5,9,2.67
5,10,3.56
5,11,3.67
5,12,3.44
5,13,3.56
5,14,3.11
5,15,4.11
5,16,4.11
5,17,3.44
5,18,4.22
5,19,3.44
5,20,2.89
5,21,2.78
5,22,2.89
5,23,2.0
6,0,2.56
6,1,1.11
6,2,1.33
6,3,2.56
6,4,2.22
6,5,1.44
6,6,1.44
6,7,2.11
6,8,2.0
6,9,2.89
6,10,2.11
6,11,3.0
6,12,3.12
6,13,3.62
6,14,3.0
6,15,3.38
6,16,3.38
6,17,3.5
6,18,2.5
6,19,3.88
6,20,2.5
6,21,2.62
6,22,1.75
6,23,2.88
