hour	Midway Orange Line Station	55th Street & Kilpatrick	4600 W 55th Street	55th Street & Kilbourn	55th Street & Kostner	55th Street & Kildare	55th Street & Keeler	55th Street & Karlov	55th Street & Pulaski	55th Street & Springfield	55th Street & Hamlin	55th Street & Lawndale	3600 W 55th Street	55th Street & St. Louis	55th Street & Homan	55th Street & Spaulding	55th Street & Kedzie	55th Street & Albany	55th Street & Sacramento	55th Street & Francisco	55th Street & California	55th Street & Washtenaw	55th Street & Rockwell	55th Street & Artesian	55th Street & Western Avenue	Garfield & Western Boulevard	Garfield & Oakley	Garfield & Hamilton	Garfield & Hoyne	Garfield & Damen	Garfield & Wolcott	Garfield & Wood	Garfield & Paulina	Garfield & Ashland	Garfield & Laflin	Garfield & Loomis	Garfield & Throop	Garfield & Racine	Garfield & Aberdeen	Garfield & Morgan	Garfield & Peoria	Garfield & Halsted	Garfield & Union	Garfield & Lowe	Garfield & Normal	Garfield & Princeton	Garfield Red Line Station	Garfield & LaSalle	Garfield & Federal	Garfield & State	Garfield & Wabash	Garfield & Indiana	Garfield Green Line Station	Garfield & King Drive	Morgan Drive & Russell Drive	Payne Drive & 55th Street	55th Street & Cottage Grove	55th Street & Drexel	55th Street & Ellis	55th Street & University	55th Street & Woodlawn	55th Street & Kimbark	55th Street & Kenwood	55th Street & Dorchester	55th Street & Blackstone	55th Street & Lake Park	S Hyde Park & 55th Street	S Hyde Park & 56th Street	Museum of Science & Industry
0	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[2, 0, 1, 0]	[0, 0, 1, 0]	[1, 1, 2, 1]	[1, 0, 1, 2]	[1, 0, 0, 1]	[1, 0, 0, 2]	[0, 0, 0, 1]	[1, 1, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 1, 2]	[0, 2, 0, 0]	[0, 1, 1, 2]	[2, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[2, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 2, 1]
1	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[1, 0, 1, 1]	[1, 0, 0, 0]	[0, 0, 0, 1]	[1, 0, 0, 1]	[0, 1, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 1]	[1, 0, 0, 1]	[0, 0, 0, 1]	[0, 1, 2, 1]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 0, 1, 1]	[0, 1, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 0, 1, 1]	[0, 0, 1, 0]	[2, 0, 0, 1]	[0, 0, 0, 0]	[1, 1, 0, 0]	[0, 0, 1, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
2	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[8, 8, 6, 6]	[8, 11, 6, 5]	[8, 13, 3, 6]	[7, 14, 5, 3]	[9, 13, 5, 4]	[8, 14, 4, 1]	[10, 10, 9, 2]	[9, 11, 6, 2]	[9, 14, 4, 2]	[12, 8, 8, 4]	[12, 10, 4, 4]	[13, 8, 4, 6]	[13, 6, 4, 5]	[13, 6, 8, 0]	[12, 8, 7, 2]	[16, 4, 5, 6]	[15, 5, 6, 6]	[13, 7, 2, 9]	[11, 9, 5, 6]	[9, 5, 3, 8]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[11, 6, 7, 0]	[11, 5, 9, 0]	[11, 8, 5, 1]	[8, 12, 7, 2]	[8, 10, 8, 3]	[10, 11, 7, 1]	[11, 8, 10, 1]	[10, 12, 5, 3]	[12, 7, 6, 3]	[10, 8, 7, 5]	[11, 8, 5, 5]	[10, 11, 5, 1]	[10, 10, 3, 4]	[11, 12, 3, 2]	[7, 15, 3, 2]	[9, 12, 5, 1]	[10, 12, 3, 3]	[12, 8, 3, 5]	[11, 9, 2, 5]	[10, 6, 3, 3]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
4	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[10, 5, 5, 4]	[9, 5, 6, 3]	[11, 5, 4, 4]	[14, 6, 3, 4]	[13, 7, 4, 4]	[14, 6, 4, 4]	[14, 5, 4, 4]	[14, 5, 7, 3]	[12, 9, 5, 4]	[12, 8, 5, 6]	[13, 7, 6, 4]	[13, 8, 5, 3]	[15, 6, 5, 3]	[13, 8, 7, 3]	[14, 8, 6, 2]	[13, 9, 3, 4]	[16, 6, 4, 4]	[14, 7, 4, 5]	[11, 11, 6, 1]	[10, 9, 3, 2]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 2, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
5	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 1, 0]	[0, 2, 0, 0]	[1, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 1]	[1, 0, 0, 1]	[0, 1, 0, 1]	[0, 1, 1, 0]	[1, 0, 1, 0]	[1, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
6	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[2, 4, 3, 2]	[4, 3, 2, 2]	[3, 3, 1, 2]	[1, 1, 2, 1]	[2, 0, 1, 4]	[1, 1, 0, 5]	[1, 1, 0, 7]	[1, 1, 1, 6]	[1, 1, 4, 4]	[2, 1, 4, 3]	[2, 0, 2, 5]	[2, 0, 5, 3]	[2, 2, 4, 4]	[1, 5, 5, 6]	[1, 5, 2, 7]	[1, 4, 4, 5]	[0, 5, 4, 6]	[2, 3, 4, 5]	[3, 1, 4, 5]	[2, 3, 3, 4]	[2, 3, 3, 5]	[1, 5, 2, 7]	[2, 4, 3, 8]	[3, 4, 0, 10]	[2, 4, 6, 8]	[2, 3, 4, 9]	[1, 1, 7, 5]	[1, 2, 6, 6]	[2, 4, 0, 7]	[5, 4, 2, 5]	[4, 5, 2, 6]	[4, 5, 1, 5]	[2, 4, 2, 5]	[1, 2, 2, 2]	[1, 2, 1, 2]	[1, 2, 3, 2]	[2, 1, 2, 0]	[2, 2, 1, 0]	[1, 3, 0, 0]	[2, 2, 1, 0]	[4, 0, 0, 2]	[1, 3, 0, 1]	[0, 4, 1, 0]	[1, 1, 2, 2]	[1, 1, 1, 1]	[2, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 1]	[1, 0, 1, 0]	[1, 0, 0, 0]	[1, 0, 0, 1]	[1, 0, 0, 1]	[1, 1, 1, 0]	[0, 1, 0, 0]	[0, 2, 0, 0]	[0, 0, 0, 0]
7	[0, 1, 0, 0]	[0, 1, 1, 0]	[1, 0, 1, 0]	[1, 0, 1, 0]	[0, 1, 1, 0]	[1, 0, 0, 1]	[1, 0, 1, 1]	[1, 1, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 2]	[0, 1, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 4, 5, 17]	[1, 3, 1, 9]	[1, 2, 3, 11]	[6, 10, 8, 16]	[9, 9, 10, 22]	[9, 11, 11, 21]	[7, 11, 12, 15]	[8, 12, 8, 23]	[7, 10, 15, 20]	[10, 10, 14, 22]	[10, 9, 15, 20]	[6, 12, 11, 17]	[12, 12, 16, 13]	[9, 13, 14, 16]	[9, 10, 19, 17]	[11, 6, 18, 24]	[12, 12, 14, 19]	[13, 15, 14, 21]	[15, 14, 15, 17]	[16, 12, 16, 17]	[20, 16, 8, 19]	[14, 15, 12, 24]	[22, 15, 11, 20]	[18, 17, 16, 17]	[12, 21, 13, 16]	[12, 21, 16, 26]	[14, 19, 16, 23]	[16, 16, 19, 16]	[15, 21, 21, 16]	[10, 15, 25, 9]	[11, 14, 19, 18]	[13, 16, 18, 14]	[15, 14, 15, 13]	[12, 14, 16, 15]	[10, 13, 15, 12]	[16, 10, 14, 17]	[10, 13, 18, 13]	[11, 9, 20, 17]	[10, 15, 18, 19]	[15, 13, 12, 15]	[12, 14, 15, 12]	[10, 16, 9, 18]	[10, 9, 10, 16]	[7, 13, 13, 14]	[10, 9, 15, 12]	[10, 8, 17, 10]	[7, 12, 14, 10]	[7, 7, 19, 13]	[7, 12, 14, 11]	[9, 7, 11, 15]	[7, 6, 14, 10]	[7, 3, 17, 12]	[5, 6, 9, 19]	[5, 4, 5, 10]	[3, 3, 6, 13]	[0, 0, 0, 0]
8	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 1, 1, 0]	[1, 1, 0, 2]	[1, 0, 0, 1]	[1, 0, 1, 1]	[3, 0, 1, 1]	[2, 3, 1, 0]	[0, 2, 3, 0]	[2, 2, 1, 3]	[0, 1, 2, 1]	[1, 2, 2, 5]	[0, 1, 1, 4]	[1, 0, 4, 3]	[1, 3, 1, 1]	[1, 4, 3, 3]	[5, 1, 2, 2]	[4, 4, 1, 5]	[2, 5, 6, 4]	[3, 4, 8, 4]	[5, 4, 5, 6]	[6, 4, 6, 6]	[6, 5, 5, 5]	[5, 4, 5, 6]	[3, 7, 4, 8]	[6, 6, 2, 5]	[7, 6, 2, 10]	[10, 3, 2, 13]	[8, 9, 5, 6]	[8, 7, 5, 9]	[11, 5, 7, 12]	[11, 6, 5, 12]	[9, 11, 7, 9]	[10, 7, 12, 6]	[12, 7, 8, 9]	[12, 6, 10, 11]	[11, 9, 9, 12]	[13, 11, 5, 13]	[16, 12, 5, 13]	[15, 11, 11, 14]	[12, 17, 9, 12]	[15, 8, 21, 13]	[16, 11, 16, 13]	[17, 9, 14, 15]	[10, 19, 15, 18]	[15, 10, 17, 21]	[15, 13, 15, 12]	[15, 15, 12, 12]	[12, 19, 11, 16]	[17, 15, 15, 4]	[17, 19, 18, 13]	[15, 24, 14, 16]	[15, 26, 9, 14]	[11, 29, 17, 17]	[13, 29, 19, 16]	[20, 27, 13, 14]	[18, 27, 18, 12]	[23, 25, 14, 14]	[26, 22, 16, 15]	[19, 27, 15, 14]	[17, 29, 21, 13]	[30, 19, 12, 15]	[30, 17, 8, 20]	[1, 1, 3, 2]
9	[2, 0, 0, 2]	[0, 1, 0, 2]	[1, 2, 0, 2]	[1, 0, 0, 1]	[1, 0, 0, 0]	[1, 1, 0, 1]	[0, 2, 2, 1]	[1, 1, 3, 0]	[1, 2, 0, 1]	[2, 1, 1, 1]	[3, 1, 1, 2]	[3, 4, 3, 1]	[5, 1, 2, 2]	[1, 2, 2, 0]	[1, 1, 1, 1]	[2, 0, 0, 1]	[1, 1, 1, 0]	[1, 1, 1, 0]	[1, 1, 1, 0]	[1, 2, 0, 1]	[2, 1, 0, 1]	[1, 2, 0, 1]	[1, 3, 0, 1]	[2, 1, 0, 1]	[0, 2, 1, 0]	[0, 3, 1, 0]	[2, 3, 0, 0]	[1, 2, 1, 0]	[2, 2, 0, 0]	[2, 1, 1, 2]	[2, 1, 0, 1]	[3, 0, 0, 2]	[3, 0, 0, 1]	[0, 1, 2, 1]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 2, 1, 1]	[0, 1, 2, 1]	[1, 0, 2, 3]	[2, 1, 0, 1]	[1, 0, 0, 1]	[1, 0, 3, 1]	[1, 0, 1, 4]	[1, 0, 1, 3]	[1, 1, 2, 1]	[1, 0, 1, 3]	[1, 1, 2, 1]	[3, 1, 0, 1]	[2, 0, 1, 0]	[1, 2, 1, 1]	[1, 1, 1, 1]	[1, 1, 1, 0]	[1, 2, 1, 1]	[1, 1, 1, 3]	[2, 2, 0, 1]	[2, 2, 1, 2]	[1, 3, 2, 1]	[1, 1, 1, 3]	[2, 1, 1, 2]	[1, 1, 1, 3]	[1, 0, 3, 2]	[0, 1, 2, 3]	[0, 0, 3, 1]	[1, 3, 1, 2]	[0, 3, 2, 3]	[1, 3, 4, 1]	[2, 6, 2, 2]	[3, 2, 4, 2]	[0, 0, 0, 1]
