hour	Chicago & Austin Terminal	Chicago & Mayfield	Chicago & Menard 	Chicago & Waller 	Chicago & Central	Chicago & Pine	Chicago & Long	Chicago & Lockwood	Chicago & Laramie	Chicago & Leclaire	Chicago & Lavergne	Chicago & Lamon	Chicago & Cicero	Chicago & Kilpatrick	Chicago & Kilbourn 	Chicago & Kostner	Chicago & Kildare	Chicago & Keeler	Chicago & Karlov	Chicago & Pulaski	Chicago & Springfield	Chicago & Hamlin	Chicago & Lawndale	Chicago & Central Park	Chicago & St. Louis	Chicago & Homan	Chicago & Spaulding	Chicago & Kedzie	Chicago & Sacramento	Chicago & Troy	Chicago & Sacramento.1	Chicago & Grand	Chicago & California	Chicago & Washtenaw	Chicago & Rockwell	Chicago & Campbell	Chicago & Western	Chicago & Oakley	Chicago & Leavitt	Chicago & Hoyne	Chicago & Damen	Chicago & Wolcott	Chicago & Wood	Chicago & Paulina	Chicago & Ashland	Chicago & Bishop	Chicago & Noble	Chicago & Elizabeth 	Chicago & Milwaukee	Chicago & Ogden	Chicago & Sangamon 	Chicago & Halsted	700 W Chicago	Chicago & Larrabee	Chicago & Hudson	Chicago & Franklin (Brown Line)	Chicago & LaSalle	Chicago & Clark	Chicago & State (Red Line)	Chicago & Michigan	Chicago & Mies Van Der Rohe	Chicago & Fairbanks	Fairbanks & Huron	Fairbanks & Ohio	Illinois & McClurg	Illinois & Peshtigo	Illinois & Lake Shore	Navy Pier Terminal
0	[11, 7, 18, 14]	[11, 6, 18, 17]	[12, 12, 15, 17]	[12, 16, 20, 15]	[13, 22, 12, 14]	[20, 17, 13, 14]	[19, 16, 12, 14]	[20, 15, 18, 7]	[17, 21, 13, 14]	[26, 15, 16, 10]	[20, 20, 17, 8]	[21, 18, 17, 10]	[16, 18, 20, 10]	[19, 21, 16, 7]	[22, 21, 15, 7]	[24, 16, 16, 5]	[25, 21, 13, 7]	[24, 22, 13, 6]	[21, 22, 14, 6]	[19, 20, 10, 7]	[0, 0, 1, 1]	[0, 0, 1, 1]	[0, 1, 0, 1]	[0, 0, 1, 1]	[1, 0, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[2, 1, 2, 1]	[2, 0, 0, 1]	[0, 0, 0, 0]	[2, 0, 0, 1]	[3, 1, 2, 0]	[3, 2, 0, 1]	[3, 1, 1, 1]	[2, 0, 0, 2]	[4, 0, 1, 0]	[0, 1, 2, 0]	[3, 0, 2, 0]	[4, 0, 1, 1]	[2, 0, 2, 0]	[2, 1, 2, 0]	[0, 1, 1, 1]	[0, 1, 2, 1]	[0, 2, 0, 1]	[0, 3, 1, 1]	[0, 4, 0, 0]	[2, 1, 1, 0]	[1, 2, 0, 0]	[3, 1, 0, 1]	[2, 1, 0, 0]	[3, 1, 0, 1]	[1, 2, 0, 0]	[3, 2, 2, 1]	[0, 2, 3, 0]	[1, 1, 0, 2]	[2, 2, 1, 2]	[5, 2, 1, 2]	[3, 2, 1, 1]	[3, 2, 2, 4]	[3, 1, 2, 3]	[3, 0, 1, 2]	[3, 0, 1, 2]	[2, 3, 1, 1]	[2, 1, 1, 1]	[0, 1, 1, 1]	[0, 1, 1, 1]	[0, 1, 1, 0]	[0, 0, 0, 1]
1	[8, 7, 4, 4]	[7, 7, 4, 5]	[7, 8, 4, 5]	[10, 8, 6, 5]	[10, 6, 8, 8]	[9, 9, 4, 8]	[11, 7, 3, 4]	[10, 8, 2, 9]	[5, 13, 6, 4]	[5, 12, 8, 6]	[5, 12, 10, 6]	[7, 10, 7, 11]	[7, 11, 8, 5]	[11, 7, 9, 6]	[6, 9, 12, 9]	[8, 7, 10, 11]	[6, 10, 8, 10]	[6, 9, 7, 13]	[8, 7, 9, 12]	[6, 3, 17, 9]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[0, 0, 2, 0]	[0, 0, 1, 0]	[0, 0, 2, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 1, 0]	[1, 0, 1, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 0, 2, 0]	[0, 0, 1, 0]	[0, 0, 2, 1]	[0, 1, 0, 1]	[0, 0, 1, 1]	[0, 1, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[1, 0, 0, 1]	[1, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
2	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 3]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 2, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 1, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 1, 1, 1]	[0, 0, 1, 1]	[0, 0, 0, 1]	[1, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 1, 0, 0]	[0, 1, 1, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 1, 0]	[1, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[1, 1, 2, 0]	[1, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[1, 1, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
4	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 2]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 1, 1]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 2, 0, 0]	[0, 2, 0, 0]	[0, 1, 0, 1]	[1, 2, 0, 0]	[0, 2, 0, 0]	[1, 0, 0, 0]	[0, 1, 1, 1]	[1, 1, 0, 0]	[3, 0, 0, 0]	[1, 2, 0, 0]	[2, 0, 0, 0]	[0, 0, 0, 0]	[2, 0, 0, 0]	[1, 1, 0, 1]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[2, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[1, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 0, 1, 0]	[1, 1, 1, 4]	[0, 0, 0, 2]	[0, 0, 1, 0]	[0, 2, 1, 2]	[0, 1, 1, 1]	[0, 1, 1, 1]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[2, 1, 0, 0]	[0, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
5	[0, 1, 3, 3]	[0, 1, 3, 4]	[0, 1, 3, 6]	[0, 2, 1, 5]	[4, 1, 2, 5]	[2, 1, 2, 6]	[2, 3, 0, 6]	[0, 4, 4, 2]	[2, 2, 1, 5]	[2, 4, 3, 3]	[2, 2, 3, 2]	[2, 1, 4, 1]	[2, 1, 4, 7]	[4, 0, 5, 3]	[2, 2, 4, 5]	[1, 1, 6, 5]	[3, 2, 4, 7]	[2, 0, 5, 5]	[1, 1, 6, 3]	[1, 3, 4, 9]	[1, 2, 4, 3]	[1, 5, 4, 0]	[2, 4, 4, 6]	[2, 6, 2, 5]	[2, 4, 3, 3]	[1, 4, 7, 3]	[5, 1, 6, 5]	[5, 1, 3, 3]	[3, 3, 6, 4]	[0, 0, 0, 0]	[3, 3, 6, 4]	[1, 3, 4, 8]	[0, 3, 5, 4]	[1, 2, 5, 2]	[1, 3, 5, 2]	[1, 2, 0, 2]	[1, 0, 0, 1]	[0, 2, 0, 0]	[0, 1, 0, 1]	[1, 0, 1, 1]	[1, 1, 0, 1]	[1, 0, 1, 1]	[1, 1, 0, 1]	[1, 1, 0, 0]	[2, 0, 0, 0]	[1, 1, 1, 1]	[3, 1, 1, 2]	[2, 2, 1, 2]	[4, 0, 1, 0]	[2, 0, 3, 1]	[1, 1, 3, 1]	[1, 0, 1, 0]	[4, 1, 1, 0]	[1, 1, 1, 0]	[2, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 1, 0, 0]	[1, 0, 0, 0]	[2, 0, 1, 2]	[1, 2, 1, 0]	[1, 1, 1, 2]	[3, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 1, 1, 0]	[0, 0, 0, 0]
6	[0, 3, 7, 6]	[0, 4, 6, 7]	[0, 3, 6, 6]	[1, 5, 4, 10]	[4, 2, 6, 11]	[3, 4, 8, 11]	[1, 6, 7, 12]	[5, 5, 10, 9]	[1, 8, 8, 9]	[1, 8, 8, 9]	[1, 9, 11, 14]	[2, 9, 12, 17]	[8, 5, 15, 18]	[3, 13, 14, 11]	[1, 12, 11, 17]	[20, 23, 31, 29]	[15, 19, 27, 27]	[9, 19, 31, 29]	[6, 10, 32, 38]	[9, 18, 18, 32]	[4, 22, 17, 23]	[5, 13, 27, 26]	[9, 16, 20, 25]	[10, 17, 17, 24]	[13, 15, 18, 19]	[13, 15, 19, 22]	[14, 17, 16, 19]	[11, 16, 22, 23]	[15, 21, 14, 32]	[0, 0, 0, 0]	[15, 21, 14, 32]	[12, 16, 27, 29]	[10, 22, 23, 30]	[11, 22, 25, 19]	[10, 23, 22, 29]	[13, 22, 22, 31]	[25, 13, 23, 22]	[17, 18, 25, 18]	[14, 20, 21, 23]	[14, 15, 25, 19]	[14, 23, 16, 23]	[17, 21, 17, 15]	[16, 16, 18, 26]	[16, 21, 14, 26]	[17, 18, 19, 21]	[11, 15, 13, 21]	[14, 16, 11, 18]	[13, 12, 12, 13]	[14, 10, 7, 19]	[10, 11, 14, 13]	[13, 5, 18, 11]	[12, 10, 12, 12]	[6, 13, 11, 14]	[13, 10, 8, 13]	[8, 16, 13, 9]	[10, 10, 13, 7]	[11, 9, 9, 10]	[10, 9, 10, 12]	[5, 5, 13, 11]	[3, 6, 7, 5]	[4, 6, 7, 2]	[6, 6, 2, 6]	[7, 4, 9, 4]	[4, 2, 5, 3]	[3, 2, 8, 0]	[4, 4, 4, 2]	[4, 2, 2, 3]	[4, 2, 3, 1]
7	[9, 7, 18, 43]	[8, 8, 18, 43]	[10, 9, 18, 57]	[11, 7, 23, 58]	[9, 13, 38, 56]	[8, 19, 29, 52]	[12, 17, 27, 66]	[10, 16, 35, 71]	[12, 17, 29, 50]	[10, 25, 38, 59]	[8, 22, 39, 55]	[11, 19, 43, 64]	[14, 27, 43, 62]	[8, 28, 52, 47]	[13, 33, 43, 61]	[90, 70, 90, 89]	[77, 97, 90, 109]	[99, 96, 102, 107]	[99, 104, 101, 108]	[97, 105, 108, 110]	[72, 140, 112, 89]	[80, 133, 109, 96]	[102, 114, 101, 93]	[104, 113, 89, 86]	[110, 114, 97, 80]	[89, 134, 108, 76]	[99, 123, 112, 83]	[116, 119, 98, 84]	[177, 209, 170, 156]	[0, 0, 1, 11]	[177, 209, 170, 156]	[168, 218, 168, 143]	[190, 191, 154, 140]	[173, 229, 142, 114]	[197, 203, 142, 118]	[222, 187, 144, 108]	[206, 179, 152, 113]	[147, 221, 186, 98]	[169, 199, 168, 114]	[201, 165, 145, 114]	[173, 171, 151, 105]	[190, 154, 137, 89]	[185, 159, 126, 80]	[198, 139, 121, 108]	[178, 150, 117, 107]	[171, 157, 114, 95]	[163, 147, 109, 92]	[171, 131, 109, 86]	[142, 146, 106, 85]	[124, 150, 114, 86]	[145, 131, 111, 85]	[130, 140, 98, 90]	[126, 137, 95, 94]	[110, 131, 94, 87]	[114, 127, 102, 73]	[132, 108, 89, 68]	[107, 105, 104, 76]	[97, 125, 98, 78]	[105, 111, 99, 80]	[105, 106, 75, 93]	[95, 124, 68, 86]	[95, 111, 89, 58]	[95, 103, 87, 65]	[39, 43, 50, 41]	[25, 55, 38, 39]	[26, 50, 45, 35]	[25, 47, 51, 30]	[33, 44, 33, 41]
8	[3, 6, 5, 15]	[3, 6, 5, 16]	[4, 6, 6, 21]	[2, 6, 8, 27]	[4, 5, 11, 34]	[3, 7, 14, 25]	[2, 8, 15, 26]	[4, 7, 15, 25]	[3, 16, 14, 24]	[7, 11, 21, 25]	[4, 14, 21, 33]	[7, 15, 23, 29]	[7, 18, 26, 26]	[6, 16, 33, 14]	[8, 16, 24, 34]	[20, 33, 33, 41]	[15, 37, 37, 36]	[13, 36, 43, 37]	[13, 33, 46, 40]	[18, 42, 52, 43]	[14, 58, 58, 31]	[19, 49, 61, 39]	[20, 43, 65, 65]	[29, 45, 68, 58]	[33, 39, 74, 58]	[26, 51, 58, 54]	[34, 38, 63, 46]	[34, 44, 50, 51]	[93, 141, 115, 134]	[3, 1, 0, 13]	[93, 141, 115, 134]	[103, 138, 128, 120]	[103, 152, 123, 126]	[124, 149, 136, 100]	[145, 125, 124, 106]	[146, 143, 110, 109]	[158, 170, 100, 90]	[150, 167, 118, 87]	[172, 151, 115, 105]	[211, 139, 122, 88]	[175, 182, 127, 98]	[199, 178, 105, 77]	[211, 174, 124, 88]	[231, 159, 114, 108]	[195, 205, 127, 107]	[216, 200, 137, 94]	[231, 198, 135, 105]	[266, 175, 147, 96]	[224, 222, 157, 122]	[211, 245, 173, 111]	[247, 247, 144, 112]	[270, 224, 133, 107]	[253, 208, 147, 112]	[245, 230, 139, 112]	[236, 225, 160, 112]	[255, 198, 157, 123]	[237, 216, 154, 110]	[241, 205, 144, 116]	[228, 197, 155, 126]	[214, 226, 134, 128]	[217, 215, 144, 116]	[229, 206, 144, 103]	[226, 182, 164, 101]	[125, 125, 102, 71]	[117, 146, 86, 68]	[132, 122, 83, 65]	[126, 115, 84, 58]	[109, 109, 74, 83]
9	[0, 5, 1, 3]	[0, 5, 1, 3]	[1, 7, 3, 4]	[1, 4, 5, 7]	[1, 3, 4, 15]	[1, 5, 6, 18]	[4, 2, 9, 14]	[5, 2, 7, 10]	[1, 5, 7, 9]	[2, 7, 8, 7]	[1, 7, 7, 6]	[3, 5, 7, 10]	[3, 6, 6, 19]	[3, 6, 11, 11]	[5, 4, 12, 16]	[6, 9, 8, 16]	[5, 5, 8, 14]	[3, 7, 7, 17]	[2, 8, 8, 17]	[2, 7, 18, 7]	[0, 10, 13, 10]	[4, 9, 10, 11]	[8, 6, 16, 16]	[9, 8, 13, 21]	[16, 18, 16, 24]	[13, 18, 23, 30]	[19, 18, 25, 24]	[17, 23, 28, 35]	[17, 25, 29, 35]	[0, 0, 0, 0]	[17, 25, 29, 35]	[18, 20, 34, 34]	[20, 27, 33, 22]	[20, 27, 26, 30]	[18, 27, 26, 35]	[26, 21, 27, 36]	[30, 24, 25, 39]	[17, 28, 31, 28]	[25, 26, 36, 34]	[19, 30, 32, 32]	[21, 38, 29, 33]	[25, 38, 38, 38]	[29, 34, 37, 30]	[29, 35, 38, 41]	[34, 37, 50, 27]	[32, 51, 34, 38]	[33, 40, 39, 42]	[29, 40, 35, 32]	[35, 49, 45, 37]	[30, 46, 56, 39]	[34, 47, 47, 44]	[39, 52, 42, 44]	[51, 47, 47, 40]	[57, 56, 55, 41]	[53, 66, 64, 38]	[60, 66, 57, 49]	[65, 73, 68, 58]	[72, 76, 69, 59]	[66, 78, 72, 53]	[85, 100, 62, 59]	[82, 109, 62, 67]	[93, 94, 61, 69]	[89, 95, 87, 57]	[99, 96, 77, 68]	[109, 106, 95, 63]	[112, 105, 101, 66]	[112, 102, 97, 70]	[112, 103, 81, 85]
