hour	Navy Pier Terminal	Grand & Streeter	Grand & Peshtigo	Grand & McClurg	Grand & Fairbanks/Columbus	Fairbanks & Erie	Fairbanks & Erie.1	Fairbanks & Superior	Chicago & Mies Van Der Rohe	Chicago & Michigan	Chicago & State (Red Line)	Chicago & Clark	Chicago & LaSalle	Chicago & Franklin (Brown Line)	Chicago & Orleans	Chicago & Hudson	Chicago & Larrabee	700 W Chicago	Chicago & Halsted	Chicago & Sangamon	Chicago Blue Line Station	Chicago & Racine	Chicago & Elizabeth	Chicago & Noble	Chicago & Greenview	Chicago & Ashland	Chicago & Paulina	Chicago & Wood	Chicago & Wolcott	Chicago & Damen	Chicago & Hoyne	Chicago & Leavitt	Chicago & Oakley	Chicago & Western	Chicago & Campbell	Chicago & Rockwell	Chicago & Washtenaw	Chicago & California	Chicago & Grand	Chicago & Sacramento	Chicago & Kedzie	Chicago & Spaulding	Chicago & Homan	Chicago & St. Louis	Chicago & Central Park	Chicago & Lawndale	Chicago & Hamlin	Chicago & Springfield	Chicago & Pulaski	Chicago & Karlov	Chicago & Keeler	Chicago & Kildare	Chicago & Kostner	Chicago & Kilbourn 	Chicago & Kilpatrick	Chicago & Cicero	Chicago & Lamon	Chicago & Lavergne	Chicago & Leclaire	Chicago & Laramie	Chicago & Lockwood	Chicago & Long	Chicago & Pine	Chicago & Central	Chicago & Waller	Chicago & Menard 	Chicago & Mayfield	Chicago & Austin Terminal
0	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 3]	[0, 0, 0, 0]	[0, 1, 0, 1]	[0, 1, 1, 0]	[0, 2, 0, 0]	[1, 2, 1, 2]	[1, 1, 1, 2]	[4, 1, 3, 4]	[5, 5, 3, 2]	[2, 3, 2, 4]	[3, 2, 1, 5]	[3, 2, 5, 6]	[3, 2, 0, 2]	[5, 1, 2, 0]	[4, 1, 2, 0]	[3, 1, 3, 4]	[2, 3, 4, 1]	[1, 4, 2, 3]	[2, 2, 3, 3]	[2, 4, 5, 4]	[4, 3, 0, 5]	[3, 1, 4, 3]	[3, 6, 2, 3]	[2, 5, 1, 3]	[3, 3, 1, 2]	[1, 5, 2, 3]	[1, 7, 1, 2]	[2, 5, 3, 1]	[1, 5, 3, 1]	[4, 6, 0, 1]	[4, 6, 2, 2]	[5, 4, 2, 2]	[8, 1, 3, 3]	[8, 6, 1, 3]	[7, 4, 3, 5]	[9, 5, 4, 2]	[8, 7, 3, 3]	[7, 8, 3, 3]	[8, 7, 2, 3]	[8, 7, 5, 1]	[6, 7, 5, 1]	[10, 5, 3, 1]	[11, 4, 3, 1]	[9, 5, 6, 0]	[12, 5, 3, 1]	[10, 9, 3, 1]	[13, 3, 2, 5]	[5, 8, 5, 3]	[8, 10, 5, 3]	[7, 7, 3, 4]	[7, 7, 5, 3]	[6, 7, 3, 4]	[9, 5, 4, 5]	[3, 10, 5, 5]	[3, 11, 7, 5]	[6, 7, 4, 3]	[6, 4, 5, 4]	[7, 3, 7, 3]	[3, 4, 8, 3]	[5, 3, 7, 4]
1	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 1, 0]	[2, 0, 1, 0]	[2, 0, 1, 0]	[0, 2, 0, 0]	[0, 0, 1, 0]	[2, 0, 0, 0]	[0, 1, 0, 1]	[0, 0, 1, 3]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 1]	[0, 1, 1, 2]	[0, 2, 0, 1]	[1, 0, 1, 1]	[1, 0, 3, 0]	[3, 0, 2, 2]	[1, 1, 3, 1]	[2, 2, 1, 1]	[3, 1, 1, 1]	[3, 1, 2, 1]	[0, 1, 2, 1]	[1, 0, 2, 1]	[0, 1, 3, 3]	[4, 1, 2, 1]	[1, 1, 4, 0]	[3, 1, 2, 1]	[3, 2, 0, 2]	[3, 2, 0, 3]	[1, 4, 4, 2]	[1, 3, 3, 2]	[2, 1, 5, 1]	[1, 3, 3, 4]	[3, 0, 1, 3]	[4, 3, 3, 1]	[4, 2, 3, 2]	[3, 0, 2, 1]	[1, 2, 0, 2]	[1, 2, 1, 1]	[2, 2, 0, 1]	[1, 3, 3, 1]	[1, 3, 3, 1]	[2, 1, 2, 0]	[2, 3, 0, 1]	[4, 2, 0, 1]	[6, 0, 0, 1]	[5, 0, 0, 2]	[5, 2, 0, 3]	[4, 2, 0, 2]	[4, 3, 2, 2]	[6, 3, 3, 1]	[5, 1, 2, 1]	[4, 2, 1, 2]	[4, 5, 2, 4]	[5, 4, 3, 3]	[4, 2, 3, 1]
2	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 0]	[2, 1, 0, 1]	[0, 0, 0, 0]	[2, 1, 3, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[1, 1, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 1, 1]	[0, 0, 1, 1]	[0, 0, 2, 1]	[0, 1, 0, 1]	[0, 1, 0, 0]	[0, 2, 0, 0]	[0, 2, 0, 1]	[0, 1, 0, 0]	[1, 1, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 1]	[1, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 2, 0]	[0, 0, 1, 2]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 2, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 1, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
4	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[12, 15, 15, 10]	[16, 13, 14, 11]	[15, 17, 18, 17]	[10, 21, 23, 10]	[11, 22, 17, 15]	[10, 24, 17, 12]	[12, 20, 22, 10]	[13, 19, 21, 11]	[13, 21, 23, 13]	[14, 19, 21, 9]	[14, 18, 21, 14]	[14, 18, 20, 12]	[14, 17, 18, 12]	[8, 24, 13, 14]	[13, 18, 15, 13]	[16, 13, 13, 14]
5	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[2, 2, 0, 1]	[0, 1, 0, 0]	[1, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[26, 28, 11, 26]	[30, 17, 14, 30]	[25, 28, 28, 21]	[21, 35, 29, 17]	[27, 30, 27, 16]	[33, 23, 25, 19]	[29, 26, 25, 21]	[25, 34, 21, 22]	[35, 26, 22, 17]	[26, 30, 25, 21]	[28, 29, 23, 26]	[25, 27, 26, 29]	[29, 22, 34, 21]	[31, 24, 36, 16]	[26, 39, 25, 20]	[29, 32, 28, 22]
6	[0, 0, 1, 2]	[0, 0, 1, 2]	[0, 1, 0, 2]	[0, 1, 0, 2]	[0, 2, 0, 1]	[0, 1, 0, 0]	[0, 1, 0, 0]	[2, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[1, 0, 0, 1]	[0, 1, 0, 2]	[0, 0, 1, 1]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 1, 1]	[0, 1, 0, 0]	[0, 1, 0, 0]	[1, 0, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 2, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[16, 34, 24, 20]	[25, 26, 24, 21]	[27, 32, 29, 26]	[32, 35, 23, 22]	[39, 32, 27, 18]	[37, 36, 27, 14]	[42, 33, 21, 21]	[37, 38, 20, 13]	[41, 28, 21, 19]	[41, 35, 15, 17]	[41, 27, 21, 13]	[47, 27, 24, 13]	[41, 28, 21, 16]	[39, 28, 20, 18]	[44, 26, 17, 21]	[42, 28, 12, 23]
7	[0, 0, 0, 5]	[0, 0, 0, 5]	[0, 0, 0, 5]	[0, 0, 3, 4]	[0, 1, 0, 2]	[13, 18, 13, 13]	[13, 18, 13, 13]	[9, 11, 12, 11]	[6, 10, 17, 18]	[7, 14, 7, 17]	[11, 12, 13, 8]	[9, 15, 9, 16]	[15, 12, 8, 17]	[11, 14, 13, 12]	[9, 13, 10, 12]	[10, 12, 9, 9]	[13, 10, 7, 12]	[10, 11, 8, 13]	[9, 15, 7, 15]	[6, 15, 11, 9]	[7, 11, 15, 12]	[8, 10, 12, 16]	[7, 12, 8, 16]	[11, 7, 11, 10]	[9, 9, 15, 13]	[9, 12, 10, 19]	[6, 8, 9, 10]	[4, 6, 13, 8]	[3, 9, 8, 6]	[5, 7, 10, 5]	[8, 3, 7, 10]	[7, 4, 5, 11]	[8, 4, 6, 4]	[4, 4, 9, 3]	[2, 4, 6, 3]	[3, 2, 4, 5]	[3, 0, 1, 7]	[4, 2, 1, 4]	[1, 2, 3, 2]	[2, 2, 1, 4]	[2, 0, 2, 5]	[2, 1, 2, 7]	[1, 6, 3, 2]	[0, 6, 0, 4]	[3, 1, 4, 0]	[2, 2, 2, 1]	[2, 1, 3, 4]	[3, 1, 4, 3]	[1, 1, 4, 4]	[2, 1, 2, 7]	[2, 1, 2, 5]	[3, 2, 5, 4]	[44, 48, 42, 27]	[41, 45, 41, 40]	[45, 46, 52, 47]	[45, 49, 49, 46]	[47, 53, 45, 42]	[48, 43, 50, 50]	[48, 50, 46, 46]	[49, 46, 58, 33]	[54, 48, 56, 23]	[48, 53, 45, 36]	[55, 52, 48, 35]	[53, 53, 39, 46]	[55, 47, 48, 38]	[51, 50, 44, 45]	[45, 56, 53, 38]	[49, 47, 49, 40]
8	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[39, 48, 46, 44]	[39, 48, 46, 44]	[16, 51, 49, 33]	[27, 39, 48, 56]	[20, 37, 42, 65]	[30, 38, 47, 47]	[26, 34, 42, 63]	[21, 46, 37, 51]	[36, 35, 42, 52]	[22, 46, 50, 53]	[31, 49, 29, 61]	[18, 47, 51, 47]	[18, 60, 39, 39]	[31, 41, 41, 58]	[30, 42, 38, 49]	[32, 36, 43, 41]	[32, 40, 41, 38]	[34, 41, 44, 39]	[30, 40, 46, 39]	[31, 46, 34, 42]	[38, 35, 45, 40]	[31, 45, 38, 38]	[31, 47, 38, 48]	[39, 40, 40, 47]	[32, 48, 37, 43]	[30, 51, 45, 37]	[44, 36, 41, 39]	[38, 46, 38, 39]	[40, 42, 40, 37]	[41, 38, 45, 29]	[41, 42, 37, 42]	[43, 47, 44, 35]	[44, 42, 42, 49]	[44, 41, 42, 45]	[35, 41, 39, 45]	[46, 30, 33, 53]	[47, 39, 32, 50]	[45, 36, 35, 48]	[44, 36, 42, 39]	[42, 37, 40, 32]	[41, 31, 40, 36]	[35, 45, 36, 34]	[36, 46, 33, 31]	[37, 41, 31, 31]	[28, 50, 23, 28]	[38, 40, 24, 33]	[31, 44, 25, 34]	[38, 42, 32, 37]	[28, 57, 29, 31]	[36, 40, 39, 43]	[39, 44, 36, 32]	[38, 48, 28, 34]	[41, 43, 28, 40]	[45, 39, 34, 29]	[45, 42, 35, 29]	[42, 42, 36, 26]	[52, 41, 28, 33]	[56, 36, 36, 27]	[47, 44, 34, 31]	[50, 32, 38, 29]	[52, 36, 32, 35]	[44, 40, 29, 41]	[55, 31, 33, 31]
9	[0, 0, 1, 1]	[0, 0, 1, 1]	[0, 1, 0, 1]	[0, 1, 1, 2]	[2, 0, 0, 1]	[7, 7, 9, 10]	[7, 7, 9, 10]	[7, 5, 6, 17]	[4, 9, 11, 15]	[9, 10, 10, 19]	[10, 8, 16, 18]	[8, 13, 15, 19]	[11, 10, 16, 26]	[17, 10, 13, 17]	[18, 14, 14, 17]	[16, 18, 11, 18]	[9, 25, 13, 20]	[11, 20, 14, 12]	[14, 20, 17, 18]	[22, 17, 13, 28]	[19, 22, 25, 25]	[18, 30, 19, 25]	[22, 26, 21, 20]	[24, 28, 19, 20]	[24, 27, 21, 15]	[25, 30, 20, 25]	[19, 31, 26, 23]	[26, 25, 32, 26]	[35, 20, 28, 29]	[36, 24, 29, 22]	[36, 27, 29, 24]	[38, 30, 23, 24]	[41, 23, 28, 27]	[26, 43, 28, 21]	[36, 32, 27, 24]	[39, 32, 29, 23]	[40, 32, 33, 16]	[38, 40, 27, 26]	[31, 49, 27, 25]	[38, 43, 37, 19]	[42, 40, 31, 18]	[51, 34, 28, 27]	[55, 39, 21, 33]	[54, 34, 29, 37]	[57, 38, 26, 32]	[51, 46, 25, 28]	[52, 42, 29, 29]	[52, 40, 27, 28]	[52, 41, 24, 29]	[4, 2, 6, 5]	[6, 3, 4, 6]	[7, 3, 5, 9]	[8, 7, 7, 10]	[5, 10, 8, 5]	[9, 6, 9, 7]	[6, 11, 6, 9]	[8, 5, 12, 8]	[7, 7, 10, 9]	[7, 6, 13, 10]	[8, 8, 11, 7]	[10, 8, 12, 5]	[9, 8, 10, 10]	[11, 7, 12, 8]	[9, 8, 13, 9]	[7, 10, 8, 14]	[8, 12, 10, 8]	[8, 12, 12, 9]	[6, 13, 11, 14]
