tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Kilbourn,Armitage & Kolmar,1,22.72,0.52,410.05
20170621_2169_1035237,Armitage & Kilbourn,Armitage & Kolmar,2,5.55,0.0,25.08
20170621_2169_1035238,Armitage & Kilbourn,Armitage & Kolmar,2,5.97,0.0,30.83
20170621_2169_1035166,Armitage & Kilbourn,Armitage & Kolmar,2,6.48,0.0,6.55
20170621_2169_1035167,Armitage & Kilbourn,Armitage & Kolmar,2,6.6,0.0,16.27
20170621_2169_1035165,Armitage & Kilbourn,Armitage & Kolmar,2,6.87,0.88,13.47
20170621_2169_1035177,Armitage & Kilbourn,Armitage & Kolmar,2,7.08,0.0,19.27
20170621_2169_1035171,Armitage & Kilbourn,Armitage & Kolmar,2,7.42,0.0,13.02
20170621_2169_1035183,Armitage & Kilbourn,Armitage & Kolmar,2,7.63,0.67,20.0
20170621_2169_1035174,Armitage & Kilbourn,Armitage & Kolmar,2,7.97,0.32,7.12
20170621_2169_1035188,Armitage & Kilbourn,Armitage & Kolmar,2,8.08,0.5,7.33
20170621_2169_1035185,Armitage & Kilbourn,Armitage & Kolmar,2,8.2,0.0,8.98
20170621_2169_1035173,Armitage & Kilbourn,Armitage & Kolmar,2,8.35,0.0,8.3
20170621_2169_116123172,Armitage & Kilbourn,Armitage & Kolmar,2,8.48,0.0,6.6
20170621_2169_1035182,Armitage & Kilbourn,Armitage & Kolmar,2,8.6,0.0,6.43
20170621_2169_1035184,Armitage & Kilbourn,Armitage & Kolmar,2,8.7,0.0,8.62
20170621_2169_1035179,Armitage & Kilbourn,Armitage & Kolmar,2,8.85,0.0,11.45
20170621_2169_1035172,Armitage & Kilbourn,Armitage & Kolmar,2,9.05,9.18,19.98
20170621_2169_1035187,Armitage & Kilbourn,Armitage & Kolmar,2,9.38,0.63,9.18
20170621_2169_1035176,Armitage & Kilbourn,Armitage & Kolmar,2,9.53,0.0,11.32
20170621_2169_1035168,Armitage & Kilbourn,Armitage & Kolmar,2,9.72,5.8,14.37
20170621_2169_1035180,Armitage & Kilbourn,Armitage & Kolmar,2,9.95,0.35,19.42
20170621_2169_1035178,Armitage & Kilbourn,Armitage & Kolmar,2,10.28,0.23,3.37
20170621_2169_1035181,Armitage & Kilbourn,Armitage & Kolmar,2,10.33,5.8,34.3
20170621_2169_1035175,Armitage & Kilbourn,Armitage & Kolmar,2,10.9,0.0,1.35
20170621_2169_1035189,Armitage & Kilbourn,Armitage & Kolmar,2,10.93,0.0,10.68
20170621_2169_1035169,Armitage & Kilbourn,Armitage & Kolmar,2,11.1,0.0,17.82
20170621_2169_1035201,Armitage & Kilbourn,Armitage & Kolmar,2,11.4,0.0,31.38
20170621_2169_1035199,Armitage & Kilbourn,Armitage & Kolmar,2,11.93,0.0,6.07
20170621_2169_1035196,Armitage & Kilbourn,Armitage & Kolmar,2,12.03,0.0,18.4
20170621_2169_1035198,Armitage & Kilbourn,Armitage & Kolmar,2,12.33,0.0,25.18
20170621_2169_1035193,Armitage & Kilbourn,Armitage & Kolmar,2,12.75,0.65,8.8
20170621_2169_1035195,Armitage & Kilbourn,Armitage & Kolmar,2,12.9,0.0,47.32
20170621_2169_1035190,Armitage & Kilbourn,Armitage & Kolmar,2,13.68,0.83,10.72
20170621_2169_1035192,Armitage & Kilbourn,Armitage & Kolmar,2,13.87,0.0,26.17
20170621_2169_1035191,Armitage & Kilbourn,Armitage & Kolmar,2,14.3,0.0,6.88
20170621_2169_1035197,Armitage & Kilbourn,Armitage & Kolmar,2,14.42,0.0,29.57
20170621_2169_1035200,Armitage & Kilbourn,Armitage & Kolmar,2,14.92,0.2,2.58
20170621_2169_1035205,Armitage & Kilbourn,Armitage & Kolmar,2,14.95,0.0,18.22
20170621_2169_1035202,Armitage & Kilbourn,Armitage & Kolmar,2,15.27,0.0,22.12
20170621_2169_1035206,Armitage & Kilbourn,Armitage & Kolmar,2,15.63,0.0,5.97
20170621_2169_1035203,Armitage & Kilbourn,Armitage & Kolmar,2,15.73,0.6,18.42
20170621_2169_1035207,Armitage & Kilbourn,Armitage & Kolmar,2,16.03,0.0,9.98
20170621_2169_1035208,Armitage & Kilbourn,Armitage & Kolmar,2,16.2,0.0,2.53
20170621_2169_1035204,Armitage & Kilbourn,Armitage & Kolmar,2,16.25,0.0,15.92
20170621_2169_1035211,Armitage & Kilbourn,Armitage & Kolmar,2,16.52,0.0,9.23
20170621_2169_1035210,Armitage & Kilbourn,Armitage & Kolmar,2,16.67,5.8,19.87
20170621_2169_1035209,Armitage & Kilbourn,Armitage & Kolmar,2,17.0,0.0,26.72
20170621_2169_1035218,Armitage & Kilbourn,Armitage & Kolmar,2,17.43,0.0,4.3
20170621_2169_116123215,Armitage & Kilbourn,Armitage & Kolmar,2,17.52,0.58,9.62
20170621_2169_1035217,Armitage & Kilbourn,Armitage & Kolmar,2,17.67,0.0,10.43
20170621_2169_1035215,Armitage & Kilbourn,Armitage & Kolmar,2,17.85,0.0,23.27
20170621_2169_1035220,Armitage & Kilbourn,Armitage & Kolmar,2,18.23,0.58,7.67
20170621_2169_1035216,Armitage & Kilbourn,Armitage & Kolmar,2,18.37,5.8,7.35
20170621_2169_1035214,Armitage & Kilbourn,Armitage & Kolmar,2,18.48,0.5,33.27
20170621_2169_1035213,Armitage & Kilbourn,Armitage & Kolmar,2,19.03,0.0,7.67
20170621_2169_1035221,Armitage & Kilbourn,Armitage & Kolmar,2,19.17,0.0,15.07
20170621_2169_1035222,Armitage & Kilbourn,Armitage & Kolmar,2,19.42,0.0,9.35
20170621_2169_1035223,Armitage & Kilbourn,Armitage & Kolmar,2,19.57,0.88,16.63
20170621_2169_1035224,Armitage & Kilbourn,Armitage & Kolmar,2,19.85,0.0,20.63
20170621_2169_1035225,Armitage & Kilbourn,Armitage & Kolmar,2,20.2,0.0,25.05
20170621_2169_1035226,Armitage & Kilbourn,Armitage & Kolmar,2,20.62,0.68,13.93
20170621_2169_1035227,Armitage & Kilbourn,Armitage & Kolmar,2,20.85,0.0,18.48
