tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Kostner,Armitage & Kilbourn,1,22.72,0.0,409.58
20170621_2169_1035237,Armitage & Kostner,Armitage & Kilbourn,2,5.55,0.47,24.48
20170621_2169_1035238,Armitage & Kostner,Armitage & Kilbourn,2,5.95,1.07,31.9
20170621_2169_1035166,Armitage & Kostner,Armitage & Kilbourn,2,6.48,0.0,6.03
20170621_2169_1035167,Armitage & Kostner,Armitage & Kilbourn,2,6.58,0.52,15.85
20170621_2169_1035165,Armitage & Kostner,Armitage & Kilbourn,2,6.85,0.93,13.73
20170621_2169_1035177,Armitage & Kostner,Armitage & Kilbourn,2,7.08,0.67,19.43
20170621_2169_1035171,Armitage & Kostner,Armitage & Kilbourn,2,7.4,0.5,13.05
20170621_2169_1035183,Armitage & Kostner,Armitage & Kilbourn,2,7.62,0.47,19.68
20170621_2169_1035174,Armitage & Kostner,Armitage & Kilbourn,2,7.95,0.78,7.48
20170621_2169_1035188,Armitage & Kostner,Armitage & Kilbourn,2,8.07,0.42,7.12
20170621_2169_1035185,Armitage & Kostner,Armitage & Kilbourn,2,8.2,0.63,8.78
20170621_2169_1035173,Armitage & Kostner,Armitage & Kilbourn,2,8.33,0.83,8.63
20170621_2169_116123172,Armitage & Kostner,Armitage & Kilbourn,2,8.48,0.5,6.2
20170621_2169_1035182,Armitage & Kostner,Armitage & Kilbourn,2,8.58,0.9,7.12
20170621_2169_1035184,Armitage & Kostner,Armitage & Kilbourn,2,8.7,0.22,7.7
20170621_2169_1035179,Armitage & Kostner,Armitage & Kilbourn,2,8.83,1.13,18.67
20170621_2169_1035172,Armitage & Kostner,Armitage & Kilbourn,2,9.15,6.08,13.3
20170621_2169_1035187,Armitage & Kostner,Armitage & Kilbourn,2,9.37,0.6,9.27
20170621_2169_1035176,Armitage & Kostner,Armitage & Kilbourn,2,9.52,0.52,11.65
20170621_2169_1035168,Armitage & Kostner,Armitage & Kilbourn,2,9.72,0.18,13.68
20170621_2169_1035180,Armitage & Kostner,Armitage & Kilbourn,2,9.95,0.87,19.72
20170621_2169_1035178,Armitage & Kostner,Armitage & Kilbourn,2,10.27,0.57,2.68
