tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Lacrosse,Armitage & Laporte,1,22.75,0.0,410.58
20170621_2169_1035237,Armitage & Lacrosse,Armitage & Laporte,2,5.6,0.43,23.3
20170621_2169_1035238,Armitage & Lacrosse,Armitage & Laporte,2,5.98,1.18,30.03
20170621_2169_1035166,Armitage & Lacrosse,Armitage & Laporte,2,6.48,0.0,8.6
20170621_2169_1035167,Armitage & Lacrosse,Armitage & Laporte,2,6.63,0.43,16.83
20170621_2169_1035165,Armitage & Lacrosse,Armitage & Laporte,2,6.92,0.62,13.17
20170621_2169_1035177,Armitage & Lacrosse,Armitage & Laporte,2,7.13,0.0,19.62
20170621_2169_1035171,Armitage & Lacrosse,Armitage & Laporte,2,7.45,0.48,13.0
20170621_2169_1035183,Armitage & Lacrosse,Armitage & Laporte,2,7.67,0.0,22.02
20170621_2169_1035174,Armitage & Lacrosse,Armitage & Laporte,2,8.03,0.82,4.93
20170621_2169_1035188,Armitage & Lacrosse,Armitage & Laporte,2,8.12,0.0,6.9
20170621_2169_1035185,Armitage & Lacrosse,Armitage & Laporte,2,8.23,0.4,6.93
20170621_2169_1035173,Armitage & Lacrosse,Armitage & Laporte,2,8.35,2.0,10.18
20170621_2169_116123172,Armitage & Lacrosse,Armitage & Laporte,2,8.52,0.52,7.0
20170621_2169_1035182,Armitage & Lacrosse,Armitage & Laporte,2,8.63,0.48,5.98
20170621_2169_1035184,Armitage & Lacrosse,Armitage & Laporte,2,8.73,0.0,8.55
20170621_2169_1035179,Armitage & Lacrosse,Armitage & Laporte,2,8.88,0.0,11.92
20170621_2169_1035172,Armitage & Lacrosse,Armitage & Laporte,2,9.08,0.45,19.87
20170621_2169_1035187,Armitage & Lacrosse,Armitage & Laporte,2,9.42,0.0,21.05
20170621_2169_1035168,Armitage & Lacrosse,Armitage & Laporte,2,9.77,0.08,12.5
20170621_2169_1035180,Armitage & Lacrosse,Armitage & Laporte,2,9.97,1.15,20.7
20170621_2169_1035178,Armitage & Lacrosse,Armitage & Laporte,2,10.32,0.72,6.6
20170621_2169_1035181,Armitage & Lacrosse,Armitage & Laporte,2,10.42,2.2,31.58
20170621_2169_1035175,Armitage & Lacrosse,Armitage & Laporte,2,10.95,0.73,1.33
20170621_2169_1035189,Armitage & Lacrosse,Armitage & Laporte,2,10.97,0.75,10.47
20170621_2169_1035169,Armitage & Lacrosse,Armitage & Laporte,2,11.15,0.17,18.43
20170621_2169_1035201,Armitage & Lacrosse,Armitage & Laporte,2,11.45,0.25,28.4
20170621_2169_1035199,Armitage & Lacrosse,Armitage & Laporte,2,11.93,0.0,8.47
20170621_2169_1035196,Armitage & Lacrosse,Armitage & Laporte,2,12.07,0.23,18.37
20170621_2169_1035198,Armitage & Lacrosse,Armitage & Laporte,2,12.38,0.47,26.58
20170621_2169_1035193,Armitage & Lacrosse,Armitage & Laporte,2,12.82,0.53,7.55
20170621_2169_1035195,Armitage & Lacrosse,Armitage & Laporte,2,12.95,0.0,48.15
20170621_2169_1035190,Armitage & Lacrosse,Armitage & Laporte,2,13.75,0.18,7.37
20170621_2169_1035192,Armitage & Lacrosse,Armitage & Laporte,2,13.87,0.0,27.43
20170621_2169_1035191,Armitage & Lacrosse,Armitage & Laporte,2,14.33,0.73,9.08
20170621_2169_1035197,Armitage & Lacrosse,Armitage & Laporte,2,14.48,0.0,28.05
20170621_2169_1035200,Armitage & Lacrosse,Armitage & Laporte,2,14.95,0.53,3.42
20170621_2169_1035205,Armitage & Lacrosse,Armitage & Laporte,2,15.0,0.0,17.15
