tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Clark & Menomonee,LaSalle & Eugenie,2,4.97,1.22,19.82
20170621_2171_1035236,Clark & Menomonee,LaSalle & Eugenie,2,5.28,0.68,20.25
20170621_2170_1035092,Clark & Menomonee,LaSalle & Eugenie,2,5.63,1.57,12.92
20170621_2170_1035093,Clark & Menomonee,LaSalle & Eugenie,2,5.85,0.47,14.95
20170621_2170_1035094,Clark & Menomonee,LaSalle & Eugenie,2,6.1,1.47,17.8
20170621_2170_1035095,Clark & Menomonee,LaSalle & Eugenie,2,6.38,0.77,13.37
20170621_2170_1035096,Clark & Menomonee,LaSalle & Eugenie,2,6.62,2.13,17.32
20170621_2170_1035097,Clark & Menomonee,LaSalle & Eugenie,2,6.9,0.73,11.22
20170621_2170_10365464,Clark & Menomonee,LaSalle & Eugenie,2,7.08,0.33,7.08
20170621_2170_1035098,Clark & Menomonee,LaSalle & Eugenie,2,7.2,0.67,20.98
20170621_2170_1035100,Clark & Menomonee,LaSalle & Eugenie,2,7.55,1.9,7.4
20170621_2170_1035101,Clark & Menomonee,LaSalle & Eugenie,2,7.68,2.02,7.03
20170621_2170_1035102,Clark & Menomonee,LaSalle & Eugenie,2,7.8,0.5,8.27
20170621_2170_1035103,Clark & Menomonee,LaSalle & Eugenie,2,7.93,0.95,5.63
20170621_2170_1035104,Clark & Menomonee,LaSalle & Eugenie,2,8.03,1.18,19.08
20170621_2170_1035105,Clark & Menomonee,LaSalle & Eugenie,2,8.35,2.38,10.83
20170621_2170_1035106,Clark & Menomonee,LaSalle & Eugenie,2,8.53,2.12,20.25
20170621_2170_1035107,Clark & Menomonee,LaSalle & Eugenie,2,8.87,0.57,3.35
20170621_2170_1035108,Clark & Menomonee,LaSalle & Eugenie,2,8.92,8.15,21.13
20170621_2170_1035111,Clark & Menomonee,LaSalle & Eugenie,2,9.57,18.37,36.95
20170621_2170_1035112,Clark & Menomonee,LaSalle & Eugenie,2,10.18,1.8,1.43
20170621_2170_1035115,Clark & Menomonee,LaSalle & Eugenie,2,10.2,1.52,12.13
20170621_2170_1035116,Clark & Menomonee,LaSalle & Eugenie,2,10.4,1.03,21.93
20170621_2170_1035120,Clark & Menomonee,LaSalle & Eugenie,2,11.53,1.0,28.25
20170621_2170_1035121,Clark & Menomonee,LaSalle & Eugenie,2,12.02,1.23,12.35
20170621_2170_1035122,Clark & Menomonee,LaSalle & Eugenie,2,12.22,2.28,42.57
20170621_2170_1035124,Clark & Menomonee,LaSalle & Eugenie,2,12.93,1.55,11.75
20170621_2170_1035125,Clark & Menomonee,LaSalle & Eugenie,2,13.12,0.0,16.7
