tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,North Ave & LaSalle,Clark & North,2,4.98,0.0,19.0
20170621_2171_1035236,North Ave & LaSalle,Clark & North,2,5.3,0.0,21.57
20170621_2170_1035092,North Ave & LaSalle,Clark & North,2,5.67,0.0,11.98
20170621_2170_1035093,North Ave & LaSalle,Clark & North,2,5.87,0.0,16.17
20170621_2170_1035094,North Ave & LaSalle,Clark & North,2,6.13,0.0,16.28
20170621_2170_1035095,North Ave & LaSalle,Clark & North,2,6.4,0.0,15.25
20170621_2170_1035096,North Ave & LaSalle,Clark & North,2,6.65,0.52,16.25
20170621_2170_1035097,North Ave & LaSalle,Clark & North,2,6.93,0.0,9.97
20170621_2170_10365464,North Ave & LaSalle,Clark & North,2,7.1,0.0,8.42
20170621_2170_1035098,North Ave & LaSalle,Clark & North,2,7.23,0.0,21.9
20170621_2170_1035100,North Ave & LaSalle,Clark & North,2,7.6,0.0,11.57
20170621_2170_1035101,North Ave & LaSalle,Clark & North,2,7.78,0.0,0.78
20170621_2170_1035102,North Ave & LaSalle,Clark & North,2,7.8,0.0,9.5
20170621_2170_1035103,North Ave & LaSalle,Clark & North,2,7.97,0.0,5.08
20170621_2170_1035104,North Ave & LaSalle,Clark & North,2,8.05,0.0,15.9
20170621_2170_1035105,North Ave & LaSalle,Clark & North,2,8.32,2.33,14.95
20170621_2170_1035106,North Ave & LaSalle,Clark & North,2,8.57,0.0,20.23
20170621_2170_1035107,North Ave & LaSalle,Clark & North,2,8.9,0.0,8.37
20170621_2170_1035108,North Ave & LaSalle,Clark & North,2,9.03,4.57,15.4
20170621_2170_1035109,North Ave & LaSalle,Clark & North,2,9.3,0.0,24.4
20170621_2170_1035111,North Ave & LaSalle,Clark & North,2,9.7,2.33,32.3
20170621_2170_1035112,North Ave & LaSalle,Clark & North,2,10.23,0.5,1.2
20170621_2170_1035115,North Ave & LaSalle,Clark & North,2,10.27,0.0,10.53
20170621_2170_1035116,North Ave & LaSalle,Clark & North,2,10.43,0.0,22.72
20170621_2170_1035117,North Ave & LaSalle,Clark & North,2,10.82,0.0,45.22
20170621_2170_1035120,North Ave & LaSalle,Clark & North,2,11.57,0.0,28.38
20170621_2170_1035121,North Ave & LaSalle,Clark & North,2,12.03,0.5,13.18
20170621_2170_1035122,North Ave & LaSalle,Clark & North,2,12.27,0.0,42.05
20170621_2170_1035124,North Ave & LaSalle,Clark & North,2,12.97,0.0,11.05
20170621_2170_1035125,North Ave & LaSalle,Clark & North,2,13.15,0.0,17.75
20170621_2170_1035126,North Ave & LaSalle,Clark & North,2,13.43,0.0,17.75
20170621_2170_1035127,North Ave & LaSalle,Clark & North,2,13.73,0.0,20.95
20170621_2170_1035128,North Ave & LaSalle,Clark & North,2,14.08,0.0,8.63
20170621_2170_1035129,North Ave & LaSalle,Clark & North,2,14.23,0.0,13.35
20170621_2170_1035130,North Ave & LaSalle,Clark & North,2,14.45,0.0,17.38
20170621_2170_1035131,North Ave & LaSalle,Clark & North,2,14.73,0.0,6.6
20170621_2170_1035132,North Ave & LaSalle,Clark & North,2,14.85,1.02,14.88
20170621_2170_1035133,North Ave & LaSalle,Clark & North,2,15.1,1.0,7.98
20170621_2170_1035134,North Ave & LaSalle,Clark & North,2,15.23,0.0,9.88
20170621_2170_1035135,North Ave & LaSalle,Clark & North,2,15.4,0.0,15.17
20170621_2170_1035136,North Ave & LaSalle,Clark & North,2,15.65,1.02,16.63
20170621_2170_1035137,North Ave & LaSalle,Clark & North,2,15.93,0.3,8.47
20170621_2170_1035138,North Ave & LaSalle,Clark & North,2,16.07,0.0,26.62
20170621_2170_1035140,North Ave & LaSalle,Clark & North,2,16.52,0.38,12.05
20170621_2170_116122753,North Ave & LaSalle,Clark & North,2,16.72,0.0,4.33
20170621_2170_1035141,North Ave & LaSalle,Clark & North,2,16.78,0.0,8.52
20170621_2170_1035142,North Ave & LaSalle,Clark & North,2,16.93,0.0,16.48
20170621_2170_1035143,North Ave & LaSalle,Clark & North,2,17.2,0.0,9.98
20170621_2170_1035145,North Ave & LaSalle,Clark & North,2,17.37,1.02,21.27
20170621_2170_1035146,North Ave & LaSalle,Clark & North,2,17.72,4.67,18.33
20170621_2170_1035147,North Ave & LaSalle,Clark & North,2,18.03,0.0,12.87
20170621_2170_1035148,North Ave & LaSalle,Clark & North,2,18.25,0.0,23.77
20170621_2170_1035149,North Ave & LaSalle,Clark & North,2,18.63,0.0,13.57
20170621_2170_1035150,North Ave & LaSalle,Clark & North,2,18.87,0.52,18.45
20170621_2170_1035151,North Ave & LaSalle,Clark & North,2,19.17,1.52,22.12
20170621_2170_1035152,North Ave & LaSalle,Clark & North,2,19.53,0.0,23.75
20170621_2170_1035153,North Ave & LaSalle,Clark & North,2,19.93,0.0,9.43
20170621_2170_1035154,North Ave & LaSalle,Clark & North,2,20.1,0.0,19.53
20170621_2170_1035155,North Ave & LaSalle,Clark & North,2,20.42,0.5,16.0
20170621_2170_1035156,North Ave & LaSalle,Clark & North,2,20.68,0.0,22.55
20170621_2170_1035157,North Ave & LaSalle,Clark & North,2,21.07,0.0,27.32
20170621_2170_1035158,North Ave & LaSalle,Clark & North,2,21.52,0.0,16.25
20170621_2170_1035159,North Ave & LaSalle,Clark & North,2,21.78,0.0,16.37
20170621_2170_1035160,North Ave & LaSalle,Clark & North,2,22.07,0.0,419.02
20170622_2171_1035235,North Ave & LaSalle,Clark & North,3,5.05,0.0,17.55
20170622_2171_1035236,North Ave & LaSalle,Clark & North,3,5.33,0.0,32.07
20170622_2170_1035093,North Ave & LaSalle,Clark & North,3,5.87,0.0,12.45
20170622_2170_1035094,North Ave & LaSalle,Clark & North,3,6.08,0.0,18.15
20170622_2170_1035095,North Ave & LaSalle,Clark & North,3,6.38,0.0,11.45
20170622_2170_1035096,North Ave & LaSalle,Clark & North,3,6.57,0.0,18.57
20170622_2170_1035097,North Ave & LaSalle,Clark & North,3,6.88,0.0,15.92
20170622_2170_10365464,North Ave & LaSalle,Clark & North,3,7.15,0.0,9.5
20170622_2170_1035098,North Ave & LaSalle,Clark & North,3,7.3,0.0,20.75
20170622_2170_1035100,North Ave & LaSalle,Clark & North,3,7.65,0.0,3.37
20170622_2170_1035101,North Ave & LaSalle,Clark & North,3,7.7,0.0,2.9
20170622_2170_1035102,North Ave & LaSalle,Clark & North,3,7.75,0.0,9.88
20170622_2170_1035103,North Ave & LaSalle,Clark & North,3,7.92,0.0,11.08
20170622_2170_1035104,North Ave & LaSalle,Clark & North,3,8.1,0.0,2.98
