tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Racine & Maud,Armitage & Seminary,2,4.87,0.53,18.73
20170621_2171_1035236,Racine & Maud,Armitage & Seminary,2,5.18,0.65,18.05
20170621_2170_1035092,Racine & Maud,Armitage & Seminary,2,5.48,0.55,14.62
20170621_2170_1035093,Racine & Maud,Armitage & Seminary,2,5.73,1.2,13.65
20170621_2170_1035094,Racine & Maud,Armitage & Seminary,2,5.95,0.92,17.1
20170621_2170_1035095,Racine & Maud,Armitage & Seminary,2,6.25,1.27,12.55
20170621_2170_1035096,Racine & Maud,Armitage & Seminary,2,6.45,1.28,18.73
20170621_2170_1035097,Racine & Maud,Armitage & Seminary,2,6.77,4.72,9.72
20170621_2170_10365464,Racine & Maud,Armitage & Seminary,2,6.93,1.0,7.67
20170621_2170_1035098,Racine & Maud,Armitage & Seminary,2,7.05,0.52,18.8
20170621_2170_1035100,Racine & Maud,Armitage & Seminary,2,7.37,1.63,7.38
20170621_2170_1035101,Racine & Maud,Armitage & Seminary,2,7.48,1.38,10.33
20170621_2170_1035102,Racine & Maud,Armitage & Seminary,2,7.67,6.65,7.38
20170621_2170_1035103,Racine & Maud,Armitage & Seminary,2,7.78,0.92,5.48
20170621_2170_1035104,Racine & Maud,Armitage & Seminary,2,7.88,0.98,18.88
20170621_2170_1035105,Racine & Maud,Armitage & Seminary,2,8.18,12.07,10.3
20170621_2170_1035106,Racine & Maud,Armitage & Seminary,2,8.37,4.92,19.8
20170621_2170_1035107,Racine & Maud,Armitage & Seminary,2,8.7,0.67,3.78
20170621_2170_1035108,Racine & Maud,Armitage & Seminary,2,8.75,5.68,22.65
20170621_2170_1035109,Racine & Maud,Armitage & Seminary,2,9.13,1.52,15.6
20170621_2170_1035110,Racine & Maud,Armitage & Seminary,2,9.4,5.68,6.58
20170621_2170_1035111,Racine & Maud,Armitage & Seminary,2,9.5,0.58,31.52
20170621_2170_1035112,Racine & Maud,Armitage & Seminary,2,10.03,1.28,1.3
20170621_2170_1035115,Racine & Maud,Armitage & Seminary,2,10.05,1.2,11.68
20170621_2170_1035116,Racine & Maud,Armitage & Seminary,2,10.25,0.73,21.2
20170621_2170_1035117,Racine & Maud,Armitage & Seminary,2,10.6,0.55,20.43
