tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083640,Ashland,Damen,0,19.22,2.93,9.07
20170130_5425_1083641,Ashland,Damen,0,19.37,2.6,16.48
20170130_5425_204316,Ashland,Damen,0,19.63,2.48,11.05
20170130_5426_203200,Ashland,Damen,0,19.82,0.8,5.3
20170130_5425_204317,Ashland,Damen,0,19.9,2.62,2.03
20170130_5425_204318,Ashland,Damen,0,19.95,1.87,15.13
20170130_5425_204319,Ashland,Damen,0,20.2,3.5,11.33
20170130_5425_204320,Ashland,Damen,0,20.38,2.1,12.12
20170130_5425_204321,Ashland,Damen,0,20.58,1.15,12.65
20170130_5425_204322,Ashland,Damen,0,20.8,2.4,14.83
20170130_5425_204323,Ashland,Damen,0,21.05,2.38,13.4
20170130_5425_204324,Ashland,Damen,0,21.27,2.2,14.23
20170130_5425_204325,Ashland,Damen,0,21.5,3.55,14.5
20170130_5425_204326,Ashland,Damen,0,21.75,2.53,15.0
20170130_5425_204327,Ashland,Damen,0,22.0,2.97,12.42
20170130_5425_204328,Ashland,Damen,0,22.2,2.52,15.58
20170130_5425_204329,Ashland,Damen,0,22.47,3.88,17.3
20170130_5425_204330,Ashland,Damen,0,22.75,2.0,13.23
20170130_5425_204331,Ashland,Damen,0,22.97,2.67,14.33
20170130_5425_204332,Ashland,Damen,0,23.22,2.48,14.87
20170130_5425_204333,Ashland,Damen,0,23.45,2.7,15.88
20170130_5425_204334,Ashland,Damen,0,23.72,2.78,11.22
20170130_5425_204335,Ashland,Damen,0,23.92,2.67,17.53
20170130_5425_204336,Ashland,Damen,0,0.2,2.95,19.43
20170131_5425_204337,Ashland,Damen,0,0.53,2.65,9.13
20170131_5425_204338,Ashland,Damen,0,0.68,1.97,16.53
20170131_5425_204339,Ashland,Damen,0,0.95,2.8,16.4
20170131_5425_204340,Ashland,Damen,0,1.23,1.7,21.57
20170131_5425_204341,Ashland,Damen,0,1.58,3.07,26.73
20170131_1293_204342,Ashland,Damen,0,2.03,3.3,25.45
20170131_1293_204343,Ashland,Damen,0,2.45,1.28,35.92
20170131_1293_204344,Ashland,Damen,1,3.05,1.37,23.83
20170131_1295_204371,Ashland,Damen,1,3.45,1.1,0.03
20170131_1293_204345,Ashland,Damen,1,3.45,1.2,33.02
20170131_1293_204212,Ashland,Damen,1,4.0,2.05,18.35
20170131_1295_204379,Ashland,Damen,1,4.3,1.17,9.73
20170131_5425_204213,Ashland,Damen,1,4.47,1.97,8.27
20170131_1295_204380,Ashland,Damen,1,4.6,1.22,24.73
20170131_5425_204214,Ashland,Damen,1,5.02,1.87,13.83
20170131_1295_204381,Ashland,Damen,1,5.25,0.57,10.15
20170131_5425_204215,Ashland,Damen,1,5.42,2.43,25.05
20170131_5425_204216,Ashland,Damen,1,5.83,3.3,20.53
20170131_1295_1063947,Ashland,Damen,1,6.18,1.93,1.82
20170131_5425_204219,Ashland,Damen,1,6.22,1.75,13.68
20170131_5425_204220,Ashland,Damen,1,6.43,2.77,17.73
20170131_5425_204221,Ashland,Damen,1,6.73,3.03,14.17
20170131_5425_204222,Ashland,Damen,1,6.97,2.7,2.6
20170131_1295_1063943,Ashland,Damen,1,7.02,0.88,12.43
20170131_5425_204223,Ashland,Damen,1,7.22,2.73,2.38
20170131_1295_1063944,Ashland,Damen,1,7.27,0.63,14.18
20170131_5425_204224,Ashland,Damen,1,7.5,3.7,0.67
20170131_5425_10002765,Ashland,Damen,1,7.5,3.07,10.2
20170131_5425_10002766,Ashland,Damen,1,7.68,2.23,13.3
20170131_5425_10002767,Ashland,Damen,1,7.9,3.23,8.57
20170131_5425_10002769,Ashland,Damen,1,8.05,3.23,18.92
20170131_5425_10002771,Ashland,Damen,1,8.35,2.88,11.28
20170131_5425_10002773,Ashland,Damen,1,8.55,2.03,8.23
20170131_5425_10002775,Ashland,Damen,1,8.68,2.73,12.6
20170131_5425_10002777,Ashland,Damen,1,8.9,2.25,14.9
20170131_5425_1063968,Ashland,Damen,1,9.13,2.72,9.9
20170131_5425_1063969,Ashland,Damen,1,9.3,1.8,21.53
20170131_5425_1063866,Ashland,Damen,1,9.67,2.22,5.2
20170131_5425_1083565,Ashland,Damen,1,9.75,3.53,12.67
20170131_5425_1083566,Ashland,Damen,1,9.97,3.0,14.97
20170131_5425_1083567,Ashland,Damen,1,10.22,0.0,7.37
20170131_5425_1083568,Ashland,Damen,1,10.33,3.37,15.53
20170131_5425_1083569,Ashland,Damen,1,10.6,2.85,11.37
20170131_5425_1083570,Ashland,Damen,1,10.78,3.0,11.57
20170131_5425_1083571,Ashland,Damen,1,10.98,1.62,9.63
20170131_5425_1083572,Ashland,Damen,1,11.13,1.7,14.77
20170131_5425_1083573,Ashland,Damen,1,11.38,3.3,9.3
20170131_5425_1063877,Ashland,Damen,1,11.53,1.52,13.97
20170131_5425_1063878,Ashland,Damen,1,11.77,1.9,8.95
20170131_5425_1063879,Ashland,Damen,1,11.92,2.92,18.32
20170131_5425_1063880,Ashland,Damen,1,12.22,2.48,11.25
20170131_5425_1063881,Ashland,Damen,1,12.42,2.28,5.33
20170131_5425_1063882,Ashland,Damen,1,12.5,3.12,15.78
20170131_5425_1063883,Ashland,Damen,1,12.77,1.9,13.47
20170131_5425_1063884,Ashland,Damen,1,12.98,3.43,11.32
20170131_5425_1063885,Ashland,Damen,1,13.18,2.82,16.15
20170131_5425_1063886,Ashland,Damen,1,13.45,4.17,7.33
20170131_5425_1063887,Ashland,Damen,1,13.57,1.87,14.0
20170131_5425_1063888,Ashland,Damen,1,13.8,2.0,9.7
20170131_5425_1063889,Ashland,Damen,1,13.97,2.88,13.3
20170131_5425_1063890,Ashland,Damen,1,14.18,2.38,10.8
20170131_5425_1063892,Ashland,Damen,1,14.37,3.33,14.77
20170131_5425_1063893,Ashland,Damen,1,14.62,2.27,10.0
20170131_5425_1063894,Ashland,Damen,1,14.78,2.32,9.93
20170131_5425_10004045,Ashland,Damen,1,14.95,2.72,10.9
20170131_5425_10004046,Ashland,Damen,1,15.13,2.98,9.02
20170131_5425_10004047,Ashland,Damen,1,15.28,3.42,5.65
20170131_5425_10004048,Ashland,Damen,1,15.37,3.17,7.22
20170131_1293_10004049,Ashland,Damen,1,15.48,3.7,9.22
20170131_5425_10004050,Ashland,Damen,1,15.65,3.33,13.0
20170131_5425_10004051,Ashland,Damen,1,15.87,3.17,1.43
20170131_1293_10004052,Ashland,Damen,1,15.88,2.92,13.2
20170131_5425_10004053,Ashland,Damen,1,16.1,3.33,7.33
20170131_1293_10004054,Ashland,Damen,1,16.23,2.9,3.33
20170131_5425_10004055,Ashland,Damen,1,16.28,2.57,10.4
20170131_1293_10004056,Ashland,Damen,1,16.45,1.88,3.6
20170131_5425_10004057,Ashland,Damen,1,16.52,0.0,9.27
20170131_5425_10004058,Ashland,Damen,1,16.67,3.87,15.25
20170131_5425_10004059,Ashland,Damen,1,16.92,3.12,2.55
20170131_1293_10004060,Ashland,Damen,1,16.97,3.27,6.88
20170131_5425_10004061,Ashland,Damen,1,17.08,2.72,12.62
20170131_1293_10004062,Ashland,Damen,1,17.28,2.8,2.13
20170131_5425_10004063,Ashland,Damen,1,17.33,3.03,5.4
20170131_5425_10004064,Ashland,Damen,1,17.42,3.07,14.23
20170131_1293_10004065,Ashland,Damen,1,17.65,3.27,15.47
20170131_5425_10004066,Ashland,Damen,1,17.92,3.3,1.27
20170131_5425_10004067,Ashland,Damen,1,17.93,3.4,7.5
20170131_5425_10004068,Ashland,Damen,1,18.05,2.02,10.93
20170131_1293_10004069,Ashland,Damen,1,18.23,2.98,8.6
20170131_5425_10004070,Ashland,Damen,1,18.38,3.5,10.53
