tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204184,California,Western,0,19.25,3.27,2.08
20170130_1299_1083664,California,Western,0,19.28,1.48,12.45
20170130_5424_204185,California,Western,0,19.5,3.28,13.37
20170130_5424_204186,California,Western,0,19.72,3.63,16.5
20170130_5424_204187,California,Western,0,20.0,2.57,13.8
20170130_5424_204188,California,Western,0,20.22,3.0,16.07
20170130_5424_204189,California,Western,0,20.5,2.6,16.13
20170130_5424_204190,California,Western,0,20.77,1.9,13.07
20170130_5424_204191,California,Western,0,20.98,2.92,15.92
20170130_5424_204192,California,Western,0,21.25,1.68,14.15
20170130_5424_204193,California,Western,0,21.48,3.0,13.47
20170130_5424_204194,California,Western,0,21.7,2.4,15.78
20170130_5424_204195,California,Western,0,21.97,3.58,14.25
20170130_5424_204196,California,Western,0,22.2,3.33,17.37
20170130_5424_204197,California,Western,0,22.5,2.63,15.57
20170130_5424_204198,California,Western,0,22.75,0.0,12.7
20170130_5424_204199,California,Western,0,22.97,3.23,16.25
20170130_5424_204200,California,Western,0,23.23,0.68,15.05
20170130_5424_204201,California,Western,0,23.48,2.83,16.47
20170130_5424_204202,California,Western,0,23.77,1.97,18.43
20170130_5424_204203,California,Western,0,0.07,1.97,19.05
20170131_5424_204204,California,Western,0,0.38,1.37,22.78
20170131_5424_204205,California,Western,0,0.77,2.83,29.13
20170131_5424_204206,California,Western,0,1.25,2.1,29.3
20170131_5424_204207,California,Western,0,1.73,1.15,30.28
20170131_5424_204208,California,Western,0,2.25,1.52,0.88
20170131_1299_203196,California,Western,0,2.27,1.47,29.58
20170131_1300_204209,California,Western,0,2.75,1.08,30.53
20170131_1300_1,California,Western,1,3.27,1.32,29.02
20170131_1300_2,California,Western,1,3.75,1.07,26.03
20170131_1300_3,California,Western,1,4.18,1.93,5.9
20170131_1299_204348,California,Western,1,4.28,1.5,15.55
20170131_1300_4,California,Western,1,4.53,1.98,22.13
20170131_1300_5,California,Western,1,4.9,2.22,20.35
20170131_5424_6,California,Western,1,5.25,1.93,16.18
20170131_1300_204084,California,Western,1,5.52,2.37,10.68
20170131_5424_204085,California,Western,1,5.7,1.73,14.05
20170131_1300_204086,California,Western,1,5.93,1.77,7.25
20170131_5424_204087,California,Western,1,6.05,1.87,13.83
20170131_1300_10002780,California,Western,1,6.28,3.6,13.5
20170131_5424_10002752,California,Western,1,6.5,4.05,12.22
20170131_1300_10002754,California,Western,1,6.7,1.55,5.87
20170131_5424_10002755,California,Western,1,6.8,2.92,18.52
20170131_5424_10002758,California,Western,1,7.12,2.95,15.82
20170131_1300_10002760,California,Western,1,7.38,2.45,5.45
20170131_5424_10002761,California,Western,1,7.47,3.15,5.33
20170131_1300_10002762,California,Western,1,7.55,2.8,5.67
20170131_5424_10002763,California,Western,1,7.65,4.6,7.12
20170131_7735_10002779,California,Western,1,7.77,4.03,8.98
20170131_5424_1063959,California,Western,1,7.92,2.6,4.97
20170131_7735_1063960,California,Western,1,8.0,2.2,10.07
20170131_5424_1063961,California,Western,1,8.17,1.98,11.33
20170131_5424_1083574,California,Western,1,8.35,2.9,4.6
20170131_5424_1063805,California,Western,1,8.43,1.27,9.1
20170131_5424_1083556,California,Western,1,8.58,1.77,13.57
20170131_5424_1083557,California,Western,1,8.82,2.75,9.93
20170131_5424_1083558,California,Western,1,8.98,2.67,14.98
20170131_5424_1083559,California,Western,1,9.23,1.58,8.92
20170131_5424_1083560,California,Western,1,9.38,3.07,13.62
20170131_5424_1083561,California,Western,1,9.6,3.22,12.42
20170131_5424_1083562,California,Western,1,9.82,2.47,9.83
20170131_5424_1083563,California,Western,1,9.97,2.58,14.47
20170131_5424_1083564,California,Western,1,10.22,1.93,10.67
20170131_5424_1063816,California,Western,1,10.4,3.23,15.33
20170131_5424_1063817,California,Western,1,10.65,1.57,11.37
20170131_5424_1063818,California,Western,1,10.83,3.3,12.92
20170131_5424_1063819,California,Western,1,11.05,2.92,9.35
20170131_5424_1063820,California,Western,1,11.22,1.02,19.15
20170131_5424_1063821,California,Western,1,11.53,1.27,18.12
20170131_5424_1063823,California,Western,1,11.83,3.2,12.35
20170131_5424_1063824,California,Western,1,12.03,2.55,12.8
20170131_5424_1063825,California,Western,1,12.25,3.65,9.05
20170131_5424_1063826,California,Western,1,12.4,3.0,15.52
20170131_5424_1063827,California,Western,1,12.67,1.58,11.57
20170131_5424_1063828,California,Western,1,12.85,2.38,24.45
20170131_5424_1063831,California,Western,1,13.27,2.0,10.98
20170131_5424_1063832,California,Western,1,13.45,2.17,6.65
20170131_5424_1063833,California,Western,1,13.55,3.23,18.53
20170131_5424_10004021,California,Western,1,13.87,3.33,11.67
20170131_5424_10004022,California,Western,1,14.05,2.82,14.2
20170131_5424_10004024,California,Western,1,14.3,3.87,7.43
20170131_5424_10004025,California,Western,1,14.42,2.62,14.5
20170131_5424_10004027,California,Western,1,14.67,2.23,17.12
20170131_5424_10004029,California,Western,1,14.95,2.08,17.82
20170131_5424_10004031,California,Western,1,15.23,1.8,9.13
20170131_5424_10004032,California,Western,1,15.4,3.18,14.5
