tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083641,GarfieldRed,Halsted,0,19.23,2.57,14.27
20170130_5425_204316,GarfieldRed,Halsted,0,19.47,2.93,16.57
20170130_5425_204317,GarfieldRed,Halsted,0,19.75,2.22,3.78
20170130_5425_204318,GarfieldRed,Halsted,0,19.82,3.48,13.38
20170130_5425_204319,GarfieldRed,Halsted,0,20.03,3.1,8.7
20170130_5425_204320,GarfieldRed,Halsted,0,20.18,3.85,14.8
20170130_5425_204321,GarfieldRed,Halsted,0,20.42,2.45,12.48
20170130_5425_204322,GarfieldRed,Halsted,0,20.63,3.68,17.05
20170130_5425_204323,GarfieldRed,Halsted,0,20.92,3.03,11.25
20170130_5425_204324,GarfieldRed,Halsted,0,21.1,3.05,15.1
20170130_5425_204325,GarfieldRed,Halsted,0,21.35,4.18,13.35
20170130_5425_204326,GarfieldRed,Halsted,0,21.58,3.52,16.75
20170130_5425_204327,GarfieldRed,Halsted,0,21.85,3.25,11.77
20170130_5425_204328,GarfieldRed,Halsted,0,22.05,3.22,16.07
20170130_5425_204329,GarfieldRed,Halsted,0,22.32,4.25,15.45
20170130_5425_204330,GarfieldRed,Halsted,0,22.58,4.47,15.5
20170130_5425_204331,GarfieldRed,Halsted,0,22.83,3.45,13.18
20170130_5425_204332,GarfieldRed,Halsted,0,23.05,3.28,15.03
20170130_5425_204333,GarfieldRed,Halsted,0,23.3,3.72,18.35
20170130_5425_204334,GarfieldRed,Halsted,0,23.62,2.18,9.93
20170130_5425_204335,GarfieldRed,Halsted,0,23.78,2.87,17.52
20170130_5425_204336,GarfieldRed,Halsted,0,0.07,3.18,18.68
20170131_5425_204337,GarfieldRed,Halsted,0,0.38,2.73,10.25
20170131_5425_204338,GarfieldRed,Halsted,0,0.55,2.95,15.28
20170131_5425_204339,GarfieldRed,Halsted,0,0.8,3.67,19.85
20170131_5425_204340,GarfieldRed,Halsted,0,1.13,0.0,19.02
20170131_5425_204341,GarfieldRed,Halsted,0,1.45,2.97,28.35
20170131_1293_204342,GarfieldRed,Halsted,0,1.93,3.23,25.82
20170131_1293_204343,GarfieldRed,Halsted,0,2.37,2.18,34.27
20170131_1293_204344,GarfieldRed,Halsted,0,2.93,3.4,25.35
20170131_1293_204345,GarfieldRed,Halsted,1,3.35,3.05,29.98
20170131_1293_204212,GarfieldRed,Halsted,1,3.85,3.82,30.13
20170131_5425_204213,GarfieldRed,Halsted,1,4.35,2.33,31.17
20170131_5425_204214,GarfieldRed,Halsted,1,4.87,2.63,25.8
20170131_5425_204215,GarfieldRed,Halsted,1,5.3,2.83,24.47
20170131_5425_204216,GarfieldRed,Halsted,1,5.72,2.45,22.1
20170131_5425_204219,GarfieldRed,Halsted,1,6.08,2.9,12.48
20170131_5425_204220,GarfieldRed,Halsted,1,6.28,2.82,17.33
20170131_5425_204221,GarfieldRed,Halsted,1,6.58,3.85,13.45
20170131_5425_204222,GarfieldRed,Halsted,1,6.8,3.45,13.75
20170131_5425_204223,GarfieldRed,Halsted,1,7.03,4.08,16.45
20170131_5425_204224,GarfieldRed,Halsted,1,7.3,4.53,2.5
20170131_5425_10002765,GarfieldRed,Halsted,1,7.35,3.2,9.57
20170131_5425_10002766,GarfieldRed,Halsted,1,7.5,4.5,14.82
20170131_5425_10002767,GarfieldRed,Halsted,1,7.75,4.47,1.27
20170131_1291_10002768,GarfieldRed,Halsted,1,7.77,4.12,8.32
20170131_5425_10002769,GarfieldRed,Halsted,1,7.92,3.42,16.1
20170131_1291_10002772,GarfieldRed,Halsted,1,8.18,2.8,1.5
20170131_5425_10002771,GarfieldRed,Halsted,1,8.2,3.3,11.82
20170131_5425_10002773,GarfieldRed,Halsted,1,8.4,3.05,4.62
20170131_1291_10002774,GarfieldRed,Halsted,1,8.48,2.7,3.63
20170131_5425_10002775,GarfieldRed,Halsted,1,8.53,3.6,11.87
20170131_1291_10002776,GarfieldRed,Halsted,1,8.73,3.13,1.87
20170131_5425_10002777,GarfieldRed,Halsted,1,8.77,3.4,5.9
20170131_1291_1063967,GarfieldRed,Halsted,1,8.87,3.73,9.83
20170131_5425_1063968,GarfieldRed,Halsted,1,9.03,2.25,7.47
20170131_5425_1063969,GarfieldRed,Halsted,1,9.15,2.97,13.7
20170131_1291_1063865,GarfieldRed,Halsted,1,9.38,2.12,4.5
20170131_5425_1063866,GarfieldRed,Halsted,1,9.47,3.33,8.77
20170131_5425_1083565,GarfieldRed,Halsted,1,9.6,2.75,12.02
20170131_5425_1083566,GarfieldRed,Halsted,1,9.8,3.87,12.07
20170131_5425_1083567,GarfieldRed,Halsted,1,10.0,2.55,10.37
20170131_5425_1083568,GarfieldRed,Halsted,1,10.18,3.83,14.88
20170131_5425_1083569,GarfieldRed,Halsted,1,10.43,3.82,12.0
20170131_5425_1083570,GarfieldRed,Halsted,1,10.63,2.97,10.5
20170131_5425_1083571,GarfieldRed,Halsted,1,10.8,3.87,12.07
20170131_5425_1083572,GarfieldRed,Halsted,1,11.0,2.7,9.23
20170131_5425_1083573,GarfieldRed,Halsted,1,11.15,3.75,13.5
20170131_5425_1063877,GarfieldRed,Halsted,1,11.38,3.28,13.35
20170131_5425_1063878,GarfieldRed,Halsted,1,11.6,3.72,9.25
20170131_5425_1063879,GarfieldRed,Halsted,1,11.77,3.53,16.7
20170131_5425_1063880,GarfieldRed,Halsted,1,12.03,3.33,14.67
20170131_5425_1063881,GarfieldRed,Halsted,1,12.28,2.35,4.3
20170131_5425_1063882,GarfieldRed,Halsted,1,12.35,3.88,28.95
20170131_5425_1063884,GarfieldRed,Halsted,1,12.83,4.23,12.08
20170131_5425_1063885,GarfieldRed,Halsted,1,13.03,3.35,15.77
20170131_5425_1063886,GarfieldRed,Halsted,1,13.3,4.2,6.25
20170131_5425_1063887,GarfieldRed,Halsted,1,13.4,3.88,13.52
20170131_5425_1063888,GarfieldRed,Halsted,1,13.63,3.03,10.4
20170131_5425_1063889,GarfieldRed,Halsted,1,13.8,3.73,12.32
20170131_5425_1063890,GarfieldRed,Halsted,1,14.0,3.88,12.18
20170131_5425_1063892,GarfieldRed,Halsted,1,14.22,3.53,12.6
20170131_5425_1063893,GarfieldRed,Halsted,1,14.42,2.45,9.33
20170131_5425_1063894,GarfieldRed,Halsted,1,14.58,3.78,12.15
20170131_5425_10004045,GarfieldRed,Halsted,1,14.78,3.67,11.17
20170131_5425_10004046,GarfieldRed,Halsted,1,14.97,2.85,8.15
20170131_5425_10004047,GarfieldRed,Halsted,1,15.1,3.97,4.75
20170131_5425_10004048,GarfieldRed,Halsted,1,15.18,3.62,6.68
20170131_1293_10004049,GarfieldRed,Halsted,1,15.28,5.07,10.27
20170131_5425_10004050,GarfieldRed,Halsted,1,15.47,3.7,13.13
20170131_5425_10004051,GarfieldRed,Halsted,1,15.68,3.88,2.67
20170131_1293_10004052,GarfieldRed,Halsted,1,15.73,4.13,10.83
20170131_5425_10004053,GarfieldRed,Halsted,1,15.9,5.1,9.08
20170131_1293_10004054,GarfieldRed,Halsted,1,16.05,4.05,2.83
20170131_5425_10004055,GarfieldRed,Halsted,1,16.1,3.95,10.25
20170131_1293_10004056,GarfieldRed,Halsted,1,16.28,4.53,2.1
20170131_5425_10004057,GarfieldRed,Halsted,1,16.32,3.6,9.77
20170131_5425_10004058,GarfieldRed,Halsted,1,16.47,5.25,16.6
20170131_1293_10004060,GarfieldRed,Halsted,1,16.75,6.07,3.5
20170131_5425_10004059,GarfieldRed,Halsted,1,16.82,1.5,6.85
20170131_5425_10004061,GarfieldRed,Halsted,1,16.92,2.38,13.95
20170131_1293_10004062,GarfieldRed,Halsted,1,17.15,2.47,0.6
20170131_5425_10004063,GarfieldRed,Halsted,1,17.17,3.02,5.4
20170131_5425_10004064,GarfieldRed,Halsted,1,17.25,3.3,10.22
20170131_1293_10004065,GarfieldRed,Halsted,1,17.43,7.08,16.92
20170131_5425_10004066,GarfieldRed,Halsted,1,17.7,4.97,2.33
20170131_5425_10004067,GarfieldRed,Halsted,1,17.75,2.63,8.47
20170131_5425_10004068,GarfieldRed,Halsted,1,17.88,4.13,13.33
20170131_1293_10004069,GarfieldRed,Halsted,1,18.12,2.43,7.32
20170131_5425_10004070,GarfieldRed,Halsted,1,18.23,3.18,10.5
20170131_5425_1083636,GarfieldRed,Halsted,1,18.4,3.22,6.28
20170131_1293_1083637,GarfieldRed,Halsted,1,18.52,2.23,11.58
20170131_5425_1083638,GarfieldRed,Halsted,1,18.7,2.92,10.62
20170131_1293_1083639,GarfieldRed,Halsted,1,18.88,2.65,7.38
20170131_5425_1083640,GarfieldRed,Halsted,1,19.0,3.85,13.18
20170131_5425_1083641,GarfieldRed,Halsted,1,19.22,3.03,13.8
20170131_5425_204316,GarfieldRed,Halsted,1,19.45,4.63,11.57
20170131_5425_204317,GarfieldRed,Halsted,1,19.65,1.73,11.32
20170131_5425_204318,GarfieldRed,Halsted,1,19.83,3.75,14.65
20170131_5425_204319,GarfieldRed,Halsted,1,20.08,3.55,7.38
20170131_5425_204320,GarfieldRed,Halsted,1,20.2,3.33,15.48
20170131_5425_204321,GarfieldRed,Halsted,1,20.47,3.47,10.1
20170131_5425_204322,GarfieldRed,Halsted,1,20.63,3.85,15.22
20170131_5425_204323,GarfieldRed,Halsted,1,20.88,3.18,12.0
