tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083640,Halsted,Racine,0,19.1,3.9,10.27
20170130_5425_1083641,Halsted,Racine,0,19.28,2.13,14.63
20170130_5425_204316,Halsted,Racine,0,19.52,4.0,15.85
20170130_5425_204317,Halsted,Racine,0,19.78,4.17,5.05
20170130_5425_204318,Halsted,Racine,0,19.87,2.57,13.0
20170130_5425_204319,Halsted,Racine,0,20.08,2.97,9.45
20170130_5425_204320,Halsted,Racine,0,20.25,4.05,13.4
20170130_5425_204321,Halsted,Racine,0,20.47,2.75,13.72
20170130_5425_204322,Halsted,Racine,0,20.7,2.83,16.4
20170130_5425_204323,Halsted,Racine,0,20.97,2.73,11.27
20170130_5425_204324,Halsted,Racine,0,21.15,3.2,16.23
20170130_5425_204325,Halsted,Racine,0,21.43,2.97,12.68
20170130_5425_204326,Halsted,Racine,0,21.63,3.88,16.48
20170130_5425_204327,Halsted,Racine,0,21.92,2.97,11.73
20170130_5425_204328,Halsted,Racine,0,22.1,2.27,17.1
20170130_5425_204329,Halsted,Racine,0,22.4,4.17,15.67
20170130_5425_204330,Halsted,Racine,0,22.65,2.77,14.48
20170130_5425_204331,Halsted,Racine,0,22.9,2.07,13.02
20170130_5425_204332,Halsted,Racine,0,23.12,3.03,15.47
20170130_5425_204333,Halsted,Racine,0,23.37,2.93,16.82
20170130_5425_204334,Halsted,Racine,0,23.65,1.85,10.62
20170130_5425_204335,Halsted,Racine,0,23.83,2.57,17.83
20170130_5425_204336,Halsted,Racine,0,0.12,4.63,18.23
20170131_5425_204337,Halsted,Racine,0,0.43,2.88,10.47
20170131_5425_204338,Halsted,Racine,0,0.6,2.45,16.0
20170131_5425_204339,Halsted,Racine,0,0.87,2.4,16.18
20170131_5425_204340,Halsted,Racine,0,1.13,3.68,21.98
20170131_5425_204341,Halsted,Racine,0,1.5,2.32,28.62
20170131_1293_204342,Halsted,Racine,0,1.98,2.95,24.77
20170131_1293_204343,Halsted,Racine,0,2.4,2.05,35.48
20170131_1293_204344,Halsted,Racine,0,2.98,2.4,25.0
20170131_1293_204345,Halsted,Racine,1,3.4,1.45,30.75
20170131_1293_204212,Halsted,Racine,1,3.92,2.85,28.65
20170131_5425_204213,Halsted,Racine,1,4.4,2.1,31.47
20170131_5425_204214,Halsted,Racine,1,4.92,3.3,26.0
20170131_5425_204215,Halsted,Racine,1,5.35,2.67,24.08
20170131_5425_204216,Halsted,Racine,1,5.75,1.95,22.55
20170131_5425_204219,Halsted,Racine,1,6.13,2.23,12.4
20170131_5425_204220,Halsted,Racine,1,6.33,3.2,18.37
20170131_5425_204221,Halsted,Racine,1,6.63,2.97,13.05
20170131_5425_204222,Halsted,Racine,1,6.85,3.53,14.38
20170131_5425_204223,Halsted,Racine,1,7.1,3.78,16.9
20170131_5425_204224,Halsted,Racine,1,7.38,3.23,1.17
20170131_5425_10002765,Halsted,Racine,1,7.4,2.32,10.87
20170131_5425_10002766,Halsted,Racine,1,7.58,3.27,14.78
20170131_5425_10002767,Halsted,Racine,1,7.83,2.42,0.92
