tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083638,Pulaski,Kostner,0,19.1,0.0,8.6
20170130_5426_203199,Pulaski,Kostner,0,19.23,5.6,14.53
20170130_5425_1083640,Pulaski,Kostner,0,19.48,2.42,7.03
20170130_5425_1083641,Pulaski,Kostner,0,19.6,1.53,15.27
20170130_5425_204316,Pulaski,Kostner,0,19.85,2.25,11.78
20170130_5426_203200,Pulaski,Kostner,0,20.05,1.25,4.75
20170130_5425_204317,Pulaski,Kostner,0,20.13,2.77,3.57
20170130_5425_204318,Pulaski,Kostner,0,20.18,1.4,15.2
20170130_5425_204319,Pulaski,Kostner,0,20.43,1.23,9.35
20170130_5425_204320,Pulaski,Kostner,0,20.6,1.87,9.18
20170130_5425_204321,Pulaski,Kostner,0,20.75,9.53,16.42
20170130_5425_204322,Pulaski,Kostner,0,21.02,1.97,14.95
20170130_5425_204323,Pulaski,Kostner,0,21.27,2.3,13.3
20170130_5425_204324,Pulaski,Kostner,0,21.5,1.17,14.73
20170130_5425_204325,Pulaski,Kostner,0,21.73,1.88,15.22
20170130_5425_204326,Pulaski,Kostner,0,21.98,1.73,13.12
20170130_5425_204327,Pulaski,Kostner,0,22.22,1.57,11.6
20170130_5425_204328,Pulaski,Kostner,0,22.4,1.77,20.58
20170130_5425_204329,Pulaski,Kostner,0,22.75,0.0,12.88
20170130_5425_204330,Pulaski,Kostner,0,22.97,1.47,14.82
20170130_5425_204331,Pulaski,Kostner,0,23.2,1.45,13.6
20170130_5425_204332,Pulaski,Kostner,0,23.43,1.65,14.95
20170130_5425_204333,Pulaski,Kostner,0,23.68,2.03,13.08
20170130_5425_204334,Pulaski,Kostner,0,23.9,1.08,13.7
20170131_5425_204337,Pulaski,Kostner,0,0.73,1.57,8.63
20170131_5425_204338,Pulaski,Kostner,0,0.88,1.67,18.17
20170131_5425_204339,Pulaski,Kostner,0,1.18,18.2,12.37
20170131_5425_204340,Pulaski,Kostner,0,1.38,0.0,26.25
20170131_5425_204341,Pulaski,Kostner,0,1.83,1.05,169.55
20170131_5425_204213,Pulaski,Kostner,1,4.65,1.73,35.07
20170131_5425_204214,Pulaski,Kostner,1,5.23,3.3,23.4
20170131_5425_204215,Pulaski,Kostner,1,5.63,2.45,27.23
20170131_5425_204216,Pulaski,Kostner,1,6.08,1.87,20.8
20170131_5425_204219,Pulaski,Kostner,1,6.43,2.07,18.47
20170131_5425_204220,Pulaski,Kostner,1,6.73,2.17,14.38
20170131_5425_204221,Pulaski,Kostner,1,6.97,2.68,14.95
20170131_5425_204222,Pulaski,Kostner,1,7.22,2.32,18.77
20170131_5425_204223,Pulaski,Kostner,1,7.53,1.97,20.38
20170131_5425_204224,Pulaski,Kostner,1,7.88,3.37,1.12
20170131_5425_10002765,Pulaski,Kostner,1,7.9,2.15,5.8
20170131_5425_10002766,Pulaski,Kostner,1,7.98,1.55,16.2
20170131_5425_10002767,Pulaski,Kostner,1,8.27,2.22,5.5
20170131_5425_10002769,Pulaski,Kostner,1,8.35,2.0,16.67
20170131_5425_10002771,Pulaski,Kostner,1,8.63,1.6,10.57
20170131_5425_10002773,Pulaski,Kostner,1,8.8,1.45,8.8
20170131_5425_10002775,Pulaski,Kostner,1,8.95,2.73,9.53
20170131_5425_10002777,Pulaski,Kostner,1,9.12,3.1,14.93
20170131_5425_1063968,Pulaski,Kostner,1,9.37,1.6,9.62
20170131_5425_1063969,Pulaski,Kostner,1,9.52,0.63,23.38
20170131_5425_1063866,Pulaski,Kostner,1,9.92,2.48,3.15
20170131_5425_1083565,Pulaski,Kostner,1,9.97,1.75,14.72
20170131_5425_1083566,Pulaski,Kostner,1,10.22,2.23,10.13
20170131_5425_1083567,Pulaski,Kostner,1,10.38,2.57,11.47
20170131_5425_1083568,Pulaski,Kostner,1,10.57,2.3,15.37
20170131_5425_1083569,Pulaski,Kostner,1,10.83,0.0,11.5
20170131_5425_1083570,Pulaski,Kostner,1,11.02,2.1,11.37
20170131_5425_1083571,Pulaski,Kostner,1,11.2,2.07,8.73
20170131_5425_1083572,Pulaski,Kostner,1,11.35,1.78,15.02
20170131_5425_1083573,Pulaski,Kostner,1,11.6,2.42,8.85
20170131_5425_1063877,Pulaski,Kostner,1,11.75,0.63,16.0
20170131_5425_1063878,Pulaski,Kostner,1,12.02,1.63,6.6
20170131_5425_1063879,Pulaski,Kostner,1,12.13,1.67,19.03
20170131_5425_1063880,Pulaski,Kostner,1,12.45,2.62,11.17
20170131_5425_1063881,Pulaski,Kostner,1,12.63,2.05,8.0
20170131_5425_1063882,Pulaski,Kostner,1,12.77,2.4,12.97
20170131_5425_1063883,Pulaski,Kostner,1,12.98,3.78,13.83
20170131_5425_1063884,Pulaski,Kostner,1,13.22,1.93,14.07
20170131_5425_1063885,Pulaski,Kostner,1,13.45,0.0,16.13
20170131_5425_1063886,Pulaski,Kostner,1,13.72,2.47,4.32
20170131_5425_1063887,Pulaski,Kostner,1,13.78,1.85,13.45
20170131_5425_1063888,Pulaski,Kostner,1,14.02,2.23,13.92
20170131_5425_1063889,Pulaski,Kostner,1,14.23,1.38,11.77
20170131_5425_1063890,Pulaski,Kostner,1,14.43,1.77,11.93
20170131_5425_1063892,Pulaski,Kostner,1,14.63,2.2,14.75
20170131_5425_1063893,Pulaski,Kostner,1,14.88,0.0,9.85
20170131_5425_1063894,Pulaski,Kostner,1,15.05,2.15,9.95
20170131_5425_10004045,Pulaski,Kostner,1,15.22,1.27,19.83
20170131_5425_10004046,Pulaski,Kostner,1,15.55,2.83,7.37
20170131_5425_10004047,Pulaski,Kostner,1,15.67,2.15,4.13
20170131_5425_10004048,Pulaski,Kostner,1,15.73,1.57,13.58
20170131_5425_10004050,Pulaski,Kostner,1,15.97,2.25,9.88
20170131_5425_10004051,Pulaski,Kostner,1,16.13,2.1,16.6
20170131_5425_10004053,Pulaski,Kostner,1,16.4,2.4,10.0
20170131_5425_10004055,Pulaski,Kostner,1,16.57,2.87,10.2
