tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Fremont,Armitage & Halsted,2,4.9,0.63,18.68
20170621_2171_1035236,Armitage & Fremont,Armitage & Halsted,2,5.22,1.02,19.37
20170621_2170_1035092,Armitage & Fremont,Armitage & Halsted,2,5.53,1.0,13.32
20170621_2170_1035093,Armitage & Fremont,Armitage & Halsted,2,5.75,0.52,13.93
20170621_2170_1035094,Armitage & Fremont,Armitage & Halsted,2,5.98,0.75,17.77
20170621_2170_1035095,Armitage & Fremont,Armitage & Halsted,2,6.28,1.5,12.77
20170621_2170_1035096,Armitage & Fremont,Armitage & Halsted,2,6.5,1.0,20.6
20170621_2170_1035097,Armitage & Fremont,Armitage & Halsted,2,6.85,0.0,7.57
20170621_2170_10365464,Armitage & Fremont,Armitage & Halsted,2,6.97,1.65,7.82
20170621_2170_1035098,Armitage & Fremont,Armitage & Halsted,2,7.1,0.0,19.52
20170621_2170_1035100,Armitage & Fremont,Armitage & Halsted,2,7.42,0.0,7.33
20170621_2170_1035101,Armitage & Fremont,Armitage & Halsted,2,7.55,0.77,13.6
20170621_2170_1035102,Armitage & Fremont,Armitage & Halsted,2,7.77,0.0,3.07
20170621_2170_1035103,Armitage & Fremont,Armitage & Halsted,2,7.82,1.13,9.73
20170621_2170_1035104,Armitage & Fremont,Armitage & Halsted,2,7.98,0.0,13.22
20170621_2170_1035105,Armitage & Fremont,Armitage & Halsted,2,8.2,3.18,14.3
20170621_2170_1035106,Armitage & Fremont,Armitage & Halsted,2,8.45,0.0,14.32
20170621_2170_1035108,Armitage & Fremont,Armitage & Halsted,2,8.68,13.57,2.23
20170621_2170_1035107,Armitage & Fremont,Armitage & Halsted,2,8.72,0.0,27.45
20170621_2170_1035109,Armitage & Fremont,Armitage & Halsted,2,9.18,0.5,18.6
20170621_2170_1035110,Armitage & Fremont,Armitage & Halsted,2,9.48,0.0,14.22
20170621_2170_1035111,Armitage & Fremont,Armitage & Halsted,2,9.73,0.7,21.43
20170621_2170_1035112,Armitage & Fremont,Armitage & Halsted,2,10.08,1.02,1.55
20170621_2170_1035115,Armitage & Fremont,Armitage & Halsted,2,10.1,0.48,10.67
20170621_2170_1035116,Armitage & Fremont,Armitage & Halsted,2,10.28,1.4,21.67
20170621_2170_1035117,Armitage & Fremont,Armitage & Halsted,2,10.65,0.52,20.77
