tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Halsted,Armitage & Orchard,2,4.92,0.52,19.07
20170621_2171_1035236,Armitage & Halsted,Armitage & Orchard,2,5.23,0.1,19.35
20170621_2170_1035092,Armitage & Halsted,Armitage & Orchard,2,5.55,0.82,12.83
20170621_2170_1035093,Armitage & Halsted,Armitage & Orchard,2,5.77,1.07,14.17
20170621_2170_1035094,Armitage & Halsted,Armitage & Orchard,2,6.0,0.35,18.52
20170621_2170_1035095,Armitage & Halsted,Armitage & Orchard,2,6.32,0.22,12.27
20170621_2170_1035096,Armitage & Halsted,Armitage & Orchard,2,6.52,0.9,19.6
20170621_2170_1035097,Armitage & Halsted,Armitage & Orchard,2,6.85,0.0,9.22
20170621_2170_10365464,Armitage & Halsted,Armitage & Orchard,2,7.0,0.27,6.17
20170621_2170_1035098,Armitage & Halsted,Armitage & Orchard,2,7.1,2.13,19.52
20170621_2170_1035100,Armitage & Halsted,Armitage & Orchard,2,7.42,0.0,8.1
20170621_2170_1035101,Armitage & Halsted,Armitage & Orchard,2,7.57,1.63,12.83
20170621_2170_1035102,Armitage & Halsted,Armitage & Orchard,2,7.77,0.0,4.2
20170621_2170_1035103,Armitage & Halsted,Armitage & Orchard,2,7.85,0.0,8.6
20170621_2170_1035104,Armitage & Halsted,Armitage & Orchard,2,7.98,0.0,16.4
20170621_2170_1035105,Armitage & Halsted,Armitage & Orchard,2,8.27,4.3,11.12
20170621_2170_1035106,Armitage & Halsted,Armitage & Orchard,2,8.45,0.0,16.55
20170621_2170_1035107,Armitage & Halsted,Armitage & Orchard,2,8.72,0.0,11.33
20170621_2170_1035108,Armitage & Halsted,Armitage & Orchard,2,8.92,12.02,16.62
20170621_2170_1035109,Armitage & Halsted,Armitage & Orchard,2,9.18,0.92,18.1
20170621_2170_1035110,Armitage & Halsted,Armitage & Orchard,2,9.48,0.0,14.92
20170621_2170_1035111,Armitage & Halsted,Armitage & Orchard,2,9.73,7.53,21.75
20170621_2170_1035112,Armitage & Halsted,Armitage & Orchard,2,10.1,0.6,1.02
20170621_2170_1035115,Armitage & Halsted,Armitage & Orchard,2,10.12,0.68,11.58
20170621_2170_1035116,Armitage & Halsted,Armitage & Orchard,2,10.32,0.7,20.78
20170621_2170_1035117,Armitage & Halsted,Armitage & Orchard,2,10.65,1.28,20.77
20170621_2170_1035118,Armitage & Halsted,Armitage & Orchard,2,11.0,0.47,7.28
20170621_2170_1035119,Armitage & Halsted,Armitage & Orchard,2,11.12,4.0,20.25
20170621_2170_1035120,Armitage & Halsted,Armitage & Orchard,2,11.47,0.95,27.72
20170621_2170_1035121,Armitage & Halsted,Armitage & Orchard,2,11.92,0.38,14.2
20170621_2170_1035122,Armitage & Halsted,Armitage & Orchard,2,12.17,0.35,39.28
20170621_2170_1035124,Armitage & Halsted,Armitage & Orchard,2,12.82,0.0,14.4
20170621_2170_1035125,Armitage & Halsted,Armitage & Orchard,2,13.05,0.0,15.28
20170621_2170_1035126,Armitage & Halsted,Armitage & Orchard,2,13.32,0.73,19.52
20170621_2170_1035127,Armitage & Halsted,Armitage & Orchard,2,13.63,1.15,18.52
20170621_2170_1035128,Armitage & Halsted,Armitage & Orchard,2,13.95,1.0,8.47
20170621_2170_1035129,Armitage & Halsted,Armitage & Orchard,2,14.08,0.77,14.58
20170621_2170_1035130,Armitage & Halsted,Armitage & Orchard,2,14.33,0.3,20.62
20170621_2170_1035131,Armitage & Halsted,Armitage & Orchard,2,14.67,0.0,2.15
20170621_2170_1035132,Armitage & Halsted,Armitage & Orchard,2,14.7,1.53,14.9
20170621_2170_1035133,Armitage & Halsted,Armitage & Orchard,2,14.95,0.55,10.0
20170621_2170_1035134,Armitage & Halsted,Armitage & Orchard,2,15.12,0.25,13.83
20170621_2170_1035135,Armitage & Halsted,Armitage & Orchard,2,15.35,0.0,9.5
