tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Keeler,Armitage & Kildare,1,22.7,0.58,409.3
20170621_2169_1035237,Armitage & Keeler,Armitage & Kildare,2,5.52,0.83,23.95
20170621_2169_1035238,Armitage & Keeler,Armitage & Kildare,2,5.92,0.65,33.78
20170621_2169_1035166,Armitage & Keeler,Armitage & Kildare,2,6.48,0.0,4.53
20170621_2169_1035167,Armitage & Keeler,Armitage & Kildare,2,6.57,0.5,16.45
20170621_2169_1035165,Armitage & Keeler,Armitage & Kildare,2,6.83,0.5,13.58
20170621_2169_1035177,Armitage & Keeler,Armitage & Kildare,2,7.07,0.57,18.65
20170621_2169_1035171,Armitage & Keeler,Armitage & Kildare,2,7.37,0.58,14.02
20170621_2169_1035183,Armitage & Keeler,Armitage & Kildare,2,7.6,0.4,19.15
20170621_2169_1035174,Armitage & Keeler,Armitage & Kildare,2,7.93,0.92,7.83
20170621_2169_1035188,Armitage & Keeler,Armitage & Kildare,2,8.05,0.0,6.58
20170621_2169_1035185,Armitage & Keeler,Armitage & Kildare,2,8.17,0.55,9.7
20170621_2169_1035173,Armitage & Keeler,Armitage & Kildare,2,8.33,0.67,7.48
20170621_2169_116123172,Armitage & Keeler,Armitage & Kildare,2,8.45,0.55,6.75
20170621_2169_1035182,Armitage & Keeler,Armitage & Kildare,2,8.57,1.27,6.58
20170621_2169_1035184,Armitage & Keeler,Armitage & Kildare,2,8.67,0.65,8.48
20170621_2169_1035179,Armitage & Keeler,Armitage & Kildare,2,8.82,0.52,5.68
20170621_2169_1035172,Armitage & Keeler,Armitage & Kildare,2,8.92,6.37,25.08
20170621_2169_1035187,Armitage & Keeler,Armitage & Kildare,2,9.33,0.57,10.03
20170621_2169_1035176,Armitage & Keeler,Armitage & Kildare,2,9.5,0.9,5.23
20170621_2169_1035168,Armitage & Keeler,Armitage & Kildare,2,9.58,2.08,21.0
20170621_2169_1035180,Armitage & Keeler,Armitage & Kildare,2,9.93,0.55,19.12
20170621_2169_1035178,Armitage & Keeler,Armitage & Kildare,2,10.25,0.52,8.02
20170621_2169_1035181,Armitage & Keeler,Armitage & Kildare,2,10.38,4.4,29.88
20170621_2169_1035175,Armitage & Keeler,Armitage & Kildare,2,10.88,0.98,0.65
20170621_2169_1035189,Armitage & Keeler,Armitage & Kildare,2,10.9,0.62,10.53
20170621_2169_1035169,Armitage & Keeler,Armitage & Kildare,2,11.07,0.57,18.77
20170621_2169_1035201,Armitage & Keeler,Armitage & Kildare,2,11.38,0.73,32.77
20170621_2169_1035199,Armitage & Keeler,Armitage & Kildare,2,11.93,0.0,3.03
20170621_2169_1035196,Armitage & Keeler,Armitage & Kildare,2,11.98,1.5,18.43
20170621_2169_1035198,Armitage & Keeler,Armitage & Kildare,2,12.28,0.77,26.82
20170621_2169_1035193,Armitage & Keeler,Armitage & Kildare,2,12.73,0.48,7.78
20170621_2169_1035195,Armitage & Keeler,Armitage & Kildare,2,12.87,0.75,47.6
20170621_2169_1035190,Armitage & Keeler,Armitage & Kildare,2,13.65,0.52,7.65
20170621_2169_1035192,Armitage & Keeler,Armitage & Kildare,2,13.78,5.17,29.32
20170621_2169_1035191,Armitage & Keeler,Armitage & Kildare,2,14.27,0.62,8.05
20170621_2169_1035197,Armitage & Keeler,Armitage & Kildare,2,14.4,0.85,28.13
20170621_2169_1035200,Armitage & Keeler,Armitage & Kildare,2,14.88,0.63,2.28
20170621_2169_1035205,Armitage & Keeler,Armitage & Kildare,2,14.92,1.02,18.98
20170621_2169_1035202,Armitage & Keeler,Armitage & Kildare,2,15.23,0.48,21.9
20170621_2169_1035206,Armitage & Keeler,Armitage & Kildare,2,15.6,0.47,5.2
20170621_2169_1035203,Armitage & Keeler,Armitage & Kildare,2,15.68,1.78,19.2
20170621_2169_1035207,Armitage & Keeler,Armitage & Kildare,2,16.0,1.0,7.83
20170621_2169_1035208,Armitage & Keeler,Armitage & Kildare,2,16.13,1.82,4.97
