tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Kilpatrick,Armitage & Cicero,1,22.73,0.68,410.13
20170621_2169_1035237,Armitage & Kilpatrick,Armitage & Cicero,2,5.57,1.62,24.53
20170621_2169_1035238,Armitage & Kilpatrick,Armitage & Cicero,2,5.98,0.38,30.42
20170621_2169_1035166,Armitage & Kilpatrick,Armitage & Cicero,2,6.48,0.0,7.1
20170621_2169_1035167,Armitage & Kilpatrick,Armitage & Cicero,2,6.6,1.5,17.1
20170621_2169_1035165,Armitage & Kilpatrick,Armitage & Cicero,2,6.88,0.23,13.22
20170621_2169_1035177,Armitage & Kilpatrick,Armitage & Cicero,2,7.12,0.52,18.75
20170621_2169_1035171,Armitage & Kilpatrick,Armitage & Cicero,2,7.42,2.05,13.72
20170621_2169_1035183,Armitage & Kilpatrick,Armitage & Cicero,2,7.65,0.47,22.3
20170621_2169_1035174,Armitage & Kilpatrick,Armitage & Cicero,2,8.02,1.05,4.35
20170621_2169_1035188,Armitage & Kilpatrick,Armitage & Cicero,2,8.1,1.08,7.03
20170621_2169_1035185,Armitage & Kilpatrick,Armitage & Cicero,2,8.22,1.5,8.43
20170621_2169_1035173,Armitage & Kilpatrick,Armitage & Cicero,2,8.35,0.0,9.02
20170621_2169_116123172,Armitage & Kilpatrick,Armitage & Cicero,2,8.5,0.45,6.52
20170621_2169_1035182,Armitage & Kilpatrick,Armitage & Cicero,2,8.62,1.15,6.47
20170621_2169_1035184,Armitage & Kilpatrick,Armitage & Cicero,2,8.72,0.47,7.95
20170621_2169_1035179,Armitage & Kilpatrick,Armitage & Cicero,2,8.85,1.07,6.6
20170621_2169_1035172,Armitage & Kilpatrick,Armitage & Cicero,2,8.97,2.4,26.23
20170621_2169_1035168,Armitage & Kilpatrick,Armitage & Cicero,2,9.72,1.87,14.85
20170621_2169_1035181,Armitage & Kilpatrick,Armitage & Cicero,2,9.95,24.35,0.7
20170621_2169_1035180,Armitage & Kilpatrick,Armitage & Cicero,2,9.97,0.0,19.35
20170621_2169_1035178,Armitage & Kilpatrick,Armitage & Cicero,2,10.3,1.35,38.33
20170621_2169_1035175,Armitage & Kilpatrick,Armitage & Cicero,2,10.93,1.2,0.45
20170621_2169_1035189,Armitage & Kilpatrick,Armitage & Cicero,2,10.93,2.08,10.9
20170621_2169_1035169,Armitage & Kilpatrick,Armitage & Cicero,2,11.12,1.03,18.15
20170621_2169_1035201,Armitage & Kilpatrick,Armitage & Cicero,2,11.42,0.42,30.33
20170621_2169_1035199,Armitage & Kilpatrick,Armitage & Cicero,2,11.93,0.0,6.58
20170621_2169_1035196,Armitage & Kilpatrick,Armitage & Cicero,2,12.03,0.0,18.55
20170621_2169_1035198,Armitage & Kilpatrick,Armitage & Cicero,2,12.35,0.17,25.17
20170621_2169_1035193,Armitage & Kilpatrick,Armitage & Cicero,2,12.77,3.12,9.08
20170621_2169_1035195,Armitage & Kilpatrick,Armitage & Cicero,2,12.92,1.58,48.17
20170621_2169_1035190,Armitage & Kilpatrick,Armitage & Cicero,2,13.72,0.68,8.93
20170621_2169_1035192,Armitage & Kilpatrick,Armitage & Cicero,2,13.87,0.0,26.58
20170621_2169_1035191,Armitage & Kilpatrick,Armitage & Cicero,2,14.32,0.42,7.98
20170621_2169_1035197,Armitage & Kilpatrick,Armitage & Cicero,2,14.45,1.52,28.25
20170621_2169_1035200,Armitage & Kilpatrick,Armitage & Cicero,2,14.92,1.75,2.8
20170621_2169_1035205,Armitage & Kilpatrick,Armitage & Cicero,2,14.97,1.95,18.47
20170621_2169_1035202,Armitage & Kilpatrick,Armitage & Cicero,2,15.27,0.4,22.25
