tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Laporte,Armitage & Lavergne,1,22.75,0.0,411.02
20170621_2169_1035237,Armitage & Laporte,Armitage & Lavergne,2,5.6,0.0,24.05
20170621_2169_1035238,Armitage & Laporte,Armitage & Lavergne,2,6.0,0.0,28.85
20170621_2169_1035166,Armitage & Laporte,Armitage & Lavergne,2,6.48,0.0,9.03
20170621_2169_1035167,Armitage & Laporte,Armitage & Lavergne,2,6.63,0.0,17.02
20170621_2169_1035165,Armitage & Laporte,Armitage & Lavergne,2,6.92,0.57,12.55
20170621_2169_1035177,Armitage & Laporte,Armitage & Lavergne,2,7.13,0.0,20.1
20170621_2169_1035171,Armitage & Laporte,Armitage & Lavergne,2,7.47,0.38,12.52
20170621_2169_1035183,Armitage & Laporte,Armitage & Lavergne,2,7.67,0.78,22.83
20170621_2169_1035174,Armitage & Laporte,Armitage & Lavergne,2,8.05,0.6,4.12
20170621_2169_1035188,Armitage & Laporte,Armitage & Lavergne,2,8.12,0.0,7.3
20170621_2169_1035185,Armitage & Laporte,Armitage & Lavergne,2,8.25,0.0,8.53
20170621_2169_1035173,Armitage & Laporte,Armitage & Lavergne,2,8.38,0.0,8.7
20170621_2169_116123172,Armitage & Laporte,Armitage & Lavergne,2,8.53,0.0,6.97
20170621_2169_1035182,Armitage & Laporte,Armitage & Lavergne,2,8.65,0.0,5.5
20170621_2169_1035184,Armitage & Laporte,Armitage & Lavergne,2,8.73,0.5,8.55
20170621_2169_1035179,Armitage & Laporte,Armitage & Lavergne,2,8.88,0.5,12.37
20170621_2169_1035172,Armitage & Laporte,Armitage & Lavergne,2,9.08,8.68,19.42
20170621_2169_1035187,Armitage & Laporte,Armitage & Lavergne,2,9.42,1.15,21.13
20170621_2169_1035168,Armitage & Laporte,Armitage & Lavergne,2,9.77,0.37,13.57
20170621_2169_1035180,Armitage & Laporte,Armitage & Lavergne,2,9.98,0.62,20.27
20170621_2169_1035178,Armitage & Laporte,Armitage & Lavergne,2,10.33,0.32,3.68
20170621_2169_1035181,Armitage & Laporte,Armitage & Lavergne,2,10.38,5.15,34.52
20170621_2169_1035175,Armitage & Laporte,Armitage & Lavergne,2,10.97,0.63,1.35
20170621_2169_1035189,Armitage & Laporte,Armitage & Lavergne,2,10.98,0.0,9.88
20170621_2169_1035169,Armitage & Laporte,Armitage & Lavergne,2,11.15,0.0,18.52
20170621_2169_1035201,Armitage & Laporte,Armitage & Lavergne,2,11.47,0.0,28.15
20170621_2169_1035199,Armitage & Laporte,Armitage & Lavergne,2,11.93,0.0,8.7
20170621_2169_1035196,Armitage & Laporte,Armitage & Lavergne,2,12.07,0.0,18.6
20170621_2169_1035198,Armitage & Laporte,Armitage & Lavergne,2,12.38,0.0,26.65
20170621_2169_1035193,Armitage & Laporte,Armitage & Lavergne,2,12.83,0.0,7.02
20170621_2169_1035195,Armitage & Laporte,Armitage & Lavergne,2,12.95,0.7,48.33
20170621_2169_1035190,Armitage & Laporte,Armitage & Lavergne,2,13.75,0.0,7.18
20170621_2169_1035192,Armitage & Laporte,Armitage & Lavergne,2,13.87,0.0,28.17
20170621_2169_1035191,Armitage & Laporte,Armitage & Lavergne,2,14.33,0.25,8.35
20170621_2169_1035197,Armitage & Laporte,Armitage & Lavergne,2,14.48,0.47,28.58
20170621_2169_1035200,Armitage & Laporte,Armitage & Lavergne,2,14.95,0.0,2.88
20170621_2169_1035205,Armitage & Laporte,Armitage & Lavergne,2,15.0,0.0,17.37
20170621_2169_1035202,Armitage & Laporte,Armitage & Lavergne,2,15.3,0.0,22.47
20170621_2169_1035206,Armitage & Laporte,Armitage & Lavergne,2,15.67,0.0,7.42
20170621_2169_1035203,Armitage & Laporte,Armitage & Lavergne,2,15.78,0.65,18.27
20170621_2169_1035207,Armitage & Laporte,Armitage & Lavergne,2,16.1,0.0,9.77
20170621_2169_1035208,Armitage & Laporte,Armitage & Lavergne,2,16.25,0.0,1.63
20170621_2169_1035204,Armitage & Laporte,Armitage & Lavergne,2,16.28,0.4,16.15
