tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Leclaire/Grand,Grand & Laramie,1,22.77,0.5,410.92
20170621_2169_1035237,Armitage & Leclaire/Grand,Grand & Laramie,2,5.62,0.53,25.05
20170621_2169_1035238,Armitage & Leclaire/Grand,Grand & Laramie,2,6.03,0.67,27.38
20170621_2169_1035166,Armitage & Leclaire/Grand,Grand & Laramie,2,6.48,0.0,10.05
20170621_2169_1035167,Armitage & Leclaire/Grand,Grand & Laramie,2,6.65,0.42,16.77
20170621_2169_1035165,Armitage & Leclaire/Grand,Grand & Laramie,2,6.93,0.67,12.97
20170621_2169_1035177,Armitage & Leclaire/Grand,Grand & Laramie,2,7.15,0.0,20.1
20170621_2169_1035171,Armitage & Leclaire/Grand,Grand & Laramie,2,7.48,0.6,12.12
20170621_2169_1035183,Armitage & Leclaire/Grand,Grand & Laramie,2,7.68,0.65,23.18
20170621_2169_1035174,Armitage & Leclaire/Grand,Grand & Laramie,2,8.07,0.77,3.8
20170621_2169_1035188,Armitage & Leclaire/Grand,Grand & Laramie,2,8.13,0.62,7.0
20170621_2169_1035185,Armitage & Leclaire/Grand,Grand & Laramie,2,8.25,1.28,8.6
20170621_2169_1035173,Armitage & Leclaire/Grand,Grand & Laramie,2,8.4,0.68,10.1
20170621_2169_116123172,Armitage & Leclaire/Grand,Grand & Laramie,2,8.57,0.0,5.97
20170621_2169_1035182,Armitage & Leclaire/Grand,Grand & Laramie,2,8.67,0.8,5.17
20170621_2169_1035184,Armitage & Leclaire/Grand,Grand & Laramie,2,8.75,0.77,8.55
20170621_2169_1035179,Armitage & Leclaire/Grand,Grand & Laramie,2,8.88,0.55,15.07
20170621_2169_1035172,Armitage & Leclaire/Grand,Grand & Laramie,2,9.15,4.17,17.33
20170621_2169_1035187,Armitage & Leclaire/Grand,Grand & Laramie,2,9.43,1.5,29.13
20170621_2169_1035168,Armitage & Leclaire/Grand,Grand & Laramie,2,9.92,9.9,5.42
20170621_2169_1035180,Armitage & Leclaire/Grand,Grand & Laramie,2,10.0,0.0,19.47
20170621_2169_1035178,Armitage & Leclaire/Grand,Grand & Laramie,2,10.33,0.9,14.38
20170621_2169_1035181,Armitage & Leclaire/Grand,Grand & Laramie,2,10.57,1.02,26.65
20170621_2169_1035175,Armitage & Leclaire/Grand,Grand & Laramie,2,11.02,0.0,0.25
20170621_2169_1035189,Armitage & Leclaire/Grand,Grand & Laramie,2,11.02,1.6,9.28
20170621_2169_1035169,Armitage & Leclaire/Grand,Grand & Laramie,2,11.17,1.22,19.18
20170621_2169_1035201,Armitage & Leclaire/Grand,Grand & Laramie,2,11.5,0.8,26.03
20170621_2169_1035199,Armitage & Leclaire/Grand,Grand & Laramie,2,11.93,0.0,10.37
20170621_2169_1035196,Armitage & Leclaire/Grand,Grand & Laramie,2,12.1,0.53,21.7
20170621_2169_1035198,Armitage & Leclaire/Grand,Grand & Laramie,2,12.47,1.0,25.27
20170621_2169_1035193,Armitage & Leclaire/Grand,Grand & Laramie,2,12.88,0.77,5.5
20170621_2169_1035195,Armitage & Leclaire/Grand,Grand & Laramie,2,12.98,1.15,49.63
20170621_2169_1035190,Armitage & Leclaire/Grand,Grand & Laramie,2,13.8,0.48,5.53
20170621_2169_1035192,Armitage & Leclaire/Grand,Grand & Laramie,2,13.9,0.53,28.23
20170621_2169_1035191,Armitage & Leclaire/Grand,Grand & Laramie,2,14.37,1.63,8.9
20170621_2169_1035197,Armitage & Leclaire/Grand,Grand & Laramie,2,14.52,0.87,29.05
20170621_2169_1035200,Armitage & Leclaire/Grand,Grand & Laramie,2,15.0,1.45,3.65
20170621_2169_1035205,Armitage & Leclaire/Grand,Grand & Laramie,2,15.07,3.33,17.45
20170621_2169_1035202,Armitage & Leclaire/Grand,Grand & Laramie,2,15.35,1.35,19.63
20170621_2169_1035206,Armitage & Leclaire/Grand,Grand & Laramie,2,15.68,1.7,11.53
20170621_2169_1035203,Armitage & Leclaire/Grand,Grand & Laramie,2,15.87,0.98,15.4
20170621_2169_1035207,Armitage & Leclaire/Grand,Grand & Laramie,2,16.13,1.53,11.3
20170621_2169_1035208,Armitage & Leclaire/Grand,Grand & Laramie,2,16.32,1.47,2.95
20170621_2169_1035204,Armitage & Leclaire/Grand,Grand & Laramie,2,16.37,1.1,17.4
20170621_2169_1035211,Armitage & Leclaire/Grand,Grand & Laramie,2,16.65,1.35,12.77
20170621_2169_1035210,Armitage & Leclaire/Grand,Grand & Laramie,2,16.87,2.48,14.32
20170621_2169_1035209,Armitage & Leclaire/Grand,Grand & Laramie,2,17.1,0.6,25.0
20170621_2169_1035218,Armitage & Leclaire/Grand,Grand & Laramie,2,17.52,1.52,6.08
20170621_2169_116123215,Armitage & Leclaire/Grand,Grand & Laramie,2,17.62,1.45,10.58
20170621_2169_1035217,Armitage & Leclaire/Grand,Grand & Laramie,2,17.8,1.22,9.98
20170621_2169_1035215,Armitage & Leclaire/Grand,Grand & Laramie,2,17.97,0.5,26.17
20170621_2169_1035220,Armitage & Leclaire/Grand,Grand & Laramie,2,18.4,0.5,12.52
20170621_2169_1035214,Armitage & Leclaire/Grand,Grand & Laramie,2,18.62,1.02,18.83
20170621_2169_1035216,Armitage & Leclaire/Grand,Grand & Laramie,2,18.92,0.15,14.77
20170621_2169_1035213,Armitage & Leclaire/Grand,Grand & Laramie,2,19.17,1.47,5.35
20170621_2169_1035221,Armitage & Leclaire/Grand,Grand & Laramie,2,19.27,0.8,11.6
20170621_2169_1035222,Armitage & Leclaire/Grand,Grand & Laramie,2,19.45,0.88,10.75
20170621_2169_1035223,Armitage & Leclaire/Grand,Grand & Laramie,2,19.63,0.73,17.57
20170621_2169_1035224,Armitage & Leclaire/Grand,Grand & Laramie,2,19.92,0.0,18.23
20170621_2169_1035225,Armitage & Leclaire/Grand,Grand & Laramie,2,20.23,0.5,26.32
20170621_2169_1035226,Armitage & Leclaire/Grand,Grand & Laramie,2,20.67,1.0,13.3
20170621_2169_1035227,Armitage & Leclaire/Grand,Grand & Laramie,2,20.88,0.5,18.82
20170621_2169_1035228,Armitage & Leclaire/Grand,Grand & Laramie,2,21.2,0.0,17.85
20170621_2169_1035231,Armitage & Leclaire/Grand,Grand & Laramie,2,22.27,0.0,16.73
20170621_2169_1035232,Armitage & Leclaire/Grand,Grand & Laramie,2,22.55,0.43,18.32
20170621_2169_1035233,Armitage & Leclaire/Grand,Grand & Laramie,2,22.85,1.87,405.1
20170622_2169_1035237,Armitage & Leclaire/Grand,Grand & Laramie,3,5.6,1.18,23.03
20170622_2169_1035238,Armitage & Leclaire/Grand,Grand & Laramie,3,5.98,1.05,21.57
20170622_2169_1035166,Armitage & Leclaire/Grand,Grand & Laramie,3,6.35,2.07,17.82
20170622_2169_1035167,Armitage & Leclaire/Grand,Grand & Laramie,3,6.63,0.62,15.75
20170622_2169_1035165,Armitage & Leclaire/Grand,Grand & Laramie,3,6.9,0.3,14.77
20170622_2169_1035177,Armitage & Leclaire/Grand,Grand & Laramie,3,7.15,1.67,21.9
20170622_2169_1035171,Armitage & Leclaire/Grand,Grand & Laramie,3,7.52,0.75,12.62
20170622_2169_1035183,Armitage & Leclaire/Grand,Grand & Laramie,3,7.72,0.55,15.93
20170622_2169_1035174,Armitage & Leclaire/Grand,Grand & Laramie,3,7.98,0.52,2.75
20170622_2169_1035185,Armitage & Leclaire/Grand,Grand & Laramie,3,8.03,0.0,0.28
20170622_2169_1035188,Armitage & Leclaire/Grand,Grand & Laramie,3,8.03,2.05,22.27
20170622_2169_1035173,Armitage & Leclaire/Grand,Grand & Laramie,3,8.42,1.08,6.83
20170622_2169_1035184,Armitage & Leclaire/Grand,Grand & Laramie,3,8.73,1.0,11.82
20170622_2169_1035179,Armitage & Leclaire/Grand,Grand & Laramie,3,8.93,0.57,4.8
20170622_2169_1035172,Armitage & Leclaire/Grand,Grand & Laramie,3,9.02,3.58,24.72
20170622_2169_1035187,Armitage & Leclaire/Grand,Grand & Laramie,3,9.42,1.03,10.18
20170622_2169_1035176,Armitage & Leclaire/Grand,Grand & Laramie,3,9.6,0.87,4.6
20170622_2169_1035180,Armitage & Leclaire/Grand,Grand & Laramie,3,9.67,0.0,6.93
20170622_2169_1035168,Armitage & Leclaire/Grand,Grand & Laramie,3,9.78,2.48,41.65
20170622_2169_1035181,Armitage & Leclaire/Grand,Grand & Laramie,3,10.48,10.87,27.35
20170622_2169_1035175,Armitage & Leclaire/Grand,Grand & Laramie,3,10.93,0.52,0.77
20170622_2169_1035189,Armitage & Leclaire/Grand,Grand & Laramie,3,10.95,1.15,13.48
20170622_2169_1035169,Armitage & Leclaire/Grand,Grand & Laramie,3,11.17,0.0,21.15
20170622_2169_1035201,Armitage & Leclaire/Grand,Grand & Laramie,3,11.53,1.0,22.72
20170622_2169_1035199,Armitage & Leclaire/Grand,Grand & Laramie,3,11.9,0.98,8.22
20170622_2169_1035196,Armitage & Leclaire/Grand,Grand & Laramie,3,12.03,0.68,21.77
20170622_2169_1035198,Armitage & Leclaire/Grand,Grand & Laramie,3,12.4,0.0,29.62
20170622_2169_1035193,Armitage & Leclaire/Grand,Grand & Laramie,3,12.9,0.82,4.23
20170622_2169_1035195,Armitage & Leclaire/Grand,Grand & Laramie,3,12.97,0.4,28.72
20170622_2169_1035194,Armitage & Leclaire/Grand,Grand & Laramie,3,13.45,0.25,9.18
20170622_2169_1035190,Armitage & Leclaire/Grand,Grand & Laramie,3,13.6,0.72,38.77
20170622_2169_1035191,Armitage & Leclaire/Grand,Grand & Laramie,3,14.25,0.62,16.58
20170622_2169_1035192,Armitage & Leclaire/Grand,Grand & Laramie,3,14.52,1.57,5.07
20170622_2169_1035197,Armitage & Leclaire/Grand,Grand & Laramie,3,14.6,0.0,28.4
20170622_2169_1035205,Armitage & Leclaire/Grand,Grand & Laramie,3,15.08,1.18,0.85
20170622_2169_1035200,Armitage & Leclaire/Grand,Grand & Laramie,3,15.1,1.05,28.7
20170622_2169_1035202,Armitage & Leclaire/Grand,Grand & Laramie,3,15.57,1.02,2.98
20170622_2169_1035206,Armitage & Leclaire/Grand,Grand & Laramie,3,15.62,1.05,20.35
20170622_2169_1035203,Armitage & Leclaire/Grand,Grand & Laramie,3,15.97,2.38,12.38
20170622_2169_1035207,Armitage & Leclaire/Grand,Grand & Laramie,3,16.17,1.33,11.38
20170622_2169_1035208,Armitage & Leclaire/Grand,Grand & Laramie,3,16.35,1.18,2.12
