tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Clark & Wisconsin,Clark & Menomonee,2,4.97,0.0,19.82
20170621_2171_1035236,Clark & Wisconsin,Clark & Menomonee,2,5.28,0.0,19.78
20170621_2170_1035092,Clark & Wisconsin,Clark & Menomonee,2,5.62,0.47,12.93
20170621_2170_1035093,Clark & Wisconsin,Clark & Menomonee,2,5.83,0.45,14.38
20170621_2170_1035094,Clark & Wisconsin,Clark & Menomonee,2,6.07,1.02,18.3
20170621_2170_1035095,Clark & Wisconsin,Clark & Menomonee,2,6.38,0.52,12.87
20170621_2170_1035096,Clark & Wisconsin,Clark & Menomonee,2,6.6,1.02,18.33
20170621_2170_1035097,Clark & Wisconsin,Clark & Menomonee,2,6.9,0.0,10.28
20170621_2170_10365464,Clark & Wisconsin,Clark & Menomonee,2,7.07,0.93,6.78
20170621_2170_1035098,Clark & Wisconsin,Clark & Menomonee,2,7.18,1.23,20.97
20170621_2170_1035100,Clark & Wisconsin,Clark & Menomonee,2,7.53,1.25,7.42
20170621_2170_1035101,Clark & Wisconsin,Clark & Menomonee,2,7.65,1.23,7.05
20170621_2170_1035102,Clark & Wisconsin,Clark & Menomonee,2,7.77,1.22,8.48
20170621_2170_1035103,Clark & Wisconsin,Clark & Menomonee,2,7.92,1.0,5.63
20170621_2170_1035104,Clark & Wisconsin,Clark & Menomonee,2,8.02,1.0,14.25
20170621_2170_1035105,Clark & Wisconsin,Clark & Menomonee,2,8.25,5.83,16.15
20170621_2170_1035106,Clark & Wisconsin,Clark & Menomonee,2,8.52,0.52,13.97
20170621_2170_1035108,Clark & Wisconsin,Clark & Menomonee,2,8.75,10.15,6.07
20170621_2170_1035107,Clark & Wisconsin,Clark & Menomonee,2,8.85,0.73,24.7
20170621_2170_1035109,Clark & Wisconsin,Clark & Menomonee,2,9.27,0.52,14.4
20170621_2170_1035111,Clark & Wisconsin,Clark & Menomonee,2,9.5,3.77,2.92
20170621_2170_1035110,Clark & Wisconsin,Clark & Menomonee,2,9.55,0.82,36.8
20170621_2170_1035112,Clark & Wisconsin,Clark & Menomonee,2,10.17,1.0,1.33
