tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083638,Kostner,MidwayOrange,0,19.1,2.93,14.2
20170130_5426_203199,Kostner,MidwayOrange,0,19.33,4.07,11.35
20170130_5425_1083640,Kostner,MidwayOrange,0,19.52,4.97,6.15
20170130_5425_1083641,Kostner,MidwayOrange,0,19.62,3.85,15.98
20170130_5425_204316,Kostner,MidwayOrange,0,19.88,3.95,10.78
20170130_5426_203200,Kostner,MidwayOrange,0,20.07,5.33,6.27
20170130_5425_204317,Kostner,MidwayOrange,0,20.17,5.98,2.2
20170130_5425_204318,Kostner,MidwayOrange,0,20.22,5.75,15.03
20170130_5425_204319,Kostner,MidwayOrange,0,20.47,4.53,9.98
20170130_5425_204320,Kostner,MidwayOrange,0,20.63,4.88,16.85
20170130_5425_204321,Kostner,MidwayOrange,0,20.9,10.03,8.85
20170130_5425_204322,Kostner,MidwayOrange,0,21.05,3.88,15.28
20170130_5425_204323,Kostner,MidwayOrange,0,21.32,4.43,12.17
20170130_5425_204324,Kostner,MidwayOrange,0,21.52,5.97,15.45
20170130_5425_204325,Kostner,MidwayOrange,0,21.77,6.15,15.07
20170130_5425_204326,Kostner,MidwayOrange,0,22.02,4.92,12.95
20170130_5425_204327,Kostner,MidwayOrange,0,22.23,4.93,11.8
20170130_5425_204328,Kostner,MidwayOrange,0,22.43,5.37,18.82
20170130_5425_204329,Kostner,MidwayOrange,0,22.75,0.0,14.35
20170130_5425_204330,Kostner,MidwayOrange,0,22.98,3.43,14.8
20170130_5425_204331,Kostner,MidwayOrange,0,23.23,4.13,13.8
20170130_5425_204332,Kostner,MidwayOrange,0,23.47,4.5,15.33
20170130_5425_204333,Kostner,MidwayOrange,0,23.72,7.18,12.13
20170130_5425_204334,Kostner,MidwayOrange,0,23.92,5.63,13.55
20170130_5425_204335,Kostner,MidwayOrange,0,0.15,3.83,36.98
20170131_5425_204337,Kostner,MidwayOrange,0,0.77,5.33,8.73
20170131_5425_204338,Kostner,MidwayOrange,0,0.9,5.53,28.87
20170131_5425_204340,Kostner,MidwayOrange,0,1.38,4.62,5.83
20170131_5425_204339,Kostner,MidwayOrange,0,1.48,3.57,21.47
20170131_5425_204341,Kostner,MidwayOrange,0,1.85,5.18,170.23
20170131_5425_204213,Kostner,MidwayOrange,1,4.68,12.87,36.63
20170131_5425_204214,Kostner,MidwayOrange,1,5.28,11.92,22.55
20170131_5425_204219,Kostner,MidwayOrange,1,6.47,4.47,18.57
20170131_5425_204220,Kostner,MidwayOrange,1,6.77,5.37,14.9
20170131_5425_204221,Kostner,MidwayOrange,1,7.02,5.02,14.58
20170131_5425_204222,Kostner,MidwayOrange,1,7.27,4.3,18.42
20170131_5425_204223,Kostner,MidwayOrange,1,7.57,5.0,21.68
20170131_5425_10002765,Kostner,MidwayOrange,1,7.93,4.42,0.1
20170131_5425_204224,Kostner,MidwayOrange,1,7.93,3.48,5.1
20170131_5425_10002766,Kostner,MidwayOrange,1,8.02,4.27,16.87
20170131_5425_10002767,Kostner,MidwayOrange,1,8.3,6.02,5.28
20170131_5425_10002769,Kostner,MidwayOrange,1,8.38,4.67,16.27
