tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5426_203199,Western,California,0,19.1,2.13,10.92
20170130_5425_1083640,Western,California,0,19.28,2.82,8.77
20170130_5425_1083641,Western,California,0,19.43,1.95,16.87
20170130_5425_204316,Western,California,0,19.72,2.47,10.28
20170130_5426_203200,Western,California,0,19.88,1.82,6.92
20170130_5425_204317,Western,California,0,20.0,2.77,1.25
20170130_5425_204318,Western,California,0,20.02,2.48,16.22
20170130_5425_204319,Western,California,0,20.28,2.3,9.8
20170130_5425_204320,Western,California,0,20.45,1.63,11.03
20170130_5425_204321,Western,California,0,20.63,1.62,14.03
20170130_5425_204322,Western,California,0,20.87,1.9,15.1
20170130_5425_204323,Western,California,0,21.12,1.47,13.3
20170130_5425_204324,Western,California,0,21.33,3.23,15.57
20170130_5425_204325,Western,California,0,21.6,1.6,13.08
20170130_5425_204326,Western,California,0,21.82,2.52,15.62
20170130_5425_204327,Western,California,0,22.08,2.4,12.4
20170130_5425_204328,Western,California,0,22.28,1.5,16.78
20170130_5425_204329,Western,California,0,22.57,2.68,14.32
20170130_5425_204330,Western,California,0,22.8,1.63,14.25
20170130_5425_204331,Western,California,0,23.03,1.62,14.72
20170130_5425_204332,Western,California,0,23.28,0.98,15.17
20170130_5425_204333,Western,California,0,23.53,2.07,13.73
20170130_5425_204334,Western,California,0,23.77,2.9,13.15
20170130_5425_204335,Western,California,0,23.98,2.15,17.98
20170130_5425_204336,Western,California,0,0.28,1.47,18.83
20170131_5425_204337,Western,California,0,0.6,2.37,8.08
20170131_5425_204338,Western,California,0,0.73,1.95,18.52
20170131_5425_204339,Western,California,0,1.05,1.47,14.5
20170131_5425_204340,Western,California,0,1.28,1.88,22.73
20170131_5425_204341,Western,California,0,1.67,2.33,26.73
20170131_1293_204342,Western,California,0,2.12,1.53,23.98
20170131_1293_204343,Western,California,0,2.52,1.5,35.58
20170131_1293_204344,Western,California,1,3.1,1.43,23.83
20170131_1295_204371,Western,California,1,3.5,1.57,0.03
20170131_1293_204345,Western,California,1,3.5,1.57,28.5
20170131_1295_204378,Western,California,1,3.98,1.58,6.03
20170131_1293_204212,Western,California,1,4.08,1.43,16.47
20170131_1295_204379,Western,California,1,4.35,1.5,10.27
20170131_5425_204213,Western,California,1,4.52,1.83,8.37
20170131_1295_204380,Western,California,1,4.67,1.33,25.37
20170131_5425_204214,Western,California,1,5.08,2.22,11.53
20170131_1295_204381,Western,California,1,5.28,1.13,13.1
20170131_5425_204215,Western,California,1,5.5,1.4,25.97
20170131_5425_204216,Western,California,1,5.93,1.4,18.92
20170131_1295_1063947,Western,California,1,6.25,2.55,1.35
20170131_5425_204219,Western,California,1,6.27,2.77,15.83
20170131_5425_204220,Western,California,1,6.53,2.73,16.8
20170131_5425_204221,Western,California,1,6.82,2.58,14.17
20170131_5425_204222,Western,California,1,7.05,2.45,0.2
20170131_1295_1063943,Western,California,1,7.05,4.53,15.03
20170131_1295_1063944,Western,California,1,7.3,3.4,0.63
20170131_5425_204223,Western,California,1,7.32,2.97,16.7
20170131_5425_10002765,Western,California,1,7.58,3.23,0.47
20170131_5425_204224,Western,California,1,7.6,1.78,7.8
20170131_5425_10002766,Western,California,1,7.73,3.13,15.7
20170131_5425_10002767,Western,California,1,7.98,2.33,8.7
20170131_5425_10002769,Western,California,1,8.13,2.37,18.05
20170131_5425_10002771,Western,California,1,8.43,2.52,11.12
20170131_5425_10002773,Western,California,1,8.62,3.22,8.73
20170131_5425_10002775,Western,California,1,8.77,3.4,11.68
20170131_5425_10002777,Western,California,1,8.97,2.45,15.55
20170131_5425_1063968,Western,California,1,9.22,3.3,8.52
20170131_5425_1063969,Western,California,1,9.37,1.92,21.48
20170131_5425_1063866,Western,California,1,9.72,2.57,7.07
20170131_5425_1083565,Western,California,1,9.83,1.9,12.55
20170131_5425_1083566,Western,California,1,10.05,2.32,11.22
20170131_5425_1083567,Western,California,1,10.23,2.48,11.5
20170131_5425_1083568,Western,California,1,10.42,2.17,15.52
20170131_5425_1083569,Western,California,1,10.68,1.78,11.05
20170131_5425_1083570,Western,California,1,10.87,2.1,10.6
20170131_5425_1083571,Western,California,1,11.05,1.08,9.65
20170131_5425_1083572,Western,California,1,11.2,2.55,16.52
20170131_5425_1083573,Western,California,1,11.48,2.12,7.92
20170131_5425_1063877,Western,California,1,11.62,2.08,13.37
20170131_5425_1063878,Western,California,1,11.83,2.15,8.98
20170131_5425_1063879,Western,California,1,11.98,2.48,18.37
20170131_5425_1063880,Western,California,1,12.28,3.53,10.63
20170131_5425_1063881,Western,California,1,12.47,2.82,7.87
20170131_5425_1063882,Western,California,1,12.6,1.87,12.77
20170131_5425_1063883,Western,California,1,12.82,2.07,15.42
20170131_5425_1063884,Western,California,1,13.07,1.7,11.32
20170131_5425_1063885,Western,California,1,13.25,3.13,17.13
20170131_5425_1063886,Western,California,1,13.55,3.1,5.47
20170131_5425_1063887,Western,California,1,13.63,2.0,14.03
20170131_5425_1063888,Western,California,1,13.87,1.83,11.63
20170131_5425_1063889,Western,California,1,14.07,2.9,12.47
20170131_5425_1063890,Western,California,1,14.27,2.43,11.22
20170131_5425_1063892,Western,California,1,14.45,3.05,14.32
