origin,day_of_week,decimal_time,wait|17786,wait|3158,destination,travel_time
15218,2,4.35,19.42,,12829,3.08
15218,2,4.68,44.57,,12829,4.38
15218,2,5.42,2.13,,12829,4.02
15218,2,5.47,13.92,,12829,5.27
15218,2,5.7,13.4,,12829,4.23
15218,2,5.92,20.17,,12829,4.87
15218,2,6.25,8.9,,12829,5.45
15218,2,6.4,19.43,,12829,5.8
15218,2,6.72,4.15,,12829,5.4
15218,2,6.8,17.12,,12829,5.77
15218,2,7.08,9.77,,12829,4.72
15218,2,7.23,9.93,,12829,7.08
15218,2,7.4,15.97,,12829,8.88
15218,2,7.67,24.08,,12829,6.9
15218,2,8.07,4.07,,12829,8.07
15218,2,8.13,3.75,,12829,7.57
15218,2,8.2,7.35,,12829,7.5
15218,2,8.33,15.33,,12829,7.87
15218,2,8.58,0.73,,12829,4.73
15218,2,8.6,25.47,,12829,5.65
15218,2,9.02,1.22,,12829,6.23
15218,2,9.37,7.3,,12829,5.73
15218,2,9.48,11.47,,12829,4.4
15218,2,9.67,18.28,,12829,4.48
15218,2,9.98,14.0,,12829,5.52
15218,2,10.22,7.62,,12829,4.52
15218,2,10.33,20.67,,12829,5.28
15218,2,10.68,23.65,,12829,4.07
15218,2,11.08,13.03,,12829,5.52
15218,2,11.3,13.02,,12829,5.07
15218,2,11.52,17.12,,12829,5.4
15218,2,11.8,5.73,,12829,4.77
15218,2,11.88,42.4,,12829,5.43
15218,2,12.6,1.63,,12829,7.22
15218,2,12.62,19.78,,12829,4.92
15218,2,12.95,8.92,,12829,5.23
15218,2,13.1,11.45,,12829,6.17
15218,2,13.3,19.67,,12829,6.42
15218,2,13.62,2.3,,12829,5.28
15218,2,13.67,6.57,,12829,4.1
15218,2,13.77,42.25,,12829,6.43
15218,2,14.47,1.0,,12829,6.22
15218,2,14.48,16.15,,12829,5.42
15218,2,14.77,4.62,,12829,4.75
15218,2,14.83,2.07,,12829,6.23
15218,2,14.87,27.33,,12829,6.28
15218,2,15.33,7.93,,12829,6.55
15218,2,15.45,21.87,,12829,6.72
15218,2,15.82,1.28,,12829,7.62
