origin,day_of_week,decimal_time,wait|3040,wait|3099,destination,travel_time
17448,2,4.13,,17.3,14128,12.27
17448,2,4.43,,39.37,14128,11.15
17448,2,5.08,,2.58,14128,10.35
17448,2,5.12,,12.93,14128,9.65
17448,2,5.33,,10.13,14128,8.27
17448,2,5.52,,10.93,14128,9.93
17448,2,5.68,,15.93,14128,9.78
17448,2,5.95,,9.5,14128,11.02
17448,2,6.12,,7.28,14128,12.3
17448,2,6.23,,6.22,14128,9.12
17448,2,6.33,,8.72,14128,11.93
17448,2,6.48,,5.22,14128,12.12
17448,2,6.57,,7.1,14128,11.9
17448,2,6.68,,12.7,14128,13.02
17448,2,6.9,,34.32,14128,11.25
17448,2,7.47,,11.12,14128,12.78
17448,2,7.67,,0.02,14128,14.32
17448,2,7.67,,5.7,14128,16.02
17448,2,7.75,,15.33,14128,15.37
17448,2,8.02,,22.9,14128,13.47
17448,2,8.4,,0.97,14128,13.03
17448,2,8.4,,11.97,14128,13.77
17448,2,8.6,,43.0,14128,11.48
17448,2,9.32,,0.67,14128,10.42
17448,2,9.33,,15.43,14128,9.83
17448,2,9.6,,4.08,14128,11.67
17448,2,9.67,,26.95,14128,13.47
17448,2,10.12,,5.92,14128,12.63
17448,2,10.22,,20.98,14128,10.68
17448,2,10.55,,15.9,14128,13.97
17448,2,10.82,,12.28,14128,17.1
17448,2,11.03,,18.78,14128,12.25
17448,2,11.33,,5.53,14128,12.95
17448,2,11.43,,15.62,14128,11.8
17448,2,11.7,,21.67,14128,13.75
17448,2,12.05,,6.47,14128,12.73
17448,2,12.17,,23.07,14128,12.45
17448,2,12.55,,4.42,14128,17.62
17448,2,12.62,,16.85,14128,14.1
17448,2,12.9,,12.32,14128,10.33
17448,2,13.1,,31.23,14128,14.32
17448,2,13.63,,24.75,14128,12.18
17448,2,14.03,,16.3,14128,13.4
17448,2,14.32,,9.85,14128,12.62
17448,2,14.48,,18.97,14128,16.22
17448,2,14.78,,2.13,14128,15.3
17448,2,14.83,,10.12,14128,16.62
17448,2,15.0,,15.62,14128,13.82
17448,2,15.25,,31.9,14128,18.12
17448,2,15.78,,8.63,14128,14.13
17448,2,15.93,,0.5,14128,21.77
17448,2,15.93,,13.03,14128,18.4
17448,2,16.15,,16.05,14128,18.53
17448,2,16.42,,5.97,14128,12.7
17448,2,16.52,,26.17,14128,15.62
17448,2,16.97,,1.17,14128,13.22
17448,2,16.98,,19.15,14128,17.53
17448,2,17.3,,1.4,14128,12.73
17448,2,17.32,,11.07,14128,14.33
17448,2,17.5,,22.67,14128,14.73
17448,2,17.88,,0.08,14128,12.57
17448,2,17.88,,37.1,14128,12.73
17448,2,18.5,,6.75,14128,15.12
17448,2,18.62,,11.37,14128,10.35
17448,2,19.03,,5.35,14128,10.22
17448,2,19.13,,18.7,14128,11.62
17448,2,19.43,,12.57,14128,12.13
17448,2,19.65,,13.5,14128,12.92
17448,2,19.87,,29.23,14128,13.28
17448,2,20.37,,15.9,14128,11.58
17448,2,20.63,,18.8,14128,10.87
17448,2,20.93,,16.08,14128,11.32
17448,2,21.2,,24.28,14128,11.15
17448,2,21.62,,5.77,14128,12.78
17448,2,21.7,,26.92,14128,14.65
17448,2,22.15,,26.43,14128,10.63
17448,2,22.6,,25.52,14128,10.6
17448,2,23.02,,22.92,14128,10.78
17448,2,23.4,,,14128,10.27
17448,3,4.15,,16.4,14128,7.85
17448,3,4.42,,23.35,14128,11.8
17448,3,4.82,,15.43,14128,9.47
17448,3,5.07,,6.8,14128,10.0
17448,3,5.18,,10.32,14128,11.83
17448,3,5.35,,20.62,14128,9.7
17448,3,5.7,,7.33,14128,8.2
17448,3,5.82,,6.17,14128,10.05
17448,3,5.92,,9.9,14128,9.45
17448,3,6.08,,4.15,14128,11.5
17448,3,6.17,,12.37,14128,13.13
17448,3,6.37,,7.58,14128,11.4
17448,3,6.48,,4.5,14128,11.33
17448,3,6.57,,9.22,14128,12.32
17448,3,6.72,,6.98,14128,11.98
17448,3,6.83,,8.53,14128,13.82
17448,3,6.98,,11.85,14128,13.75
17448,3,7.18,,16.95,14128,13.35
17448,3,7.47,,10.22,14128,12.83
17448,3,7.63,,8.12,14128,14.37
17448,3,7.77,,12.88,14128,18.5
17448,3,7.98,,18.37,14128,12.62
17448,3,8.28,,18.18,14128,11.48
17448,3,8.58,,24.33,14128,11.57
17448,3,9.0,,2.82,14128,12.92
17448,3,9.03,,13.83,14128,11.52
17448,3,9.27,,14.47,14128,12.2
17448,3,9.52,,8.7,14128,12.58
17448,3,9.65,,16.42,14128,16.47
17448,3,9.93,,11.68,14128,11.0
17448,3,10.13,,12.75,14128,13.0
17448,3,10.33,,17.8,14128,11.93
17448,3,10.63,,13.48,14128,13.5
17448,3,10.87,,10.77,14128,12.98
17448,3,11.03,,15.98,14128,12.7
17448,3,11.3,,42.22,14128,11.9
17448,3,12.02,,2.18,14128,13.0
17448,3,12.05,,8.05,14128,12.62
17448,3,12.18,,12.02,14128,13.28
17448,3,12.38,,15.85,14128,14.4
17448,3,12.65,,24.18,14128,11.57
17448,3,13.05,,1.75,14128,14.2
17448,3,13.08,,16.92,14128,14.32
17448,3,13.35,,18.4,14128,13.55
17448,3,13.67,,11.47,14128,12.53
17448,3,13.85,,21.1,14128,14.83
17448,3,14.2,,3.17,14128,14.35
17448,3,14.27,,33.9,14128,14.08
17448,3,14.83,,2.43,14128,14.95
17448,3,14.87,,3.03,14128,12.48
17448,3,14.92,,16.02,14128,22.2
17448,3,15.18,,17.28,14128,15.48
17448,3,15.47,,6.47,14128,14.92
17448,3,15.58,,17.38,14128,18.12
17448,3,15.87,,12.97,14128,21.37
17448,3,16.08,,20.97,14128,14.17
17448,3,16.43,,1.42,14128,16.87
17448,3,16.45,,1.75,14128,16.93
17448,3,16.48,,20.98,14128,18.02
17448,3,16.83,,1.38,14128,16.15
17448,3,16.87,,6.3,14128,15.03
17448,3,16.97,,38.67,14128,15.35
17448,3,17.62,,0.2,14128,16.0
17448,3,17.62,,6.85,14128,14.22
17448,3,17.73,,0.02,14128,14.2
17448,3,17.73,,16.88,14128,13.52
17448,3,18.02,,14.2,14128,13.85
17448,3,18.25,,11.82,14128,10.92
17448,3,18.45,,36.57,14128,12.0
17448,3,19.05,,1.27,14128,10.33
17448,3,19.07,,9.95,14128,10.33
17448,3,19.23,,9.9,14128,11.87
17448,3,19.4,,15.75,14128,12.87
17448,3,19.67,,10.88,14128,9.4
17448,3,19.85,,18.8,14128,14.03
17448,3,20.17,,12.65,14128,13.6
17448,3,20.37,,8.68,14128,12.88
17448,3,20.52,,40.72,14128,13.68
17448,3,21.2,,19.75,14128,13.75
17448,3,21.52,,32.18,14128,10.63
17448,3,22.07,,18.8,14128,10.52
17448,3,22.37,,18.58,14128,9.92
17448,3,22.68,,25.2,14128,10.37
17448,3,23.1,,,14128,10.67
17448,4,4.15,,25.75,14128,9.97
17448,4,4.58,,12.88,14128,9.75
17448,4,4.8,,15.77,14128,9.37
