origin,day_of_week,decimal_time,wait|10528,wait|10565,destination,travel_time
10552,2,3.53,,28.9,10553,0.4
10552,2,4.02,,28.57,10553,0.28
10552,2,4.5,,23.32,10553,0.43
10552,2,4.88,,28.35,10553,0.28
10552,2,5.35,,13.58,10553,0.43
10552,2,5.58,,14.37,10553,0.68
10552,2,5.82,,14.38,10553,0.33
10552,2,6.07,,14.0,10553,0.57
10552,2,6.3,,13.12,10553,0.48
10552,2,6.52,,9.48,10553,0.58
10552,2,6.67,,10.22,10553,0.42
10552,2,6.85,,10.05,10553,0.57
10552,2,7.02,,5.05,10553,0.42
10552,2,7.1,,4.98,10553,0.63
10552,2,7.18,,15.77,10553,0.53
10552,2,7.43,,12.33,10553,0.57
10552,2,7.65,,0.95,10553,0.52
10552,2,7.67,,0.6,10553,0.47
10552,2,7.67,,15.53,10553,0.57
10552,2,7.93,,5.73,10553,0.5
10552,2,8.03,,1.12,10553,0.47
10552,2,8.05,,8.65,10553,0.43
10552,2,8.18,,2.52,10553,0.62
10552,2,8.23,,6.9,10553,0.43
10552,2,8.35,,10.15,10553,0.72
10552,2,8.52,,10.85,10553,0.78
10552,2,8.7,,10.08,10553,1.07
10552,2,8.87,,7.5,10553,0.83
10552,2,8.98,,7.03,10553,0.67
10552,2,9.1,,13.2,10553,0.67
10552,2,9.33,,11.1,10553,0.57
10552,2,9.52,,25.4,10553,0.62
10552,2,9.93,,4.58,10553,0.75
10552,2,10.02,,19.57,10553,0.48
10552,2,10.33,,6.83,10553,0.55
10552,2,10.45,,18.28,10553,0.52
10552,2,10.75,,4.32,10553,0.48
10552,2,10.83,,18.47,10553,0.48
10552,2,11.13,,7.52,10553,0.52
10552,2,11.27,,17.25,10553,0.57
10552,2,11.55,,7.78,10553,0.88
10552,2,11.68,,18.35,10553,0.53
10552,2,11.98,,19.62,10553,0.7
10552,2,12.32,,12.15,10553,0.47
10552,2,12.52,,15.57,10553,0.45
10552,2,12.77,,5.53,10553,0.55
10552,2,12.87,,13.18,10553,0.55
10552,2,13.08,,17.37,10553,0.57
10552,2,13.37,,17.6,10553,0.6
10552,2,13.67,,7.23,10553,0.75
10552,2,13.78,,5.22,10553,0.67
10552,2,13.87,,6.83,10553,0.53
10552,2,13.98,,10.42,10553,0.48
10552,2,14.17,,7.47,10553,0.68
10552,2,14.28,,21.95,10553,0.85
10552,2,14.65,,0.45,10553,0.63
10552,2,14.67,,12.57,10553,0.48
10552,2,14.87,,1.28,10553,0.5
10552,2,14.88,,6.32,10553,0.38
10552,2,15.0,,11.75,10553,0.67
10552,2,15.2,,9.15,10553,0.77
10552,2,15.35,,9.15,10553,0.52
10552,2,15.5,,0.92,10553,0.42
10552,2,15.52,,20.02,10553,0.57
10552,2,15.85,,3.87,10553,0.92
10552,2,15.92,,14.78,10553,0.4
10552,2,16.15,,6.43,10553,1.08
10552,2,16.27,,12.25,10553,0.42
10552,2,16.47,,5.35,10553,0.6
10552,2,16.55,,15.62,10553,0.48
10552,2,16.82,,2.55,10553,0.77
10552,2,16.87,,12.78,10553,0.38
10552,2,17.07,,13.43,10553,0.45
10552,2,17.3,,22.07,10553,0.42
10552,2,17.67,,0.15,10553,0.83
10552,2,17.67,,8.67,10553,0.68
10552,2,17.82,,9.93,10553,0.62
10552,2,17.98,,11.17,10553,0.6
10552,2,18.17,,17.27,10553,0.62
10552,2,18.45,,6.8,10553,0.12
10552,2,18.57,,9.65,10553,0.75
10552,2,18.73,,11.7,10553,0.77
10552,2,18.92,,15.3,10553,0.63
10552,2,19.18,,8.37,10553,0.37
10552,2,19.32,,9.27,10553,0.47
10552,2,19.47,,11.17,10553,0.57
10552,2,19.65,,30.33,10553,0.52
10552,2,20.17,,19.08,10553,0.4
10552,2,20.48,,16.65,10553,0.43
10552,2,20.75,,33.68,10553,0.4
10552,2,21.32,,12.62,10553,0.43
10552,2,21.53,,39.42,10553,0.43
10552,2,22.18,,18.43,10553,0.47
10552,2,22.5,,41.4,10553,0.45
10552,2,23.18,,16.7,10553,0.58
10552,2,23.47,,25.07,10553,0.47
10552,2,23.88,,25.8,10553,0.28
10552,2,0.3,,28.23,10553,0.55
10552,2,0.78,,21.43,10553,0.43
10552,2,1.13,,22.2,10553,0.38
10552,2,1.5,,38.43,10553,0.28
10552,2,2.15,,25.73,10553,0.53
10552,2,2.58,,41.35,10553,0.43
10552,2,3.27,,,10553,0.63
10552,3,3.53,,27.6,10553,0.63
10552,3,4.0,,30.08,10553,0.5
10552,3,4.5,,27.18,10553,0.3
10552,3,4.95,,20.45,10553,0.27
10552,3,5.28,,17.43,10553,0.53
10552,3,5.58,,14.87,10553,0.45
10552,3,5.83,,13.23,10553,0.75
10552,3,6.05,,15.03,10553,0.55
10552,3,6.3,,11.87,10553,0.77
10552,3,6.5,,9.72,10553,0.75
10552,3,6.65,,9.0,10553,0.57
10552,3,6.8,,11.68,10553,0.48
10552,3,7.0,,9.48,10553,0.45
10552,3,7.17,,10.75,10553,0.47
10552,3,7.33,,2.05,10553,0.62
10552,3,7.37,,12.12,10553,0.45
10552,3,7.58,,9.07,10553,0.43
10552,3,7.73,,11.48,10553,0.43
10552,3,7.92,,5.35,10553,0.67
10552,3,8.0,,3.18,10553,0.48
10552,3,8.07,,12.52,10553,0.43
10552,3,8.27,,9.65,10553,0.57
10552,3,8.43,,0.77,10553,0.7
10552,3,8.45,,19.95,10553,0.38
10552,3,8.78,,6.55,10553,0.45
10552,3,8.88,,14.37,10553,0.67
10552,3,9.12,,12.27,10553,0.55
10552,3,9.33,,8.82,10553,0.67
10552,3,9.48,,14.83,10553,0.78
10552,3,9.72,,6.43,10553,0.48
10552,3,10.02,,18.53,10553,0.57
10552,3,10.33,,11.93,10553,0.62
10552,3,10.53,,14.13,10553,0.5
10552,3,10.77,,7.77,10553,0.77
10552,3,10.9,,15.02,10553,0.43
10552,3,11.15,,8.98,10553,0.73
10552,3,11.3,,14.03,10553,0.45
10552,3,11.53,,11.07,10553,0.45
10552,3,11.72,,25.78,10553,0.48
10552,3,12.13,,8.35,10553,0.33
10552,3,12.28,,11.83,10553,0.62
10552,3,12.48,,17.42,10553,0.38
10552,3,12.77,,6.83,10553,0.68
10552,3,12.88,,9.75,10553,0.43
10552,3,13.05,,18.17,10553,0.48
10552,3,13.35,,12.32,10553,0.58
10552,3,13.55,,9.32,10553,0.57
10552,3,13.7,,15.98,10553,0.87
10552,3,13.97,,12.3,10553,0.4
10552,3,14.18,,7.65,10553,0.67
10552,3,14.3,,17.9,10553,0.58
10552,3,14.6,,2.47,10553,0.72
10552,3,14.65,,4.8,10553,0.62
