origin,day_of_week,decimal_time,wait|10603,wait|10622,wait|14122,destination,travel_time
10615,2,4.02,,5.68,,10616,0.55
10615,2,4.1,,27.72,,10616,0.47
10615,2,4.57,,9.0,34.93,10616,0.58
10615,2,4.72,,25.93,,10616,0.47
10615,2,5.15,,7.57,23.73,10616,0.57
10615,2,5.27,,16.17,,10616,0.47
10615,2,5.55,,9.7,20.8,10616,0.58
10615,2,5.7,,11.1,,10616,0.48
10615,2,5.88,,9.75,40.0,10616,0.55
10615,2,6.05,,14.23,,10616,523.82
10615,2,6.28,,16.02,,10616,11.9
10615,2,6.55,,15.13,15.13,10616,0.58
10615,2,6.82,,2.7,16.55,10616,0.8
10615,2,6.85,,13.85,,10616,0.65
10615,2,7.08,,4.83,18.37,10616,0.65
10615,2,7.17,,8.17,,10616,0.78
10615,2,7.3,,5.37,,10616,0.67
10615,2,7.4,,9.65,9.65,10616,0.92
10615,2,7.55,,7.6,7.6,10616,0.57
10615,2,7.68,,14.1,14.1,10616,0.92
10615,2,7.92,,5.52,5.52,10616,0.62
10615,2,8.0,,16.98,16.98,10616,0.73
10615,2,8.28,,23.05,23.05,10616,0.77
10615,2,8.67,,0.4,0.4,10616,0.58
10615,2,8.68,,7.92,7.92,10616,0.02
10615,2,8.82,,22.83,22.83,10616,0.75
10615,2,9.2,,5.68,5.68,10616,0.73
10615,2,9.28,,14.07,14.07,10616,0.6
10615,2,9.52,,22.47,22.47,10616,0.55
10615,2,9.9,,0.47,0.47,10616,0.7
10615,2,9.9,,11.53,11.53,10616,0.65
10615,2,10.1,,17.38,17.38,10616,0.85
10615,2,10.38,,7.25,7.25,10616,0.63
10615,2,10.5,,14.03,14.03,10616,0.7
10615,2,10.73,,6.03,6.03,10616,0.65
10615,2,10.83,,17.45,17.45,10616,0.6
10615,2,11.13,,8.4,8.4,10616,0.7
10615,2,11.27,,15.97,15.97,10616,0.67
10615,2,11.53,,5.5,5.5,10616,0.43
10615,2,11.63,,20.62,20.62,10616,0.63
10615,2,11.97,,7.28,7.28,10616,0.62
10615,2,12.1,,20.15,20.15,10616,0.77
10615,2,12.43,,1.7,1.7,10616,0.58
10615,2,12.47,,16.62,16.62,10616,0.77
10615,2,12.73,,9.83,9.83,10616,0.65
10615,2,12.9,,9.62,9.62,10616,0.88
10615,2,13.07,,22.83,22.83,10616,0.68
10615,2,13.43,,4.18,4.18,10616,0.83
10615,2,13.52,,12.92,12.92,10616,0.9
10615,2,13.73,,11.98,11.98,10616,0.98
10615,2,13.93,,24.85,24.85,10616,0.98
10615,2,14.33,,15.13,15.13,10616,0.92
10615,2,14.6,,1.1,1.1,10616,0.5
10615,2,14.62,,12.1,12.1,10616,0.63
10615,2,14.82,,11.8,11.8,10616,0.58
10615,2,15.02,,0.13,0.13,10616,0.03
10615,2,15.02,,14.15,14.15,10616,0.73
10615,2,15.25,,15.67,15.67,10616,0.68
10615,2,15.5,,10.03,11.08,10616,0.92
10615,2,15.67,,1.05,,10616,0.65
10615,2,15.7,,7.23,7.23,10616,0.6
10615,2,15.82,,10.73,10.73,10616,1.35
10615,2,16.0,,9.57,12.25,10616,0.47
10615,2,16.15,,2.68,,10616,0.67
10615,2,16.2,,7.92,16.3,10616,0.62
10615,2,16.33,,8.38,,10616,0.7
10615,2,16.47,,7.87,19.77,10616,0.88
10615,2,16.6,,11.9,,10616,0.73
10615,2,16.8,,0.33,0.33,10616,0.72
10615,2,16.8,,12.68,13.33,10616,0.65
10615,2,17.02,,0.65,,10616,0.62
10615,2,17.02,,11.15,11.15,10616,0.72
10615,2,17.22,,1.78,21.73,10616,0.72
10615,2,17.23,,19.95,,10616,0.57
10615,2,17.57,,5.45,5.45,10616,0.27
10615,2,17.67,,5.47,16.08,10616,0.5
10615,2,17.75,,10.62,,10616,0.77
10615,2,17.93,,14.78,14.78,10616,0.62
10615,2,18.18,,19.07,19.07,10616,0.6
10615,2,18.5,,2.12,19.87,10616,0.7
10615,2,18.53,,16.3,,10616,0.67
10615,2,18.8,,1.45,,10616,0.62
10615,2,18.83,,12.53,12.53,10616,0.98
10615,2,19.03,,5.23,18.4,10616,0.58
10615,2,19.12,,13.17,,10616,0.58
10615,2,19.35,,19.03,19.03,10616,0.65
10615,2,19.67,,0.25,0.25,10616,0.58
10615,2,19.67,,10.85,10.85,10616,0.6
10615,2,19.85,,15.52,15.52,10616,0.72
10615,2,20.1,,12.48,12.48,10616,0.6
10615,2,20.32,,8.7,8.7,10616,0.63
10615,2,20.45,,28.12,28.12,10616,0.38
10615,2,20.93,,19.85,19.85,10616,0.47
10615,2,21.25,,12.52,12.52,10616,0.57
10615,2,21.47,,39.37,39.37,10616,0.67
10615,2,22.12,,6.08,6.08,10616,0.65
10615,2,22.22,,58.92,58.92,10616,1.0
10615,2,23.2,,2.1,2.1,10616,0.62
10615,2,23.23,,37.98,37.98,10616,0.63
10615,2,23.87,,16.22,16.22,10616,0.4
10615,2,0.15,,20.53,20.53,10616,0.3
10615,2,0.48,,31.47,31.47,10616,0.32
10615,2,1.02,,29.27,29.27,10616,1.12
10615,2,1.5,,14.77,14.77,10616,0.58
10615,2,1.75,,61.05,,10616,0.58
10615,2,2.77,,,,10616,0.62
10615,3,3.53,,17.27,,10616,0.37
10615,3,3.82,,13.9,,10616,0.4
10615,3,4.05,,3.37,,10616,0.45
10615,3,4.12,,17.3,,10616,0.35
10615,3,4.4,,12.95,,10616,0.45
10615,3,4.62,,6.58,31.58,10616,0.57
10615,3,4.73,,25.0,,10616,0.43
10615,3,5.15,,24.72,24.72,10616,0.72
10615,3,5.55,,7.55,39.25,10616,0.72
10615,3,5.68,,31.7,,10616,0.67
10615,3,6.22,,9.35,19.77,10616,0.75
10615,3,6.37,,10.42,,10616,10.08
10615,3,6.53,,18.43,21.18,10616,0.52
10615,3,6.85,,2.75,,10616,0.62
10615,3,6.9,,12.08,12.08,10616,1.02
10615,3,7.1,,1.08,16.63,10616,0.72
10615,3,7.12,,14.38,,10616,0.53
10615,3,7.35,,1.17,,10616,0.73
10615,3,7.37,,10.37,10.37,10616,0.73
10615,3,7.55,,14.65,14.65,10616,0.97
10615,3,7.78,,3.98,3.98,10616,0.7
10615,3,7.85,,11.95,11.95,10616,0.65
10615,3,8.05,,14.13,14.13,10616,0.6
10615,3,8.28,,8.98,8.98,10616,0.6
10615,3,8.43,,7.25,7.25,10616,0.52
10615,3,8.57,,21.77,21.77,10616,0.63
10615,3,8.92,,13.02,13.02,10616,0.53
10615,3,9.13,,15.08,15.08,10616,0.67
10615,3,9.38,,25.83,25.83,10616,0.58
10615,3,9.82,,5.23,5.23,10616,0.63
10615,3,9.9,,7.82,7.82,10616,0.78
10615,3,10.03,,18.32,18.32,10616,0.47
10615,3,10.35,,13.68,13.68,10616,0.7
10615,3,10.57,,7.95,7.95,10616,0.78
10615,3,10.7,,8.18,8.18,10616,14.95
10615,3,10.83,,15.82,15.82,10616,0.53
10615,3,11.1,,10.88,10.88,10616,0.95
10615,3,11.28,,16.25,16.25,10616,0.58
10615,3,11.55,,6.15,6.15,10616,0.6
10615,3,11.67,,14.53,14.53,10616,0.58
10615,3,11.9,,14.18,14.18,10616,0.67
10615,3,12.13,,11.05,11.05,10616,0.67
10615,3,12.32,,16.1,16.1,10616,0.47
10615,3,12.58,,9.72,9.72,10616,0.57
10615,3,12.75,,13.93,13.93,10616,0.37
10615,3,12.98,,7.17,7.17,10616,0.92
10615,3,13.1,,20.22,20.22,10616,1.0
10615,3,13.43,,3.88,3.88,10616,0.73
10615,3,13.5,,13.17,13.17,10616,0.63
10615,3,13.72,,10.73,10.73,10616,0.57
10615,3,13.9,,17.17,17.17,10616,0.52
10615,3,14.18,,9.52,9.52,10616,0.6
10615,3,14.35,,16.98,16.98,10616,0.9
10615,3,14.63,,6.98,6.98,10616,0.75
10615,3,14.75,,5.73,5.73,10616,0.68
10615,3,14.85,,11.82,11.82,10616,0.57
10615,3,15.03,,14.57,14.57,10616,1.02
10615,3,15.28,,12.72,12.72,10616,0.97
10615,3,15.5,,1.82,1.82,10616,0.83
10615,3,15.53,,8.68,16.13,10616,0.35
10615,3,15.67,,7.45,,10616,0.77
10615,3,15.8,,13.3,13.3,10616,0.93
10615,3,16.02,,9.58,9.72,10616,0.7
10615,3,16.18,,0.13,,10616,1.05
10615,3,16.18,,12.58,20.57,10616,0.48
10615,3,16.38,,7.98,,10616,0.68
10615,3,16.52,,10.85,10.85,10616,0.65
10615,3,16.7,,8.48,8.48,10616,0.57
10615,3,16.85,,16.88,21.73,10616,0.33
10615,3,17.12,,4.85,,10616,0.8
10615,3,17.2,,0.05,0.05,10616,0.28
10615,3,17.2,,15.33,15.38,10616,0.7
10615,3,17.47,,0.05,,10616,0.5
