tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204183,Ashland,Racine,0,19.23,1.92,8.9
20170130_5424_204184,Ashland,Racine,0,19.38,1.97,16.93
20170130_5424_204185,Ashland,Racine,0,19.67,2.17,11.53
20170130_5424_204186,Ashland,Racine,0,19.85,1.92,16.12
20170130_5424_204187,Ashland,Racine,0,20.12,5.02,13.98
20170130_5424_204188,Ashland,Racine,0,20.35,2.78,15.78
20170130_5424_204189,Ashland,Racine,0,20.62,2.15,16.22
20170130_5424_204190,Ashland,Racine,0,20.88,2.0,12.73
20170130_5424_204191,Ashland,Racine,0,21.1,2.38,15.05
20170130_5424_204192,Ashland,Racine,0,21.35,1.85,14.55
20170130_5424_204193,Ashland,Racine,0,21.6,2.3,13.57
20170130_5424_204194,Ashland,Racine,0,21.82,2.73,17.95
20170130_5424_204195,Ashland,Racine,0,22.12,3.05,12.53
20170130_5424_204196,Ashland,Racine,0,22.33,2.52,18.37
20170130_5424_204197,Ashland,Racine,0,22.63,2.38,12.0
20170130_5424_204198,Ashland,Racine,0,22.83,1.48,15.15
20170130_5424_204199,Ashland,Racine,0,23.08,2.5,13.2
20170130_5424_204200,Ashland,Racine,0,23.3,2.28,18.33
20170130_5424_204201,Ashland,Racine,0,23.62,2.28,14.97
20170130_5424_204202,Ashland,Racine,0,23.87,2.5,18.5
20170130_5424_204203,Ashland,Racine,0,0.17,1.52,19.17
20170131_5424_204204,Ashland,Racine,0,0.48,3.67,23.87
20170131_5424_204205,Ashland,Racine,0,0.88,2.37,27.6
20170131_5424_204206,Ashland,Racine,0,1.35,1.9,29.43
20170131_5424_204207,Ashland,Racine,0,1.83,1.05,31.35
20170131_5424_204208,Ashland,Racine,0,2.37,1.85,27.92
20170131_1300_204209,Ashland,Racine,0,2.82,2.2,30.67
20170131_1300_1,Ashland,Racine,1,3.33,2.1,29.0
20170131_1300_2,Ashland,Racine,1,3.82,2.07,27.72
