tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204181,GarfieldGreen,CottageGrove,0,19.18,1.17,2.05
20170130_5424_204182,GarfieldGreen,CottageGrove,0,19.22,2.28,11.32
20170130_5424_204183,GarfieldGreen,CottageGrove,0,19.42,2.22,11.43
20170130_5424_204184,GarfieldGreen,CottageGrove,0,19.6,3.63,21.0
20170130_5424_204185,GarfieldGreen,CottageGrove,0,19.95,0.0,5.33
20170130_5424_204186,GarfieldGreen,CottageGrove,0,20.03,2.8,22.2
20170130_5424_204187,GarfieldGreen,CottageGrove,0,20.42,3.17,8.6
20170130_5424_204188,GarfieldGreen,CottageGrove,0,20.55,3.05,13.13
20170130_5424_204189,GarfieldGreen,CottageGrove,0,20.77,4.27,18.73
20170130_5424_204190,GarfieldGreen,CottageGrove,0,21.08,3.07,13.1
20170130_5424_204191,GarfieldGreen,CottageGrove,0,21.3,2.48,15.08
20170130_5424_204192,GarfieldGreen,CottageGrove,0,21.55,2.33,13.07
20170130_5424_204193,GarfieldGreen,CottageGrove,0,21.77,3.98,15.4
20170130_5424_204194,GarfieldGreen,CottageGrove,0,22.03,3.35,19.52
20170130_5424_204195,GarfieldGreen,CottageGrove,0,22.35,3.52,10.47
20170130_5424_204196,GarfieldGreen,CottageGrove,0,22.53,3.4,16.4
20170130_5424_204197,GarfieldGreen,CottageGrove,0,22.8,2.55,12.63
20170130_5424_204198,GarfieldGreen,CottageGrove,0,23.02,2.73,15.75
20170130_5424_204199,GarfieldGreen,CottageGrove,0,23.27,2.32,11.08
20170130_5424_204200,GarfieldGreen,CottageGrove,0,23.47,3.5,21.0
20170130_5424_204201,GarfieldGreen,CottageGrove,0,23.82,2.67,14.57
20170130_5424_204202,GarfieldGreen,CottageGrove,0,0.05,2.0,16.43
20170130_5424_204203,GarfieldGreen,CottageGrove,0,0.33,2.73,20.58
20170131_5424_204204,GarfieldGreen,CottageGrove,0,0.67,2.02,24.03
20170131_5424_204205,GarfieldGreen,CottageGrove,0,1.07,2.92,27.65
20170131_5424_204206,GarfieldGreen,CottageGrove,0,1.53,3.08,25.4
20170131_5424_204207,GarfieldGreen,CottageGrove,0,1.95,2.37,34.43
20170131_5424_204208,GarfieldGreen,CottageGrove,0,2.53,2.98,27.07
20170131_1300_204209,GarfieldGreen,CottageGrove,0,2.98,1.77,30.5
20170131_1300_1,GarfieldGreen,CottageGrove,1,3.48,2.02,28.02
20170131_1300_2,GarfieldGreen,CottageGrove,1,3.95,7.32,28.98
20170131_1300_3,GarfieldGreen,CottageGrove,1,4.43,2.25,23.43
20170131_1300_4,GarfieldGreen,CottageGrove,1,4.83,2.5,21.73
20170131_1300_5,GarfieldGreen,CottageGrove,1,5.18,2.68,21.8
20170131_5424_6,GarfieldGreen,CottageGrove,1,5.55,2.47,14.0
20170131_1300_204084,GarfieldGreen,CottageGrove,1,5.78,3.5,10.57
20170131_5424_204085,GarfieldGreen,CottageGrove,1,5.97,3.82,19.57
20170131_1300_204086,GarfieldGreen,CottageGrove,1,6.28,2.37,5.72
20170131_5424_204087,GarfieldGreen,CottageGrove,1,6.38,2.68,16.55
20170131_1300_10002780,GarfieldGreen,CottageGrove,1,6.67,2.67,13.57
20170131_5424_10002752,GarfieldGreen,CottageGrove,1,6.88,2.67,10.77
20170131_1300_10002754,GarfieldGreen,CottageGrove,1,7.07,2.6,7.2
20170131_5424_10002755,GarfieldGreen,CottageGrove,1,7.18,3.3,19.43
20170131_5424_10002758,GarfieldGreen,CottageGrove,1,7.52,4.13,13.97
20170131_1300_10002760,GarfieldGreen,CottageGrove,1,7.75,3.97,7.82
20170131_5424_10002761,GarfieldGreen,CottageGrove,1,7.87,5.38,6.22
20170131_1300_10002762,GarfieldGreen,CottageGrove,1,7.98,6.63,3.47
