tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083641,GarfieldGreen,State,0,19.17,1.77,10.7
20170130_5425_204316,GarfieldGreen,State,0,19.35,4.57,19.0
20170130_5425_204317,GarfieldGreen,State,0,19.67,2.53,3.47
20170130_5425_204318,GarfieldGreen,State,0,19.72,2.8,15.03
20170130_5425_204319,GarfieldGreen,State,0,19.97,2.12,8.73
20170130_5425_204320,GarfieldGreen,State,0,20.12,2.2,13.2
20170130_5425_204321,GarfieldGreen,State,0,20.33,5.47,13.08
20170130_5425_204322,GarfieldGreen,State,0,20.55,3.07,17.02
20170130_5425_204323,GarfieldGreen,State,0,20.83,2.07,11.45
20170130_5425_204324,GarfieldGreen,State,0,21.03,2.52,14.62
20170130_5425_204325,GarfieldGreen,State,0,21.27,2.9,14.82
20170130_5425_204326,GarfieldGreen,State,0,21.52,1.88,16.55
20170130_5425_204327,GarfieldGreen,State,0,21.8,2.08,10.7
20170130_5425_204328,GarfieldGreen,State,0,21.97,2.93,18.12
20170130_5425_204329,GarfieldGreen,State,0,22.27,1.28,14.27
20170130_5425_204330,GarfieldGreen,State,0,22.52,1.72,15.08
20170130_5425_204331,GarfieldGreen,State,0,22.77,2.95,14.47
20170130_5425_204332,GarfieldGreen,State,0,23.0,2.37,13.02
20170130_5425_204333,GarfieldGreen,State,0,23.22,3.3,18.55
20170130_5425_204334,GarfieldGreen,State,0,23.53,1.98,12.53
20170130_5425_204335,GarfieldGreen,State,0,23.73,1.83,15.15
20170130_5425_204336,GarfieldGreen,State,0,23.98,2.37,19.85
20170131_5425_204337,GarfieldGreen,State,0,0.32,2.67,8.35
20170131_5425_204338,GarfieldGreen,State,0,0.47,3.55,17.38
20170131_5425_204339,GarfieldGreen,State,0,0.75,2.3,17.02
20170131_5425_204340,GarfieldGreen,State,0,1.03,6.3,22.5
20170131_5425_204341,GarfieldGreen,State,0,1.42,1.92,27.65
20170131_1293_204342,GarfieldGreen,State,0,1.87,1.65,25.8
20170131_1293_204343,GarfieldGreen,State,0,2.3,2.63,33.03
20170131_1293_204344,GarfieldGreen,State,0,2.85,2.73,27.63
20170131_1293_204345,GarfieldGreen,State,1,3.32,1.8,29.27
20170131_1293_204212,GarfieldGreen,State,1,3.8,2.6,29.27
20170131_5425_204213,GarfieldGreen,State,1,4.28,2.1,32.15
20170131_5425_204214,GarfieldGreen,State,1,4.82,1.55,24.63
20170131_5425_204215,GarfieldGreen,State,1,5.23,1.77,23.68
20170131_5425_204216,GarfieldGreen,State,1,5.63,2.5,21.73
20170131_5425_204219,GarfieldGreen,State,1,5.98,3.32,14.37
20170131_5425_204220,GarfieldGreen,State,1,6.23,2.4,17.23
20170131_5425_204221,GarfieldGreen,State,1,6.52,3.17,13.65
20170131_5425_204222,GarfieldGreen,State,1,6.75,2.72,13.05
20170131_5425_204223,GarfieldGreen,State,1,6.97,2.05,15.3
20170131_5425_204224,GarfieldGreen,State,1,7.22,3.2,2.48
20170131_5425_10002765,GarfieldGreen,State,1,7.25,3.78,10.72
20170131_5425_10002766,GarfieldGreen,State,1,7.43,1.82,12.83
20170131_5425_10002767,GarfieldGreen,State,1,7.65,4.27,4.07
20170131_1291_10002768,GarfieldGreen,State,1,7.72,1.58,5.73
20170131_5425_10002769,GarfieldGreen,State,1,7.82,4.47,17.9
20170131_5425_10002771,GarfieldGreen,State,1,8.12,3.27,1.43
20170131_1291_10002772,GarfieldGreen,State,1,8.13,1.9,11.3
20170131_5425_10002773,GarfieldGreen,State,1,8.32,2.78,4.5
20170131_1291_10002774,GarfieldGreen,State,1,8.4,2.65,5.77
20170131_5425_10002775,GarfieldGreen,State,1,8.5,2.67,7.8
20170131_1291_10002776,GarfieldGreen,State,1,8.63,3.98,5.93
20170131_5425_10002777,GarfieldGreen,State,1,8.72,2.67,5.4
20170131_1291_1063967,GarfieldGreen,State,1,8.82,3.17,7.47
20170131_5425_1063968,GarfieldGreen,State,1,8.93,3.17,8.18
20170131_5425_1063969,GarfieldGreen,State,1,9.07,2.72,14.08
20170131_1291_1063865,GarfieldGreen,State,1,9.32,3.37,4.47
20170131_5425_1063866,GarfieldGreen,State,1,9.38,3.48,7.63
20170131_5425_1083565,GarfieldGreen,State,1,9.52,3.33,13.02
20170131_5425_1083566,GarfieldGreen,State,1,9.73,2.57,13.32
20170131_5425_1083567,GarfieldGreen,State,1,9.95,2.48,9.98
20170131_5425_1083568,GarfieldGreen,State,1,10.12,1.78,12.57
20170131_5425_1083569,GarfieldGreen,State,1,10.33,3.22,14.48
20170131_5425_1083570,GarfieldGreen,State,1,10.57,1.57,9.27
20170131_5425_1083571,GarfieldGreen,State,1,10.72,2.88,12.27
20170131_5425_1083572,GarfieldGreen,State,1,10.93,2.33,9.43
20170131_5425_1083573,GarfieldGreen,State,1,11.08,3.65,12.87
20170131_5425_1063877,GarfieldGreen,State,1,11.3,3.15,14.15
20170131_5425_1063878,GarfieldGreen,State,1,11.53,2.37,9.62
20170131_5425_1063879,GarfieldGreen,State,1,11.7,2.65,15.0
20170131_5425_1063880,GarfieldGreen,State,1,11.95,3.23,14.08
20170131_5425_1063881,GarfieldGreen,State,1,12.18,3.78,7.1
20170131_5425_1063882,GarfieldGreen,State,1,12.3,1.88,27.7
20170131_5425_1063884,GarfieldGreen,State,1,12.77,3.58,12.3
20170131_5425_1063885,GarfieldGreen,State,1,12.97,3.33,14.28
20170131_5425_1063886,GarfieldGreen,State,1,13.2,4.33,8.37
20170131_5425_1063887,GarfieldGreen,State,1,13.33,2.03,11.13
20170131_5425_1063888,GarfieldGreen,State,1,13.53,3.93,12.05
20170131_5425_1063889,GarfieldGreen,State,1,13.73,2.78,11.25
20170131_5425_1063890,GarfieldGreen,State,1,13.92,2.67,13.07
20170131_5425_1063892,GarfieldGreen,State,1,14.13,2.8,10.85
20170131_5425_1063893,GarfieldGreen,State,1,14.32,3.45,8.82
20170131_5425_1063894,GarfieldGreen,State,1,14.47,4.85,12.77
20170131_5425_10004045,GarfieldGreen,State,1,14.67,4.12,10.42
20170131_5425_10004046,GarfieldGreen,State,1,14.85,4.68,7.75
20170131_5425_10004047,GarfieldGreen,State,1,14.98,4.42,7.57
20170131_5425_10004048,GarfieldGreen,State,1,15.1,3.37,5.93
20170131_1293_10004049,GarfieldGreen,State,1,15.2,3.05,9.55
20170131_5425_10004050,GarfieldGreen,State,1,15.37,4.37,14.0
20170131_5425_10004051,GarfieldGreen,State,1,15.6,3.32,0.28
20170131_1293_10004052,GarfieldGreen,State,1,15.6,5.33,12.53
20170131_5425_10004053,GarfieldGreen,State,1,15.8,4.07,7.57
20170131_1293_10004054,GarfieldGreen,State,1,15.93,4.97,13.9
20170131_1293_10004056,GarfieldGreen,State,1,16.17,6.63,4.23
20170131_5425_10004057,GarfieldGreen,State,1,16.23,1.77,8.45
20170131_5425_10004058,GarfieldGreen,State,1,16.38,2.92,16.92
20170131_1293_10004060,GarfieldGreen,State,1,16.67,3.93,1.73
20170131_5425_10004059,GarfieldGreen,State,1,16.68,4.23,4.83
20170131_5425_10004061,GarfieldGreen,State,1,16.77,4.55,19.22
20170131_1293_10004062,GarfieldGreen,State,1,17.08,2.45,0.38
20170131_5425_10004063,GarfieldGreen,State,1,17.1,1.95,4.97
20170131_5425_10004064,GarfieldGreen,State,1,17.18,2.63,9.05
20170131_1293_10004065,GarfieldGreen,State,1,17.33,4.32,14.15
20170131_5425_10004066,GarfieldGreen,State,1,17.57,3.3,4.58
20170131_5425_10004067,GarfieldGreen,State,1,17.63,2.68,8.8
20170131_5425_10004068,GarfieldGreen,State,1,17.78,3.63,13.28
20170131_1293_10004069,GarfieldGreen,State,1,18.02,3.87,7.87
20170131_5425_10004070,GarfieldGreen,State,1,18.13,3.4,9.85
20170131_5425_1083636,GarfieldGreen,State,1,18.3,3.8,9.62
20170131_1293_1083637,GarfieldGreen,State,1,18.47,2.13,9.53
20170131_5425_1083638,GarfieldGreen,State,1,18.62,2.65,10.57
20170131_1293_1083639,GarfieldGreen,State,1,18.8,3.03,8.0
20170131_5425_1083640,GarfieldGreen,State,1,18.93,3.73,12.17
20170131_5425_1083641,GarfieldGreen,State,1,19.13,3.35,13.32
20170131_5425_204316,GarfieldGreen,State,1,19.35,3.4,11.98
20170131_5425_204317,GarfieldGreen,State,1,19.55,2.32,10.07
20170131_5425_204318,GarfieldGreen,State,1,19.72,4.27,16.47
20170131_5425_204319,GarfieldGreen,State,1,20.0,3.17,8.13
20170131_5425_204320,GarfieldGreen,State,1,20.13,1.93,12.53
20170131_5425_204321,GarfieldGreen,State,1,20.35,4.98,13.92
20170131_5425_204322,GarfieldGreen,State,1,20.58,2.72,14.52
20170131_5425_204323,GarfieldGreen,State,1,20.82,3.03,12.67
20170131_5425_204324,GarfieldGreen,State,1,21.03,2.13,29.3
20170131_5425_204326,GarfieldGreen,State,1,21.52,2.6,18.3
20170131_5425_204327,GarfieldGreen,State,1,21.82,3.15,10.28
20170131_5425_204328,GarfieldGreen,State,1,22.0,3.58,15.55
20170131_5425_204329,GarfieldGreen,State,1,22.25,2.17,15.15
20170131_5425_204330,GarfieldGreen,State,1,22.5,1.98,13.63
20170131_5425_204331,GarfieldGreen,State,1,22.73,2.18,15.38
20170131_5425_204332,GarfieldGreen,State,1,22.98,3.23,29.7
20170131_5425_204334,GarfieldGreen,State,1,23.48,3.27,14.1
20170131_5425_204335,GarfieldGreen,State,1,23.72,2.93,16.37
20170131_5425_204336,GarfieldGreen,State,1,23.98,1.47,13.95
20170201_5425_204337,GarfieldGreen,State,1,0.22,2.38,14.52
20170201_5425_204338,GarfieldGreen,State,1,0.47,3.08,14.63
20170201_5425_204339,GarfieldGreen,State,1,0.72,2.37,19.83
20170201_5425_204340,GarfieldGreen,State,1,1.03,3.07,61.13
20170201_1293_204342,GarfieldGreen,State,1,2.07,1.6,16.0
20170201_1293_204343,GarfieldGreen,State,1,2.33,2.37,56.4
20170201_1293_204345,GarfieldGreen,State,2,3.27,1.47,61.9
20170201_5425_204213,GarfieldGreen,State,2,4.3,4.7,31.98
20170201_5425_204214,GarfieldGreen,State,2,4.83,2.62,23.78
20170201_5425_204215,GarfieldGreen,State,2,5.23,2.32,22.92
20170201_5425_204216,GarfieldGreen,State,2,5.62,3.43,22.92
20170201_5425_204219,GarfieldGreen,State,2,5.98,3.33,15.8
20170201_5425_204220,GarfieldGreen,State,2,6.25,3.77,16.22
20170201_5425_204221,GarfieldGreen,State,2,6.52,2.68,14.15
20170201_5425_204222,GarfieldGreen,State,2,6.77,3.1,11.27
20170201_5425_204223,GarfieldGreen,State,2,6.95,1.6,12.1
20170201_5425_204224,GarfieldGreen,State,2,7.15,4.08,9.53
20170201_5425_10002765,GarfieldGreen,State,2,7.32,3.53,6.58
20170201_5425_10002766,GarfieldGreen,State,2,7.42,2.95,12.28
20170201_5425_10002767,GarfieldGreen,State,2,7.62,2.57,9.43
20170201_1291_10002768,GarfieldGreen,State,2,7.78,0.0,6.6
20170201_5425_10002769,GarfieldGreen,State,2,7.88,3.0,4.02
20170201_1291_10002770,GarfieldGreen,State,2,7.95,2.08,14.1
20170201_1291_10002772,GarfieldGreen,State,2,8.2,3.4,0.98
20170201_5425_10002771,GarfieldGreen,State,2,8.22,0.0,6.1
20170201_5425_10002773,GarfieldGreen,State,2,8.32,3.12,5.12
20170201_1291_10002774,GarfieldGreen,State,2,8.4,3.25,8.37
20170201_5425_10002775,GarfieldGreen,State,2,8.53,3.72,5.05
20170201_1291_10002776,GarfieldGreen,State,2,8.62,3.23,6.83
20170201_5425_10002777,GarfieldGreen,State,2,8.73,2.38,4.12
20170201_1291_1063967,GarfieldGreen,State,2,8.8,2.52,13.73
20170201_5425_1063969,GarfieldGreen,State,2,9.03,2.28,9.07
20170201_1291_1063865,GarfieldGreen,State,2,9.18,2.52,12.05
20170201_5425_1063866,GarfieldGreen,State,2,9.38,3.92,6.68
20170201_5425_1083565,GarfieldGreen,State,2,9.5,3.1,11.85
20170201_5425_1083566,GarfieldGreen,State,2,9.68,3.72,16.93
20170201_5425_1083567,GarfieldGreen,State,2,9.97,4.63,18.37
20170201_5425_1083568,GarfieldGreen,State,2,10.28,0.0,3.53
20170201_5425_1083569,GarfieldGreen,State,2,10.33,3.13,12.78
20170201_5425_1083570,GarfieldGreen,State,2,10.55,5.18,10.87
20170201_5425_1083571,GarfieldGreen,State,2,10.73,2.32,22.78
20170201_5425_1083573,GarfieldGreen,State,2,11.12,2.27,13.22
20170201_5425_1063877,GarfieldGreen,State,2,11.33,3.55,10.63
20170201_5425_1063878,GarfieldGreen,State,2,11.52,3.43,11.87
20170201_5425_1063879,GarfieldGreen,State,2,11.7,2.38,16.47
20170201_5425_1063880,GarfieldGreen,State,2,11.98,4.25,10.38
20170201_5425_1063881,GarfieldGreen,State,2,12.15,9.63,9.63
20170201_5425_1063882,GarfieldGreen,State,2,12.32,4.12,11.37
20170201_5425_1063883,GarfieldGreen,State,2,12.5,4.75,12.9
20170201_5425_1063884,GarfieldGreen,State,2,12.72,4.3,27.2
20170201_5425_1063886,GarfieldGreen,State,2,13.17,4.83,11.28
20170201_5425_1063887,GarfieldGreen,State,2,13.37,3.53,9.05
20170201_5425_1063888,GarfieldGreen,State,2,13.52,3.27,14.28
20170201_5425_1063889,GarfieldGreen,State,2,13.75,6.08,12.35
20170201_5425_1063890,GarfieldGreen,State,2,13.95,5.2,19.47
20170201_5425_1063893,GarfieldGreen,State,2,14.28,3.4,8.55
