tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204185,MidwayOrange,Kostner,0,19.27,7.18,14.37
20170130_5424_204186,MidwayOrange,Kostner,0,19.5,5.43,14.42
20170130_5424_204187,MidwayOrange,Kostner,0,19.75,5.52,15.33
20170130_5424_204188,MidwayOrange,Kostner,0,20.0,4.13,15.1
20170130_5424_204189,MidwayOrange,Kostner,0,20.25,4.25,16.92
20170130_5424_204190,MidwayOrange,Kostner,0,20.53,2.85,14.45
20170130_5424_204191,MidwayOrange,Kostner,0,20.77,4.37,13.92
20170130_5424_204192,MidwayOrange,Kostner,0,21.0,4.22,14.75
20170130_5424_204193,MidwayOrange,Kostner,0,21.25,8.8,15.38
20170130_5424_204194,MidwayOrange,Kostner,0,21.52,3.93,14.75
20170130_5424_204195,MidwayOrange,Kostner,0,21.75,3.83,15.43
20170130_5424_204196,MidwayOrange,Kostner,0,22.02,3.33,14.05
20170130_5424_204197,MidwayOrange,Kostner,0,22.25,5.72,16.52
20170130_5424_204198,MidwayOrange,Kostner,0,22.52,3.63,14.12
20170130_5424_204199,MidwayOrange,Kostner,0,22.75,4.38,15.13
20170130_5424_204200,MidwayOrange,Kostner,0,23.02,4.48,15.82
20170130_5424_204201,MidwayOrange,Kostner,0,23.27,4.13,17.33
20170130_5424_204202,MidwayOrange,Kostner,0,23.57,4.1,18.33
20170130_5424_204203,MidwayOrange,Kostner,0,23.87,3.2,18.45
20170131_5424_204204,MidwayOrange,Kostner,0,0.17,3.93,20.75
20170131_5424_204205,MidwayOrange,Kostner,0,0.52,5.0,31.0
20170131_5424_204206,MidwayOrange,Kostner,0,1.03,4.08,31.93
20170131_5424_204207,MidwayOrange,Kostner,0,1.57,3.55,27.87
20170131_5424_204208,MidwayOrange,Kostner,0,2.03,3.6,177.97
20170131_5424_6,MidwayOrange,Kostner,1,5.0,6.57,27.48
20170131_5424_204085,MidwayOrange,Kostner,1,5.45,4.05,22.3
20170131_5424_204087,MidwayOrange,Kostner,1,5.83,3.92,21.03
20170131_5424_10002752,MidwayOrange,Kostner,1,6.18,9.78,23.22
20170131_5424_10002755,MidwayOrange,Kostner,1,6.57,5.45,18.03
20170131_5424_10002758,MidwayOrange,Kostner,1,6.87,4.1,19.3
20170131_5424_10002761,MidwayOrange,Kostner,1,7.18,4.32,12.87
20170131_5424_10002763,MidwayOrange,Kostner,1,7.4,4.77,11.53
20170131_5424_1063959,MidwayOrange,Kostner,1,7.6,6.32,14.1
20170131_5424_1063961,MidwayOrange,Kostner,1,7.83,3.83,13.98
20170131_5424_1083574,MidwayOrange,Kostner,1,8.07,4.35,6.95
20170131_5424_1063805,MidwayOrange,Kostner,1,8.18,4.82,10.37
20170131_5424_1083556,MidwayOrange,Kostner,1,8.35,4.4,11.95
20170131_5424_1083557,MidwayOrange,Kostner,1,8.55,5.37,14.18
20170131_5424_1083558,MidwayOrange,Kostner,1,8.78,3.33,9.72
20170131_5424_1083559,MidwayOrange,Kostner,1,8.95,5.5,15.48
20170131_5424_1083560,MidwayOrange,Kostner,1,9.2,0.0,10.2
20170131_5424_1083561,MidwayOrange,Kostner,1,9.38,4.07,10.05
20170131_5424_1083562,MidwayOrange,Kostner,1,9.55,3.85,13.25
20170131_5424_1083563,MidwayOrange,Kostner,1,9.77,3.47,13.18
20170131_5424_1083564,MidwayOrange,Kostner,1,9.98,4.1,13.35
20170131_5424_1063816,MidwayOrange,Kostner,1,10.22,3.4,12.53
20170131_5424_1063817,MidwayOrange,Kostner,1,10.42,3.63,11.83
20170131_5424_1063818,MidwayOrange,Kostner,1,10.62,4.3,11.27
20170131_5424_1063819,MidwayOrange,Kostner,1,10.8,5.33,11.72
20170131_5424_1063820,MidwayOrange,Kostner,1,11.0,3.42,13.82
20170131_5424_1063821,MidwayOrange,Kostner,1,11.23,3.97,10.45
20170131_5424_1063822,MidwayOrange,Kostner,1,11.4,5.05,11.68
20170131_5424_1063823,MidwayOrange,Kostner,1,11.6,4.17,12.12
20170131_5424_1063824,MidwayOrange,Kostner,1,11.8,4.25,12.17
20170131_5424_1063825,MidwayOrange,Kostner,1,12.0,4.52,12.03
20170131_5424_1063826,MidwayOrange,Kostner,1,12.2,3.02,12.8
20170131_5424_1063827,MidwayOrange,Kostner,1,12.42,3.63,11.15
20170131_5424_1063828,MidwayOrange,Kostner,1,12.6,5.53,24.2
20170131_5424_1063831,MidwayOrange,Kostner,1,13.0,4.3,11.72
20170131_5424_1063832,MidwayOrange,Kostner,1,13.2,3.38,8.9
20170131_5424_1063833,MidwayOrange,Kostner,1,13.35,3.62,17.98
20170131_5424_10004021,MidwayOrange,Kostner,1,13.65,3.85,10.25
20170131_5424_10004022,MidwayOrange,Kostner,1,13.82,5.55,15.08
20170131_5424_10004024,MidwayOrange,Kostner,1,14.07,2.35,6.6
20170131_5424_10004025,MidwayOrange,Kostner,1,14.18,4.25,13.27
20170131_5424_10004027,MidwayOrange,Kostner,1,14.4,4.23,15.5
20170131_5424_10004029,MidwayOrange,Kostner,1,14.67,4.5,16.48
20170131_5424_10004031,MidwayOrange,Kostner,1,14.93,3.62,9.47
20170131_5424_10004032,MidwayOrange,Kostner,1,15.1,4.48,8.18
20170131_5424_10004033,MidwayOrange,Kostner,1,15.23,4.23,10.17
20170131_5424_10004034,MidwayOrange,Kostner,1,15.4,4.1,7.88
20170131_5424_10004035,MidwayOrange,Kostner,1,15.53,4.42,16.0
20170131_5424_10004036,MidwayOrange,Kostner,1,15.8,3.18,11.38
20170131_5424_10004038,MidwayOrange,Kostner,1,15.98,8.35,17.77
20170131_5424_10004040,MidwayOrange,Kostner,1,16.28,4.05,8.97
20170131_5424_10004041,MidwayOrange,Kostner,1,16.43,4.1,20.5
20170131_5424_10004043,MidwayOrange,Kostner,1,16.77,2.68,10.12
20170131_5424_10004044,MidwayOrange,Kostner,1,16.93,4.52,19.07
20170131_5424_1083612,MidwayOrange,Kostner,1,17.27,3.95,11.35
20170131_5424_10004019,MidwayOrange,Kostner,1,17.45,3.53,10.3
20170131_5424_1083614,MidwayOrange,Kostner,1,17.62,4.23,10.67
20170131_5424_1083615,MidwayOrange,Kostner,1,17.8,3.63,12.67
20170131_5424_1083616,MidwayOrange,Kostner,1,18.02,3.12,10.93
20170131_5424_204180,MidwayOrange,Kostner,1,18.18,5.07,24.3
20170131_5424_204182,MidwayOrange,Kostner,1,18.6,3.85,12.38
20170131_5424_204183,MidwayOrange,Kostner,1,18.8,4.08,13.37
20170131_5424_204184,MidwayOrange,Kostner,1,19.03,4.55,13.2
20170131_5424_204185,MidwayOrange,Kostner,1,19.25,5.72,15.83
20170131_5424_204186,MidwayOrange,Kostner,1,19.52,3.62,14.08
20170131_5424_204187,MidwayOrange,Kostner,1,19.75,3.9,15.33
20170131_5424_204188,MidwayOrange,Kostner,1,20.0,3.57,32.5
20170131_5424_204190,MidwayOrange,Kostner,1,20.53,2.67,14.47
20170131_5424_204191,MidwayOrange,Kostner,1,20.78,4.25,13.13
20170131_5424_204192,MidwayOrange,Kostner,1,21.0,3.57,14.68
20170131_5424_204193,MidwayOrange,Kostner,1,21.25,4.18,15.72
20170131_5424_204194,MidwayOrange,Kostner,1,21.5,3.93,14.13
20170131_5424_204195,MidwayOrange,Kostner,1,21.75,6.43,15.62
20170131_5424_204196,MidwayOrange,Kostner,1,22.0,2.82,29.48
20170131_5424_204198,MidwayOrange,Kostner,1,22.5,4.78,15.47
20170131_5424_204199,MidwayOrange,Kostner,1,22.75,3.5,15.02
20170131_5424_204200,MidwayOrange,Kostner,1,23.0,4.47,16.1
20170131_5424_204201,MidwayOrange,Kostner,1,23.27,3.92,16.62
20170131_5424_204202,MidwayOrange,Kostner,1,23.55,4.22,18.35
20170131_5424_204203,MidwayOrange,Kostner,1,23.85,3.32,19.25
20170201_5424_204204,MidwayOrange,Kostner,1,0.18,4.53,50.87
20170201_5424_204206,MidwayOrange,Kostner,1,1.02,4.6,30.32
20170201_5424_204207,MidwayOrange,Kostner,1,1.53,6.95,208.83
20170201_5424_6,MidwayOrange,Kostner,2,5.02,6.42,28.78
20170201_5424_204085,MidwayOrange,Kostner,2,5.48,4.32,22.23
20170201_5424_204087,MidwayOrange,Kostner,2,5.87,2.47,26.2
20170201_5424_10002752,MidwayOrange,Kostner,2,6.3,3.13,16.6
20170201_5424_10002755,MidwayOrange,Kostner,2,6.57,8.43,37.15
20170201_5424_10002761,MidwayOrange,Kostner,2,7.18,4.4,11.85
20170201_5424_10002763,MidwayOrange,Kostner,2,7.38,4.53,12.18
20170201_5424_1063959,MidwayOrange,Kostner,2,7.6,6.58,13.27
20170201_5424_1063961,MidwayOrange,Kostner,2,7.82,3.65,12.08
20170201_5424_1083574,MidwayOrange,Kostner,2,8.02,4.67,10.22
20170201_5424_1063805,MidwayOrange,Kostner,2,8.18,6.28,9.57
20170201_5424_1083556,MidwayOrange,Kostner,2,8.35,5.25,12.15
20170201_5424_1083557,MidwayOrange,Kostner,2,8.55,5.6,12.38
20170201_5424_1083558,MidwayOrange,Kostner,2,8.75,3.38,17.92
20170201_5424_1083559,MidwayOrange,Kostner,2,9.05,7.87,6.07
20170201_5424_1083560,MidwayOrange,Kostner,2,9.15,6.1,13.83
20170201_5424_1083561,MidwayOrange,Kostner,2,9.38,3.78,10.03
20170201_5424_1083562,MidwayOrange,Kostner,2,9.55,4.28,26.18
20170201_5424_1083564,MidwayOrange,Kostner,2,9.98,5.38,13.67
20170201_5424_1063816,MidwayOrange,Kostner,2,10.22,3.55,11.57
20170201_5424_1063817,MidwayOrange,Kostner,2,10.4,5.13,11.48
20170201_5424_1063818,MidwayOrange,Kostner,2,10.6,4.4,12.53
20170201_5424_1063819,MidwayOrange,Kostner,2,10.8,2.47,24.6
20170201_5424_1063821,MidwayOrange,Kostner,2,11.22,2.43,11.2
20170201_5424_1063822,MidwayOrange,Kostner,2,11.4,4.03,12.8
20170201_5424_1063823,MidwayOrange,Kostner,2,11.62,4.53,24.03
20170201_5424_1063825,MidwayOrange,Kostner,2,12.02,3.82,12.02
20170201_5424_1063826,MidwayOrange,Kostner,2,12.22,3.35,10.68
20170201_5424_1063827,MidwayOrange,Kostner,2,12.4,3.7,12.02
20170201_5424_1063828,MidwayOrange,Kostner,2,12.6,5.15,11.88
