tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204184,Pulaski,StLouis,0,19.13,3.13,15.13
20170130_5424_204185,Pulaski,StLouis,0,19.38,1.8,14.47
20170130_5424_204186,Pulaski,StLouis,0,19.63,2.17,14.67
20170130_5424_204187,Pulaski,StLouis,0,19.87,2.93,14.15
20170130_5424_204188,Pulaski,StLouis,0,20.1,2.97,16.05
20170130_5424_204189,Pulaski,StLouis,0,20.37,2.4,15.17
20170130_5424_204190,Pulaski,StLouis,0,20.63,2.4,14.93
20170130_5424_204191,Pulaski,StLouis,0,20.88,2.9,15.43
20170130_5424_204192,Pulaski,StLouis,0,21.13,2.37,16.0
20170130_5424_204193,Pulaski,StLouis,0,21.4,0.68,12.2
20170130_5424_204194,Pulaski,StLouis,0,21.6,2.3,14.4
20170130_5424_204195,Pulaski,StLouis,0,21.85,4.0,15.87
20170130_5424_204196,Pulaski,StLouis,0,22.1,2.6,16.27
20170130_5424_204197,Pulaski,StLouis,0,22.38,2.6,15.03
20170130_5424_204198,Pulaski,StLouis,0,22.63,2.33,13.3
20170130_5424_204199,Pulaski,StLouis,0,22.85,3.23,16.32
20170130_5424_204200,Pulaski,StLouis,0,23.12,6.83,15.35
20170130_5424_204201,Pulaski,StLouis,0,23.38,1.98,16.38
20170130_5424_204202,Pulaski,StLouis,0,23.65,3.08,17.2
20170130_5424_204203,Pulaski,StLouis,0,23.93,2.35,22.25
20170131_5424_204204,Pulaski,StLouis,0,0.32,0.0,20.47
20170131_5424_204205,Pulaski,StLouis,0,0.65,2.62,30.47
20170131_5424_204206,Pulaski,StLouis,0,1.15,2.62,29.58
20170131_5424_204207,Pulaski,StLouis,0,1.65,2.12,28.67
20170131_5424_204208,Pulaski,StLouis,0,2.13,2.43,180.2
20170131_5424_6,Pulaski,StLouis,1,5.13,3.13,26.37
20170131_5424_204085,Pulaski,StLouis,1,5.57,3.13,21.72
20170131_5424_204087,Pulaski,StLouis,1,5.93,1.9,26.13
20170131_5424_10002752,Pulaski,StLouis,1,6.37,2.9,18.35
20170131_5424_10002755,Pulaski,StLouis,1,6.67,3.03,18.05
20170131_5424_10002758,Pulaski,StLouis,1,6.98,2.5,20.43
20170131_5424_10002761,Pulaski,StLouis,1,7.32,4.3,12.47
20170131_5424_10002763,Pulaski,StLouis,1,7.52,3.13,13.1
20170131_5424_1063959,Pulaski,StLouis,1,7.75,4.57,12.58
20170131_5424_1063961,Pulaski,StLouis,1,7.95,7.87,12.98
20170131_5424_1083574,Pulaski,StLouis,1,8.17,6.17,8.07
20170131_5424_1063805,Pulaski,StLouis,1,8.3,2.58,10.63
20170131_5424_1083556,Pulaski,StLouis,1,8.48,2.72,13.0
20170131_5424_1083557,Pulaski,StLouis,1,8.7,2.3,10.85
20170131_5424_1083558,Pulaski,StLouis,1,8.88,2.18,12.77
20170131_5424_1083559,Pulaski,StLouis,1,9.08,2.22,7.08
20170131_5424_1083560,Pulaski,StLouis,1,9.2,6.95,16.53
20170131_5424_1083561,Pulaski,StLouis,1,9.48,2.33,11.0
20170131_5424_1083562,Pulaski,StLouis,1,9.67,3.62,10.93
20170131_5424_1083563,Pulaski,StLouis,1,9.85,2.97,14.1
20170131_5424_1083564,Pulaski,StLouis,1,10.08,2.75,12.43
20170131_5424_1063816,Pulaski,StLouis,1,10.28,2.17,13.93
20170131_5424_1063817,Pulaski,StLouis,1,10.52,2.63,11.67
20170131_5424_1063818,Pulaski,StLouis,1,10.72,3.0,13.0
20170131_5424_1063819,Pulaski,StLouis,1,10.93,2.5,10.23
20170131_5424_1063820,Pulaski,StLouis,1,11.1,1.62,16.52
20170131_5424_1063821,Pulaski,StLouis,1,11.38,2.2,9.68
20170131_5424_1063822,Pulaski,StLouis,1,11.55,2.92,10.25
20170131_5424_1063823,Pulaski,StLouis,1,11.72,2.75,11.72
