tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204183,Racine,Halsted,0,19.27,2.5,8.95
20170130_5424_204184,Racine,Halsted,0,19.42,2.95,17.13
20170130_5424_204185,Racine,Halsted,0,19.7,3.2,11.28
20170130_5424_204186,Racine,Halsted,0,19.88,2.0,19.22
20170130_5424_204187,Racine,Halsted,0,20.2,3.43,11.75
20170130_5424_204188,Racine,Halsted,0,20.4,2.62,15.15
20170130_5424_204189,Racine,Halsted,0,20.65,2.45,16.07
20170130_5424_204190,Racine,Halsted,0,20.92,2.33,13.12
20170130_5424_204191,Racine,Halsted,0,21.13,3.18,14.52
20170130_5424_204192,Racine,Halsted,0,21.38,1.78,15.0
20170130_5424_204193,Racine,Halsted,0,21.63,1.92,14.0
20170130_5424_204194,Racine,Halsted,0,21.87,2.3,18.27
20170130_5424_204195,Racine,Halsted,0,22.17,3.53,12.0
20170130_5424_204196,Racine,Halsted,0,22.37,3.02,18.23
20170130_5424_204197,Racine,Halsted,0,22.67,2.17,11.1
20170130_5424_204198,Racine,Halsted,0,22.85,1.97,16.17
20170130_5424_204199,Racine,Halsted,0,23.13,1.97,12.98
20170130_5424_204200,Racine,Halsted,0,23.35,2.48,18.33
20170130_5424_204201,Racine,Halsted,0,23.65,3.28,15.18
20170130_5424_204202,Racine,Halsted,0,23.9,2.82,17.52
20170130_5424_204203,Racine,Halsted,0,0.2,0.98,21.32
20170131_5424_204204,Racine,Halsted,0,0.55,2.0,22.57
20170131_5424_204205,Racine,Halsted,0,0.93,2.57,27.13
20170131_5424_204206,Racine,Halsted,0,1.38,2.57,28.58
20170131_5424_204207,Racine,Halsted,0,1.85,2.05,32.15
20170131_5424_204208,Racine,Halsted,0,2.38,2.27,28.27
20170131_1300_204209,Racine,Halsted,0,2.87,1.3,30.57
20170131_1300_1,Racine,Halsted,1,3.37,1.93,28.97
20170131_1300_2,Racine,Halsted,1,3.85,1.93,27.93
20170131_1300_3,Racine,Halsted,1,4.32,2.5,23.35
20170131_1300_4,Racine,Halsted,1,4.7,2.3,20.65
20170131_1300_5,Racine,Halsted,1,5.05,1.95,20.0
20170131_5424_6,Racine,Halsted,1,5.38,3.98,16.42
20170131_1300_204084,Racine,Halsted,1,5.67,2.63,10.27
20170131_5424_204085,Racine,Halsted,1,5.83,1.78,16.15
20170131_1300_204086,Racine,Halsted,1,6.1,3.57,5.5
20170131_5424_204087,Racine,Halsted,1,6.18,3.03,16.5
20170131_1300_10002780,Racine,Halsted,1,6.47,4.08,13.93
20170131_5424_10002752,Racine,Halsted,1,6.7,2.28,10.9
20170131_1300_10002754,Racine,Halsted,1,6.88,2.67,8.77
20170131_5424_10002755,Racine,Halsted,1,7.03,0.0,16.73
20170131_5424_10002758,Racine,Halsted,1,7.3,3.4,14.47
20170131_1300_10002760,Racine,Halsted,1,7.55,3.18,6.85
20170131_5424_10002761,Racine,Halsted,1,7.67,2.98,6.17
20170131_1300_10002762,Racine,Halsted,1,7.77,4.38,5.02
20170131_5424_10002763,Racine,Halsted,1,7.85,3.42,9.77
20170131_7735_10002779,Racine,Halsted,1,8.02,3.33,6.57
20170131_5424_1063959,Racine,Halsted,1,8.12,3.35,0.97
20170131_7735_1063960,Racine,Halsted,1,8.13,3.3,13.52
20170131_5424_1063961,Racine,Halsted,1,8.37,3.58,11.88
20170131_5424_1083574,Racine,Halsted,1,8.57,3.0,1.57
20170131_5424_1063805,Racine,Halsted,1,8.58,4.1,12.05
20170131_5424_1083556,Racine,Halsted,1,8.78,4.08,13.02
