tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204181,State,GarfieldGreen,0,19.1,5.63,5.9
20170130_5424_204182,State,GarfieldGreen,0,19.2,1.78,10.83
20170130_5424_204183,State,GarfieldGreen,0,19.37,2.27,11.82
20170130_5424_204184,State,GarfieldGreen,0,19.57,1.88,17.38
20170130_5424_204185,State,GarfieldGreen,0,19.87,5.5,8.63
20170130_5424_204186,State,GarfieldGreen,0,20.0,2.2,21.83
20170130_5424_204187,State,GarfieldGreen,0,20.37,2.57,9.0
20170130_5424_204188,State,GarfieldGreen,0,20.52,2.17,13.7
20170130_5424_204189,State,GarfieldGreen,0,20.75,1.6,17.77
20170130_5424_204190,State,GarfieldGreen,0,21.05,2.57,13.67
20170130_5424_204191,State,GarfieldGreen,0,21.27,2.0,14.83
20170130_5424_204192,State,GarfieldGreen,0,21.52,2.25,13.63
20170130_5424_204193,State,GarfieldGreen,0,21.75,1.68,15.42
20170130_5424_204194,State,GarfieldGreen,0,22.0,1.67,18.98
20170130_5424_204195,State,GarfieldGreen,0,22.32,2.2,10.55
20170130_5424_204196,State,GarfieldGreen,0,22.5,2.12,17.02
20170130_5424_204197,State,GarfieldGreen,0,22.78,1.5,12.93
20170130_5424_204198,State,GarfieldGreen,0,23.0,1.2,15.0
20170130_5424_204199,State,GarfieldGreen,0,23.25,1.95,12.17
20170130_5424_204200,State,GarfieldGreen,0,23.45,0.87,19.65
20170130_5424_204201,State,GarfieldGreen,0,23.77,2.22,14.82
20170130_5424_204202,State,GarfieldGreen,0,0.02,1.97,16.47
20170130_5424_204203,State,GarfieldGreen,0,0.3,1.93,21.18
20170131_5424_204204,State,GarfieldGreen,0,0.65,1.33,23.88
20170131_5424_204205,State,GarfieldGreen,0,1.05,1.48,26.93
20170131_5424_204206,State,GarfieldGreen,0,1.5,2.2,26.6
20170131_5424_204207,State,GarfieldGreen,0,1.93,1.0,33.53
20170131_5424_204208,State,GarfieldGreen,0,2.5,1.9,27.27
20170131_1300_204209,State,GarfieldGreen,0,2.95,1.7,31.15
20170131_1300_1,State,GarfieldGreen,1,3.47,1.05,28.02
20170131_1300_2,State,GarfieldGreen,1,3.93,1.05,28.83
20170131_1300_3,State,GarfieldGreen,1,4.42,1.2,24.63
20170131_1300_4,State,GarfieldGreen,1,4.83,0.0,19.93
20170131_1300_5,State,GarfieldGreen,1,5.17,1.8,21.45
20170131_5424_6,State,GarfieldGreen,1,5.52,2.15,15.15
20170131_1300_204084,State,GarfieldGreen,1,5.77,1.0,10.37
20170131_5424_204085,State,GarfieldGreen,1,5.95,1.2,18.03
20170131_1300_204086,State,GarfieldGreen,1,6.25,2.73,7.43
20170131_5424_204087,State,GarfieldGreen,1,6.37,1.02,14.83
20170131_1300_10002780,State,GarfieldGreen,1,6.62,2.73,13.47
20170131_5424_10002752,State,GarfieldGreen,1,6.83,2.83,11.0
20170131_1300_10002754,State,GarfieldGreen,1,7.02,2.6,7.27
20170131_5424_10002755,State,GarfieldGreen,1,7.15,2.53,19.43
20170131_5424_10002758,State,GarfieldGreen,1,7.47,2.53,13.73
20170131_1300_10002760,State,GarfieldGreen,1,7.7,2.77,7.6
20170131_5424_10002761,State,GarfieldGreen,1,7.82,2.98,6.97
20170131_1300_10002762,State,GarfieldGreen,1,7.93,2.23,2.97
20170131_5424_10002763,State,GarfieldGreen,1,7.98,2.73,10.93
20170131_7735_10002779,State,GarfieldGreen,1,8.17,2.23,5.73
20170131_5424_1063959,State,GarfieldGreen,1,8.27,3.08,1.5
20170131_7735_1063960,State,GarfieldGreen,1,8.28,2.47,13.68
20170131_5424_1063961,State,GarfieldGreen,1,8.52,2.62,12.18
20170131_5424_1083574,State,GarfieldGreen,1,8.72,3.58,3.9
20170131_5424_1063805,State,GarfieldGreen,1,8.78,3.03,8.07
20170131_5424_1083556,State,GarfieldGreen,1,8.92,2.67,13.32
20170131_5424_1083557,State,GarfieldGreen,1,9.15,2.37,11.48
20170131_5424_1083558,State,GarfieldGreen,1,9.33,3.23,15.67
20170131_5424_1083559,State,GarfieldGreen,1,9.6,2.5,8.07
20170131_5424_1083560,State,GarfieldGreen,1,9.73,1.67,14.2
20170131_5424_1083561,State,GarfieldGreen,1,9.97,2.23,9.3
20170131_5424_1083562,State,GarfieldGreen,1,10.12,2.25,10.78
20170131_5424_1083563,State,GarfieldGreen,1,10.3,3.17,11.85
20170131_5424_1083564,State,GarfieldGreen,1,10.5,1.63,13.27
20170131_5424_1063816,State,GarfieldGreen,1,10.72,2.67,13.67
20170131_5424_1063817,State,GarfieldGreen,1,10.95,1.92,11.5
20170131_5424_1063818,State,GarfieldGreen,1,11.13,2.3,14.77
20170131_5424_1063819,State,GarfieldGreen,1,11.38,2.63,9.43
20170131_5424_1063820,State,GarfieldGreen,1,11.55,2.52,16.3
20170131_5424_1063821,State,GarfieldGreen,1,11.82,2.3,22.7
20170131_5424_1063823,State,GarfieldGreen,1,12.2,2.57,14.9
20170131_5424_1063824,State,GarfieldGreen,1,12.45,3.38,7.73
20170131_5424_1063825,State,GarfieldGreen,1,12.57,3.77,10.75
20170131_5424_1063826,State,GarfieldGreen,1,12.75,2.45,14.62
20170131_5424_1063827,State,GarfieldGreen,1,13.0,2.52,9.53
20170131_5424_1063828,State,GarfieldGreen,1,13.15,1.97,10.23
20170131_5424_1063829,State,GarfieldGreen,1,13.32,1.87,15.9
20170131_5424_1063831,State,GarfieldGreen,1,13.58,2.52,13.72
20170131_5424_1063832,State,GarfieldGreen,1,13.82,2.4,4.72
20170131_5424_1063833,State,GarfieldGreen,1,13.9,1.63,12.15
20170131_1298_10004020,State,GarfieldGreen,1,14.1,2.12,10.88
20170131_5424_10004021,State,GarfieldGreen,1,14.28,1.8,8.0
20170131_5424_10004022,State,GarfieldGreen,1,14.42,2.8,6.27
20170131_1298_10004023,State,GarfieldGreen,1,14.52,2.65,9.18
20170131_5424_10004024,State,GarfieldGreen,1,14.67,2.23,5.65
20170131_5424_10004025,State,GarfieldGreen,1,14.77,2.75,7.27
20170131_1298_10004026,State,GarfieldGreen,1,14.88,1.37,9.73
20170131_5424_10004027,State,GarfieldGreen,1,15.05,2.42,7.08
20170131_1298_10004028,State,GarfieldGreen,1,15.17,2.4,7.58
20170131_5424_10004029,State,GarfieldGreen,1,15.3,2.37,6.12
20170131_1298_10004030,State,GarfieldGreen,1,15.4,1.02,15.0
20170131_5424_10004031,State,GarfieldGreen,1,15.65,2.65,9.32
20170131_5424_10004032,State,GarfieldGreen,1,15.8,2.53,16.33
20170131_5424_10004033,State,GarfieldGreen,1,16.07,4.13,4.27
20170131_5424_10004034,State,GarfieldGreen,1,16.15,3.57,3.33
20170131_5424_10004035,State,GarfieldGreen,1,16.2,1.73,13.23
20170131_5424_10004036,State,GarfieldGreen,1,16.42,4.03,6.23
20170131_1300_10004037,State,GarfieldGreen,1,16.52,2.23,10.57
20170131_5424_10004038,State,GarfieldGreen,1,16.7,2.03,1.47
20170131_1300_10004039,State,GarfieldGreen,1,16.72,2.55,15.0
20170131_5424_10004040,State,GarfieldGreen,1,16.97,3.03,7.48
20170131_5424_10004041,State,GarfieldGreen,1,17.1,2.15,9.05
20170131_1300_10004042,State,GarfieldGreen,1,17.25,0.0,5.97
20170131_5424_10004043,State,GarfieldGreen,1,17.35,2.55,14.5
20170131_5424_10004044,State,GarfieldGreen,1,17.58,2.9,7.78
20170131_1300_1083611,State,GarfieldGreen,1,17.72,2.95,9.43
20170131_5424_1083612,State,GarfieldGreen,1,17.88,1.87,8.85
20170131_5424_10004019,State,GarfieldGreen,1,18.02,1.33,15.98
20170131_5424_1083614,State,GarfieldGreen,1,18.28,2.68,6.05
20170131_5424_1083615,State,GarfieldGreen,1,18.38,1.07,10.87
20170131_5424_1083616,State,GarfieldGreen,1,18.57,2.37,14.78
20170131_5424_204180,State,GarfieldGreen,1,18.82,2.22,9.88
20170131_5424_204181,State,GarfieldGreen,1,18.98,2.93,12.93
20170131_5424_204182,State,GarfieldGreen,1,19.2,2.48,14.7
20170131_5424_204183,State,GarfieldGreen,1,19.45,2.05,10.87
20170131_5424_204184,State,GarfieldGreen,1,19.63,1.97,11.37
20170131_5424_204185,State,GarfieldGreen,1,19.82,2.57,12.6
20170131_5424_204186,State,GarfieldGreen,1,20.02,1.4,14.77
20170131_5424_204187,State,GarfieldGreen,1,20.27,2.37,14.9
20170131_5424_204188,State,GarfieldGreen,1,20.52,2.42,28.4
20170131_5424_204190,State,GarfieldGreen,1,21.0,1.33,19.4
20170131_5424_204191,State,GarfieldGreen,1,21.32,2.57,11.97
20170131_5424_204192,State,GarfieldGreen,1,21.52,2.83,17.93
20170131_5424_204193,State,GarfieldGreen,1,21.82,1.53,9.13
20170131_5424_204194,State,GarfieldGreen,1,21.97,1.03,22.27
20170131_5424_204195,State,GarfieldGreen,1,22.33,1.83,9.6
20170131_5424_204196,State,GarfieldGreen,1,22.5,2.02,30.13
20170131_5424_204198,State,GarfieldGreen,1,23.0,2.03,14.47
20170131_5424_204199,State,GarfieldGreen,1,23.23,3.4,17.97
