origin,day_of_week,decimal_time,wait|14179,destination,travel_time
1451,2,5.68,34.67,1905,0.57
1451,2,6.27,16.12,1905,0.67
1451,2,6.53,14.95,1905,0.27
1451,2,6.78,16.12,1905,0.53
1451,2,7.05,11.03,1905,0.8
1451,2,7.23,12.88,1905,0.67
1451,2,7.45,11.7,1905,0.72
1451,2,7.63,9.17,1905,0.43
1451,2,7.8,10.57,1905,0.77
1451,2,7.97,18.6,1905,0.57
1451,2,8.28,6.88,1905,0.4
1451,2,8.4,7.72,1905,0.27
1451,2,8.52,5.38,1905,0.92
1451,2,8.62,9.08,1905,0.42
1451,2,8.77,12.68,1905,0.65
1451,2,8.98,2.0,1905,0.48
1451,2,9.02,15.02,1905,0.35
1451,2,9.27,9.12,1905,0.57
1451,2,9.42,8.73,1905,0.4
1451,2,9.55,11.08,1905,0.35
1451,2,9.73,10.52,1905,0.32
1451,2,9.92,29.5,1905,0.68
1451,2,10.4,19.32,1905,0.25
1451,2,10.73,15.03,1905,0.55
1451,2,10.98,34.15,1905,0.62
1451,2,11.55,19.68,1905,0.6
1451,2,11.88,16.23,1905,0.8
1451,2,12.15,18.67,1905,0.63
1451,2,12.47,17.47,1905,0.53
1451,2,12.75,19.77,1905,0.78
1451,2,13.08,18.77,1905,0.6
1451,2,13.4,17.25,1905,1.62
1451,2,13.68,31.95,1905,0.6
1451,2,14.22,30.87,1905,0.7
1451,2,14.73,12.23,1905,0.28
1451,2,14.93,11.55,1905,0.58
1451,2,15.12,11.02,1905,0.47
1451,2,15.3,10.32,1905,0.62
1451,2,15.48,33.1,1905,0.63
1451,2,16.03,11.13,1905,0.78
1451,2,16.22,15.0,1905,0.62
1451,2,16.47,10.33,1905,0.68
1451,2,16.63,5.38,1905,0.38
1451,2,16.73,31.97,1905,0.57
1451,2,17.27,3.2,1905,0.73
1451,2,17.32,9.72,1905,0.45
1451,2,17.48,9.2,1905,0.7
1451,2,17.63,12.73,1905,0.58
1451,2,17.85,18.15,1905,0.78
1451,2,18.15,25.77,1905,0.78
1451,2,18.57,19.1,1905,0.5
1451,2,18.9,18.1,1905,0.8
1451,2,19.2,40.0,1905,0.43
1451,2,19.87,20.82,1905,0.87
1451,2,20.2,19.32,1905,0.32
1451,2,20.53,21.15,1905,0.67
1451,2,20.88,22.5,1905,0.67
1451,2,21.25,20.88,1905,0.53
1451,2,21.6,21.12,1905,0.33
1451,2,21.95,23.13,1905,0.3
1451,2,22.35,,1905,0.8
1451,3,5.7,15.78,1905,0.67
1451,3,5.97,33.0,1905,0.37
1451,3,6.52,15.02,1905,0.55
1451,3,6.77,16.03,1905,0.28
1451,3,7.03,11.92,1905,0.58
1451,3,7.23,14.37,1905,0.48
1451,3,7.47,10.73,1905,0.75
1451,3,7.65,9.6,1905,0.67
1451,3,7.8,12.22,1905,0.67
1451,3,8.0,16.38,1905,0.55
1451,3,8.28,7.82,1905,0.67
1451,3,8.42,14.93,1905,0.33
1451,3,8.67,5.38,1905,0.45
1451,3,8.75,14.48,1905,0.67
1451,3,8.98,9.12,1905,0.4
1451,3,9.15,7.17,1905,0.27
1451,3,9.27,9.13,1905,0.7
1451,3,9.42,8.02,1905,0.72
1451,3,9.55,10.73,1905,0.48
1451,3,9.73,25.68,1905,0.37
1451,3,10.15,15.28,1905,0.45
1451,3,10.42,16.95,1905,0.55
1451,3,10.7,16.1,1905,0.58
1451,3,10.97,17.75,1905,0.52
1451,3,11.25,19.0,1905,0.7
1451,3,11.57,18.38,1905,0.32
1451,3,11.88,16.82,1905,0.57
1451,3,12.17,37.18,1905,0.37
1451,3,12.78,16.75,1905,1.07
1451,3,13.07,22.27,1905,0.42
1451,3,13.43,15.02,1905,0.47
1451,3,13.68,31.65,1905,0.38
1451,3,14.2,31.33,1905,0.63
1451,3,14.73,12.62,1905,0.73
1451,3,14.93,22.52,1905,0.63
1451,3,15.32,11.03,1905,0.6
1451,3,15.5,10.98,1905,0.72
1451,3,15.68,10.78,1905,0.62
1451,3,15.87,9.87,1905,0.3
1451,3,16.03,12.23,1905,0.82
1451,3,16.23,9.65,1905,0.57
1451,3,16.38,14.28,1905,0.57
1451,3,16.63,7.17,1905,0.57
1451,3,16.75,11.38,1905,1.08
1451,3,16.93,9.03,1905,0.6
1451,3,17.08,21.95,1905,0.57
1451,3,17.45,16.57,1905,0.35
1451,3,17.73,7.57,1905,0.82
1451,3,17.85,16.4,1905,0.37
1451,3,18.13,10.83,1905,0.72
1451,3,18.32,20.45,1905,0.68
1451,3,18.65,12.18,1905,0.48
1451,3,18.85,21.17,1905,0.73
1451,3,19.2,40.27,1905,0.32
1451,3,19.88,21.05,1905,0.48
1451,3,20.23,38.85,1905,0.55
1451,3,20.88,64.68,1905,0.35
1451,3,21.95,,1905,0.4
1451,4,5.05,18.32,1905,0.63
1451,4,5.35,19.13,1905,0.33
1451,4,5.67,18.97,1905,0.8
1451,4,5.98,16.27,1905,0.67
1451,4,6.27,16.15,1905,0.53
1451,4,6.53,14.93,1905,0.42
1451,4,6.78,14.65,1905,0.55
1451,4,7.02,13.1,1905,0.53
1451,4,7.23,11.82,1905,0.28
1451,4,7.43,12.23,1905,0.57
1451,4,7.63,10.1,1905,0.47
1451,4,7.82,9.98,1905,0.53
1451,4,7.98,10.37,1905,0.62
1451,4,8.15,6.4,1905,0.6
1451,4,8.25,7.1,1905,0.32
1451,4,8.37,8.88,1905,0.33
1451,4,8.52,5.3,1905,0.68
