origin,day_of_week,decimal_time,wait|14182,destination,travel_time
14129,2,5.72,11.85,8339,1.9
14129,2,5.9,9.03,8339,1.1
14129,2,6.05,8.6,8339,1.2
14129,2,6.2,8.33,8339,1.22
14129,2,6.33,3.25,8339,2.0
14129,2,6.4,4.25,8339,1.13
14129,2,6.47,3.48,8339,1.68
14129,2,6.52,3.38,8339,1.95
14129,2,6.58,5.22,8339,1.43
14129,2,6.67,3.55,8339,1.52
14129,2,6.72,8.12,8339,1.72
14129,2,6.87,4.9,8339,1.6
14129,2,6.93,4.53,8339,1.68
14129,2,7.02,4.5,8339,3.3
14129,2,7.1,7.87,8339,1.72
14129,2,7.22,7.07,8339,3.77
14129,2,7.33,4.37,8339,1.47
14129,2,7.42,4.3,8339,2.23
14129,2,7.48,6.35,8339,2.57
14129,2,7.58,7.83,8339,1.92
14129,2,7.72,6.2,8339,1.43
14129,2,7.82,13.8,8339,0.98
14129,2,8.05,12.05,8339,1.47
14129,2,8.25,23.72,8339,3.73
14129,2,8.65,4.42,8339,0.33
14129,2,8.72,5.28,8339,1.68
14129,2,8.82,13.12,8339,1.87
14129,2,9.03,12.65,8339,1.63
14129,2,9.25,327.67,8339,1.62
14129,2,14.7,10.03,8339,5.2
14129,2,14.87,8.2,8339,1.62
14129,2,15.0,9.17,8339,1.25
14129,2,15.17,8.57,8339,1.63
14129,2,15.3,9.37,8339,2.3
14129,2,15.47,10.52,8339,1.5
14129,2,15.63,18.5,8339,2.03
14129,2,15.95,1.77,8339,2.0
14129,2,15.97,4.6,8339,0.77
14129,2,16.05,9.98,8339,1.35
14129,2,16.22,14.27,8339,1.53
14129,2,16.45,1.87,8339,2.35
14129,2,16.48,13.2,8339,2.73
14129,2,16.7,5.05,8339,2.28
14129,2,16.78,11.0,8339,1.02
14129,2,16.97,11.25,8339,1.43
14129,2,17.17,4.97,8339,1.9
14129,2,17.23,12.08,8339,2.62
14129,2,17.45,10.78,8339,1.95
14129,2,17.62,8.5,8339,0.93
14129,2,17.77,,8339,1.4
14129,3,5.77,10.03,8339,1.97
14129,3,5.93,5.77,8339,1.22
