origin,day_of_week,decimal_time,wait|8307,destination,travel_time
14823,2,7.12,21.8,8297,7.68
14823,2,7.48,0.63,8297,2.43
14823,2,7.48,21.08,8297,2.32
14823,2,7.83,19.23,8297,0.83
14823,2,8.17,3.0,8297,1.47
14823,2,8.22,0.2,8297,0.73
14823,2,8.22,10.73,8297,4.82
14823,2,8.4,7.52,8297,1.27
14823,2,8.52,21.02,8297,1.22
14823,2,8.87,9.3,8297,0.07
14823,2,9.02,1.62,8297,1.73
14823,2,9.05,1.68,8297,1.15
14823,2,9.08,4.63,8297,2.92
14823,2,9.15,8.37,8297,0.87
14823,2,9.3,0.05,8297,1.6
14823,2,9.37,5.63,8297,0.25
14823,2,9.47,8.08,8297,0.9
14823,2,9.6,5.2,8297,0.08
14823,2,9.68,0.2,8297,0.6
14823,2,9.68,2.52,8297,1.18
14823,2,9.73,13.3,8297,1.05
14823,2,9.95,1.48,8297,1.35
14823,2,9.97,0.52,8297,5.92
14823,2,9.98,17.43,8297,1.78
14823,2,10.27,337.83,8297,1.7
14823,2,15.9,9.75,8297,7.48
14823,2,16.07,1.27,8297,0.67
14823,2,16.08,19.85,8297,0.82
14823,2,16.42,12.72,8297,3.18
14823,2,16.63,5.8,8297,2.13
14823,2,16.73,2.42,8297,1.5
14823,2,16.77,11.13,8297,0.68
14823,2,16.95,2.67,8297,1.03
14823,2,17.0,5.42,8297,5.53
14823,2,17.08,0.32,8297,1.5
14823,2,17.08,11.98,8297,2.73
14823,2,17.28,1.85,8297,1.8
14823,2,17.32,5.85,8297,1.67
14823,2,17.42,13.15,8297,1.93
14823,2,17.63,0.65,8297,1.93
14823,2,17.65,13.93,8297,1.25
14823,2,17.88,1.15,8297,2.2
14823,2,17.9,16.03,8297,5.47
14823,2,18.17,4.37,8297,1.17
14823,2,18.23,3.92,8297,2.07
14823,2,18.3,12.82,8297,4.03
14823,2,18.52,23.08,8297,2.0
14823,2,18.9,,8297,1.13
14823,3,7.28,8.62,8297,2.08
14823,3,7.43,10.2,8297,2.67
14823,3,7.6,14.03,8297,3.48
14823,3,7.83,20.63,8297,2.17
14823,3,8.18,12.37,8297,1.23
14823,3,8.38,0.25,8297,3.48
14823,3,8.38,16.85,8297,1.9
14823,3,8.67,6.8,8297,2.87
14823,3,8.78,8.55,8297,2.25
14823,3,8.93,0.13,8297,1.13
14823,3,8.93,2.07,8297,0.65
14823,3,8.97,1.6,8297,1.83
14823,3,8.98,13.03,8297,1.07
14823,3,9.2,8.9,8297,0.6
14823,3,9.35,13.85,8297,2.48
14823,3,9.58,0.15,8297,1.2
14823,3,9.58,3.63,8297,1.18
14823,3,9.65,1.08,8297,1.38
14823,3,9.67,22.03,8297,0.58
14823,3,10.03,78.2,8297,2.87
14823,3,11.33,273.92,8297,31.95
14823,3,15.9,17.05,8297,4.5
14823,3,16.18,0.05,8297,1.55
14823,3,16.18,18.3,8297,1.58
14823,3,16.5,2.47,8297,2.33
14823,3,16.53,17.1,8297,1.7
14823,3,16.82,21.17,8297,2.03
14823,3,17.17,1.85,8297,1.17
14823,3,17.2,0.02,8297,0.88
14823,3,17.2,9.55,8297,2.92
14823,3,17.37,4.42,8297,1.12
14823,3,17.43,5.98,8297,1.7
14823,3,17.53,0.22,8297,1.47
14823,3,17.53,9.27,8297,3.2
14823,3,17.7,18.55,8297,3.15
14823,3,18.0,4.07,8297,1.12
14823,3,18.07,12.88,8297,1.93
14823,3,18.28,16.82,8297,2.13
14823,3,18.57,3.35,8297,1.47
14823,3,18.62,4.08,8297,2.68
14823,3,18.68,16.97,8297,3.02
14823,3,18.97,,8297,1.28
14823,4,7.15,4.58,8297,0.98
14823,4,7.22,18.52,8297,0.93
14823,4,7.53,4.37,8297,2.5
14823,4,7.6,13.17,8297,1.08
14823,4,7.82,14.53,8297,2.42
14823,4,8.07,9.7,8297,0.78
14823,4,8.23,14.57,8297,2.4
14823,4,8.47,4.13,8297,1.25
14823,4,8.53,0.93,8297,0.97
14823,4,8.55,12.63,8297,0.85
14823,4,8.77,9.27,8297,1.12
14823,4,8.92,0.08,8297,2.33
14823,4,8.92,6.4,8297,0.82
14823,4,9.03,14.33,8297,1.13
14823,4,9.27,0.37,8297,1.32
14823,4,9.27,4.78,8297,1.7
14823,4,9.35,3.88,8297,1.25
14823,4,9.42,9.98,8297,1.12
14823,4,9.58,0.58,8297,1.13
14823,4,9.58,2.25,8297,0.7
14823,4,9.63,1.43,8297,1.4
14823,4,9.65,14.82,8297,4.37
14823,4,9.9,3.98,8297,3.52
14823,4,9.97,3.32,8297,1.97
14823,4,10.02,9.95,8297,2.25
14823,4,10.18,347.28,8297,1.03
14823,4,15.98,6.8,8297,2.05
14823,4,16.08,12.78,8297,1.32
14823,4,16.3,10.97,8297,3.03
14823,4,16.48,4.78,8297,1.73
14823,4,16.57,18.08,8297,3.45
14823,4,16.87,0.0,8297,2.18
14823,4,16.87,5.65,8297,9.42
14823,4,16.97,16.48,8297,1.8
14823,4,17.23,0.25,8297,2.05
14823,4,17.23,4.77,8297,2.52
14823,4,17.32,4.65,8297,2.85
14823,4,17.4,0.05,8297,1.52
14823,4,17.4,12.47,8297,1.1
14823,4,17.6,3.57,8297,2.13
14823,4,17.67,6.15,8297,1.13
14823,4,17.77,15.02,8297,2.08
14823,4,18.02,4.18,8297,1.37
14823,4,18.08,7.85,8297,1.0
14823,4,18.22,14.85,8297,1.48
14823,4,18.47,21.67,8297,2.33
14823,4,18.83,0.63,8297,1.47
14823,4,19.03,1.9,8297,1.63
14823,4,19.07,,8297,1.97
14823,0,7.07,13.93,8297,1.02
14823,0,7.3,14.28,8297,1.4
14823,0,7.55,7.2,8297,3.18
14823,0,7.67,17.57,8297,1.72
14823,0,7.95,1.0,8297,2.0
14823,0,7.97,11.0,8297,1.43
14823,0,8.15,14.13,8297,1.65
14823,0,8.38,5.62,8297,1.45
14823,0,8.48,1.43,8297,3.48
14823,0,8.52,13.47,8297,2.6
14823,0,8.73,6.93,8297,2.12
14823,0,8.85,0.57,8297,0.55
14823,0,8.87,13.05,8297,1.48
14823,0,9.08,6.67,8297,1.05
14823,0,9.18,4.1,8297,1.53
14823,0,9.25,4.7,8297,1.45
14823,0,9.33,4.18,8297,0.52
14823,0,9.4,9.57,8297,2.03
14823,0,9.57,1.28,8297,2.6
14823,0,9.58,3.17,8297,0.72
14823,0,9.63,10.92,8297,1.1
14823,0,9.82,0.05,8297,1.1
14823,0,9.82,11.3,8297,2.2
14823,0,10.0,5.87,8297,2.48
14823,0,10.1,350.12,8297,1.55
14823,0,15.93,13.42,8297,2.12
14823,0,16.17,0.65,8297,1.42
14823,0,16.18,9.3,8297,1.23
14823,0,16.33,11.52,8297,3.9
14823,0,16.52,16.7,8297,1.88
14823,0,16.8,1.33,8297,1.48
14823,0,16.82,5.53,8297,1.22
14823,0,16.92,12.4,8297,1.12
14823,0,17.12,2.25,8297,0.93
14823,0,17.17,0.6,8297,1.52
14823,0,17.17,11.07,8297,1.5
14823,0,17.35,3.13,8297,1.88
14823,0,17.4,1.1,8297,2.65
14823,0,17.42,8.85,8297,1.17
14823,0,17.57,9.07,8297,1.18
14823,0,17.72,5.08,8297,1.87
14823,0,17.8,14.97,8297,1.5
14823,0,18.05,19.73,8297,1.22
14823,0,18.38,5.27,8297,2.27
14823,0,18.47,1.05,8297,1.07
14823,0,18.48,1.27,8297,2.28
