day,hour,departures
0,0,1.25
0,1,2.0
0,2,1.88
0,3,1.75
0,4,2.75
0,5,3.25
0,6,4.0
0,7,5.5
0,8,4.25
0,9,3.12
0,10,3.12
0,11,3.62
0,12,3.25
0,13,4.12
0,14,6.12
0,15,4.25
0,16,5.38
0,17,4.25
0,18,4.12
0,19,4.22
0,20,2.67
0,21,3.11
0,22,2.78
0,23,3.11
1,0,1.44
1,1,1.56
1,2,2.22
1,3,1.56
1,4,2.56
1,5,3.67
1,6,3.67
1,7,5.22
1,8,3.89
1,9,3.89
1,10,2.89
1,11,3.44
1,12,3.44
1,13,4.33
1,14,5.67
1,15,4.89
1,16,6.11
1,17,4.22
1,18,4.67
1,19,3.56
1,20,2.89
1,21,3.33
1,22,3.33
1,23,3.33
2,0,1.67
2,1,1.67
2,2,2.44
2,3,2.11
2,4,3.0
2,5,4.0
2,6,4.67
2,7,6.33
2,8,5.0
2,9,3.78
2,10,3.78
2,11,4.22
2,12,3.78
2,13,4.89
2,14,5.33
2,15,6.11
2,16,6.44
2,17,5.11
2,18,5.11
2,19,4.11
2,20,3.22
2,21,3.22
2,22,3.22
2,23,3.11
3,0,1.78
3,1,1.56
3,2,2.44
3,3,2.0
3,4,3.56
3,5,4.11
3,6,5.22
3,7,6.56
3,8,5.0
3,9,3.89
3,10,3.67
3,11,3.78
3,12,4.11
3,13,4.56
3,14,6.11
3,15,5.89
3,16,7.0
3,17,5.0
3,18,5.56
3,19,4.44
3,20,3.56
3,21,3.22
3,22,3.11
3,23,3.22
4,0,1.67
4,1,1.78
4,2,2.56
4,3,2.67
4,4,3.33
4,5,4.44
4,6,4.89
4,7,7.0
4,8,5.11
4,9,4.0
4,10,3.44
4,11,4.56
4,12,4.11
4,13,5.11
4,14,6.11
4,15,6.22
4,16,6.0
4,17,4.33
4,18,4.67
4,19,4.0
4,20,3.11
4,21,2.89
4,22,3.0
4,23,2.89
5,0,1.56
5,1,1.44
5,2,2.11
5,3,2.11
5,4,2.56
5,5,2.89
5,6,2.11
5,7,3.0
5,8,2.67
5,9,2.22
5,10,3.89
5,11,3.44
5,12,2.11
5,13,3.0
5,14,3.67
5,15,4.0
5,16,4.11
5,17,3.44
5,18,3.56
5,19,3.44
5,20,3.0
5,21,2.56
5,22,2.78
5,23,1.89
6,0,1.33
6,1,1.78
6,2,1.44
6,3,2.11
6,4,1.89
6,5,2.0
6,6,1.56
6,7,2.67
6,8,2.44
6,9,2.67
6,10,2.33
6,11,3.12
6,12,3.12
6,13,3.0
6,14,3.25
6,15,3.5
6,16,2.75
6,17,3.25
6,18,3.38
6,19,2.62
6,20,2.5
6,21,2.5
6,22,2.12
6,23,1.88
