hour	47th Red Line Station	Wells & 47th Street	Wells & 48th Place	4900 S Wells	Wells & 50th Street	51st Street & Wentworth	51st Street & Federal	51st Street & State	51st Street & Wabash	51st Street & Michigan	51st Street & Indiana	51st Green Line Station	51st Street & King Drive	51st Street & Forrestville	51st Street & St. Lawrence	51st Street & Champlain	51st Street & Evans	51st Street & Cottage Grove	51st Street & Drexel Square	E Hyde Park & Drexel	E Hyde Park & Ellis 	E Hyde Park & Woodlawn	E Hyde Park & Kimbark	E Hyde Park & Kenwood	E Hyde Park & Dorchester	E Hyde Park & Blackstone	E Hyde Park & Lake Park	Lake Park & 52nd Street	Lake Park & 53rd Street	Lake Park & 54th Street	Lake Park & 55th Street	Lake Park & 56th Street	Stony Island & 56th Street	Stony Island & 57th Street	Stony Island & 59th Street	Stony Island & 60th Street	Stony Island & 61st Street	Stony Island & 62nd Street	Stony Island & 63rd Street	Stony Island & 64th Street	Stony Island & 65th Street	67th Street & Cornell	67th Street & East End	67th Street & Cregier	67th Street & Bennett	Jeffery & 67th Street	Jeffery & 68th Street	Jeffery & 69th Street	Jeffery & 70th Street	Jeffery & 71st Street	Jeffery & 72nd Street	Jeffery & 73rd Street	Jeffery & 74th Street	Jeffery & 75th Street	Jeffery & 76th Street	Jeffery & 77th Street	Jeffery & 78th Street	Jeffery & 79th Street	Jeffery & 80th Street	Jeffery & 81st Street	Jeffery & 82nd Street	Jeffery & 83rd Street/South Chicago	Jeffery & Anthony	Jeffery & 85th Street	Jeffery & 86th Street	Jeffery & 87th Street	Jeffery & 88th Street	Jeffery & 89th Street	Jeffery & 90th Street	Jeffery & 91st Street	Jeffery & 92nd Street	Jeffery & 93rd Street	Jeffery & 95th Street	Jeffery & 96th Street	Jeffery & 97th Street	Jeffery & 98th Street	Van Vlissingen & 99th Street	100th Street & Clyde	100th Street & Paxton	100th Street & Luella	100th Street & Crandon	100th Street & Yates	Yates & 101st Street	Yates & 102nd Street	Yates & 103rd Street	103rd Street & Oglesby	103rd Street & Luella	103rd Street & Stony Island Garage Terminal
0	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[2, 0, 1, 0]	[2, 0, 0, 2]	[1, 1, 0, 2]	[2, 1, 0, 2]	[0, 2, 1, 1]	[2, 1, 0, 2]	[2, 1, 0, 1]	[3, 0, 2, 0]	[2, 1, 1, 1]	[3, 0, 1, 1]	[2, 1, 1, 1]	[1, 2, 1, 1]	[1, 2, 1, 1]	[2, 0, 2, 1]	[1, 3, 0, 2]	[2, 2, 0, 1]	[2, 2, 3, 1]	[2, 4, 0, 2]	[2, 0, 2, 1]	[1, 3, 1, 0]	[4, 1, 3, 1]	[3, 2, 3, 1]	[1, 3, 0, 1]	[4, 0, 1, 0]	[3, 2, 0, 1]	[2, 1, 1, 2]	[4, 0, 1, 1]	[2, 2, 0, 0]	[2, 2, 0, 2]	[3, 1, 0, 2]	[4, 0, 1, 1]	[4, 1, 2, 0]	[6, 0, 2, 0]	[4, 1, 1, 0]	[4, 1, 1, 0]	[4, 1, 1, 0]	[3, 1, 1, 1]	[3, 1, 1, 1]	[3, 1, 1, 0]	[2, 2, 1, 0]	[3, 2, 2, 0]	[2, 2, 1, 0]	[3, 1, 1, 1]	[3, 1, 2, 1]	[2, 2, 1, 1]	[3, 2, 1, 0]	[4, 2, 1, 0]	[3, 1, 1, 1]	[3, 1, 2, 0]	[3, 2, 1, 0]	[2, 3, 1, 0]	[2, 3, 2, 0]	[2, 4, 0, 0]	[3, 3, 0, 0]	[2, 3, 1, 0]	[2, 3, 1, 0]	[3, 2, 2, 0]	[4, 1, 1, 0]	[5, 0, 0, 1]	[4, 2, 0, 1]	[5, 0, 0, 2]	[4, 1, 0, 2]	[4, 1, 0, 2]	[4, 1, 0, 1]	[4, 0, 2, 0]	[4, 0, 1, 2]	[5, 1, 1, 1]	[3, 2, 1, 0]
1	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]
2	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
5	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[1, 0, 0, 0]	[1, 0, 1, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 2]	[0, 0, 1, 1]	[0, 0, 2, 0]	[0, 1, 2, 0]	[0, 1, 0, 2]	[0, 1, 0, 2]	[0, 2, 0, 1]	[1, 1, 3, 0]	[1, 0, 1, 0]	[1, 1, 1, 0]	[2, 0, 2, 0]	[2, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[0, 2, 1, 0]	[0, 1, 1, 2]	[0, 1, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 1]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 2, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]
6	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 2, 1, 0]	[3, 1, 1, 0]	[1, 1, 1, 0]	[2, 3, 0, 0]	[1, 1, 0, 1]	[4, 1, 0, 0]	[1, 0, 1, 0]	[0, 0, 1, 1]	[1, 1, 1, 1]	[0, 0, 0, 1]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 2, 0]	[0, 0, 1, 1]	[0, 2, 0, 1]	[2, 0, 0, 1]	[2, 0, 0, 1]	[1, 1, 0, 1]	[0, 1, 2, 0]	[1, 1, 0, 1]	[1, 0, 1, 1]	[1, 0, 1, 1]	[1, 0, 0, 1]	[0, 1, 1, 0]	[0, 0, 2, 0]	[0, 1, 2, 0]	[0, 1, 1, 0]	[1, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 1, 1, 1]	[0, 1, 1, 1]	[1, 1, 1, 0]	[1, 1, 1, 0]	[1, 1, 1, 0]	[2, 1, 1, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 0, 1, 1]	[1, 0, 1, 0]	[0, 1, 0, 2]	[0, 1, 1, 1]	[1, 1, 1, 1]	[1, 0, 2, 1]	[0, 0, 2, 0]	[1, 1, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 2, 1]
7	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 2, 0, 0]	[0, 0, 0, 0]	[1, 0, 1, 1]	[0, 1, 0, 1]	[0, 0, 1, 0]	[0, 1, 0, 2]	[1, 1, 1, 0]	[0, 0, 0, 2]	[2, 0, 1, 0]	[2, 1, 0, 1]	[1, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 1, 0]	[2, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 0, 1, 2]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 1, 1, 1]	[0, 1, 2, 0]	[1, 1, 0, 0]	[0, 1, 1, 0]	[0, 1, 1, 0]	[0, 0, 1, 1]	[0, 0, 0, 3]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[0, 0, 1, 1]	[0, 0, 2, 1]	[0, 2, 0, 0]	[0, 2, 0, 0]	[0, 2, 0, 0]	[2, 0, 0, 0]	[2, 0, 0, 0]	[2, 0, 0, 1]	[2, 0, 0, 1]	[4, 0, 0, 1]	[2, 0, 1, 0]	[1, 1, 1, 1]	[0, 1, 2, 0]	[0, 1, 2, 0]	[0, 1, 0, 2]	[1, 1, 0, 2]	[0, 0, 2, 0]
8	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[2, 1, 1, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 1]	[0, 0, 0, 1]	[0, 1, 0, 1]	[0, 1, 1, 1]	[0, 0, 1, 1]	[1, 0, 1, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[1, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 1, 0, 0]	[0, 1, 0, 2]	[1, 0, 1, 2]	[2, 0, 1, 3]	[0, 2, 4, 1]	[0, 2, 3, 0]	[0, 1, 1, 4]	[1, 1, 1, 4]	[1, 1, 0, 5]	[2, 2, 0, 7]	[3, 0, 0, 2]	[1, 1, 2, 1]	[0, 3, 1, 1]	[2, 0, 1, 3]	[2, 0, 0, 3]	[2, 0, 0, 2]	[1, 1, 2, 2]	[1, 1, 4, 1]	[0, 0, 4, 1]	[0, 0, 3, 3]	[1, 1, 1, 4]	[0, 0, 2, 3]	[0, 1, 4, 0]	[0, 2, 3, 0]	[0, 1, 2, 2]	[1, 0, 3, 0]	[1, 0, 2, 1]	[2, 0, 2, 2]	[1, 0, 2, 3]	[0, 0, 3, 2]	[1, 2, 2, 2]	[1, 2, 1, 5]	[2, 1, 2, 5]	[2, 3, 1, 4]	[2, 3, 3, 3]	[1, 5, 2, 5]	[1, 4, 5, 4]	[1, 3, 7, 3]	[2, 2, 6, 4]	[2, 1, 6, 4]	[3, 1, 7, 2]	[3, 2, 4, 5]	[3, 2, 5, 4]	[1, 2, 5, 4]	[1, 2, 5, 7]	[1, 2, 2, 5]	[1, 1, 3, 5]	[0, 1, 4, 4]	[0, 3, 3, 0]	[1, 1, 4, 1]	[1, 1, 2, 1]	[1, 1, 1, 3]	[1, 1, 3, 1]	[2, 1, 2, 4]	[2, 1, 2, 3]	[1, 3, 3, 3]	[1, 2, 1, 4]	[1, 1, 3, 1]	[1, 2, 4, 0]	[1, 3, 1, 5]
9	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 2, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 0, 1, 0]	[0, 1, 1, 1]	[0, 0, 0, 4]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 1, 1]	[0, 1, 0, 2]	[0, 1, 1, 1]	[0, 1, 0, 2]	[1, 0, 1, 0]	[1, 0, 1, 1]	[1, 0, 1, 3]	[1, 0, 0, 5]	[1, 0, 3, 3]	[1, 0, 2, 7]	[0, 1, 4, 3]	[0, 0, 5, 4]	[1, 2, 4, 3]	[0, 1, 2, 7]	[1, 0, 6, 4]	[1, 1, 1, 6]	[0, 1, 3, 5]	[0, 1, 3, 4]	[0, 1, 2, 5]	[0, 1, 1, 7]	[1, 0, 2, 7]	[1, 0, 1, 5]	[0, 1, 1, 4]	[0, 0, 1, 4]	[0, 2, 1, 3]	[2, 0, 3, 3]	[2, 1, 2, 3]	[2, 2, 3, 3]	[1, 4, 3, 1]	[2, 4, 0, 4]	[2, 2, 2, 4]	[4, 1, 2, 4]	[3, 2, 3, 3]	[0, 5, 3, 4]	[1, 3, 4, 5]	[0, 3, 5, 5]	[2, 1, 3, 6]	[2, 3, 3, 8]	[2, 3, 3, 6]	[2, 2, 3, 6]	[1, 3, 4, 9]	[4, 1, 2, 8]	[3, 2, 3, 10]	[2, 3, 5, 7]	[2, 4, 4, 10]	[3, 4, 3, 6]	[3, 4, 7, 4]	[3, 4, 6, 7]	[4, 2, 9, 3]	[3, 2, 8, 7]	[3, 4, 7, 5]	[2, 2, 8, 5]	[3, 4, 6, 6]	[4, 5, 4, 6]	[3, 6, 3, 8]	[3, 5, 7, 6]	[4, 4, 9, 5]	[2, 5, 10, 4]	[3, 6, 4, 10]	[4, 5, 6, 5]	[2, 6, 3, 7]	[3, 2, 11, 4]	[3, 4, 7, 6]	[1, 6, 8, 4]	[5, 2, 8, 5]	[4, 4, 6, 6]	[3, 4, 11, 4]	[3, 5, 7, 4]
10	[0, 1, 1, 0]	[0, 1, 1, 0]	[0, 2, 0, 0]	[0, 2, 0, 0]	[0, 1, 1, 0]	[0, 1, 1, 1]	[0, 1, 2, 0]	[1, 0, 0, 2]	[1, 0, 0, 1]	[0, 1, 0, 1]	[0, 0, 1, 1]	[0, 0, 1, 1]	[0, 1, 1, 1]	[0, 1, 2, 0]	[0, 1, 2, 0]	[0, 2, 1, 0]	[1, 2, 0, 2]	[2, 1, 1, 1]	[2, 1, 0, 3]	[2, 1, 2, 1]	[1, 3, 2, 0]	[1, 3, 2, 0]	[3, 1, 1, 2]	[4, 0, 1, 2]	[3, 1, 0, 2]	[4, 0, 0, 2]	[1, 3, 0, 0]	[1, 2, 1, 0]	[1, 2, 2, 0]	[1, 2, 0, 1]	[1, 2, 0, 0]	[3, 0, 0, 1]	[2, 0, 1, 0]	[2, 1, 0, 0]	[2, 0, 1, 1]	[4, 0, 1, 2]	[3, 1, 1, 1]	[4, 0, 2, 3]	[3, 1, 1, 5]	[2, 1, 5, 3]	[3, 0, 5, 3]	[6, 3, 8, 3]	[3, 6, 6, 6]	[4, 5, 6, 7]	[3, 6, 6, 7]	[1, 6, 7, 7]	[4, 4, 9, 4]	[1, 8, 9, 2]	[2, 6, 7, 7]	[2, 5, 9, 4]	[3, 7, 10, 2]	[6, 7, 4, 7]	[6, 7, 6, 5]	[5, 9, 6, 2]	[8, 7, 5, 5]	[4, 12, 4, 4]	[4, 13, 4, 3]	[6, 7, 7, 5]	[7, 9, 6, 4]	[8, 8, 6, 4]	[5, 12, 5, 4]	[10, 6, 2, 9]	[3, 11, 4, 8]	[3, 11, 5, 7]	[4, 10, 4, 6]	[1, 11, 6, 5]	[6, 7, 5, 6]	[3, 12, 5, 5]	[4, 10, 7, 7]	[4, 8, 8, 4]	[4, 7, 9, 8]	[7, 10, 9, 5]	[7, 9, 6, 4]	[7, 10, 5, 6]	[8, 11, 4, 5]	[10, 6, 6, 5]	[6, 11, 7, 2]	[7, 6, 9, 3]	[6, 13, 4, 4]	[7, 12, 4, 3]	[4, 12, 4, 10]	[7, 8, 6, 8]	[6, 8, 7, 6]	[5, 8, 9, 4]	[4, 11, 6, 4]	[5, 10, 6, 6]	[5, 10, 6, 8]	[6, 7, 4, 9]
11	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 2, 0, 0]	[1, 2, 0, 0]	[1, 1, 1, 0]	[1, 0, 1, 1]	[1, 0, 1, 1]	[1, 0, 0, 1]	[1, 0, 1, 0]	[1, 0, 1, 1]	[1, 0, 0, 2]	[1, 0, 0, 2]	[1, 0, 1, 1]	[0, 0, 2, 0]	[0, 0, 1, 1]	[0, 0, 1, 1]	[0, 0, 2, 0]	[0, 0, 2, 0]	[0, 0, 0, 2]	[0, 0, 1, 1]	[1, 0, 2, 0]	[0, 1, 1, 1]	[0, 1, 2, 1]	[0, 1, 2, 0]	[0, 2, 1, 0]	[2, 0, 0, 1]	[2, 0, 1, 0]	[1, 2, 0, 0]	[1, 0, 1, 2]	[0, 1, 2, 0]	[1, 1, 1, 2]	[1, 1, 1, 2]	[1, 1, 0, 2]	[1, 1, 0, 4]	[1, 1, 1, 0]	[1, 1, 1, 0]	[1, 1, 1, 2]	[1, 2, 0, 0]	[1, 1, 1, 1]	[1, 1, 1, 1]	[2, 0, 1, 1]	[1, 0, 4, 1]	[1, 1, 1, 5]	[2, 0, 1, 5]	[1, 1, 3, 5]	[3, 0, 3, 2]	[2, 2, 0, 2]	[2, 1, 0, 2]	[3, 2, 0, 2]	[3, 0, 2, 2]	[1, 2, 1, 2]	[2, 1, 4, 1]	[2, 2, 4, 1]	[2, 4, 3, 0]	[3, 2, 1, 1]	[3, 2, 1, 2]	[4, 2, 2, 1]	[3, 2, 2, 2]	[3, 1, 3, 1]	[3, 3, 1, 2]	[3, 2, 2, 2]	[3, 2, 1, 3]	[5, 1, 2, 3]	[5, 2, 0, 2]	[5, 2, 1, 1]	[4, 1, 2, 0]	[4, 4, 1, 2]	[5, 1, 4, 3]	[5, 1, 3, 2]	[6, 1, 2, 1]	[4, 1, 4, 0]	[5, 2, 2, 1]	[6, 2, 0, 2]	[4, 4, 1, 0]	[7, 1, 1, 1]	[7, 0, 1, 1]	[4, 3, 1, 0]	[4, 4, 0, 1]	[5, 5, 0, 2]	[7, 1, 1, 2]	[4, 4, 1, 2]	[5, 3, 3, 1]	[4, 3, 3, 1]	[4, 4, 1, 2]	[7, 0, 2, 0]	[5, 2, 2, 2]	[5, 2, 4, 1]	[5, 3, 3, 2]
