hour	Museum of Science & Industry	S Hyde Park & 56th Street	55th Street & Hyde Park Blvd	55th Street & Lake Park	55th Street & Blackstone	55th Street & Dorchester	55th Street & Kenwood	55th Street & Kimbark	55th Street & Woodlawn	55th Street & University	55th Street & Ellis	55th Street & Drexel	55th Street & Cottage Grove	55th Street & Payne Drive	Morgan Drive & Russell Drive	Garfield & King Drive	Garfield Green Line Station	Garfield & Indiana	Garfield & Michigan	Garfield & State	Garfield & LaSalle	Garfield Red Line Station	Garfield & Princeton	Garfield & Normal	Garfield & Lowe	Garfield & Union	Garfield & Halsted	Garfield & Peoria	Garfield & Morgan	Garfield & Aberdeen	Garfield & Racine	Garfield & Throop	Garfield & Loomis	Garfield & Laflin	Garfield & Ashland	Garfield & Paulina	Garfield & Wood	Garfield & Wolcott	Garfield & Damen	Garfield & Hoyne	Garfield & Hamilton	Garfield & Oakley	55th Street & Western Avenue	55th Street & Artesian	55th Street & Rockwell	55th Street & Washtenaw	55th Street & California	55th Street & Francisco	55th Street & Sacramento	55th Street & Albany	55th Street & Kedzie	55th Street & Spaulding	55th Street & Homan	55th Street & St. Louis	55th Street & Central Park	55th Street & Lawndale	55th Street & Hamlin	55th Street & Springfield	55th Street & Pulaski	55th Street & Karlov	55th Street & Keeler	55th Street & Kildare	55th Street & Kostner	55th Street & Kilbourn	4600 W 55th Street	55th Street & Kilpatrick	Midway Orange Line Station
0	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 1, 1, 1]	[1, 0, 1, 1]	[0, 0, 0, 2]	[0, 0, 0, 2]	[0, 0, 0, 3]	[0, 0, 1, 0]	[1, 1, 2, 1]	[0, 1, 0, 0]	[1, 1, 0, 0]	[2, 0, 2, 1]	[2, 1, 1, 1]	[2, 0, 1, 0]	[0, 1, 0, 0]	[0, 2, 0, 2]	[0, 1, 0, 2]	[1, 1, 1, 2]	[0, 2, 0, 0]	[0, 2, 0, 1]	[1, 1, 0, 1]	[2, 0, 0, 1]	[1, 1, 1, 2]	[1, 0, 0, 1]	[1, 2, 0, 1]	[0, 1, 1, 0]	[0, 1, 3, 0]	[0, 0, 2, 1]	[0, 1, 0, 2]	[0, 1, 2, 1]	[0, 2, 2, 1]	[0, 1, 1, 2]	[0, 2, 1, 3]	[1, 1, 1, 1]	[1, 0, 2, 1]	[1, 0, 1, 0]	[1, 0, 2, 0]	[2, 0, 2, 0]	[3, 1, 0, 1]	[0, 1, 0, 3]	[0, 0, 3, 0]	[0, 2, 1, 2]	[1, 1, 0, 1]	[0, 1, 0, 1]	[1, 1, 1, 0]	[1, 0, 0, 1]	[1, 1, 0, 1]	[1, 1, 0, 1]	[0, 0, 0, 0]
1	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 1, 0, 0]	[0, 1, 1, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 2, 1, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[2, 0, 0, 0]	[2, 1, 1, 0]	[0, 0, 1, 0]	[0, 0, 2, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 1]	[1, 0, 1, 1]	[1, 0, 0, 1]	[0, 0, 2, 1]	[1, 0, 2, 2]	[0, 0, 1, 1]	[1, 0, 0, 1]	[0, 0, 1, 1]	[0, 1, 1, 3]	[1, 1, 0, 2]	[0, 0, 0, 1]	[0, 0, 2, 1]	[1, 0, 2, 1]	[1, 0, 2, 1]	[1, 1, 1, 2]	[1, 0, 1, 1]	[0, 0, 1, 1]	[0, 1, 0, 1]	[0, 0, 2, 0]	[1, 0, 1, 1]	[0, 1, 1, 1]	[1, 2, 3, 0]	[2, 0, 1, 0]	[0, 2, 1, 0]	[2, 2, 1, 0]	[0, 0, 0, 0]
2	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 1, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[19, 13, 18, 5]	[22, 12, 10, 8]	[26, 11, 7, 8]	[20, 15, 10, 5]	[18, 12, 8, 6]	[20, 10, 6, 7]	[21, 10, 5, 9]	[17, 13, 4, 7]	[11, 13, 8, 5]	[10, 12, 11, 3]	[11, 13, 7, 6]	[11, 10, 9, 6]	[11, 12, 5, 6]	[9, 13, 11, 6]	[12, 8, 9, 8]	[11, 9, 11, 5]	[10, 7, 8, 6]	[9, 8, 6, 8]	[10, 5, 9, 5]	[9, 10, 2, 4]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
4	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 2, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 3, 4, 2]	[1, 0, 6, 4]	[0, 3, 5, 6]	[1, 7, 9, 2]	[2, 4, 8, 10]	[0, 7, 11, 5]	[1, 6, 9, 9]	[3, 7, 6, 10]	[3, 7, 10, 7]	[5, 9, 10, 7]	[3, 9, 10, 7]	[4, 8, 6, 8]	[6, 9, 11, 5]	[3, 9, 11, 5]	[4, 7, 12, 10]	[4, 7, 11, 8]	[7, 7, 9, 7]	[5, 9, 10, 5]	[4, 4, 11, 7]	[5, 5, 6, 4]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
5	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 0, 0, 1]	[1, 1, 1, 3]	[0, 1, 3, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 1, 1]	[0, 0, 2, 3]	[0, 0, 1, 0]	[0, 3, 0, 0]	[2, 0, 1, 0]	[1, 1, 1, 0]	[1, 0, 1, 0]	[0, 3, 2, 5]	[2, 1, 0, 1]	[2, 0, 0, 2]	[0, 0, 2, 1]	[0, 0, 0, 1]	[3, 2, 0, 2]	[0, 1, 0, 1]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]
6	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[1, 2, 0, 1]	[0, 0, 0, 1]	[0, 1, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 1, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[15, 16, 11, 6]	[9, 15, 13, 8]	[10, 7, 7, 4]	[9, 5, 11, 6]	[8, 11, 8, 3]	[10, 10, 2, 5]	[11, 13, 5, 3]	[9, 12, 7, 6]	[10, 12, 8, 6]	[12, 10, 6, 8]	[10, 10, 6, 6]	[14, 7, 3, 4]	[12, 13, 1, 8]	[14, 10, 2, 7]	[7, 10, 6, 5]	[8, 10, 6, 6]	[12, 8, 7, 2]	[9, 10, 8, 5]	[10, 6, 5, 6]	[9, 8, 4, 5]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]
7	[1, 0, 1, 1]	[1, 0, 1, 3]	[1, 0, 1, 2]	[1, 0, 1, 4]	[1, 0, 3, 4]	[1, 0, 3, 3]	[1, 0, 5, 4]	[1, 0, 6, 4]	[1, 0, 7, 4]	[2, 1, 3, 11]	[1, 1, 3, 9]	[0, 2, 3, 10]	[0, 4, 4, 7]	[1, 4, 5, 8]	[2, 3, 5, 6]	[3, 6, 5, 3]	[2, 6, 6, 3]	[4, 8, 8, 4]	[4, 5, 9, 2]	[5, 7, 5, 10]	[4, 9, 4, 8]	[1, 8, 3, 5]	[6, 4, 7, 3]	[6, 5, 6, 6]	[7, 1, 8, 2]	[7, 4, 7, 3]	[8, 7, 4, 5]	[8, 6, 8, 4]	[7, 8, 5, 4]	[6, 7, 7, 5]	[9, 5, 7, 1]	[10, 6, 4, 1]	[9, 5, 4, 7]	[5, 7, 5, 5]	[17, 18, 13, 12]	[19, 17, 15, 12]	[22, 20, 13, 10]	[23, 19, 10, 9]	[23, 19, 15, 10]	[25, 20, 14, 12]	[23, 18, 19, 9]	[21, 22, 15, 10]	[14, 25, 21, 9]	[7, 30, 22, 10]	[15, 21, 22, 13]	[23, 20, 17, 12]	[19, 20, 19, 14]	[20, 21, 21, 10]	[22, 22, 15, 12]	[29, 18, 14, 12]	[22, 21, 15, 10]	[18, 23, 18, 6]	[22, 23, 13, 8]	[20, 24, 11, 8]	[5, 4, 0, 1]	[3, 5, 2, 2]	[3, 4, 2, 1]	[3, 2, 5, 1]	[1, 8, 4, 2]	[2, 8, 1, 1]	[4, 4, 3, 1]	[4, 3, 2, 1]	[3, 3, 3, 1]	[2, 2, 2, 4]	[4, 1, 1, 6]	[2, 2, 1, 2]	[0, 0, 0, 0]
8	[1, 2, 4, 12]	[4, 3, 8, 13]	[5, 5, 6, 15]	[2, 8, 13, 13]	[11, 4, 10, 15]	[9, 8, 13, 12]	[8, 5, 14, 13]	[10, 6, 16, 13]	[7, 8, 16, 20]	[7, 10, 15, 22]	[7, 12, 10, 23]	[10, 13, 14, 18]	[10, 13, 13, 25]	[15, 9, 16, 24]	[11, 12, 15, 23]	[14, 9, 18, 14]	[15, 8, 14, 24]	[14, 14, 9, 31]	[18, 9, 18, 26]	[19, 11, 22, 14]	[18, 18, 21, 22]	[16, 22, 18, 28]	[28, 15, 18, 18]	[28, 15, 21, 13]	[27, 15, 23, 16]	[24, 20, 22, 16]	[25, 25, 23, 18]	[28, 24, 19, 19]	[32, 19, 22, 22]	[29, 23, 26, 16]	[36, 20, 23, 22]	[32, 24, 22, 25]	[35, 24, 24, 22]	[35, 21, 24, 20]	[0, 1, 0, 2]	[0, 1, 0, 2]	[1, 0, 1, 2]	[1, 2, 0, 2]	[0, 1, 0, 2]	[1, 0, 1, 1]	[1, 0, 1, 1]	[2, 1, 0, 2]	[0, 0, 1, 3]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 1, 0, 3]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 1, 1, 4]	[2, 0, 2, 2]	[1, 2, 1, 4]	[2, 1, 3, 3]	[3, 1, 2, 5]	[3, 1, 6, 3]	[5, 2, 5, 4]	[5, 1, 5, 5]	[3, 5, 2, 3]	[4, 3, 2, 6]	[4, 3, 4, 4]	[5, 6, 3, 4]	[4, 7, 2, 5]	[5, 7, 4, 3]	[6, 5, 5, 4]	[6, 6, 4, 3]	[1, 1, 1, 1]
9	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 0, 1, 3]	[0, 3, 0, 1]	[1, 1, 1, 1]	[2, 0, 2, 1]	[2, 0, 0, 6]	[2, 0, 2, 5]	[1, 1, 1, 5]	[2, 1, 0, 2]	[4, 0, 2, 1]	[2, 1, 3, 1]	[2, 2, 3, 3]	[4, 1, 3, 3]	[3, 3, 2, 4]	[3, 3, 8, 3]	[3, 3, 8, 1]	[3, 4, 5, 4]	[3, 5, 8, 2]	[3, 8, 4, 4]	[5, 6, 3, 1]	[4, 3, 5, 3]	[6, 4, 8, 3]	[6, 4, 5, 8]	[5, 5, 7, 2]	[5, 8, 5, 4]	[6, 6, 8, 3]	[7, 7, 6, 7]	[7, 5, 8, 6]	[7, 5, 8, 8]	[6, 7, 7, 11]	[7, 5, 9, 10]	[8, 4, 7, 11]	[6, 7, 6, 11]	[1, 3, 5, 9]	[3, 4, 3, 8]	[5, 1, 5, 5]	[3, 3, 6, 4]	[3, 2, 5, 5]	[4, 1, 4, 6]	[4, 3, 4, 6]	[3, 3, 3, 7]	[5, 1, 5, 9]	[4, 2, 4, 5]	[4, 1, 6, 7]	[3, 2, 7, 5]	[3, 4, 3, 7]	[3, 4, 4, 7]	[5, 3, 6, 7]	[4, 6, 7, 8]	[4, 4, 6, 6]	[4, 5, 6, 7]	[2, 8, 4, 7]	[3, 7, 7, 9]	[4, 5, 10, 4]	[1, 7, 7, 10]	[2, 7, 9, 6]	[2, 5, 7, 12]	[5, 3, 6, 8]	[3, 6, 4, 8]	[2, 4, 4, 6]	[3, 4, 4, 4]	[3, 4, 4, 2]	[4, 2, 4, 6]	[4, 2, 4, 6]	[5, 3, 0, 7]	[1, 0, 2, 0]
