hour	St. Joseph Hospital 	Sheridan & Diversey	Sheridan & Surf	Sheridan & Oakdale	Sheridan & Wellington	Sheridan & Barry	Sheridan & Briar	Belmont & Sheridan	Belmont & Pine Grove	Belmont & Broadway	Belmont & Orchard	Belmont & Halsted	Belmont & Clark	Belmont Red/Brown/Purple Line Station	Belmont & Seminary	Belmont & Racine	Belmont & Lakewood	Belmont & Southport	Belmont & Greenview	Belmont & Lincoln/Ashland	Belmont & Paulina	Belmont & Ravenswood	Belmont & Wolcott	Belmont & Damen	Belmont & Hoyne	Belmont & Leavitt	Belmont & Oakley	Belmont & Western/Clybourn	Belmont & Campbell 	Belmont & Rockwell	Belmont & Washtenaw	Belmont & California	Belmont & Francisco	Belmont & Sacramento	Belmont & Albany 	Belmont & Kedzie	Belmont & Spaulding	Belmont & Kimball (Blue Line)	Belmont & St. Louis	Belmont & Central Park	Belmont & Lawndale	Belmont & Hamlin	Belmont & Milwaukee	Belmont & Pulaski	Belmont & Karlov	Belmont & Keeler	Belmont & Kildare	Belmont & Kostner	Belmont & Kilbourn	Belmont & Kilpatrick	Belmont & Cicero	Belmont & Lamon	Belmont & Lavergne	Belmont & Leclaire	Belmont & Laramie	Belmont & Lockwood	Belmont & Long	Belmont & Linder	Belmont & Central	Belmont & Major	Belmont & Menard	Belmont & Mason	Belmont & Austin	Belmont & Meade	Belmont & Melvina	Belmont & Mobile	Belmont & Narragansett	Belmont & Natchez	Belmont & Nashville	Belmont & Normandy	Belmont & Oak Park	Belmont & New England	Belmont & Sayre	Belmont & Nottingham	Belmont & Harlem	Belmont & Octavia	Belmont & Oketo	Belmont & Olcott	Belmont & Oriole (76th Avenue)	Belmont & Overhill (77th Avenue)	Belmont & Ozanam (78th Avenue)	Belmont & Orange (79th Avenue)	Belmont & Pacific (80th Avenue)	Belmont & Panama	Belmont & Pioneer	Belmont & Plainfield	Belmont & Pontiac	Belmont & Cumberland Terminal
0	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 2, 1, 3]	[2, 1, 1, 0]	[0, 2, 1, 0]	[2, 2, 1, 0]	[1, 3, 1, 0]	[3, 1, 1, 1]	[1, 2, 0, 2]	[2, 1, 0, 0]	[1, 1, 0, 1]	[1, 2, 1, 0]	[1, 1, 0, 0]	[1, 0, 1, 1]	[2, 0, 1, 0]	[1, 1, 1, 0]	[0, 2, 0, 0]	[0, 2, 0, 1]	[1, 2, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[2, 0, 0, 0]	[2, 0, 0, 0]	[3, 0, 0, 2]	[3, 0, 0, 2]	[1, 1, 0, 1]	[2, 3, 1, 2]	[1, 3, 2, 1]	[0, 2, 2, 4]	[1, 1, 1, 3]	[1, 2, 1, 2]	[2, 3, 2, 0]	[1, 0, 1, 3]	[0, 2, 0, 3]	[0, 3, 0, 1]	[0, 2, 0, 1]	[0, 1, 1, 1]	[1, 1, 1, 1]	[0, 3, 1, 1]	[0, 1, 2, 3]	[0, 1, 2, 3]	[1, 0, 0, 2]	[2, 1, 1, 1]	[0, 2, 2, 1]	[1, 1, 1, 2]	[1, 1, 2, 2]	[1, 1, 2, 4]	[1, 0, 3, 3]	[2, 2, 3, 2]	[1, 0, 2, 4]	[1, 0, 2, 4]	[1, 1, 3, 3]	[1, 4, 0, 6]	[1, 2, 3, 2]	[3, 2, 3, 0]	[2, 2, 3, 2]	[3, 2, 4, 3]	[3, 2, 3, 3]	[2, 3, 2, 2]	[3, 1, 3, 3]	[4, 2, 3, 0]	[3, 4, 1, 2]	[3, 3, 1, 3]	[5, 3, 0, 2]	[4, 3, 3, 3]	[3, 4, 3, 2]	[5, 3, 1, 1]	[5, 2, 3, 2]	[2, 5, 1, 1]	[3, 3, 2, 1]	[4, 3, 2, 1]	[4, 3, 1, 1]	[4, 3, 2, 0]	[2, 4, 2, 1]	[2, 4, 2, 1]	[2, 5, 1, 1]	[3, 5, 1, 1]
1	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 3, 0, 1]	[1, 1, 0, 2]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 2, 2, 3]	[1, 0, 2, 0]	[0, 1, 0, 2]	[0, 2, 2, 1]	[0, 1, 1, 3]	[1, 1, 0, 3]	[0, 2, 0, 3]	[0, 1, 2, 3]	[1, 1, 1, 1]	[0, 1, 2, 0]	[0, 1, 1, 1]	[0, 2, 1, 1]	[0, 2, 0, 2]	[1, 1, 0, 2]	[1, 1, 0, 2]	[1, 1, 0, 2]	[2, 3, 0, 0]	[1, 2, 1, 2]	[2, 3, 1, 0]	[2, 2, 0, 0]	[1, 3, 1, 2]	[2, 2, 1, 1]	[2, 2, 1, 1]	[1, 2, 1, 1]	[1, 2, 1, 0]	[2, 2, 3, 0]	[3, 1, 2, 0]	[3, 1, 1, 0]	[4, 3, 3, 1]	[2, 2, 1, 0]	[2, 1, 1, 3]	[2, 2, 0, 3]	[2, 1, 1, 0]	[3, 2, 0, 2]	[3, 0, 0, 3]	[2, 0, 0, 1]	[3, 0, 0, 1]	[0, 2, 4, 1]	[1, 2, 1, 1]	[2, 1, 1, 1]	[1, 3, 0, 1]	[2, 4, 1, 1]	[4, 1, 1, 0]	[1, 2, 1, 0]	[1, 2, 2, 1]	[2, 2, 2, 0]	[2, 3, 1, 0]	[3, 1, 1, 2]	[4, 2, 0, 0]	[3, 1, 1, 2]	[2, 2, 2, 1]	[1, 3, 1, 1]	[3, 2, 0, 0]	[3, 1, 2, 0]	[3, 2, 0, 1]	[2, 2, 0, 1]	[2, 2, 0, 1]	[1, 2, 0, 0]	[3, 0, 2, 1]	[1, 0, 3, 0]	[1, 2, 2, 0]	[3, 2, 1, 0]	[1, 2, 0, 0]	[3, 0, 0, 2]	[1, 1, 0, 2]	[4, 2, 1, 1]	[2, 1, 2, 1]	[2, 1, 1, 2]	[2, 0, 1, 1]
2	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[1, 1, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 1, 1, 0]	[1, 0, 0, 0]	[1, 1, 1, 0]	[0, 1, 0, 0]	[1, 2, 0, 0]	[1, 0, 0, 0]	[1, 1, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 2, 0]	[0, 1, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 1]
3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 3, 0]	[0, 0, 0, 1]	[0, 0, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
4	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 2, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 1]
5	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 1, 0, 2]	[1, 0, 0, 1]	[1, 0, 0, 2]	[1, 0, 0, 1]	[1, 0, 0, 2]	[1, 0, 0, 2]	[1, 0, 1, 1]	[1, 0, 0, 2]	[1, 0, 2, 1]	[1, 0, 2, 0]	[1, 0, 2, 0]	[1, 0, 1, 2]	[1, 1, 0, 1]	[0, 1, 1, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[2, 1, 0, 1]	[0, 2, 2, 0]	[1, 1, 1, 0]	[0, 2, 1, 0]	[0, 2, 2, 1]	[0, 2, 1, 0]	[1, 2, 1, 1]	[1, 3, 1, 0]	[1, 2, 2, 1]	[3, 1, 0, 1]	[2, 0, 1, 1]	[1, 1, 2, 0]	[2, 1, 0, 0]	[2, 1, 0, 0]	[2, 1, 0, 0]	[2, 0, 1, 0]	[2, 1, 0, 0]	[1, 1, 1, 0]	[2, 0, 1, 0]	[2, 0, 1, 0]	[1, 1, 1, 0]	[2, 0, 1, 0]	[1, 0, 1, 0]	[1, 1, 0, 0]	[0, 2, 0, 0]	[1, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 1]	[0, 0, 2, 1]	[1, 0, 0, 1]	[0, 1, 1, 2]	[0, 1, 2, 0]	[0, 1, 1, 0]	[0, 0, 0, 2]	[0, 1, 0, 1]	[0, 0, 2, 0]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]
6	[0, 1, 2, 4]	[0, 2, 2, 6]	[0, 1, 3, 12]	[1, 1, 6, 9]	[1, 1, 5, 9]	[0, 3, 8, 13]	[3, 3, 7, 10]	[2, 6, 7, 11]	[4, 3, 7, 12]	[5, 1, 9, 14]	[4, 6, 9, 13]	[7, 7, 9, 9]	[5, 9, 9, 7]	[6, 6, 9, 15]	[6, 4, 8, 5]	[4, 7, 4, 7]	[8, 3, 2, 4]	[5, 4, 2, 4]	[6, 6, 2, 3]	[2, 7, 2, 8]	[2, 7, 1, 9]	[3, 5, 2, 9]	[2, 6, 4, 5]	[1, 5, 4, 2]	[4, 3, 1, 7]	[3, 3, 3, 5]	[6, 0, 3, 8]	[5, 1, 5, 12]	[5, 2, 4, 8]	[2, 1, 6, 9]	[3, 2, 3, 12]	[3, 1, 6, 7]	[1, 5, 4, 13]	[1, 3, 3, 10]	[2, 1, 1, 10]	[1, 3, 3, 5]	[1, 4, 4, 5]	[0, 2, 7, 3]	[2, 3, 3, 2]	[2, 1, 3, 2]	[0, 2, 2, 2]	[1, 1, 2, 6]	[1, 3, 2, 3]	[0, 2, 3, 3]	[2, 1, 2, 4]	[1, 3, 1, 3]	[3, 0, 2, 3]	[2, 1, 5, 3]	[1, 2, 4, 4]	[2, 1, 2, 7]	[3, 1, 4, 4]	[3, 0, 5, 5]	[3, 0, 3, 7]	[2, 1, 6, 3]	[2, 2, 4, 5]	[2, 1, 4, 8]	[2, 2, 4, 4]	[2, 2, 2, 9]	[0, 3, 2, 7]	[1, 1, 3, 5]	[1, 2, 3, 5]	[2, 2, 2, 7]	[2, 2, 3, 5]	[2, 2, 2, 5]	[2, 0, 3, 4]	[2, 4, 1, 6]	[2, 2, 2, 3]	[1, 4, 2, 2]	[2, 2, 2, 1]	[2, 2, 1, 1]	[2, 3, 1, 0]	[2, 1, 1, 0]	[2, 1, 1, 0]	[3, 1, 1, 2]	[1, 2, 1, 1]	[2, 1, 0, 0]	[2, 1, 2, 1]	[3, 1, 1, 0]	[3, 1, 0, 0]	[3, 1, 1, 0]	[3, 0, 1, 1]	[3, 1, 1, 0]	[3, 0, 1, 0]	[2, 1, 3, 0]	[3, 0, 1, 1]	[2, 1, 0, 2]	[2, 1, 0, 1]	[4, 1, 0, 1]
7	[6, 14, 42, 178]	[10, 24, 41, 249]	[13, 34, 50, 200]	[14, 32, 81, 154]	[19, 30, 89, 156]	[19, 40, 86, 133]	[23, 38, 88, 130]	[29, 51, 77, 109]	[31, 41, 78, 104]	[29, 41, 74, 111]	[42, 37, 78, 94]	[46, 56, 60, 76]	[39, 62, 49, 60]	[54, 37, 70, 79]	[49, 53, 58, 85]	[52, 45, 64, 88]	[47, 50, 60, 87]	[49, 48, 66, 95]	[49, 49, 64, 86]	[39, 53, 53, 120]	[33, 64, 40, 131]	[32, 60, 60, 86]	[34, 56, 69, 78]	[29, 59, 61, 87]	[39, 61, 73, 65]	[41, 58, 63, 72]	[41, 57, 63, 72]	[33, 48, 97, 44]	[37, 65, 80, 45]	[51, 62, 62, 69]	[48, 56, 70, 66]	[44, 69, 61, 70]	[45, 68, 41, 85]	[57, 61, 45, 56]	[63, 45, 59, 62]	[32, 64, 42, 83]	[37, 53, 49, 66]	[28, 59, 55, 52]	[12, 29, 26, 27]	[16, 23, 33, 27]	[13, 28, 21, 38]	[22, 18, 23, 43]	[23, 23, 23, 39]	[15, 29, 34, 23]	[18, 26, 35, 19]	[21, 24, 24, 29]	[16, 27, 29, 33]	[23, 22, 32, 24]	[23, 20, 29, 26]	[18, 26, 30, 23]	[15, 18, 31, 28]	[19, 22, 27, 25]	[17, 19, 30, 23]	[17, 13, 25, 21]	[16, 17, 20, 15]	[11, 15, 13, 15]	[14, 10, 15, 17]	[10, 10, 10, 21]	[8, 11, 12, 14]	[6, 13, 12, 14]	[9, 9, 12, 10]	[9, 11, 13, 9]	[8, 15, 12, 16]	[6, 12, 18, 15]	[11, 11, 14, 15]	[11, 10, 14, 17]	[10, 14, 12, 20]	[12, 12, 8, 26]	[14, 10, 15, 18]	[12, 13, 18, 21]	[14, 8, 19, 20]	[14, 10, 18, 16]	[12, 10, 16, 16]	[8, 13, 16, 23]	[9, 13, 13, 22]	[9, 16, 14, 11]	[8, 15, 13, 12]	[10, 14, 15, 16]	[8, 18, 12, 11]	[13, 17, 12, 15]	[13, 17, 7, 24]	[11, 17, 14, 16]	[11, 19, 13, 22]	[15, 14, 15, 20]	[14, 11, 18, 20]	[15, 18, 10, 24]	[17, 19, 13, 19]	[18, 17, 13, 19]
8	[22, 29, 57, 175]	[24, 47, 48, 236]	[32, 38, 80, 184]	[35, 40, 91, 151]	[32, 42, 83, 160]	[40, 53, 87, 123]	[43, 53, 86, 124]	[60, 62, 86, 112]	[68, 57, 83, 103]	[56, 82, 75, 114]	[55, 84, 87, 109]	[82, 86, 75, 92]	[66, 118, 65, 72]	[98, 101, 59, 86]	[84, 100, 74, 73]	[106, 81, 65, 89]	[109, 73, 75, 84]	[106, 70, 72, 94]	[98, 87, 63, 95]	[77, 105, 69, 104]	[79, 115, 50, 114]	[88, 96, 73, 98]	[84, 95, 92, 86]	[79, 94, 91, 91]	[81, 99, 81, 100]	[79, 96, 89, 88]	[78, 92, 93, 92]	[87, 78, 97, 55]	[90, 92, 83, 59]	[96, 81, 82, 72]	[98, 78, 80, 84]	[86, 91, 76, 81]	[84, 105, 65, 99]	[102, 90, 74, 85]	[101, 93, 82, 75]	[99, 107, 54, 98]	[93, 88, 84, 100]	[90, 96, 89, 83]	[4, 19, 12, 14]	[7, 17, 13, 13]	[10, 11, 14, 12]	[11, 7, 16, 14]	[8, 12, 15, 14]	[5, 17, 18, 8]	[7, 18, 17, 11]	[11, 16, 16, 9]	[12, 11, 16, 11]	[13, 17, 15, 15]	[16, 10, 20, 13]	[14, 10, 24, 13]	[9, 18, 17, 20]	[12, 17, 20, 11]	[20, 15, 12, 19]	[20, 16, 14, 20]	[27, 11, 18, 23]	[20, 20, 20, 25]	[20, 18, 21, 27]	[20, 15, 20, 38]	[11, 21, 28, 29]	[14, 12, 31, 32]	[10, 17, 24, 36]	[11, 17, 23, 32]	[12, 13, 30, 36]	[14, 11, 29, 26]	[15, 11, 29, 31]	[14, 12, 24, 35]	[12, 17, 24, 34]	[12, 14, 28, 31]	[9, 24, 22, 33]	[12, 19, 27, 33]	[6, 26, 28, 28]	[9, 21, 23, 34]	[10, 16, 27, 39]	[9, 20, 25, 38]	[9, 14, 43, 30]	[8, 16, 34, 21]	[7, 12, 25, 22]	[5, 15, 25, 25]	[8, 11, 24, 29]	[7, 14, 24, 28]	[9, 14, 22, 28]	[9, 13, 19, 27]	[9, 11, 24, 31]	[7, 14, 22, 25]	[8, 15, 21, 22]	[10, 12, 34, 27]	[6, 15, 34, 22]	[6, 16, 33, 22]
9	[6, 12, 8, 20]	[5, 15, 16, 41]	[11, 12, 15, 37]	[15, 12, 21, 41]	[12, 19, 23, 49]	[17, 15, 30, 50]	[18, 21, 24, 45]	[24, 26, 32, 43]	[32, 22, 32, 34]	[22, 39, 26, 46]	[32, 28, 28, 57]	[26, 43, 25, 51]	[26, 49, 22, 45]	[29, 47, 33, 46]	[33, 48, 35, 49]	[35, 50, 39, 53]	[35, 50, 45, 49]	[37, 48, 43, 51]	[43, 40, 45, 58]	[38, 54, 31, 89]	[46, 48, 36, 89]	[43, 42, 47, 79]	[44, 43, 46, 69]	[38, 45, 56, 70]	[47, 44, 46, 67]	[44, 45, 52, 68]	[53, 41, 43, 79]	[48, 46, 69, 51]	[52, 53, 60, 58]	[61, 48, 64, 55]	[60, 54, 64, 54]	[69, 62, 61, 64]	[63, 74, 43, 86]	[58, 75, 62, 56]	[68, 59, 64, 59]	[60, 79, 39, 90]	[60, 73, 53, 86]	[63, 66, 65, 65]	[4, 17, 15, 15]	[7, 15, 8, 18]	[11, 12, 7, 22]	[11, 14, 12, 19]	[11, 16, 9, 23]	[11, 16, 16, 17]	[12, 15, 16, 27]	[17, 9, 16, 22]	[17, 13, 16, 28]	[18, 14, 21, 24]	[17, 14, 16, 28]	[21, 14, 19, 18]	[19, 10, 25, 17]	[19, 9, 24, 25]	[16, 16, 25, 20]	[17, 12, 24, 22]	[15, 15, 23, 27]	[20, 8, 19, 34]	[20, 12, 19, 25]	[19, 14, 22, 22]	[13, 24, 19, 25]	[20, 9, 21, 20]	[18, 17, 17, 28]	[17, 11, 25, 24]	[17, 14, 23, 20]	[17, 15, 22, 17]	[17, 19, 17, 15]	[21, 13, 22, 15]	[23, 14, 21, 13]	[18, 22, 18, 19]	[20, 17, 19, 19]	[22, 15, 20, 19]	[20, 17, 18, 16]	[19, 21, 13, 20]	[19, 21, 21, 17]	[17, 21, 22, 15]	[19, 20, 22, 17]	[15, 22, 23, 9]	[11, 15, 14, 11]	[9, 16, 13, 13]	[14, 12, 10, 16]	[15, 12, 13, 13]	[12, 14, 15, 8]	[12, 18, 6, 20]	[16, 15, 9, 13]	[17, 15, 7, 13]	[18, 11, 12, 11]	[15, 14, 11, 15]	[16, 11, 15, 9]	[16, 11, 14, 10]
