tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5426_203199,California,Kedzie,0,19.13,2.05,11.6
20170130_5425_1083640,California,Kedzie,0,19.33,3.78,7.9
20170130_5425_1083641,California,Kedzie,0,19.47,2.85,17.38
20170130_5425_204316,California,Kedzie,0,19.75,2.47,9.63
20170130_5426_203200,California,Kedzie,0,19.92,2.83,7.87
20170130_5425_204317,California,Kedzie,0,20.05,1.78,0.97
20170130_5425_204318,California,Kedzie,0,20.05,2.2,16.03
20170130_5425_204319,California,Kedzie,0,20.33,2.3,9.13
20170130_5425_204320,California,Kedzie,0,20.48,2.83,11.02
20170130_5425_204321,California,Kedzie,0,20.67,1.65,14.32
20170130_5425_204322,California,Kedzie,0,20.9,3.23,14.67
20170130_5425_204323,California,Kedzie,0,21.15,2.27,15.07
20170130_5425_204324,California,Kedzie,0,21.4,1.68,13.93
20170130_5425_204325,California,Kedzie,0,21.63,3.57,14.0
20170130_5425_204326,California,Kedzie,0,21.87,2.12,15.5
20170130_5425_204327,California,Kedzie,0,22.12,1.73,11.5
20170130_5425_204328,California,Kedzie,0,22.32,2.37,17.97
20170130_5425_204329,California,Kedzie,0,22.62,2.53,13.27
20170130_5425_204330,California,Kedzie,0,22.83,3.35,14.23
20170130_5425_204331,California,Kedzie,0,23.07,3.1,14.08
20170130_5425_204332,California,Kedzie,0,23.3,2.83,16.25
20170130_5425_204333,California,Kedzie,0,23.57,2.5,14.57
20170130_5425_204334,California,Kedzie,0,23.82,1.82,12.4
20170130_5425_204335,California,Kedzie,0,0.02,2.13,17.3
20170130_5425_204336,California,Kedzie,0,0.32,3.67,19.73
20170131_5425_204337,California,Kedzie,0,0.63,2.2,7.67
20170131_5425_204338,California,Kedzie,0,0.77,2.97,18.03
20170131_5425_204339,California,Kedzie,0,1.07,1.65,14.92
20170131_5425_204340,California,Kedzie,0,1.32,1.58,23.18
20170131_5425_204341,California,Kedzie,0,1.7,2.37,25.93
20170131_1293_204342,California,Kedzie,0,2.13,1.9,23.95
20170131_1293_204343,California,Kedzie,0,2.53,1.45,35.52
20170131_1293_204344,California,Kedzie,1,3.13,1.88,23.97
20170131_1295_204371,California,Kedzie,1,3.53,1.5,0.03
20170131_1293_204345,California,Kedzie,1,3.53,1.9,28.52
20170131_1295_204378,California,Kedzie,1,4.0,1.92,5.88
20170131_1293_204212,California,Kedzie,1,4.1,2.55,16.53
20170131_1295_204379,California,Kedzie,1,4.38,1.98,10.6
20170131_5425_204213,California,Kedzie,1,4.55,2.57,7.87
20170131_1295_204380,California,Kedzie,1,4.68,1.58,26.25
20170131_5425_204214,California,Kedzie,1,5.12,2.35,10.45
20170131_1295_204381,California,Kedzie,1,5.3,1.9,13.37
20170131_5425_204215,California,Kedzie,1,5.52,2.15,25.97
20170131_5425_204216,California,Kedzie,1,5.95,2.93,20.07
20170131_1295_1063947,California,Kedzie,1,6.28,2.8,1.57
20170131_5425_204219,California,Kedzie,1,6.32,2.33,15.8
20170131_5425_204220,California,Kedzie,1,6.58,2.55,16.65
20170131_5425_204221,California,Kedzie,1,6.85,2.97,14.03
20170131_5425_204222,California,Kedzie,1,7.08,2.8,2.28
20170131_1295_1063943,California,Kedzie,1,7.12,2.0,13.9
20170131_1295_1063944,California,Kedzie,1,7.35,1.97,0.2
20170131_5425_204223,California,Kedzie,1,7.37,3.58,15.98
20170131_5425_204224,California,Kedzie,1,7.63,7.65,0.98
20170131_5425_10002765,California,Kedzie,1,7.65,6.53,8.17
20170131_5425_10002766,California,Kedzie,1,7.78,4.1,14.9
20170131_5425_10002767,California,Kedzie,1,8.03,1.82,8.73
20170131_5425_10002769,California,Kedzie,1,8.17,1.8,18.2
20170131_5425_10002771,California,Kedzie,1,8.48,3.12,11.82
20170131_5425_10002773,California,Kedzie,1,8.67,2.47,8.92
20170131_5425_10002775,California,Kedzie,1,8.82,2.37,10.73
20170131_5425_10002777,California,Kedzie,1,9.0,3.12,16.4
20170131_5425_1063968,California,Kedzie,1,9.27,1.73,7.13
20170131_5425_1063969,California,Kedzie,1,9.4,2.72,22.13
20170131_5425_1063866,California,Kedzie,1,9.77,4.17,6.4
20170131_5425_1083565,California,Kedzie,1,9.87,2.08,12.97
20170131_5425_1083566,California,Kedzie,1,10.08,2.5,11.38
20170131_5425_1083567,California,Kedzie,1,10.27,2.32,11.18
20170131_5425_1083568,California,Kedzie,1,10.47,2.13,15.13
20170131_5425_1083569,California,Kedzie,1,10.72,2.97,11.37
20170131_5425_1083570,California,Kedzie,1,10.9,3.0,9.58
20170131_5425_1083571,California,Kedzie,1,11.07,3.55,11.12
20170131_5425_1083572,California,Kedzie,1,11.25,1.8,16.08
20170131_5425_1083573,California,Kedzie,1,11.52,1.7,7.88
20170131_5425_1063877,California,Kedzie,1,11.65,2.0,13.43
20170131_5425_1063878,California,Kedzie,1,11.87,4.32,9.32
20170131_5425_1063879,California,Kedzie,1,12.03,2.08,19.42
20170131_5425_1063880,California,Kedzie,1,12.35,2.43,9.92
20170131_5425_1063881,California,Kedzie,1,12.52,2.05,6.92
20170131_5425_1063882,California,Kedzie,1,12.63,2.73,12.97
20170131_5425_1063883,California,Kedzie,1,12.85,2.3,15.05
20170131_5425_1063884,California,Kedzie,1,13.1,3.18,12.75
20170131_5425_1063885,California,Kedzie,1,13.32,2.98,17.1
20170131_5425_1063886,California,Kedzie,1,13.6,2.53,4.37
20170131_5425_1063887,California,Kedzie,1,13.67,2.43,13.87
20170131_5425_1063888,California,Kedzie,1,13.9,3.2,12.7
20170131_5425_1063889,California,Kedzie,1,14.12,3.48,12.0
20170131_5425_1063890,California,Kedzie,1,14.32,2.5,11.83
20170131_5425_1063892,California,Kedzie,1,14.5,2.03,14.3
20170131_5425_1063893,California,Kedzie,1,14.75,3.05,8.47
20170131_5425_1063894,California,Kedzie,1,14.88,4.77,11.0
20170131_5425_10004045,California,Kedzie,1,15.07,1.97,11.83
20170131_5425_10004046,California,Kedzie,1,15.27,3.18,9.9
20170131_5425_10004047,California,Kedzie,1,15.43,3.07,4.02
20170131_5425_10004048,California,Kedzie,1,15.5,4.95,11.92
20170131_1293_10004049,California,Kedzie,1,15.7,2.67,5.63
20170131_5425_10004050,California,Kedzie,1,15.78,3.23,12.15
20170131_5425_10004051,California,Kedzie,1,16.0,3.02,1.98
20170131_1293_10004052,California,Kedzie,1,16.03,2.87,14.3
20170131_5425_10004053,California,Kedzie,1,16.27,2.5,7.03
20170131_1293_10004054,California,Kedzie,1,16.38,4.57,1.9
20170131_5425_10004055,California,Kedzie,1,16.42,3.67,10.1
20170131_5425_10004057,California,Kedzie,1,16.58,4.13,14.57
20170131_5425_10004058,California,Kedzie,1,16.83,3.1,14.22
20170131_5425_10004059,California,Kedzie,1,17.07,2.88,1.47
20170131_1293_10004060,California,Kedzie,1,17.08,2.73,6.85
20170131_5425_10004061,California,Kedzie,1,17.2,1.93,13.03
20170131_1293_10004062,California,Kedzie,1,17.42,3.08,2.83
20170131_5425_10004063,California,Kedzie,1,17.47,3.07,6.13
20170131_5425_10004064,California,Kedzie,1,17.57,3.62,12.48
20170131_1293_10004065,California,Kedzie,1,17.78,3.67,16.03
20170131_5425_10004066,California,Kedzie,1,18.05,2.57,0.33
20170131_5425_10004067,California,Kedzie,1,18.05,3.02,8.83
20170131_5425_10004068,California,Kedzie,1,18.2,2.52,9.62
20170131_1293_10004069,California,Kedzie,1,18.35,4.5,9.32
20170131_5425_10004070,California,Kedzie,1,18.52,2.03,9.95
20170131_5425_1083636,California,Kedzie,1,18.68,2.35,4.23
20170131_1293_1083637,California,Kedzie,1,18.75,1.08,14.27
20170131_5425_1083638,California,Kedzie,1,18.98,2.33,10.0
20170131_5426_203199,California,Kedzie,1,19.15,1.97,7.8
20170131_5425_1083640,California,Kedzie,1,19.28,2.7,11.65
20170131_5425_1083641,California,Kedzie,1,19.48,2.58,16.05
20170131_5425_204316,California,Kedzie,1,19.75,1.8,9.43
20170131_5425_204317,California,Kedzie,1,19.9,1.5,14.53
20170131_5425_204318,California,Kedzie,1,20.15,2.33,12.57
20170131_5425_204319,California,Kedzie,1,20.35,2.37,6.77
20170131_5425_204320,California,Kedzie,1,20.47,2.62,17.28
20170131_5425_204321,California,Kedzie,1,20.75,2.15,9.65
20170131_5425_204322,California,Kedzie,1,20.92,2.2,12.93
20170131_5425_204323,California,Kedzie,1,21.13,2.33,14.53
20170131_5425_204324,California,Kedzie,1,21.37,2.23,32.1
20170131_5425_204326,California,Kedzie,1,21.9,2.47,12.23
20170131_5425_204327,California,Kedzie,1,22.12,1.5,12.83
20170131_5425_204328,California,Kedzie,1,22.32,1.45,16.17
20170131_5425_204329,California,Kedzie,1,22.6,2.35,12.27
20170131_5425_204330,California,Kedzie,1,22.8,1.53,17.17
20170131_5425_204331,California,Kedzie,1,23.08,1.42,14.17
20170131_5425_204332,California,Kedzie,1,23.32,0.0,30.77
20170131_5425_204334,California,Kedzie,1,23.83,1.9,11.6
20170131_5425_204335,California,Kedzie,1,0.03,2.9,15.93
20170131_5425_204336,California,Kedzie,1,0.3,2.17,13.77
20170201_5425_204337,California,Kedzie,1,0.52,1.67,16.93
20170201_5425_204338,California,Kedzie,1,0.8,1.3,11.38
20170201_5425_204339,California,Kedzie,1,1.0,2.82,18.58
20170201_5425_204340,California,Kedzie,1,1.3,1.28,58.42
20170201_1293_204342,California,Kedzie,1,2.28,2.32,17.37
20170201_1293_204343,California,Kedzie,1,2.57,2.02,56.65
20170201_1295_204371,California,Kedzie,2,3.52,2.0,1.72
20170201_1293_204345,California,Kedzie,2,3.53,1.65,27.55
20170201_1295_204378,California,Kedzie,2,4.0,2.42,23.6
20170201_1295_204379,California,Kedzie,2,4.4,1.77,9.63
20170201_5425_204213,California,Kedzie,2,4.55,1.87,8.42
20170201_1295_204380,California,Kedzie,2,4.7,1.65,26.65
20170201_5425_204214,California,Kedzie,2,5.13,2.3,8.18
20170201_1295_204381,California,Kedzie,2,5.27,2.5,16.05
20170201_5425_204215,California,Kedzie,2,5.53,2.43,6.53
20170201_1295_204382,California,Kedzie,2,5.65,2.45,16.1
20170201_5425_204216,California,Kedzie,2,5.92,2.2,21.03
20170201_1295_1063947,California,Kedzie,2,6.27,2.35,1.93
20170201_5425_204219,California,Kedzie,2,6.3,1.43,17.53
20170201_5425_204220,California,Kedzie,2,6.6,2.35,13.23
20170201_1295_1063946,California,Kedzie,2,6.82,3.37,1.17
20170201_5425_204221,California,Kedzie,2,6.83,3.23,16.5
20170201_5425_204222,California,Kedzie,2,7.1,3.9,0.82
20170201_1295_1063943,California,Kedzie,2,7.12,3.18,12.05
20170201_1295_1063944,California,Kedzie,2,7.32,3.67,0.08
20170201_5425_204223,California,Kedzie,2,7.32,3.85,14.82
20170201_5425_204224,California,Kedzie,2,7.57,4.92,7.97
20170201_5425_10002765,California,Kedzie,2,7.7,5.15,2.1
20170201_5425_10002766,California,Kedzie,2,7.73,4.28,12.82
20170201_5425_10002767,California,Kedzie,2,7.95,3.68,19.48
20170201_5425_10002769,California,Kedzie,2,8.28,2.83,7.77
20170201_5425_10002771,California,Kedzie,2,8.4,3.45,16.17
20170201_5425_10002773,California,Kedzie,2,8.68,2.03,12.93
20170201_5425_10002775,California,Kedzie,2,8.88,1.5,11.12
20170201_5425_10002777,California,Kedzie,2,9.08,1.85,17.53
20170201_5425_1063969,California,Kedzie,2,9.37,2.52,26.4
20170201_5425_1063866,California,Kedzie,2,9.82,3.25,3.45
20170201_5425_1083565,California,Kedzie,2,9.87,3.93,11.97
20170201_5425_1083566,California,Kedzie,2,10.07,2.87,16.58
20170201_5425_1083567,California,Kedzie,2,10.35,2.05,6.23
20170201_5425_1083568,California,Kedzie,2,10.45,25.42,17.67
20170201_5425_1083569,California,Kedzie,2,10.73,2.05,8.98
20170201_5425_1083570,California,Kedzie,2,10.88,2.48,12.57
20170201_5425_1083571,California,Kedzie,2,11.1,2.93,24.67
20170201_5425_1083573,California,Kedzie,2,11.52,2.77,6.65
20170201_5425_1063877,California,Kedzie,2,11.62,2.42,13.67
20170201_5425_1063878,California,Kedzie,2,11.85,2.17,14.15
20170201_5425_1063879,California,Kedzie,2,12.08,1.93,21.93
20170201_5425_1063880,California,Kedzie,2,12.45,3.03,4.73
20170201_5425_1063881,California,Kedzie,2,12.53,1.72,11.27
20170201_5425_1063882,California,Kedzie,2,12.72,2.33,7.87
