tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204181,CottageGrove,Woodlawn,0,19.2,4.15,3.17
20170130_5424_204182,CottageGrove,Woodlawn,0,19.27,3.95,11.25
20170130_5424_204183,CottageGrove,Woodlawn,0,19.45,3.68,12.85
20170130_5424_204184,CottageGrove,Woodlawn,0,19.67,2.23,17.37
20170130_5424_204185,CottageGrove,Woodlawn,0,19.95,1.57,8.13
20170130_5424_204186,CottageGrove,Woodlawn,0,20.08,2.5,22.57
20170130_5424_204187,CottageGrove,Woodlawn,0,20.47,2.35,8.48
20170130_5424_204188,CottageGrove,Woodlawn,0,20.6,3.95,14.35
20170130_5424_204189,CottageGrove,Woodlawn,0,20.85,2.8,17.53
20170130_5424_204190,CottageGrove,Woodlawn,0,21.13,2.88,12.52
20170130_5424_204191,CottageGrove,Woodlawn,0,21.35,1.42,14.93
20170130_5424_204192,CottageGrove,Woodlawn,0,21.6,2.95,14.72
20170130_5424_204193,CottageGrove,Woodlawn,0,21.83,2.17,14.77
20170130_5424_204194,CottageGrove,Woodlawn,0,22.08,2.4,19.68
20170130_5424_204195,CottageGrove,Woodlawn,0,22.42,2.52,10.35
20170130_5424_204196,CottageGrove,Woodlawn,0,22.58,2.33,15.55
20170130_5424_204197,CottageGrove,Woodlawn,0,22.85,2.42,12.82
20170130_5424_204198,CottageGrove,Woodlawn,0,23.05,5.3,15.33
20170130_5424_204199,CottageGrove,Woodlawn,0,23.32,1.62,12.27
20170130_5424_204200,CottageGrove,Woodlawn,0,23.52,1.6,20.17
20170130_5424_204201,CottageGrove,Woodlawn,0,23.85,1.9,13.9
20170130_5424_204202,CottageGrove,Woodlawn,0,0.08,1.93,17.17
20170130_5424_204203,CottageGrove,Woodlawn,0,0.37,1.27,19.87
20170131_5424_204204,CottageGrove,Woodlawn,0,0.7,1.53,24.93
20170131_5424_204205,CottageGrove,Woodlawn,0,1.12,2.08,27.82
20170131_5424_204206,CottageGrove,Woodlawn,0,1.58,2.72,24.68
20170131_5424_204207,CottageGrove,Woodlawn,0,2.0,4.15,35.05
20170131_5424_204208,CottageGrove,Woodlawn,0,2.58,2.03,25.85
20170131_1300_204209,CottageGrove,Woodlawn,1,3.02,1.78,30.75
20170131_1300_1,CottageGrove,Woodlawn,1,3.52,2.3,33.32
20170131_1300_2,CottageGrove,Woodlawn,1,4.08,1.63,23.92
20170131_1300_3,CottageGrove,Woodlawn,1,4.47,1.68,23.68
20170131_1300_4,CottageGrove,Woodlawn,1,4.87,2.53,21.92
20170131_1300_5,CottageGrove,Woodlawn,1,5.23,3.08,21.58
20170131_5424_6,CottageGrove,Woodlawn,1,5.6,2.37,15.03
20170131_1300_204084,CottageGrove,Woodlawn,1,5.85,1.82,10.88
20170131_5424_204085,CottageGrove,Woodlawn,1,6.03,3.15,18.12
