tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083641,CottageGrove,GarfieldGreen,0,19.1,3.7,11.53
20170130_5425_204316,CottageGrove,GarfieldGreen,0,19.3,2.87,18.3
20170130_5425_204317,CottageGrove,GarfieldGreen,0,19.6,3.57,4.53
20170130_5425_204318,CottageGrove,GarfieldGreen,0,19.68,2.5,14.0
20170130_5425_204319,CottageGrove,GarfieldGreen,0,19.92,3.53,8.85
20170130_5425_204320,CottageGrove,GarfieldGreen,0,20.05,3.42,13.52
20170130_5425_204321,CottageGrove,GarfieldGreen,0,20.28,3.1,13.13
20170130_5425_204322,CottageGrove,GarfieldGreen,0,20.5,3.05,16.98
20170130_5425_204323,CottageGrove,GarfieldGreen,0,20.78,3.08,11.62
20170130_5425_204324,CottageGrove,GarfieldGreen,0,20.98,2.92,14.25
20170130_5425_204325,CottageGrove,GarfieldGreen,0,21.22,3.28,15.85
20170130_5425_204326,CottageGrove,GarfieldGreen,0,21.48,2.25,14.67
20170130_5425_204327,CottageGrove,GarfieldGreen,0,21.72,4.13,12.73
20170130_5425_204328,CottageGrove,GarfieldGreen,0,21.93,2.1,17.0
20170130_5425_204329,CottageGrove,GarfieldGreen,0,22.22,3.22,15.6
20170130_5425_204330,CottageGrove,GarfieldGreen,0,22.48,1.88,14.43
20170130_5425_204331,CottageGrove,GarfieldGreen,0,22.72,2.53,12.58
20170130_5425_204332,CottageGrove,GarfieldGreen,0,22.93,4.42,14.92
20170130_5425_204333,CottageGrove,GarfieldGreen,0,23.18,2.52,17.37
20170130_5425_204334,CottageGrove,GarfieldGreen,0,23.47,3.7,13.62
20170130_5425_204335,CottageGrove,GarfieldGreen,0,23.7,2.62,15.85
20170130_5425_204336,CottageGrove,GarfieldGreen,0,23.97,1.92,19.2
20170131_5425_204337,CottageGrove,GarfieldGreen,0,0.28,2.57,8.78
20170131_5425_204338,CottageGrove,GarfieldGreen,0,0.42,2.13,16.75
20170131_5425_204339,CottageGrove,GarfieldGreen,0,0.7,2.77,17.77
20170131_5425_204340,CottageGrove,GarfieldGreen,0,1.0,2.02,22.2
20170131_5425_204341,CottageGrove,GarfieldGreen,0,1.37,2.32,27.23
20170131_1293_204342,CottageGrove,GarfieldGreen,0,1.82,2.73,26.13
20170131_1293_204343,CottageGrove,GarfieldGreen,0,2.27,2.4,32.33
20170131_1293_204344,CottageGrove,GarfieldGreen,0,2.8,3.1,28.5
20170131_1293_204345,CottageGrove,GarfieldGreen,1,3.27,2.23,28.5
20170131_1293_204212,CottageGrove,GarfieldGreen,1,3.75,3.0,29.8
20170131_5425_204213,CottageGrove,GarfieldGreen,1,4.25,2.47,31.92
20170131_5425_204214,CottageGrove,GarfieldGreen,1,4.78,2.7,23.55
20170131_5425_204215,CottageGrove,GarfieldGreen,1,5.17,3.78,24.27
20170131_5425_204216,CottageGrove,GarfieldGreen,1,5.57,3.2,22.77
20170131_5425_204219,CottageGrove,GarfieldGreen,1,5.95,2.17,13.77
20170131_5425_204220,CottageGrove,GarfieldGreen,1,6.18,2.77,17.52
20170131_5425_204221,CottageGrove,GarfieldGreen,1,6.47,2.48,12.82
20170131_5425_204222,CottageGrove,GarfieldGreen,1,6.68,3.32,13.67
20170131_5425_204223,CottageGrove,GarfieldGreen,1,6.92,2.7,14.25
20170131_5425_204224,CottageGrove,GarfieldGreen,1,7.15,3.75,3.48
20170131_5425_10002765,CottageGrove,GarfieldGreen,1,7.22,2.75,9.07
20170131_5425_10002766,CottageGrove,GarfieldGreen,1,7.37,4.4,13.43
20170131_5425_10002767,CottageGrove,GarfieldGreen,1,7.58,3.8,4.27
20170131_1291_10002768,CottageGrove,GarfieldGreen,1,7.65,3.6,6.95
20170131_5425_10002769,CottageGrove,GarfieldGreen,1,7.77,2.38,16.82
20170131_5425_10002771,CottageGrove,GarfieldGreen,1,8.05,3.47,1.63
20170131_1291_10002772,CottageGrove,GarfieldGreen,1,8.08,3.27,9.9
20170131_5425_10002773,CottageGrove,GarfieldGreen,1,8.25,4.67,5.87
20170131_1291_10002774,CottageGrove,GarfieldGreen,1,8.35,3.3,5.8
20170131_5425_10002775,CottageGrove,GarfieldGreen,1,8.43,3.27,7.17
20170131_1291_10002776,CottageGrove,GarfieldGreen,1,8.57,3.9,5.82
20170131_5425_10002777,CottageGrove,GarfieldGreen,1,8.65,4.02,5.78
20170131_1291_1063967,CottageGrove,GarfieldGreen,1,8.75,3.63,8.2
20170131_5425_1063968,CottageGrove,GarfieldGreen,1,8.88,2.9,7.73
20170131_5425_1063969,CottageGrove,GarfieldGreen,1,9.02,3.35,14.38
20170131_1291_1063865,CottageGrove,GarfieldGreen,1,9.27,3.05,3.95
20170131_5425_1063866,CottageGrove,GarfieldGreen,1,9.32,3.57,8.43
20170131_5425_1083565,CottageGrove,GarfieldGreen,1,9.47,2.77,12.15
20170131_5425_1083566,CottageGrove,GarfieldGreen,1,9.67,3.63,12.87
20170131_5425_1083567,CottageGrove,GarfieldGreen,1,9.88,4.08,10.25
20170131_5425_1083568,CottageGrove,GarfieldGreen,1,10.05,3.82,12.62
20170131_5425_1083569,CottageGrove,GarfieldGreen,1,10.27,3.77,13.97
20170131_5425_1083570,CottageGrove,GarfieldGreen,1,10.5,4.28,10.15
20170131_5425_1083571,CottageGrove,GarfieldGreen,1,10.67,3.4,12.95
20170131_5425_1083572,CottageGrove,GarfieldGreen,1,10.88,2.72,8.93
20170131_5425_1083573,CottageGrove,GarfieldGreen,1,11.03,3.22,12.92
20170131_5425_1063877,CottageGrove,GarfieldGreen,1,11.25,3.17,13.7
20170131_5425_1063878,CottageGrove,GarfieldGreen,1,11.47,3.62,10.35
20170131_5425_1063879,CottageGrove,GarfieldGreen,1,11.65,2.88,14.87
20170131_5425_1063880,CottageGrove,GarfieldGreen,1,11.9,3.02,12.65
20170131_5425_1063881,CottageGrove,GarfieldGreen,1,12.1,4.45,8.3
20170131_5425_1063882,CottageGrove,GarfieldGreen,1,12.25,3.25,27.08
20170131_5425_1063884,CottageGrove,GarfieldGreen,1,12.7,3.87,12.48
20170131_5425_1063885,CottageGrove,GarfieldGreen,1,12.9,3.68,13.67
20170131_5425_1063886,CottageGrove,GarfieldGreen,1,13.13,4.3,9.72
20170131_5425_1063887,CottageGrove,GarfieldGreen,1,13.3,2.95,10.98
20170131_5425_1063888,CottageGrove,GarfieldGreen,1,13.48,3.1,10.53
20170131_5425_1063889,CottageGrove,GarfieldGreen,1,13.65,4.62,11.92
20170131_5425_1063890,CottageGrove,GarfieldGreen,1,13.85,3.95,12.53
20170131_5425_1063892,CottageGrove,GarfieldGreen,1,14.05,4.48,12.37
20170131_5425_1063893,CottageGrove,GarfieldGreen,1,14.27,2.97,8.7
20170131_5425_1063894,CottageGrove,GarfieldGreen,1,14.42,3.08,11.92
20170131_5425_10004045,CottageGrove,GarfieldGreen,1,14.6,3.93,10.83
20170131_5425_10004046,CottageGrove,GarfieldGreen,1,14.78,3.52,8.23
20170131_5425_10004047,CottageGrove,GarfieldGreen,1,14.93,3.03,6.47
20170131_5425_10004048,CottageGrove,GarfieldGreen,1,15.03,4.13,7.0
20170131_1293_10004049,CottageGrove,GarfieldGreen,1,15.15,3.07,9.47
20170131_5425_10004050,CottageGrove,GarfieldGreen,1,15.3,3.15,12.28
20170131_5425_10004051,CottageGrove,GarfieldGreen,1,15.52,4.87,2.32
20170131_1293_10004052,CottageGrove,GarfieldGreen,1,15.55,2.83,11.4
20170131_5425_10004053,CottageGrove,GarfieldGreen,1,15.73,3.97,7.23
20170131_1293_10004054,CottageGrove,GarfieldGreen,1,15.87,4.3,14.47
20170131_1293_10004056,CottageGrove,GarfieldGreen,1,16.1,3.73,4.92
20170131_5425_10004057,CottageGrove,GarfieldGreen,1,16.18,3.05,8.75
20170131_5425_10004058,CottageGrove,GarfieldGreen,1,16.33,2.75,15.03
20170131_1293_10004060,CottageGrove,GarfieldGreen,1,16.58,4.63,1.67
20170131_5425_10004059,CottageGrove,GarfieldGreen,1,16.62,4.7,6.5
20170131_5425_10004061,CottageGrove,GarfieldGreen,1,16.72,3.03,17.93
20170131_1293_10004062,CottageGrove,GarfieldGreen,1,17.02,4.32,0.27
20170131_5425_10004063,CottageGrove,GarfieldGreen,1,17.02,4.43,6.65
20170131_5425_10004064,CottageGrove,GarfieldGreen,1,17.13,2.75,8.08
20170131_1293_10004065,CottageGrove,GarfieldGreen,1,17.27,3.72,14.87
20170131_5425_10004066,CottageGrove,GarfieldGreen,1,17.52,3.0,4.63
20170131_5425_10004067,CottageGrove,GarfieldGreen,1,17.58,2.95,9.0
20170131_5425_10004068,CottageGrove,GarfieldGreen,1,17.73,2.75,13.4
20170131_1293_10004069,CottageGrove,GarfieldGreen,1,17.97,2.63,6.57
20170131_5425_10004070,CottageGrove,GarfieldGreen,1,18.07,3.93,10.0
20170131_5425_1083636,CottageGrove,GarfieldGreen,1,18.23,3.78,10.17
20170131_1293_1083637,CottageGrove,GarfieldGreen,1,18.42,3.23,9.93
20170131_5425_1083638,CottageGrove,GarfieldGreen,1,18.58,2.83,11.17
20170131_1293_1083639,CottageGrove,GarfieldGreen,1,18.77,2.23,7.25
20170131_5425_1083640,CottageGrove,GarfieldGreen,1,18.88,2.98,12.48
20170131_5425_1083641,CottageGrove,GarfieldGreen,1,19.08,2.67,12.8
20170131_5425_204316,CottageGrove,GarfieldGreen,1,19.3,3.18,11.13
20170131_5425_204317,CottageGrove,GarfieldGreen,1,19.48,4.03,12.13
20170131_5425_204318,CottageGrove,GarfieldGreen,1,19.7,1.97,15.1
20170131_5425_204319,CottageGrove,GarfieldGreen,1,19.95,3.33,8.92
20170131_5425_204320,CottageGrove,GarfieldGreen,1,20.1,2.55,12.47
20170131_5425_204321,CottageGrove,GarfieldGreen,1,20.3,2.62,12.65
20170131_5425_204322,CottageGrove,GarfieldGreen,1,20.52,3.88,14.73
20170131_5425_204323,CottageGrove,GarfieldGreen,1,20.75,3.67,13.1
20170131_5425_204324,CottageGrove,GarfieldGreen,1,20.97,3.23,29.28
20170131_5425_204326,CottageGrove,GarfieldGreen,1,21.47,3.25,18.25
20170131_5425_204327,CottageGrove,GarfieldGreen,1,21.77,3.3,10.1
20170131_5425_204328,CottageGrove,GarfieldGreen,1,21.93,3.48,16.38
20170131_5425_204329,CottageGrove,GarfieldGreen,1,22.2,2.65,15.58
20170131_5425_204330,CottageGrove,GarfieldGreen,1,22.47,2.22,13.42
20170131_5425_204331,CottageGrove,GarfieldGreen,1,22.68,2.43,15.4
20170131_5425_204332,CottageGrove,GarfieldGreen,1,22.95,2.42,29.62
20170131_5425_204334,CottageGrove,GarfieldGreen,1,23.45,2.5,14.18
20170131_5425_204335,CottageGrove,GarfieldGreen,1,23.68,2.42,15.22
20170131_5425_204336,CottageGrove,GarfieldGreen,1,23.93,3.57,13.8
20170201_5425_204337,CottageGrove,GarfieldGreen,1,0.17,3.72,16.33
20170201_5425_204338,CottageGrove,GarfieldGreen,1,0.43,1.9,13.47
20170201_5425_204339,CottageGrove,GarfieldGreen,1,0.67,3.07,20.47
20170201_5425_204340,CottageGrove,GarfieldGreen,1,1.0,2.43,61.6
20170201_1293_204342,CottageGrove,GarfieldGreen,1,2.03,1.97,15.43
20170201_1293_204343,CottageGrove,GarfieldGreen,1,2.28,2.53,57.48
20170201_1293_204345,CottageGrove,GarfieldGreen,2,3.23,1.45,60.82
20170201_5425_204213,CottageGrove,GarfieldGreen,2,4.25,2.53,31.77
20170201_5425_204214,CottageGrove,GarfieldGreen,2,4.78,2.75,24.0
20170201_5425_204215,CottageGrove,GarfieldGreen,2,5.18,2.53,22.33
20170201_5425_204216,CottageGrove,GarfieldGreen,2,5.55,3.12,23.63
20170201_5425_204219,CottageGrove,GarfieldGreen,2,5.95,2.4,15.5
20170201_5425_204220,CottageGrove,GarfieldGreen,2,6.22,2.7,16.42
20170201_5425_204221,CottageGrove,GarfieldGreen,2,6.48,2.5,13.0
20170201_5425_204222,CottageGrove,GarfieldGreen,2,6.7,3.65,11.67
20170201_5425_204223,CottageGrove,GarfieldGreen,2,6.9,3.25,12.28
20170201_5425_204224,CottageGrove,GarfieldGreen,2,7.1,3.07,9.73
20170201_5425_10002765,CottageGrove,GarfieldGreen,2,7.27,2.87,5.95
20170201_5425_10002766,CottageGrove,GarfieldGreen,2,7.37,3.5,11.45
20170201_5425_10002767,CottageGrove,GarfieldGreen,2,7.55,4.33,13.77
20170201_1291_10002768,CottageGrove,GarfieldGreen,2,7.78,0.0,3.1
20170201_5425_10002769,CottageGrove,GarfieldGreen,2,7.83,3.5,3.8
20170201_1291_10002770,CottageGrove,GarfieldGreen,2,7.9,3.72,14.42
20170201_1291_10002772,CottageGrove,GarfieldGreen,2,8.13,3.4,4.38
20170201_5425_10002771,CottageGrove,GarfieldGreen,2,8.22,0.0,2.85
20170201_5425_10002773,CottageGrove,GarfieldGreen,2,8.25,3.25,4.82
20170201_1291_10002774,CottageGrove,GarfieldGreen,2,8.33,3.55,9.32
20170201_5425_10002775,CottageGrove,GarfieldGreen,2,8.48,2.6,3.85
20170201_1291_10002776,CottageGrove,GarfieldGreen,2,8.55,3.8,7.65
20170201_5425_10002777,CottageGrove,GarfieldGreen,2,8.68,2.98,3.97
20170201_1291_1063967,CottageGrove,GarfieldGreen,2,8.75,3.13,13.35
20170201_5425_1063969,CottageGrove,GarfieldGreen,2,8.97,3.52,10.07
20170201_1291_1063865,CottageGrove,GarfieldGreen,2,9.13,2.52,12.07
20170201_5425_1063866,CottageGrove,GarfieldGreen,2,9.33,2.5,5.98
20170201_5425_1083565,CottageGrove,GarfieldGreen,2,9.43,3.2,11.53
20170201_5425_1083566,CottageGrove,GarfieldGreen,2,9.63,3.52,17.05
20170201_5425_1083567,CottageGrove,GarfieldGreen,2,9.92,3.4,17.1
20170201_5425_1083568,CottageGrove,GarfieldGreen,2,10.2,4.67,4.53
20170201_5425_1083569,CottageGrove,GarfieldGreen,2,10.28,3.67,13.33
20170201_5425_1083570,CottageGrove,GarfieldGreen,2,10.5,3.12,10.6
20170201_5425_1083571,CottageGrove,GarfieldGreen,2,10.68,3.38,23.33
20170201_5425_1083573,CottageGrove,GarfieldGreen,2,11.07,2.83,12.62
20170201_5425_1063877,CottageGrove,GarfieldGreen,2,11.28,3.43,11.47
20170201_5425_1063878,CottageGrove,GarfieldGreen,2,11.47,2.6,10.85
20170201_5425_1063879,CottageGrove,GarfieldGreen,2,11.65,3.62,16.6
20170201_5425_1063880,CottageGrove,GarfieldGreen,2,11.92,3.48,12.6
20170201_5425_1063881,CottageGrove,GarfieldGreen,2,12.13,1.27,8.28
20170201_5425_1063882,CottageGrove,GarfieldGreen,2,12.27,2.62,10.72
20170201_5425_1063883,CottageGrove,GarfieldGreen,2,12.45,3.27,12.75
20170201_5425_1063884,CottageGrove,GarfieldGreen,2,12.67,3.42,27.45
20170201_5425_1063886,CottageGrove,GarfieldGreen,2,13.12,3.17,11.2
20170201_5425_1063887,CottageGrove,GarfieldGreen,2,13.3,3.25,8.13
20170201_5425_1063888,CottageGrove,GarfieldGreen,2,13.45,4.17,15.47
20170201_5425_1063889,CottageGrove,GarfieldGreen,2,13.7,2.98,11.2
20170201_5425_1063890,CottageGrove,GarfieldGreen,2,13.88,4.13,19.92
20170201_5425_1063893,CottageGrove,GarfieldGreen,2,14.22,3.68,9.2
20170201_5425_1063894,CottageGrove,GarfieldGreen,2,14.37,3.03,5.3
20170201_5425_1063892,CottageGrove,GarfieldGreen,2,14.47,0.0,6.98
20170201_5425_10004045,CottageGrove,GarfieldGreen,2,14.58,3.63,11.27
20170201_5425_10004046,CottageGrove,GarfieldGreen,2,14.77,4.32,21.33
20170201_5425_10004048,CottageGrove,GarfieldGreen,2,15.12,3.97,1.17
20170201_1293_10004049,CottageGrove,GarfieldGreen,2,15.13,3.5,13.13
20170201_5425_10004050,CottageGrove,GarfieldGreen,2,15.37,3.83,8.03
20170201_5425_10004051,CottageGrove,GarfieldGreen,2,15.5,5.37,4.73
20170201_1293_10004052,CottageGrove,GarfieldGreen,2,15.57,3.3,6.57
20170201_5425_10004053,CottageGrove,GarfieldGreen,2,15.68,4.0,8.55
20170201_1293_10004054,CottageGrove,GarfieldGreen,2,15.82,1.85,9.6
20170201_5425_10004055,CottageGrove,GarfieldGreen,2,15.98,3.12,8.52
20170201_1293_10004056,CottageGrove,GarfieldGreen,2,16.13,2.92,3.23
20170201_5425_10004057,CottageGrove,GarfieldGreen,2,16.18,2.63,16.6
20170201_5425_10004059,CottageGrove,GarfieldGreen,2,16.45,13.27,11.73
20170201_1293_10004060,CottageGrove,GarfieldGreen,2,16.65,3.5,2.43
20170201_5425_10004061,CottageGrove,GarfieldGreen,2,16.7,3.95,8.45
20170201_5425_10004058,CottageGrove,GarfieldGreen,2,16.83,0.0,2.38
20170201_1293_10004062,CottageGrove,GarfieldGreen,2,16.87,3.53,8.3
20170201_5425_10004063,CottageGrove,GarfieldGreen,2,17.02,2.17,22.13
20170201_1293_10004065,CottageGrove,GarfieldGreen,2,17.38,3.98,3.0
20170201_5425_10004066,CottageGrove,GarfieldGreen,2,17.43,2.33,10.08
20170201_5425_10004067,CottageGrove,GarfieldGreen,2,17.6,3.85,13.15
20170201_5425_10004068,CottageGrove,GarfieldGreen,2,17.82,3.3,5.57
20170201_1293_10004069,CottageGrove,GarfieldGreen,2,17.92,4.52,12.68
20170201_5425_10004070,CottageGrove,GarfieldGreen,2,18.12,2.92,12.78
20170201_5425_1083636,CottageGrove,GarfieldGreen,2,18.33,4.2,4.33
20170201_1293_1083637,CottageGrove,GarfieldGreen,2,18.4,2.4,18.1
20170201_1293_1083639,CottageGrove,GarfieldGreen,2,18.72,2.42,10.1
20170201_5425_1083640,CottageGrove,GarfieldGreen,2,18.88,2.33,0.2
20170201_5425_1083638,CottageGrove,GarfieldGreen,2,18.88,0.0,13.57
20170201_5425_1083641,CottageGrove,GarfieldGreen,2,19.1,2.55,41.13
20170201_5425_204318,CottageGrove,GarfieldGreen,2,19.8,0.0,4.33
20170201_5425_204319,CottageGrove,GarfieldGreen,2,19.87,3.05,12.62
20170201_5425_204320,CottageGrove,GarfieldGreen,2,20.07,2.87,12.43
20170201_5425_204321,CottageGrove,GarfieldGreen,2,20.28,3.08,15.02
20170201_5425_204322,CottageGrove,GarfieldGreen,2,20.53,2.35,13.57
20170201_5425_204323,CottageGrove,GarfieldGreen,2,20.75,2.85,12.83
20170201_5425_204324,CottageGrove,GarfieldGreen,2,20.97,2.77,23.65
20170201_5425_204325,CottageGrove,GarfieldGreen,2,21.37,3.55,3.32
20170201_5425_204326,CottageGrove,GarfieldGreen,2,21.42,3.0,17.23
20170201_5425_204327,CottageGrove,GarfieldGreen,2,21.72,2.77,12.92
20170201_5425_204328,CottageGrove,GarfieldGreen,2,21.92,3.57,18.48
20170201_5425_204329,CottageGrove,GarfieldGreen,2,22.23,3.1,14.93
20170201_5425_204330,CottageGrove,GarfieldGreen,2,22.48,2.73,24.53
20170201_5425_204331,CottageGrove,GarfieldGreen,2,22.88,3.83,2.32
20170201_5425_204332,CottageGrove,GarfieldGreen,2,22.93,2.27,16.27
20170201_5425_204333,CottageGrove,GarfieldGreen,2,23.2,3.37,13.97
20170201_5425_204334,CottageGrove,GarfieldGreen,2,23.43,2.6,15.08
20170201_5425_204335,CottageGrove,GarfieldGreen,2,23.68,2.62,14.13
20170201_5425_204336,CottageGrove,GarfieldGreen,2,23.92,2.28,17.1
20170202_5425_204337,CottageGrove,GarfieldGreen,2,0.2,2.4,14.23
20170202_5425_204338,CottageGrove,GarfieldGreen,2,0.43,3.37,14.37
20170202_5425_204339,CottageGrove,GarfieldGreen,2,0.68,3.72,17.15
20170202_5425_204340,CottageGrove,GarfieldGreen,2,0.97,2.52,23.87
20170202_5425_204341,CottageGrove,GarfieldGreen,2,1.37,2.75,26.52
20170202_1293_204342,CottageGrove,GarfieldGreen,2,1.8,1.57,27.27
20170202_1293_204343,CottageGrove,GarfieldGreen,2,2.27,2.83,33.83
20170202_1293_204344,CottageGrove,GarfieldGreen,2,2.82,3.12,26.6
20170202_1293_204345,CottageGrove,GarfieldGreen,3,3.27,2.18,33.5
20170202_1293_204212,CottageGrove,GarfieldGreen,3,3.83,2.5,24.82
20170202_5425_204213,CottageGrove,GarfieldGreen,3,4.23,2.53,31.4
20170202_5425_204214,CottageGrove,GarfieldGreen,3,4.77,2.75,25.07
20170202_5425_204215,CottageGrove,GarfieldGreen,3,5.18,2.98,24.37
20170202_5425_204216,CottageGrove,GarfieldGreen,3,5.58,2.78,20.28
20170202_5425_204219,CottageGrove,GarfieldGreen,3,5.93,2.78,33.47
20170202_5425_204221,CottageGrove,GarfieldGreen,3,6.48,0.0,9.42
20170202_5425_204222,CottageGrove,GarfieldGreen,3,6.63,3.18,16.92
20170202_5425_204223,CottageGrove,GarfieldGreen,3,6.92,2.47,8.02
20170202_5425_204224,CottageGrove,GarfieldGreen,3,7.05,3.28,10.15
20170202_5425_10002765,CottageGrove,GarfieldGreen,3,7.22,2.53,9.9
20170202_5425_10002766,CottageGrove,GarfieldGreen,3,7.38,3.63,7.93
20170202_5425_10002767,CottageGrove,GarfieldGreen,3,7.52,3.27,11.2
20170202_1291_10002768,CottageGrove,GarfieldGreen,3,7.72,4.27,8.02
20170202_5425_10002769,CottageGrove,GarfieldGreen,3,7.85,3.55,7.83
20170202_1291_10002770,CottageGrove,GarfieldGreen,3,7.97,4.17,3.85
20170202_5425_10002771,CottageGrove,GarfieldGreen,3,8.03,5.03,17.17
20170202_1291_10002774,CottageGrove,GarfieldGreen,3,8.32,2.6,10.4
20170202_5425_10002775,CottageGrove,GarfieldGreen,3,8.5,3.83,9.07
20170202_5425_10002777,CottageGrove,GarfieldGreen,3,8.65,2.77,3.32
20170202_1291_10002776,CottageGrove,GarfieldGreen,3,8.7,0.0,3.38
20170202_1291_1063967,CottageGrove,GarfieldGreen,3,8.77,1.93,8.88
20170202_5425_1063968,CottageGrove,GarfieldGreen,3,8.9,3.57,5.92
20170202_5425_1063969,CottageGrove,GarfieldGreen,3,9.0,2.6,7.07
20170202_1291_1063865,CottageGrove,GarfieldGreen,3,9.12,2.67,9.93
20170202_5425_1063866,CottageGrove,GarfieldGreen,3,9.28,2.95,9.63
20170202_5425_1083565,CottageGrove,GarfieldGreen,3,9.45,2.87,16.9
20170202_5425_1083566,CottageGrove,GarfieldGreen,3,9.73,0.0,9.7
20170202_5425_1083567,CottageGrove,GarfieldGreen,3,9.9,4.92,10.07
20170202_5425_1083568,CottageGrove,GarfieldGreen,3,10.07,2.8,24.6
20170202_5425_1083570,CottageGrove,GarfieldGreen,3,10.47,3.55,10.62
20170202_5425_1083571,CottageGrove,GarfieldGreen,3,10.65,2.62,13.68
20170202_5425_1083572,CottageGrove,GarfieldGreen,3,10.88,3.38,10.7
20170202_5425_1083573,CottageGrove,GarfieldGreen,3,11.05,3.07,12.65
20170202_5425_1063877,CottageGrove,GarfieldGreen,3,11.27,4.72,9.85
20170202_5425_1063878,CottageGrove,GarfieldGreen,3,11.43,3.33,13.03
20170202_5425_1063879,CottageGrove,GarfieldGreen,3,11.65,3.15,14.98
20170202_5425_1063880,CottageGrove,GarfieldGreen,3,11.9,3.48,14.03
20170202_5425_1063881,CottageGrove,GarfieldGreen,3,12.13,2.75,20.9
20170202_5425_1063883,CottageGrove,GarfieldGreen,3,12.48,3.57,12.25
20170202_5425_1063884,CottageGrove,GarfieldGreen,3,12.68,3.1,11.8
20170202_5425_1063885,CottageGrove,GarfieldGreen,3,12.88,3.28,13.3
20170202_5425_1063886,CottageGrove,GarfieldGreen,3,13.1,2.88,13.08
20170202_5425_1063887,CottageGrove,GarfieldGreen,3,13.32,3.72,6.98
20170202_5425_1063888,CottageGrove,GarfieldGreen,3,13.43,3.2,13.1
20170202_5425_1063889,CottageGrove,GarfieldGreen,3,13.65,3.3,11.83
20170202_5425_1063890,CottageGrove,GarfieldGreen,3,13.85,3.23,18.55
20170202_5425_1063892,CottageGrove,GarfieldGreen,3,14.17,3.8,13.92
20170202_5425_1063894,CottageGrove,GarfieldGreen,3,14.4,2.67,12.02
20170202_5425_10004045,CottageGrove,GarfieldGreen,3,14.6,3.42,10.78
20170202_5425_10004046,CottageGrove,GarfieldGreen,3,14.77,3.88,7.53
20170202_5425_10004047,CottageGrove,GarfieldGreen,3,14.9,3.62,9.77
20170202_5425_10004048,CottageGrove,GarfieldGreen,3,15.07,3.77,6.92
