tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204183,Damen,Ashland,0,19.13,5.73,11.97
20170130_5424_204184,Damen,Ashland,0,19.33,2.67,0.75
20170130_1299_1083664,Damen,Ashland,0,19.35,1.28,14.4
20170130_5424_204185,Damen,Ashland,0,19.58,4.45,13.17
20170130_5424_204186,Damen,Ashland,0,19.8,2.82,16.05
20170130_5424_204187,Damen,Ashland,0,20.07,2.88,13.93
20170130_5424_204188,Damen,Ashland,0,20.3,2.93,15.98
20170130_5424_204189,Damen,Ashland,0,20.57,2.73,15.2
20170130_5424_204190,Damen,Ashland,0,20.82,3.75,14.53
20170130_5424_204191,Damen,Ashland,0,21.07,1.95,13.98
20170130_5424_204192,Damen,Ashland,0,21.3,3.02,15.27
20170130_5424_204193,Damen,Ashland,0,21.55,2.3,13.47
20170130_5424_204194,Damen,Ashland,0,21.78,2.4,16.9
20170130_5424_204195,Damen,Ashland,0,22.07,3.45,13.47
20170130_5424_204196,Damen,Ashland,0,22.28,2.52,18.0
20170130_5424_204197,Damen,Ashland,0,22.58,2.88,12.37
20170130_5424_204198,Damen,Ashland,0,22.78,2.52,15.2
20170130_5424_204199,Damen,Ashland,0,23.05,2.47,14.5
20170130_5424_204200,Damen,Ashland,0,23.28,1.17,17.43
20170130_5424_204201,Damen,Ashland,0,23.58,2.07,15.03
20170130_5424_204202,Damen,Ashland,0,23.83,2.0,18.4
20170130_5424_204203,Damen,Ashland,0,0.13,2.1,18.8
20170131_5424_204204,Damen,Ashland,0,0.45,2.47,23.37
20170131_5424_204205,Damen,Ashland,0,0.83,2.97,29.2
20170131_5424_204206,Damen,Ashland,0,1.32,1.37,28.33
20170131_5424_204207,Damen,Ashland,0,1.8,2.47,31.32
20170131_1299_203196,Damen,Ashland,0,2.32,1.02,0.02
20170131_5424_204208,Damen,Ashland,0,2.32,2.48,28.48
20170131_1300_204209,Damen,Ashland,0,2.8,1.92,31.15
20170131_1300_1,Damen,Ashland,1,3.32,1.43,28.4
20170131_1300_2,Damen,Ashland,1,3.78,2.03,27.6
20170131_1300_3,Damen,Ashland,1,4.25,2.15,5.37
20170131_1299_204348,Damen,Ashland,1,4.33,1.47,16.7
20170131_1300_4,Damen,Ashland,1,4.62,2.8,21.27
20170131_1300_5,Damen,Ashland,1,4.97,2.8,20.55
20170131_5424_6,Damen,Ashland,1,5.32,2.65,16.58
20170131_1300_204084,Damen,Ashland,1,5.58,2.27,10.0
20170131_5424_204085,Damen,Ashland,1,5.75,1.73,15.55
20170131_1300_204086,Damen,Ashland,1,6.02,2.97,5.52
20170131_5424_204087,Damen,Ashland,1,6.1,2.22,15.8
20170131_1300_10002780,Damen,Ashland,1,6.37,3.7,13.97
20170131_5424_10002752,Damen,Ashland,1,6.6,3.0,10.7
20170131_1300_10002754,Damen,Ashland,1,6.78,2.58,7.82
20170131_5424_10002755,Damen,Ashland,1,6.92,2.58,17.3
20170131_5424_10002758,Damen,Ashland,1,7.2,3.88,15.05
20170131_1300_10002760,Damen,Ashland,1,7.45,2.47,6.32
20170131_5424_10002761,Damen,Ashland,1,7.55,3.37,5.42
20170131_1300_10002762,Damen,Ashland,1,7.65,3.87,6.85
20170131_5424_10002763,Damen,Ashland,1,7.75,3.18,7.18
20170131_7735_10002779,Damen,Ashland,1,7.88,5.53,7.92
20170131_5424_1063959,Damen,Ashland,1,8.02,4.15,3.03
20170131_7735_1063960,Damen,Ashland,1,8.07,3.23,11.05
20170131_5424_1063961,Damen,Ashland,1,8.25,4.2,13.07
20170131_5424_1083574,Damen,Ashland,1,8.47,3.37,3.53
20170131_5424_1063805,Damen,Ashland,1,8.52,0.0,9.57
20170131_5424_1083556,Damen,Ashland,1,8.68,4.15,12.9
20170131_5424_1083557,Damen,Ashland,1,8.9,2.3,10.92
20170131_5424_1083558,Damen,Ashland,1,9.08,3.62,13.55
20170131_5424_1083559,Damen,Ashland,1,9.3,5.45,9.67
20170131_5424_1083560,Damen,Ashland,1,9.47,2.43,14.93
20170131_5424_1083561,Damen,Ashland,1,9.72,2.77,10.28
20170131_5424_1083562,Damen,Ashland,1,9.88,4.13,10.05
20170131_5424_1083563,Damen,Ashland,1,10.05,2.43,14.9
20170131_5424_1083564,Damen,Ashland,1,10.3,2.5,11.15
20170131_5424_1063816,Damen,Ashland,1,10.48,2.53,14.18
20170131_5424_1063817,Damen,Ashland,1,10.72,2.62,12.8
20170131_5424_1063818,Damen,Ashland,1,10.93,2.02,12.57
20170131_5424_1063819,Damen,Ashland,1,11.15,3.17,7.73
20170131_5424_1063820,Damen,Ashland,1,11.27,6.18,18.08
20170131_5424_1063821,Damen,Ashland,1,11.58,3.08,21.07
20170131_5424_1063823,Damen,Ashland,1,11.93,3.93,11.82
20170131_5424_1063824,Damen,Ashland,1,12.12,5.2,13.1
20170131_5424_1063825,Damen,Ashland,1,12.35,2.57,9.03
20170131_5424_1063826,Damen,Ashland,1,12.5,4.67,14.9
