tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083640,Damen,Western,0,19.27,1.4,8.73
20170130_5425_1083641,Damen,Western,0,19.4,1.43,16.37
20170130_5425_204316,Damen,Western,0,19.68,1.93,9.37
20170130_5426_203200,Damen,Western,0,19.83,2.85,7.12
20170130_5425_204317,Damen,Western,0,19.95,2.65,1.28
20170130_5425_204318,Damen,Western,0,19.97,2.62,16.77
20170130_5425_204319,Damen,Western,0,20.25,2.07,9.93
20170130_5425_204320,Damen,Western,0,20.42,1.93,11.17
20170130_5425_204321,Damen,Western,0,20.6,1.8,13.9
20170130_5425_204322,Damen,Western,0,20.83,1.93,14.82
20170130_5425_204323,Damen,Western,0,21.08,2.22,13.22
20170130_5425_204324,Damen,Western,0,21.3,2.3,15.58
20170130_5425_204325,Damen,Western,0,21.57,2.28,13.48
20170130_5425_204326,Damen,Western,0,21.78,1.88,15.43
20170130_5425_204327,Damen,Western,0,22.05,2.07,11.97
20170130_5425_204328,Damen,Western,0,22.25,2.5,16.95
20170130_5425_204329,Damen,Western,0,22.53,2.33,15.42
20170130_5425_204330,Damen,Western,0,22.78,1.23,13.9
20170130_5425_204331,Damen,Western,0,23.02,1.58,14.15
20170130_5425_204332,Damen,Western,0,23.25,2.15,15.08
20170130_5425_204333,Damen,Western,0,23.5,2.23,15.97
20170130_5425_204334,Damen,Western,0,23.77,0.0,11.1
20170130_5425_204335,Damen,Western,0,23.95,2.05,17.82
20170130_5425_204336,Damen,Western,0,0.25,2.22,19.13
20170131_5425_204337,Damen,Western,0,0.57,1.92,8.45
20170131_5425_204338,Damen,Western,0,0.72,1.55,17.37
20170131_5425_204339,Damen,Western,0,1.0,2.7,15.3
20170131_5425_204340,Damen,Western,0,1.25,1.9,22.93
20170131_5425_204341,Damen,Western,0,1.63,1.7,26.97
20170131_1293_204342,Damen,Western,0,2.08,1.47,23.43
20170131_1293_204343,Damen,Western,0,2.48,2.02,36.0
20170131_1293_204344,Damen,Western,1,3.08,1.6,23.57
20170131_1295_204371,Damen,Western,1,3.47,1.87,0.13
20170131_1293_204345,Damen,Western,1,3.47,1.77,28.27
20170131_1295_204378,Damen,Western,1,3.95,2.0,5.6
20170131_1293_204212,Damen,Western,1,4.03,2.43,17.47
20170131_1295_204379,Damen,Western,1,4.33,1.43,10.53
20170131_5425_204213,Damen,Western,1,4.5,1.17,7.52
20170131_1295_204380,Damen,Western,1,4.63,2.02,25.38
20170131_5425_204214,Damen,Western,1,5.05,2.0,12.53
20170131_1295_204381,Damen,Western,1,5.27,1.0,12.02
20170131_5425_204215,Damen,Western,1,5.47,2.08,25.92
20170131_5425_204216,Damen,Western,1,5.9,2.13,19.17
20170131_1295_1063947,Damen,Western,1,6.22,1.88,1.63
20170131_5425_204219,Damen,Western,1,6.23,1.6,14.7
20170131_5425_204220,Damen,Western,1,6.48,2.73,18.0
20170131_5425_204221,Damen,Western,1,6.78,1.53,13.83
20170131_5425_204222,Damen,Western,1,7.02,1.87,0.78
20170131_1295_1063943,Damen,Western,1,7.03,1.28,14.28
20170131_5425_204223,Damen,Western,1,7.27,2.67,0.28
20170131_1295_1063944,Damen,Western,1,7.27,1.75,17.25
20170131_5425_204224,Damen,Western,1,7.55,2.3,0.03
20170131_5425_10002765,Damen,Western,1,7.57,1.8,9.37
