tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204181,GarfieldRed,State,0,19.08,0.77,5.25
20170130_5424_204182,GarfieldRed,State,0,19.17,1.42,11.17
20170130_5424_204183,GarfieldRed,State,0,19.35,1.08,9.42
20170130_5424_204184,GarfieldRed,State,0,19.52,3.48,20.87
20170130_5424_204185,GarfieldRed,State,0,19.87,0.0,6.62
20170130_5424_204186,GarfieldRed,State,0,19.97,2.02,21.75
20170130_5424_204187,GarfieldRed,State,0,20.33,2.1,8.63
20170130_5424_204188,GarfieldRed,State,0,20.48,2.47,15.2
20170130_5424_204189,GarfieldRed,State,0,20.73,0.97,16.33
20170130_5424_204190,GarfieldRed,State,0,21.0,2.4,15.1
20170130_5424_204191,GarfieldRed,State,0,21.25,0.97,14.45
20170130_5424_204192,GarfieldRed,State,0,21.5,1.35,13.63
20170130_5424_204193,GarfieldRed,State,0,21.72,1.35,15.05
20170130_5424_204194,GarfieldRed,State,0,21.97,1.72,19.2
20170130_5424_204195,GarfieldRed,State,0,22.3,1.5,9.58
20170130_5424_204196,GarfieldRed,State,0,22.45,2.47,18.52
20170130_5424_204197,GarfieldRed,State,0,22.77,0.97,13.9
20170130_5424_204198,GarfieldRed,State,0,23.0,0.0,13.73
20170130_5424_204199,GarfieldRed,State,0,23.22,1.27,11.62
20170130_5424_204200,GarfieldRed,State,0,23.42,1.82,20.58
20170130_5424_204201,GarfieldRed,State,0,23.75,0.88,14.6
20170130_5424_204202,GarfieldRed,State,0,0.0,1.1,17.1
20170130_5424_204203,GarfieldRed,State,0,0.28,0.47,19.95
20170131_5424_204204,GarfieldRed,State,0,0.62,1.7,24.68
20170131_5424_204205,GarfieldRed,State,0,1.03,0.9,27.27
20170131_5424_204206,GarfieldRed,State,0,1.48,0.57,26.52
20170131_5424_204207,GarfieldRed,State,0,1.93,0.65,33.02
20170131_5424_204208,GarfieldRed,State,0,2.48,1.17,26.92
20170131_1300_204209,GarfieldRed,State,0,2.93,1.52,31.58
20170131_1300_1,GarfieldRed,State,1,3.45,1.08,28.42
20170131_1300_2,GarfieldRed,State,1,3.93,0.68,28.75
20170131_1300_3,GarfieldRed,State,1,4.4,0.77,25.4
20170131_1300_4,GarfieldRed,State,1,4.83,0.0,18.87
20170131_1300_5,GarfieldRed,State,1,5.15,1.07,21.68
20170131_5424_6,GarfieldRed,State,1,5.5,0.83,14.95
20170131_1300_204084,GarfieldRed,State,1,5.75,1.03,10.75
20170131_5424_204085,GarfieldRed,State,1,5.93,0.65,16.78
20170131_1300_204086,GarfieldRed,State,1,6.22,1.9,7.17
20170131_5424_204087,GarfieldRed,State,1,6.33,2.17,16.07
20170131_1300_10002780,GarfieldRed,State,1,6.6,0.93,13.15
20170131_5424_10002752,GarfieldRed,State,1,6.82,1.25,10.82
20170131_1300_10002754,GarfieldRed,State,1,7.0,1.43,6.63
20170131_5424_10002755,GarfieldRed,State,1,7.12,2.07,20.4
20170131_5424_10002758,GarfieldRed,State,1,7.45,1.1,12.45
20170131_1300_10002760,GarfieldRed,State,1,7.65,2.38,7.95
20170131_5424_10002761,GarfieldRed,State,1,7.78,2.03,7.22
20170131_1300_10002762,GarfieldRed,State,1,7.92,1.78,3.48
20170131_5424_10002763,GarfieldRed,State,1,7.97,1.27,10.47
20170131_7735_10002779,GarfieldRed,State,1,8.15,1.73,7.07
20170131_7735_1063960,GarfieldRed,State,1,8.27,1.9,0.4
20170131_5424_1063959,GarfieldRed,State,1,8.27,0.0,11.8
20170131_5424_1063961,GarfieldRed,State,1,8.47,3.38,14.3
20170131_5424_1083574,GarfieldRed,State,1,8.7,1.27,1.37
20170131_5424_1063805,GarfieldRed,State,1,8.72,3.8,10.5
20170131_5424_1083556,GarfieldRed,State,1,8.9,1.37,12.45
20170131_5424_1083557,GarfieldRed,State,1,9.1,2.23,12.0
20170131_5424_1083558,GarfieldRed,State,1,9.3,1.72,16.28
20170131_5424_1083559,GarfieldRed,State,1,9.58,1.1,2.88
20170131_5424_1083560,GarfieldRed,State,1,9.63,6.28,19.02
20170131_5424_1083561,GarfieldRed,State,1,9.95,1.47,8.77
20170131_5424_1083562,GarfieldRed,State,1,10.08,2.0,10.33
20170131_5424_1083563,GarfieldRed,State,1,10.27,2.45,12.47
20170131_5424_1083564,GarfieldRed,State,1,10.47,1.83,13.33
20170131_5424_1063816,GarfieldRed,State,1,10.68,1.77,13.08
20170131_5424_1063817,GarfieldRed,State,1,10.92,2.35,11.98
20170131_5424_1063818,GarfieldRed,State,1,11.12,1.87,15.07
20170131_5424_1063819,GarfieldRed,State,1,11.37,1.57,9.55
20170131_5424_1063820,GarfieldRed,State,1,11.52,1.45,15.55
20170131_5424_1063821,GarfieldRed,State,1,11.78,2.2,23.5
20170131_5424_1063823,GarfieldRed,State,1,12.17,1.4,15.03
20170131_5424_1063824,GarfieldRed,State,1,12.42,1.27,6.38
20170131_5424_1063825,GarfieldRed,State,1,12.53,2.62,11.88
20170131_5424_1063826,GarfieldRed,State,1,12.73,1.48,14.6
20170131_5424_1063827,GarfieldRed,State,1,12.97,1.5,9.53
20170131_5424_1063828,GarfieldRed,State,1,13.13,1.5,10.5
