tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204182,Halsted,GarfieldRed,0,19.1,4.42,12.48
20170130_5424_204183,Halsted,GarfieldRed,0,19.3,3.1,9.4
20170130_5424_204184,Halsted,GarfieldRed,0,19.47,3.12,17.38
20170130_5424_204185,Halsted,GarfieldRed,0,19.75,6.6,10.08
20170130_5424_204186,Halsted,GarfieldRed,0,19.92,3.13,20.65
20170130_5424_204187,Halsted,GarfieldRed,0,20.27,4.23,10.93
20170130_5424_204188,Halsted,GarfieldRed,0,20.45,1.93,14.98
20170130_5424_204189,Halsted,GarfieldRed,0,20.7,2.15,15.95
20170130_5424_204190,Halsted,GarfieldRed,0,20.97,2.53,13.97
20170130_5424_204191,Halsted,GarfieldRed,0,21.2,3.67,13.12
20170130_5424_204192,Halsted,GarfieldRed,0,21.42,5.0,15.13
20170130_5424_204193,Halsted,GarfieldRed,0,21.67,3.5,14.38
20170130_5424_204194,Halsted,GarfieldRed,0,21.9,4.17,19.5
20170130_5424_204195,Halsted,GarfieldRed,0,22.23,3.87,11.48
20170130_5424_204196,Halsted,GarfieldRed,0,22.42,1.97,17.38
20170130_5424_204197,Halsted,GarfieldRed,0,22.72,3.1,10.9
20170130_5424_204198,Halsted,GarfieldRed,0,22.88,6.1,16.17
20170130_5424_204199,Halsted,GarfieldRed,0,23.17,3.67,13.5
20170130_5424_204200,Halsted,GarfieldRed,0,23.38,1.78,19.13
20170130_5424_204201,Halsted,GarfieldRed,0,23.7,3.23,14.72
20170130_5424_204202,Halsted,GarfieldRed,0,23.95,3.12,15.68
20170130_5424_204203,Halsted,GarfieldRed,0,0.22,4.53,22.33
20170131_5424_204204,Halsted,GarfieldRed,0,0.58,2.15,23.13
20170131_5424_204205,Halsted,GarfieldRed,0,0.97,3.7,27.13
20170131_5424_204206,Halsted,GarfieldRed,0,1.42,3.83,28.07
20170131_5424_204207,Halsted,GarfieldRed,0,1.88,2.28,32.37
20170131_5424_204208,Halsted,GarfieldRed,0,2.43,2.93,27.3
20170131_1300_204209,Halsted,GarfieldRed,0,2.88,2.55,31.2
20170131_1300_1,Halsted,GarfieldRed,1,3.4,2.93,28.97
20170131_1300_2,Halsted,GarfieldRed,1,3.88,2.38,28.5
20170131_1300_3,Halsted,GarfieldRed,1,4.37,2.63,23.15
20170131_1300_4,Halsted,GarfieldRed,1,4.75,4.88,20.3
20170131_1300_5,Halsted,GarfieldRed,1,5.08,3.45,22.03
20170131_5424_6,Halsted,GarfieldRed,1,5.45,3.1,15.07
20170131_1300_204084,Halsted,GarfieldRed,1,5.7,2.98,9.42
20170131_5424_204085,Halsted,GarfieldRed,1,5.87,4.32,17.93
20170131_1300_204086,Halsted,GarfieldRed,1,6.17,3.17,4.97
20170131_5424_204087,Halsted,GarfieldRed,1,6.25,5.37,17.55
20170131_1300_10002780,Halsted,GarfieldRed,1,6.53,3.88,12.13
20170131_5424_10002752,Halsted,GarfieldRed,1,6.73,4.9,11.28
20170131_1300_10002754,Halsted,GarfieldRed,1,6.92,4.43,6.1
20170131_5424_10002755,Halsted,GarfieldRed,1,7.03,4.97,20.13
20170131_5424_10002758,Halsted,GarfieldRed,1,7.37,5.23,14.25
20170131_1300_10002760,Halsted,GarfieldRed,1,7.6,3.43,6.65
20170131_5424_10002761,Halsted,GarfieldRed,1,7.72,4.73,7.57
20170131_1300_10002762,Halsted,GarfieldRed,1,7.83,4.38,4.05
20170131_5424_10002763,Halsted,GarfieldRed,1,7.9,3.82,9.68
20170131_7735_10002779,Halsted,GarfieldRed,1,8.07,4.6,6.58
20170131_5424_1063959,Halsted,GarfieldRed,1,8.17,5.48,0.92
20170131_7735_1063960,Halsted,GarfieldRed,1,8.18,4.17,13.8
20170131_5424_1063961,Halsted,GarfieldRed,1,8.42,2.57,11.3
20170131_5424_1083574,Halsted,GarfieldRed,1,8.62,5.57,2.67
20170131_5424_1063805,Halsted,GarfieldRed,1,8.65,4.27,12.03
20170131_5424_1083556,Halsted,GarfieldRed,1,8.85,2.73,11.12
20170131_5424_1083557,Halsted,GarfieldRed,1,9.03,4.07,12.02
20170131_5424_1083558,Halsted,GarfieldRed,1,9.23,4.05,15.37
20170131_5424_1083559,Halsted,GarfieldRed,1,9.5,4.97,5.9
20170131_5424_1083560,Halsted,GarfieldRed,1,9.6,1.95,18.07
20170131_5424_1083561,Halsted,GarfieldRed,1,9.9,2.9,8.45
20170131_5424_1083562,Halsted,GarfieldRed,1,10.03,3.22,9.42
20170131_5424_1083563,Halsted,GarfieldRed,1,10.2,4.13,13.45
20170131_5424_1083564,Halsted,GarfieldRed,1,10.42,3.15,12.62
20170131_5424_1063816,Halsted,GarfieldRed,1,10.63,3.87,13.45
20170131_5424_1063817,Halsted,GarfieldRed,1,10.85,3.5,12.42
20170131_5424_1063818,Halsted,GarfieldRed,1,11.05,3.07,14.03
20170131_5424_1063819,Halsted,GarfieldRed,1,11.3,4.1,10.27
20170131_5424_1063820,Halsted,GarfieldRed,1,11.47,3.38,16.13
20170131_5424_1063821,Halsted,GarfieldRed,1,11.73,2.8,22.27
