tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204184,Kedzie,California,0,19.22,2.0,2.02
20170130_1299_1083664,Kedzie,California,0,19.25,2.07,12.73
20170130_5424_204185,Kedzie,California,0,19.47,1.78,12.98
20170130_5424_204186,Kedzie,California,0,19.68,2.17,16.13
20170130_5424_204187,Kedzie,California,0,19.95,2.53,14.37
20170130_5424_204188,Kedzie,California,0,20.18,1.97,15.5
20170130_5424_204189,Kedzie,California,0,20.45,2.53,15.53
20170130_5424_204190,Kedzie,California,0,20.72,3.13,14.53
20170130_5424_204191,Kedzie,California,0,20.95,1.67,15.6
20170130_5424_204192,Kedzie,California,0,21.22,1.98,14.07
20170130_5424_204193,Kedzie,California,0,21.45,2.07,13.93
20170130_5424_204194,Kedzie,California,0,21.68,1.6,15.58
20170130_5424_204195,Kedzie,California,0,21.93,1.8,14.47
20170130_5424_204196,Kedzie,California,0,22.18,1.58,16.8
20170130_5424_204197,Kedzie,California,0,22.45,2.15,17.72
20170130_5424_204198,Kedzie,California,0,22.75,0.0,10.45
20170130_5424_204199,Kedzie,California,0,22.93,2.25,18.5
20170130_5424_204200,Kedzie,California,0,23.23,0.0,13.03
20170130_5424_204201,Kedzie,California,0,23.45,2.02,16.55
20170130_5424_204202,Kedzie,California,0,23.73,1.93,17.2
20170130_5424_204203,Kedzie,California,0,0.02,3.17,20.63
20170131_5424_204204,Kedzie,California,0,0.37,1.58,22.0
20170131_5424_204205,Kedzie,California,0,0.73,2.37,29.55
20170131_5424_204206,Kedzie,California,0,1.22,1.95,29.45
20170131_5424_204207,Kedzie,California,0,1.72,1.8,30.03
20170131_5424_204208,Kedzie,California,0,2.22,2.05,1.67
20170131_1299_203196,Kedzie,California,0,2.23,1.27,29.27
20170131_1300_204209,Kedzie,California,0,2.73,1.58,59.7
20170131_1300_2,Kedzie,California,1,3.72,1.43,25.63
20170131_1300_3,Kedzie,California,1,4.15,1.83,5.38
20170131_1299_204348,Kedzie,California,1,4.23,2.35,16.12
20170131_1300_4,Kedzie,California,1,4.5,1.78,21.17
20170131_1300_5,Kedzie,California,1,4.87,2.75,21.0
20170131_5424_6,Kedzie,California,1,5.22,2.1,15.72
20170131_1300_204084,Kedzie,California,1,5.47,2.57,11.35
20170131_5424_204085,Kedzie,California,1,5.67,1.9,12.73
20170131_1300_204086,Kedzie,California,1,5.87,3.22,8.65
20170131_5424_204087,Kedzie,California,1,6.02,1.82,13.15
20170131_1300_10002780,Kedzie,California,1,6.23,2.5,13.7
20170131_5424_10002752,Kedzie,California,1,6.47,2.3,11.73
20170131_1300_10002754,Kedzie,California,1,6.67,2.78,5.87
20170131_5424_10002755,Kedzie,California,1,6.75,2.78,18.17
20170131_5424_10002758,Kedzie,California,1,7.07,3.13,16.77
20170131_1300_10002760,Kedzie,California,1,7.33,2.18,4.53
20170131_5424_10002761,Kedzie,California,1,7.42,3.1,7.57
20170131_1300_10002762,Kedzie,California,1,7.53,0.87,4.02
20170131_5424_10002763,Kedzie,California,1,7.6,2.52,7.38
20170131_7735_10002779,Kedzie,California,1,7.73,2.25,8.13
20170131_5424_1063959,Kedzie,California,1,7.87,3.1,4.05
