tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5426_203199,Kedzie,StLouis,0,19.17,1.55,13.33
20170130_5425_1083640,Kedzie,StLouis,0,19.4,1.57,6.97
20170130_5425_1083641,Kedzie,StLouis,0,19.5,2.63,17.0
20170130_5425_204316,Kedzie,StLouis,0,19.78,0.67,10.0
20170130_5426_203200,Kedzie,StLouis,0,19.95,1.2,6.82
20170130_5425_204317,Kedzie,StLouis,0,20.07,1.28,1.38
20170130_5425_204318,Kedzie,StLouis,0,20.1,2.02,16.13
20170130_5425_204319,Kedzie,StLouis,0,20.37,1.8,9.67
20170130_5425_204320,Kedzie,StLouis,0,20.52,1.3,9.83
20170130_5425_204321,Kedzie,StLouis,0,20.68,0.98,15.9
20170130_5425_204322,Kedzie,StLouis,0,20.95,1.42,13.7
20170130_5425_204323,Kedzie,StLouis,0,21.18,2.18,14.48
20170130_5425_204324,Kedzie,StLouis,0,21.42,1.65,15.82
20170130_5425_204325,Kedzie,StLouis,0,21.68,0.93,12.55
20170130_5425_204326,Kedzie,StLouis,0,21.9,1.82,15.12
20170130_5425_204327,Kedzie,StLouis,0,22.15,1.7,12.13
20170130_5425_204328,Kedzie,StLouis,0,22.35,1.08,18.13
20170130_5425_204329,Kedzie,StLouis,0,22.65,0.93,14.08
20170130_5425_204330,Kedzie,StLouis,0,22.88,0.88,13.98
20170130_5425_204331,Kedzie,StLouis,0,23.12,2.52,13.82
20170130_5425_204332,Kedzie,StLouis,0,23.35,1.58,15.92
20170130_5425_204333,Kedzie,StLouis,0,23.62,1.25,13.88
20170130_5425_204334,Kedzie,StLouis,0,23.85,1.18,12.72
20170130_5425_204335,Kedzie,StLouis,0,0.07,1.58,18.83
20170130_5425_204336,Kedzie,StLouis,0,0.37,1.37,18.27
20170131_5425_204337,Kedzie,StLouis,0,0.68,1.43,8.43
20170131_5425_204338,Kedzie,StLouis,0,0.82,1.48,16.72
20170131_5425_204339,Kedzie,StLouis,0,1.1,1.68,14.85
20170131_5425_204340,Kedzie,StLouis,0,1.35,0.73,23.97
20170131_5425_204341,Kedzie,StLouis,0,1.75,1.08,25.47
20170131_1293_204342,Kedzie,StLouis,0,2.17,1.02,23.5
20170131_1293_204343,Kedzie,StLouis,0,2.57,0.67,35.95
20170131_1293_204344,Kedzie,StLouis,1,3.17,0.68,23.58
20170131_1295_204371,Kedzie,StLouis,1,3.55,0.58,0.43
20170131_1293_204345,Kedzie,StLouis,1,3.57,0.53,28.53
20170131_1295_204378,Kedzie,StLouis,1,4.03,1.03,6.52
20170131_5425_204213,Kedzie,StLouis,1,4.6,0.9,6.88
20170131_1295_204380,Kedzie,StLouis,1,4.72,0.8,27.02
20170131_5425_204214,Kedzie,StLouis,1,5.17,1.3,10.0
20170131_1295_204381,Kedzie,StLouis,1,5.33,0.48,13.62
20170131_5425_204215,Kedzie,StLouis,1,5.55,1.42,26.75
20170131_5425_204216,Kedzie,StLouis,1,6.0,1.03,19.93
20170131_1295_1063947,Kedzie,StLouis,1,6.33,0.35,1.1
20170131_5425_204219,Kedzie,StLouis,1,6.35,1.48,16.02
20170131_5425_204220,Kedzie,StLouis,1,6.62,2.45,17.07
20170131_5425_204221,Kedzie,StLouis,1,6.9,1.78,13.87
20170131_5425_204222,Kedzie,StLouis,1,7.13,1.78,1.48
20170131_1295_1063943,Kedzie,StLouis,1,7.15,1.53,13.87
20170131_1295_1063944,Kedzie,StLouis,1,7.38,1.1,1.82
20170131_5425_204223,Kedzie,StLouis,1,7.42,2.07,19.92
20170131_5425_10002765,Kedzie,StLouis,1,7.75,3.87,0.13
20170131_5425_204224,Kedzie,StLouis,1,7.75,4.8,5.6
20170131_5425_10002766,Kedzie,StLouis,1,7.85,4.83,12.62
20170131_5425_10002767,Kedzie,StLouis,1,8.05,5.92,8.72
20170131_5425_10002769,Kedzie,StLouis,1,8.2,2.77,19.52
20170131_5425_10002771,Kedzie,StLouis,1,8.53,1.05,11.17
20170131_5425_10002773,Kedzie,StLouis,1,8.72,2.25,8.82
20170131_5425_10002775,Kedzie,StLouis,1,8.87,1.88,11.48
20170131_5425_10002777,Kedzie,StLouis,1,9.05,0.95,15.02
20170131_5425_1063968,Kedzie,StLouis,1,9.3,0.0,8.12
20170131_5425_1063969,Kedzie,StLouis,1,9.43,1.27,23.58
20170131_5425_1063866,Kedzie,StLouis,1,9.83,2.2,4.32
20170131_5425_1083565,Kedzie,StLouis,1,9.9,1.48,13.38
20170131_5425_1083566,Kedzie,StLouis,1,10.13,1.63,11.2
