tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204184,Kostner,Pulaski,0,19.12,1.27,16.4
20170130_5424_204185,Kostner,Pulaski,0,19.38,0.0,12.62
20170130_5424_204186,Kostner,Pulaski,0,19.6,1.85,14.5
20170130_5424_204187,Kostner,Pulaski,0,19.83,2.02,13.95
20170130_5424_204188,Kostner,Pulaski,0,20.07,2.22,15.22
20170130_5424_204189,Kostner,Pulaski,0,20.32,3.05,15.52
20170130_5424_204190,Kostner,Pulaski,0,20.58,2.7,15.97
20170130_5424_204191,Kostner,Pulaski,0,20.85,1.67,13.77
20170130_5424_204192,Kostner,Pulaski,0,21.08,3.33,19.33
20170130_5424_204193,Kostner,Pulaski,0,21.4,0.0,10.52
20170130_5424_204194,Kostner,Pulaski,0,21.57,1.68,14.65
20170130_5424_204195,Kostner,Pulaski,0,21.82,1.43,14.93
20170130_5424_204196,Kostner,Pulaski,0,22.07,2.37,16.43
20170130_5424_204197,Kostner,Pulaski,0,22.33,2.2,14.43
20170130_5424_204198,Kostner,Pulaski,0,22.58,2.8,14.87
20170130_5424_204199,Kostner,Pulaski,0,22.83,1.23,15.23
20170130_5424_204200,Kostner,Pulaski,0,23.08,2.32,15.47
20170130_5424_204201,Kostner,Pulaski,0,23.33,2.2,17.3
20170130_5424_204202,Kostner,Pulaski,0,23.63,1.28,17.43
20170130_5424_204203,Kostner,Pulaski,0,23.92,1.05,19.18
20170131_5424_204204,Kostner,Pulaski,0,0.23,4.12,21.82
20170131_5424_204205,Kostner,Pulaski,0,0.6,2.77,30.08
20170131_5424_204206,Kostner,Pulaski,0,1.1,3.15,31.4
20170131_5424_204207,Kostner,Pulaski,0,1.63,1.33,27.92
20170131_5424_204208,Kostner,Pulaski,0,2.1,2.08,180.93
20170131_5424_6,Kostner,Pulaski,1,5.12,1.35,24.97
20170131_5424_204085,Kostner,Pulaski,1,5.53,2.75,22.17
20170131_5424_204087,Kostner,Pulaski,1,5.9,2.3,26.9
20170131_5424_10002752,Kostner,Pulaski,1,6.35,1.53,18.88
20170131_5424_10002755,Kostner,Pulaski,1,6.65,1.0,16.68
20170131_5424_10002758,Kostner,Pulaski,1,6.93,2.37,19.52
20170131_5424_10002761,Kostner,Pulaski,1,7.27,3.28,13.32
20170131_5424_10002763,Kostner,Pulaski,1,7.48,2.43,13.08
20170131_5424_1063959,Kostner,Pulaski,1,7.7,2.45,11.62
20170131_5424_1063961,Kostner,Pulaski,1,7.9,3.42,14.5
20170131_5424_1083574,Kostner,Pulaski,1,8.13,1.9,7.42
20170131_5424_1063805,Kostner,Pulaski,1,8.27,2.55,9.95
20170131_5424_1083556,Kostner,Pulaski,1,8.43,3.23,12.92
20170131_5424_1083557,Kostner,Pulaski,1,8.63,3.32,12.15
20170131_5424_1083558,Kostner,Pulaski,1,8.85,2.02,11.88
20170131_5424_1083559,Kostner,Pulaski,1,9.03,2.9,9.98
20170131_5424_1083560,Kostner,Pulaski,1,9.2,0.0,14.27
20170131_5424_1083561,Kostner,Pulaski,1,9.45,2.27,9.83
20170131_5424_1083562,Kostner,Pulaski,1,9.62,3.43,12.87
20170131_5424_1083563,Kostner,Pulaski,1,9.82,1.5,13.82
20170131_5424_1083564,Kostner,Pulaski,1,10.05,1.78,12.65
20170131_5424_1063816,Kostner,Pulaski,1,10.27,1.57,12.77
20170131_5424_1063817,Kostner,Pulaski,1,10.48,2.73,12.5
20170131_5424_1063818,Kostner,Pulaski,1,10.68,1.9,12.3
20170131_5424_1063819,Kostner,Pulaski,1,10.88,2.6,9.8
20170131_5424_1063820,Kostner,Pulaski,1,11.05,3.03,14.37
20170131_5424_1063821,Kostner,Pulaski,1,11.3,5.18,11.53
20170131_5424_1063822,Kostner,Pulaski,1,11.48,3.33,10.8
20170131_5424_1063823,Kostner,Pulaski,1,11.67,2.78,12.2
20170131_5424_1063824,Kostner,Pulaski,1,11.87,2.3,12.43
20170131_5424_1063825,Kostner,Pulaski,1,12.08,3.9,10.53
20170131_5424_1063826,Kostner,Pulaski,1,12.25,2.35,13.42
20170131_5424_1063827,Kostner,Pulaski,1,12.48,3.42,13.05
20170131_5424_1063828,Kostner,Pulaski,1,12.7,2.77,22.97
20170131_5424_1063831,Kostner,Pulaski,1,13.08,3.05,10.8
