tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204181,LakePark,MSI,0,19.32,3.5,3.07
20170130_5424_204182,LakePark,MSI,0,19.37,2.82,11.97
20170130_5424_204183,LakePark,MSI,0,19.57,1.97,9.75
20170130_5424_204184,LakePark,MSI,0,19.72,3.42,17.25
20170130_5424_204185,LakePark,MSI,0,20.02,2.77,9.37
20170130_5424_204186,LakePark,MSI,0,20.17,2.0,21.17
20170130_5424_204187,LakePark,MSI,0,20.52,3.07,10.68
20170130_5424_204188,LakePark,MSI,0,20.7,2.43,12.65
20170130_5424_204189,LakePark,MSI,0,20.92,2.77,19.07
20170130_5424_204190,LakePark,MSI,0,21.23,2.83,11.13
20170130_5424_204191,LakePark,MSI,0,21.42,1.32,15.47
20170130_5424_204192,LakePark,MSI,0,21.67,1.82,13.88
20170130_5424_204193,LakePark,MSI,0,21.9,2.45,15.52
20170130_5424_204194,LakePark,MSI,0,22.17,2.3,19.53
20170130_5424_204195,LakePark,MSI,0,22.48,2.33,10.63
20170130_5424_204196,LakePark,MSI,0,22.67,2.4,14.83
20170130_5424_204197,LakePark,MSI,0,22.92,2.0,14.2
20170130_5424_204198,LakePark,MSI,0,23.15,1.33,13.67
20170130_5424_204199,LakePark,MSI,0,23.37,2.17,19.23
20170130_5424_204200,LakePark,MSI,0,23.7,0.0,12.77
20170130_5424_204201,LakePark,MSI,0,23.9,1.83,14.67
20170130_5424_204202,LakePark,MSI,0,0.15,2.93,15.93
20170130_5424_204203,LakePark,MSI,0,0.42,1.87,22.0
20170131_5424_204204,LakePark,MSI,0,0.78,0.0,23.97
20170131_5424_204205,LakePark,MSI,0,1.18,1.8,28.57
20170131_5424_204206,LakePark,MSI,0,1.67,2.0,24.18
20170131_5424_204207,LakePark,MSI,0,2.07,0.52,34.62
20170131_5424_204208,LakePark,MSI,0,2.63,1.83,25.68
20170131_1300_204209,LakePark,MSI,1,3.07,1.68,31.22
20170131_1300_1,LakePark,MSI,1,3.58,1.43,31.93
20170131_1300_2,LakePark,MSI,1,4.12,1.9,24.37
20170131_1300_3,LakePark,MSI,1,4.53,2.5,24.9
20170131_1300_4,LakePark,MSI,1,4.93,1.13,22.1
20170131_1300_5,LakePark,MSI,1,5.32,1.82,20.73
20170131_5424_6,LakePark,MSI,1,5.65,1.77,14.6
20170131_1300_204084,LakePark,MSI,1,5.9,2.6,12.63
20170131_5424_204085,LakePark,MSI,1,6.12,1.82,16.97
20170131_1300_204086,LakePark,MSI,1,6.4,2.73,7.17
20170131_5424_204087,LakePark,MSI,1,6.52,2.0,16.87
20170131_1300_10002780,LakePark,MSI,1,6.8,2.73,12.87
20170131_5424_10002752,LakePark,MSI,1,7.0,1.67,11.67
20170131_1300_10002754,LakePark,MSI,1,7.2,3.6,8.03
20170131_5424_10002755,LakePark,MSI,1,7.33,2.0,19.17
20170131_5424_10002758,LakePark,MSI,1,7.65,4.68,14.87
20170131_1300_10002760,LakePark,MSI,1,7.9,3.57,8.38
20170131_5424_10002761,LakePark,MSI,1,8.05,2.5,8.23
20170131_1300_10002762,LakePark,MSI,1,8.18,3.45,1.88
20170131_5424_10002763,LakePark,MSI,1,8.22,3.03,11.9
20170131_7735_10002779,LakePark,MSI,1,8.42,3.27,4.62
20170131_5424_1063959,LakePark,MSI,1,8.48,2.8,1.45
20170131_7735_1063960,LakePark,MSI,1,8.52,1.57,15.33
20170131_5424_1063961,LakePark,MSI,1,8.77,2.33,12.08
20170131_5424_1083574,LakePark,MSI,1,8.97,2.97,1.58
20170131_5424_1063805,LakePark,MSI,1,9.0,2.7,8.38
20170131_5424_1083556,LakePark,MSI,1,9.13,3.6,12.03
20170131_5424_1083557,LakePark,MSI,1,9.33,3.03,12.0
20170131_5424_1083558,LakePark,MSI,1,9.53,2.78,17.25
20170131_5424_1083559,LakePark,MSI,1,9.82,2.18,4.77
20170131_5424_1083560,LakePark,MSI,1,9.9,3.27,18.9
20170131_5424_1083561,LakePark,MSI,1,10.22,4.4,5.73
20170131_5424_1083562,LakePark,MSI,1,10.32,2.73,12.4
