tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_204316,MSI,LakePark,0,19.15,4.43,15.35
20170130_5425_204317,MSI,LakePark,0,19.4,5.0,9.92
20170130_5425_204318,MSI,LakePark,0,19.57,3.13,11.9
20170130_5425_204319,MSI,LakePark,0,19.77,3.7,9.5
20170130_5425_204320,MSI,LakePark,0,19.92,3.2,14.6
20170130_5425_204321,MSI,LakePark,0,20.17,4.33,12.32
20170130_5425_204322,MSI,LakePark,0,20.37,3.05,13.95
20170130_5425_204323,MSI,LakePark,0,20.6,2.0,14.67
20170130_5425_204324,MSI,LakePark,0,20.85,2.85,14.22
20170130_5425_204325,MSI,LakePark,0,21.08,3.22,16.7
20170130_5425_204326,MSI,LakePark,0,21.37,2.28,12.62
20170130_5425_204327,MSI,LakePark,0,21.58,4.47,14.8
20170130_5425_204328,MSI,LakePark,0,21.82,2.87,15.2
20170130_5425_204329,MSI,LakePark,0,22.08,3.1,15.87
20170130_5425_204330,MSI,LakePark,0,22.33,3.18,13.97
20170130_5425_204331,MSI,LakePark,0,22.57,3.23,15.43
20170130_5425_204332,MSI,LakePark,0,22.83,2.72,14.27
20170130_5425_204333,MSI,LakePark,0,23.07,2.95,16.17
20170130_5425_204334,MSI,LakePark,0,23.33,3.22,14.5
20170130_5425_204335,MSI,LakePark,0,23.58,2.42,16.17
20170130_5425_204336,MSI,LakePark,0,23.85,2.93,18.15
20170131_5425_204337,MSI,LakePark,0,0.15,2.35,10.55
20170131_5425_204338,MSI,LakePark,0,0.33,2.5,15.52
20170131_5425_204339,MSI,LakePark,0,0.58,3.28,16.85
20170131_5425_204340,MSI,LakePark,0,0.87,3.52,22.43
20170131_5425_204341,MSI,LakePark,0,1.23,3.32,28.23
20170131_1293_204342,MSI,LakePark,0,1.72,2.42,27.18
20170131_1293_204343,MSI,LakePark,0,2.17,1.65,32.1
20170131_1293_204344,MSI,LakePark,0,2.7,2.68,57.5
20170131_1293_204212,MSI,LakePark,1,3.65,2.75,30.82
20170131_5425_204213,MSI,LakePark,1,4.17,1.42,30.7
20170131_5425_204214,MSI,LakePark,1,4.68,1.57,23.13
20170131_5425_204215,MSI,LakePark,1,5.07,1.52,23.02
20170131_5425_204216,MSI,LakePark,1,5.45,2.85,22.57
20170131_5425_204219,MSI,LakePark,1,5.83,3.95,15.28
20170131_5425_204220,MSI,LakePark,1,6.08,3.17,16.55
20170131_5425_204221,MSI,LakePark,1,6.35,2.55,12.48
20170131_5425_204222,MSI,LakePark,1,6.57,3.23,23.48
20170131_5425_204224,MSI,LakePark,1,6.95,6.43,8.52
20170131_5425_10002765,MSI,LakePark,1,7.1,3.02,8.73
20170131_5425_10002766,MSI,LakePark,1,7.25,3.07,9.0
20170131_5425_10002767,MSI,LakePark,1,7.4,4.47,8.23
20170131_1291_10002768,MSI,LakePark,1,7.53,4.2,6.9
20170131_5425_10002769,MSI,LakePark,1,7.65,3.07,13.13
20170131_5425_10002771,MSI,LakePark,1,7.87,5.1,6.52
20170131_1291_10002772,MSI,LakePark,1,7.97,2.52,6.18
20170131_5425_10002773,MSI,LakePark,1,8.08,4.1,5.3
20170131_1291_10002774,MSI,LakePark,1,8.17,6.42,7.1
20170131_5425_10002775,MSI,LakePark,1,8.28,3.75,7.25
20170131_1291_10002776,MSI,LakePark,1,8.4,3.55,5.58
20170131_5425_10002777,MSI,LakePark,1,8.5,2.6,6.43
20170131_1291_1063967,MSI,LakePark,1,8.6,4.23,7.63
20170131_5425_1063968,MSI,LakePark,1,8.73,2.2,6.5
20170131_5425_1063969,MSI,LakePark,1,8.83,5.33,13.07
20170131_1291_1063865,MSI,LakePark,1,9.07,5.12,5.8
20170131_5425_1063866,MSI,LakePark,1,9.15,4.9,10.6
20170131_5425_1083565,MSI,LakePark,1,9.33,4.27,10.58
20170131_5425_1083566,MSI,LakePark,1,9.52,4.12,14.27
20170131_5425_1083567,MSI,LakePark,1,9.75,2.78,10.72
20170131_5425_1083568,MSI,LakePark,1,9.93,2.95,11.17
20170131_5425_1083569,MSI,LakePark,1,10.12,3.7,12.65
20170131_5425_1083570,MSI,LakePark,1,10.32,3.87,24.38
20170131_5425_1083572,MSI,LakePark,1,10.73,3.67,11.23
20170131_5425_1083573,MSI,LakePark,1,10.92,2.12,12.77
20170131_5425_1063877,MSI,LakePark,1,11.13,2.33,11.1
20170131_5425_1063878,MSI,LakePark,1,11.32,3.68,11.92
20170131_5425_1063879,MSI,LakePark,1,11.52,3.45,13.28
20170131_5425_1063880,MSI,LakePark,1,11.73,3.93,13.67
20170131_5425_1063881,MSI,LakePark,1,11.97,3.28,9.53
20170131_5425_1063882,MSI,LakePark,1,12.12,2.88,23.98
20170131_5425_1063884,MSI,LakePark,1,12.52,4.2,12.98
20170131_5425_1063885,MSI,LakePark,1,12.73,3.88,11.9
20170131_5425_1063886,MSI,LakePark,1,12.93,3.62,11.47
