tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204184,StLouis,Kedzie,0,19.18,2.17,4.18
20170130_1299_1083664,StLouis,Kedzie,0,19.25,0.0,9.62
20170130_5424_204185,StLouis,Kedzie,0,19.42,3.12,14.83
20170130_5424_204186,StLouis,Kedzie,0,19.67,1.27,15.43
20170130_5424_204187,StLouis,Kedzie,0,19.92,1.97,14.18
20170130_5424_204188,StLouis,Kedzie,0,20.15,2.15,15.48
20170130_5424_204189,StLouis,Kedzie,0,20.42,2.17,15.17
20170130_5424_204190,StLouis,Kedzie,0,20.67,2.53,15.43
20170130_5424_204191,StLouis,Kedzie,0,20.92,1.63,14.9
20170130_5424_204192,StLouis,Kedzie,0,21.17,2.33,14.32
20170130_5424_204193,StLouis,Kedzie,0,21.42,2.08,13.82
20170130_5424_204194,StLouis,Kedzie,0,21.63,2.2,16.1
20170130_5424_204195,StLouis,Kedzie,0,21.92,1.68,14.47
20170130_5424_204196,StLouis,Kedzie,0,22.15,1.68,16.27
20170130_5424_204197,StLouis,Kedzie,0,22.42,2.22,14.77
20170130_5424_204198,StLouis,Kedzie,0,22.67,5.17,14.2
20170130_5424_204199,StLouis,Kedzie,0,22.9,1.42,19.92
20170130_5424_204200,StLouis,Kedzie,0,23.23,0.0,10.5
20170130_5424_204201,StLouis,Kedzie,0,23.42,2.53,17.48
20170130_5424_204202,StLouis,Kedzie,0,23.7,1.6,16.47
20170130_5424_204203,StLouis,Kedzie,0,23.98,2.33,19.9
20170131_5424_204204,StLouis,Kedzie,0,0.32,3.07,23.08
20170131_5424_204205,StLouis,Kedzie,0,0.7,1.98,30.47
20170131_5424_204206,StLouis,Kedzie,0,1.2,1.07,29.08
20170131_5424_204207,StLouis,Kedzie,0,1.68,1.43,28.98
20170131_5424_204208,StLouis,Kedzie,0,2.17,2.48,3.55
20170131_1299_203196,StLouis,Kedzie,0,2.23,0.6,28.98
20170131_1300_204209,StLouis,Kedzie,0,2.72,0.88,58.58
20170131_1300_2,StLouis,Kedzie,1,3.68,2.0,26.55
20170131_1300_3,StLouis,Kedzie,1,4.13,1.08,5.28
20170131_1299_204348,StLouis,Kedzie,1,4.22,1.18,16.27
20170131_1300_4,StLouis,Kedzie,1,4.48,1.03,21.45
20170131_1300_5,StLouis,Kedzie,1,4.85,0.75,20.23
20170131_5424_6,StLouis,Kedzie,1,5.18,1.52,16.07
20170131_1300_204084,StLouis,Kedzie,1,5.45,1.17,10.3
20170131_5424_204085,StLouis,Kedzie,1,5.62,2.22,13.42
20170131_1300_204086,StLouis,Kedzie,1,5.85,1.53,7.07
20170131_5424_204087,StLouis,Kedzie,1,5.97,3.12,14.2
20170131_1300_10002780,StLouis,Kedzie,1,6.2,2.07,12.93
