tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5426_203199,StLouis,Pulaski,0,19.2,2.45,13.35
20170130_5425_1083640,StLouis,Pulaski,0,19.42,3.63,8.03
20170130_5425_1083641,StLouis,Pulaski,0,19.55,2.63,15.03
20170130_5425_204316,StLouis,Pulaski,0,19.8,2.87,10.53
20170130_5426_203200,StLouis,Pulaski,0,19.98,4.12,6.9
20170130_5425_204317,StLouis,Pulaski,0,20.1,1.97,2.12
20170130_5425_204318,StLouis,Pulaski,0,20.13,3.42,15.92
20170130_5425_204319,StLouis,Pulaski,0,20.4,2.7,9.17
20170130_5425_204320,StLouis,Pulaski,0,20.55,2.88,9.52
20170130_5425_204321,StLouis,Pulaski,0,20.7,2.55,16.33
20170130_5425_204322,StLouis,Pulaski,0,20.98,2.63,14.47
20170130_5425_204323,StLouis,Pulaski,0,21.22,3.12,13.95
20170130_5425_204324,StLouis,Pulaski,0,21.45,2.47,15.1
20170130_5425_204325,StLouis,Pulaski,0,21.7,2.1,13.43
20170130_5425_204326,StLouis,Pulaski,0,21.93,3.88,15.0
20170130_5425_204327,StLouis,Pulaski,0,22.18,2.0,11.52
20170130_5425_204328,StLouis,Pulaski,0,22.37,2.08,17.98
20170130_5425_204329,StLouis,Pulaski,0,22.67,4.68,14.03
20170130_5425_204330,StLouis,Pulaski,0,22.9,3.53,15.62
20170130_5425_204331,StLouis,Pulaski,0,23.17,2.73,12.88
20170130_5425_204332,StLouis,Pulaski,0,23.38,3.45,15.58
20170130_5425_204333,StLouis,Pulaski,0,23.63,2.82,13.82
20170130_5425_204334,StLouis,Pulaski,0,23.87,2.08,13.12
20170130_5425_204335,StLouis,Pulaski,0,0.08,2.67,18.62
20170130_5425_204336,StLouis,Pulaski,0,0.4,2.13,18.33
20170131_5425_204337,StLouis,Pulaski,0,0.7,2.07,8.48
20170131_5425_204338,StLouis,Pulaski,0,0.85,2.22,16.92
20170131_5425_204339,StLouis,Pulaski,0,1.12,3.47,13.9
20170131_5425_204340,StLouis,Pulaski,0,1.35,1.93,24.32
20170131_5425_204341,StLouis,Pulaski,0,1.77,3.87,170.95
20170131_5425_204213,StLouis,Pulaski,1,4.62,2.47,34.3
20170131_5425_204214,StLouis,Pulaski,1,5.18,3.23,23.73
20170131_5425_204215,StLouis,Pulaski,1,5.58,2.9,26.37
20170131_5425_204216,StLouis,Pulaski,1,6.02,3.77,21.48
20170131_5425_204219,StLouis,Pulaski,1,6.38,3.08,16.98
20170131_5425_204220,StLouis,Pulaski,1,6.67,4.57,16.4
20170131_5425_204221,StLouis,Pulaski,1,6.93,2.55,13.87
20170131_5425_204222,StLouis,Pulaski,1,7.17,3.63,17.45
20170131_5425_204223,StLouis,Pulaski,1,7.45,4.95,21.72
20170131_5425_10002765,StLouis,Pulaski,1,7.82,4.73,1.07
20170131_5425_204224,StLouis,Pulaski,1,7.83,2.55,5.63
20170131_5425_10002766,StLouis,Pulaski,1,7.93,3.83,13.7
20170131_5425_10002767,StLouis,Pulaski,1,8.15,6.33,5.57
20170131_5425_10002769,StLouis,Pulaski,1,8.25,6.27,17.8
20170131_5425_10002771,StLouis,Pulaski,1,8.55,5.13,12.37
20170131_5425_10002773,StLouis,Pulaski,1,8.75,3.33,8.45
20170131_5425_10002775,StLouis,Pulaski,1,8.9,3.68,10.55
20170131_5425_10002777,StLouis,Pulaski,1,9.07,2.67,14.07
20170131_5425_1063968,StLouis,Pulaski,1,9.3,3.53,9.38
20170131_5425_1063969,StLouis,Pulaski,1,9.47,3.77,24.52
20170131_5425_1063866,StLouis,Pulaski,1,9.87,2.63,3.6
20170131_5425_1083565,StLouis,Pulaski,1,9.93,2.18,13.53
20170131_5425_1083566,StLouis,Pulaski,1,10.15,3.37,11.17
20170131_5425_1083567,StLouis,Pulaski,1,10.33,2.33,10.57
20170131_5425_1083568,StLouis,Pulaski,1,10.52,3.23,16.27
20170131_5425_1083569,StLouis,Pulaski,1,10.78,2.33,10.87
20170131_5425_1083570,StLouis,Pulaski,1,10.97,2.97,11.1
20170131_5425_1083571,StLouis,Pulaski,1,11.15,3.23,8.57
20170131_5425_1083572,StLouis,Pulaski,1,11.3,3.4,16.33
20170131_5425_1083573,StLouis,Pulaski,1,11.57,2.08,7.9
20170131_5425_1063877,StLouis,Pulaski,1,11.7,3.03,15.83
20170131_5425_1063878,StLouis,Pulaski,1,11.97,3.2,7.6
20170131_5425_1063879,StLouis,Pulaski,1,12.08,2.2,19.6
20170131_5425_1063880,StLouis,Pulaski,1,12.42,1.63,10.57
20170131_5425_1063881,StLouis,Pulaski,1,12.6,2.23,6.37
20170131_5425_1063882,StLouis,Pulaski,1,12.7,3.87,12.65
20170131_5425_1063883,StLouis,Pulaski,1,12.92,4.18,15.68
20170131_5425_1063884,StLouis,Pulaski,1,13.17,2.33,12.93
20170131_5425_1063885,StLouis,Pulaski,1,13.38,3.47,17.37
20170131_5425_1063886,StLouis,Pulaski,1,13.68,2.23,3.12
20170131_5425_1063887,StLouis,Pulaski,1,13.73,3.43,14.5
20170131_5425_1063888,StLouis,Pulaski,1,13.97,2.38,12.92
20170131_5425_1063889,StLouis,Pulaski,1,14.18,3.38,11.47
20170131_5425_1063890,StLouis,Pulaski,1,14.38,3.68,11.98
20170131_5425_1063892,StLouis,Pulaski,1,14.58,3.63,15.57
20170131_5425_1063893,StLouis,Pulaski,1,14.83,2.82,10.02
20170131_5425_1063894,StLouis,Pulaski,1,15.0,2.65,8.45
20170131_5425_10004045,StLouis,Pulaski,1,15.15,4.15,20.93
20170131_5425_10004046,StLouis,Pulaski,1,15.48,3.05,5.07
20170131_5425_10004047,StLouis,Pulaski,1,15.58,5.35,4.0
20170131_5425_10004048,StLouis,Pulaski,1,15.65,5.48,14.45
20170131_5425_10004050,StLouis,Pulaski,1,15.88,4.62,11.03
20170131_5425_10004051,StLouis,Pulaski,1,16.07,3.47,16.07
20170131_5425_10004053,StLouis,Pulaski,1,16.33,4.0,10.62
20170131_5425_10004055,StLouis,Pulaski,1,16.52,3.38,9.72
20170131_5425_10004057,StLouis,Pulaski,1,16.67,3.87,13.7
20170131_5425_10004058,StLouis,Pulaski,1,16.9,2.78,14.57
20170131_5425_10004059,StLouis,Pulaski,1,17.15,2.98,6.83
20170131_5425_10004061,StLouis,Pulaski,1,17.27,3.27,18.3
20170131_5425_10004063,StLouis,Pulaski,1,17.57,2.37,4.9
20170131_5425_10004064,StLouis,Pulaski,1,17.65,4.2,28.6
20170131_5425_10004066,StLouis,Pulaski,1,18.12,2.33,0.37
20170131_5425_10004067,StLouis,Pulaski,1,18.13,5.53,8.3
20170131_5425_10004068,StLouis,Pulaski,1,18.27,3.03,18.57
20170131_5425_10004070,StLouis,Pulaski,1,18.58,3.05,9.53
20170131_5425_1083636,StLouis,Pulaski,1,18.73,2.57,18.53
20170131_5425_1083638,StLouis,Pulaski,1,19.05,2.82,9.38
20170131_5426_203199,StLouis,Pulaski,1,19.2,2.42,9.48
20170131_5425_1083640,StLouis,Pulaski,1,19.37,3.8,10.53
20170131_5425_1083641,StLouis,Pulaski,1,19.53,3.7,16.12
20170131_5425_204316,StLouis,Pulaski,1,19.8,2.48,9.32
20170131_5425_204317,StLouis,Pulaski,1,19.95,1.43,14.47
20170131_5425_204318,StLouis,Pulaski,1,20.2,2.57,13.53
20170131_5425_204319,StLouis,Pulaski,1,20.42,2.17,7.6
20170131_5425_204320,StLouis,Pulaski,1,20.55,1.53,15.83
20170131_5425_204321,StLouis,Pulaski,1,20.82,2.03,9.6
20170131_5425_204322,StLouis,Pulaski,1,20.98,2.53,12.87
20170131_5425_204323,StLouis,Pulaski,1,21.18,2.42,14.98
20170131_5425_204324,StLouis,Pulaski,1,21.43,2.88,32.55
20170131_5425_204326,StLouis,Pulaski,1,21.98,3.73,10.62
20170131_5425_204327,StLouis,Pulaski,1,22.17,3.13,12.6
20170131_5425_204328,StLouis,Pulaski,1,22.37,3.22,16.92
20170131_5425_204329,StLouis,Pulaski,1,22.65,2.55,12.07
20170131_5425_204330,StLouis,Pulaski,1,22.85,2.9,16.77
20170131_5425_204331,StLouis,Pulaski,1,23.13,2.9,13.58
20170131_5425_204332,StLouis,Pulaski,1,23.35,2.28,31.68
20170131_5425_204334,StLouis,Pulaski,1,23.88,2.93,12.13
20170131_5425_204335,StLouis,Pulaski,1,0.08,2.27,15.87
20170131_5425_204336,StLouis,Pulaski,1,0.35,3.8,12.8
20170201_5425_204337,StLouis,Pulaski,1,0.57,2.02,17.13
20170201_5425_204338,StLouis,Pulaski,1,0.85,2.85,13.03
20170201_5425_204339,StLouis,Pulaski,1,1.07,1.9,16.53
20170201_5425_204340,StLouis,Pulaski,1,1.35,1.83,196.0
20170201_5425_204213,StLouis,Pulaski,2,4.62,2.27,35.4
20170201_5425_204214,StLouis,Pulaski,2,5.2,2.3,23.88
20170201_5425_204215,StLouis,Pulaski,2,5.6,3.42,23.2
20170201_5425_204216,StLouis,Pulaski,2,5.98,4.02,21.98
20170201_5425_204219,StLouis,Pulaski,2,6.35,1.82,19.27
20170201_5425_204220,StLouis,Pulaski,2,6.67,4.6,14.52
20170201_5425_204221,StLouis,Pulaski,2,6.92,3.08,18.87
20170201_5425_204222,StLouis,Pulaski,2,7.23,4.57,12.32
20170201_5425_204223,StLouis,Pulaski,2,7.43,5.8,19.97
20170201_5425_204224,StLouis,Pulaski,2,7.77,3.4,6.97
20170201_5425_10002765,StLouis,Pulaski,2,7.88,3.42,1.92
20170201_5425_10002766,StLouis,Pulaski,2,7.92,3.35,11.1
20170201_5425_10002767,StLouis,Pulaski,2,8.1,3.45,15.97
20170201_5425_10002769,StLouis,Pulaski,2,8.37,3.45,7.55
20170201_5425_10002771,StLouis,Pulaski,2,8.5,15.8,14.93
20170201_5425_10002773,StLouis,Pulaski,2,8.73,3.27,12.47
20170201_5425_10002775,StLouis,Pulaski,2,8.95,4.02,11.4
20170201_5425_10002777,StLouis,Pulaski,2,9.13,3.5,18.27
20170201_5425_1063969,StLouis,Pulaski,2,9.45,2.45,27.1
20170201_5425_1063866,StLouis,Pulaski,2,9.9,3.93,3.8
20170201_5425_1083565,StLouis,Pulaski,2,9.97,2.0,11.53
20170201_5425_1083566,StLouis,Pulaski,2,10.15,3.37,14.97
20170201_5425_1083567,StLouis,Pulaski,2,10.4,4.13,24.38
20170201_5425_1083569,StLouis,Pulaski,2,10.8,3.75,3.78
20170201_5425_1083568,StLouis,Pulaski,2,10.87,0.0,5.83
20170201_5425_1083570,StLouis,Pulaski,2,10.97,2.97,12.77
20170201_5425_1083571,StLouis,Pulaski,2,11.18,3.37,23.8
20170201_5425_1083573,StLouis,Pulaski,2,11.58,3.17,6.97
20170201_5425_1063877,StLouis,Pulaski,2,11.7,3.17,13.28
20170201_5425_1063878,StLouis,Pulaski,2,11.92,2.95,13.72
20170201_5425_1063879,StLouis,Pulaski,2,12.15,2.47,22.83
