tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_1083641,State,GarfieldRed,0,19.2,2.33,13.5
20170130_5425_204316,State,GarfieldRed,0,19.42,3.1,16.97
20170130_5425_204317,State,GarfieldRed,0,19.7,2.7,3.73
20170130_5425_204318,State,GarfieldRed,0,19.77,2.75,14.35
20170130_5425_204319,State,GarfieldRed,0,20.0,1.78,8.82
20170130_5425_204320,State,GarfieldRed,0,20.15,1.67,16.47
20170130_5425_204321,State,GarfieldRed,0,20.42,0.0,10.68
20170130_5425_204322,State,GarfieldRed,0,20.6,1.8,16.02
20170130_5425_204323,State,GarfieldRed,0,20.87,2.83,11.9
20170130_5425_204324,State,GarfieldRed,0,21.07,2.18,15.0
20170130_5425_204325,State,GarfieldRed,0,21.32,2.28,13.8
20170130_5425_204326,State,GarfieldRed,0,21.55,1.83,16.75
20170130_5425_204327,State,GarfieldRed,0,21.83,1.83,11.55
20170130_5425_204328,State,GarfieldRed,0,22.02,2.05,16.47
20170130_5425_204329,State,GarfieldRed,0,22.3,1.65,14.7
20170130_5425_204330,State,GarfieldRed,0,22.53,2.4,16.32
20170130_5425_204331,State,GarfieldRed,0,22.82,1.58,13.88
20170130_5425_204332,State,GarfieldRed,0,23.05,0.88,13.95
20170130_5425_204333,State,GarfieldRed,0,23.27,1.97,17.23
20170130_5425_204334,State,GarfieldRed,0,23.57,3.08,12.38
20170130_5425_204335,State,GarfieldRed,0,23.77,0.63,15.68
20170130_5425_204336,State,GarfieldRed,0,0.03,2.47,20.15
20170131_5425_204337,State,GarfieldRed,0,0.37,1.0,9.23
20170131_5425_204338,State,GarfieldRed,0,0.52,2.02,16.13
20170131_5425_204339,State,GarfieldRed,0,0.78,1.17,21.02
20170131_5425_204340,State,GarfieldRed,0,1.13,0.0,18.12
20170131_5425_204341,State,GarfieldRed,0,1.43,0.9,27.38
20170131_1293_204342,State,GarfieldRed,0,1.9,1.87,26.78
20170131_1293_204343,State,GarfieldRed,0,2.35,0.9,33.13
20170131_1293_204344,State,GarfieldRed,0,2.9,2.03,26.7
20170131_1293_204345,State,GarfieldRed,1,3.33,0.68,30.07
20170131_1293_204212,State,GarfieldRed,1,3.85,0.6,28.77
20170131_5425_204213,State,GarfieldRed,1,4.32,1.97,31.6
20170131_5425_204214,State,GarfieldRed,1,4.85,1.53,24.85
20170131_5425_204215,State,GarfieldRed,1,5.27,2.48,24.42
20170131_5425_204216,State,GarfieldRed,1,5.67,2.53,22.55
20170131_5425_204219,State,GarfieldRed,1,6.05,2.08,13.45
20170131_5425_204220,State,GarfieldRed,1,6.27,1.12,18.0
20170131_5425_204221,State,GarfieldRed,1,6.57,0.45,13.2
20170131_5425_204222,State,GarfieldRed,1,6.78,0.7,12.38
20170131_5425_204223,State,GarfieldRed,1,7.0,2.07,16.45
20170131_5425_204224,State,GarfieldRed,1,7.27,2.07,3.07
20170131_5425_10002765,State,GarfieldRed,1,7.32,1.5,8.75
20170131_5425_10002766,State,GarfieldRed,1,7.47,2.32,15.28
20170131_5425_10002767,State,GarfieldRed,1,7.72,1.85,1.38
20170131_1291_10002768,State,GarfieldRed,1,7.75,1.73,8.62
20170131_5425_10002769,State,GarfieldRed,1,7.88,1.43,16.7
20170131_5425_10002771,State,GarfieldRed,1,8.17,2.33,0.07
20170131_1291_10002772,State,GarfieldRed,1,8.17,0.77,12.18
20170131_5425_10002773,State,GarfieldRed,1,8.37,1.9,4.37
20170131_1291_10002774,State,GarfieldRed,1,8.45,2.15,5.78
20170131_5425_10002775,State,GarfieldRed,1,8.53,0.0,9.12
20170131_1291_10002776,State,GarfieldRed,1,8.68,2.75,4.62
20170131_5425_10002777,State,GarfieldRed,1,8.77,0.0,5.9
20170131_1291_1063967,State,GarfieldRed,1,8.87,0.0,7.47
20170131_5425_1063968,State,GarfieldRed,1,8.98,2.37,7.73
20170131_5425_1063969,State,GarfieldRed,1,9.12,2.1,14.73
20170131_1291_1063865,State,GarfieldRed,1,9.37,1.07,4.58
20170131_5425_1063866,State,GarfieldRed,1,9.45,0.98,7.48
20170131_5425_1083565,State,GarfieldRed,1,9.57,2.27,12.25
20170131_5425_1083566,State,GarfieldRed,1,9.77,2.03,13.23
20170131_5425_1083567,State,GarfieldRed,1,9.98,0.87,9.28
20170131_5425_1083568,State,GarfieldRed,1,10.15,1.95,14.0
20170131_5425_1083569,State,GarfieldRed,1,10.38,2.83,12.83
20170131_5425_1083570,State,GarfieldRed,1,10.6,2.0,10.58
20170131_5425_1083571,State,GarfieldRed,1,10.77,1.92,11.72
20170131_5425_1083572,State,GarfieldRed,1,10.97,2.27,10.75
20170131_5425_1083573,State,GarfieldRed,1,11.15,0.75,12.37
20170131_5425_1063877,State,GarfieldRed,1,11.35,1.88,13.37
20170131_5425_1063878,State,GarfieldRed,1,11.57,1.87,9.9
20170131_5425_1063879,State,GarfieldRed,1,11.73,1.22,15.58
20170131_5425_1063880,State,GarfieldRed,1,12.0,2.33,14.63
20170131_5425_1063881,State,GarfieldRed,1,12.25,2.37,5.2
20170131_5425_1063882,State,GarfieldRed,1,12.33,1.47,29.4
20170131_5425_1063884,State,GarfieldRed,1,12.82,1.02,12.05
20170131_5425_1063885,State,GarfieldRed,1,13.02,1.05,15.28
20170131_5425_1063886,State,GarfieldRed,1,13.27,1.53,6.07
20170131_5425_1063887,State,GarfieldRed,1,13.38,1.72,13.03
20170131_5425_1063888,State,GarfieldRed,1,13.6,2.2,10.9
20170131_5425_1063889,State,GarfieldRed,1,13.77,1.7,11.13
20170131_5425_1063890,State,GarfieldRed,1,13.97,2.88,13.2
20170131_5425_1063892,State,GarfieldRed,1,14.18,1.87,11.5
20170131_5425_1063893,State,GarfieldRed,1,14.37,2.97,10.22
20170131_5425_1063894,State,GarfieldRed,1,14.53,2.08,12.03
20170131_5425_10004045,State,GarfieldRed,1,14.75,2.2,10.98
20170131_5425_10004046,State,GarfieldRed,1,14.93,2.38,7.48
20170131_5425_10004047,State,GarfieldRed,1,15.05,3.05,6.52
20170131_5425_10004048,State,GarfieldRed,1,15.17,1.28,5.62
20170131_1293_10004049,State,GarfieldRed,1,15.25,2.35,10.87
20170131_5425_10004050,State,GarfieldRed,1,15.43,1.75,12.95
20170131_5425_10004051,State,GarfieldRed,1,15.65,1.93,2.3
20170131_1293_10004052,State,GarfieldRed,1,15.68,2.3,11.27
20170131_5425_10004053,State,GarfieldRed,1,15.88,1.87,8.47
20170131_1293_10004054,State,GarfieldRed,1,16.02,2.48,2.68
20170131_5425_10004055,State,GarfieldRed,1,16.07,2.63,12.25
20170131_5425_10004057,State,GarfieldRed,1,16.27,2.73,0.63
20170131_1293_10004056,State,GarfieldRed,1,16.28,0.0,8.97
