tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204183,Western,Damen,0,19.08,2.6,13.07
20170130_5424_204184,Western,Damen,0,19.32,1.5,0.3
20170130_1299_1083664,Western,Damen,0,19.32,1.95,14.25
20170130_5424_204185,Western,Damen,0,19.55,2.1,13.72
20170130_5424_204186,Western,Damen,0,19.78,1.55,15.43
20170130_5424_204187,Western,Damen,0,20.03,2.17,14.23
20170130_5424_204188,Western,Damen,0,20.27,1.87,15.67
20170130_5424_204189,Western,Damen,0,20.53,2.18,15.43
20170130_5424_204190,Western,Damen,0,20.8,1.95,14.08
20170130_5424_204191,Western,Damen,0,21.03,2.4,14.68
20170130_5424_204192,Western,Damen,0,21.27,1.7,15.47
20170130_5424_204193,Western,Damen,0,21.53,1.5,12.87
20170130_5424_204194,Western,Damen,0,21.75,2.1,16.97
20170130_5424_204195,Western,Damen,0,22.03,2.03,14.0
20170130_5424_204196,Western,Damen,0,22.27,1.5,16.67
20170130_5424_204197,Western,Damen,0,22.53,2.83,12.93
20170130_5424_204198,Western,Damen,0,22.75,2.27,15.93
20170130_5424_204199,Western,Damen,0,23.02,1.53,13.7
20170130_5424_204200,Western,Damen,0,23.25,2.33,17.2
20170130_5424_204201,Western,Damen,0,23.53,2.57,15.6
20170130_5424_204202,Western,Damen,0,23.8,2.0,18.43
20170130_5424_204203,Western,Damen,0,0.1,1.97,18.45
20170131_5424_204204,Western,Damen,0,0.42,2.32,24.25
20170131_5424_204205,Western,Damen,0,0.82,1.43,28.4
20170131_5424_204206,Western,Damen,0,1.28,2.23,28.35
20170131_5424_204207,Western,Damen,0,1.77,2.22,30.65
20170131_5424_204208,Western,Damen,0,2.27,2.9,0.83
20170131_1299_203196,Western,Damen,0,2.28,2.05,29.2
20170131_1300_204209,Western,Damen,0,2.77,1.35,30.77
20170131_1300_1,Western,Damen,1,3.28,1.73,28.77
20170131_1300_2,Western,Damen,1,3.77,1.37,26.9
20170131_1300_3,Western,Damen,1,4.22,2.07,5.47
20170131_1299_204348,Western,Damen,1,4.3,1.97,16.03
20170131_1300_4,Western,Damen,1,4.57,2.63,22.37
20170131_1300_5,Western,Damen,1,4.95,1.53,20.07
20170131_5424_6,Western,Damen,1,5.28,2.02,16.62
20170131_1300_204084,Western,Damen,1,5.55,1.98,10.05
20170131_5424_204085,Western,Damen,1,5.72,1.93,14.08
20170131_1300_204086,Western,Damen,1,5.95,3.4,7.35
20170131_5424_204087,Western,Damen,1,6.08,1.57,15.57
20170131_1300_10002780,Western,Damen,1,6.33,1.8,13.95
20170131_5424_10002752,Western,Damen,1,6.57,1.82,9.72
20170131_1300_10002754,Western,Damen,1,6.73,2.8,7.23
20170131_5424_10002755,Western,Damen,1,6.85,3.38,18.55
20170131_5424_10002758,Western,Damen,1,7.17,2.13,15.32
20170131_1300_10002760,Western,Damen,1,7.42,1.87,6.15
20170131_5424_10002761,Western,Damen,1,7.52,2.03,4.98
20170131_1300_10002762,Western,Damen,1,7.6,2.47,7.47
20170131_5424_10002763,Western,Damen,1,7.73,1.85,6.55
20170131_7735_10002779,Western,Damen,1,7.83,2.48,7.55
20170131_5424_1063959,Western,Damen,1,7.97,2.85,4.57
20170131_7735_1063960,Western,Damen,1,8.03,1.32,9.85
20170131_5424_1063961,Western,Damen,1,8.2,2.52,12.25
20170131_5424_1083574,Western,Damen,1,8.4,3.33,2.97
20170131_5424_1063805,Western,Damen,1,8.45,3.9,9.6
20170131_5424_1083556,Western,Damen,1,8.62,3.87,14.55
20170131_5424_1083557,Western,Damen,1,8.85,2.22,9.85
20170131_5424_1083558,Western,Damen,1,9.02,3.28,13.9
20170131_5424_1083559,Western,Damen,1,9.25,2.93,10.4
20170131_5424_1083560,Western,Damen,1,9.43,2.2,13.77
20170131_5424_1083561,Western,Damen,1,9.65,3.37,11.67
20170131_5424_1083562,Western,Damen,1,9.85,1.98,9.95
20170131_5424_1083563,Western,Damen,1,10.02,2.08,13.82
20170131_5424_1083564,Western,Damen,1,10.25,3.17,11.97
20170131_5424_1063816,Western,Damen,1,10.45,2.35,13.67
20170131_5424_1063817,Western,Damen,1,10.67,2.87,13.1
20170131_5424_1063818,Western,Damen,1,10.9,2.57,12.53
20170131_5424_1063819,Western,Damen,1,11.1,2.6,7.45
20170131_5424_1063820,Western,Damen,1,11.23,2.88,19.4
20170131_5424_1063821,Western,Damen,1,11.55,1.57,20.05
20170131_5424_1063823,Western,Damen,1,11.88,2.58,11.7
20170131_5424_1063824,Western,Damen,1,12.08,2.7,13.9
20170131_5424_1063825,Western,Damen,1,12.32,1.9,8.4
20170131_5424_1063826,Western,Damen,1,12.45,2.53,14.1
20170131_5424_1063827,Western,Damen,1,12.68,3.33,12.37
20170131_5424_1063828,Western,Damen,1,12.88,2.23,24.07
20170131_5424_1063831,Western,Damen,1,13.3,2.47,11.15
20170131_5424_1063832,Western,Damen,1,13.48,2.2,7.72
20170131_5424_1063833,Western,Damen,1,13.6,2.88,18.63
20170131_5424_10004021,Western,Damen,1,13.92,1.77,11.15
20170131_5424_10004022,Western,Damen,1,14.1,2.08,15.25
20170131_5424_10004024,Western,Damen,1,14.35,2.53,6.18
20170131_5424_10004025,Western,Damen,1,14.47,3.25,14.12
20170131_5424_10004027,Western,Damen,1,14.7,2.83,16.97
20170131_5424_10004029,Western,Damen,1,14.98,1.72,17.53
20170131_5424_10004031,Western,Damen,1,15.27,3.05,10.52
20170131_5424_10004032,Western,Damen,1,15.45,3.2,13.6
20170131_5424_10004033,Western,Damen,1,15.67,2.55,9.98
