tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5425_204316,Woodlawn,CottageGrove,0,19.25,2.65,16.92
20170130_5425_204317,Woodlawn,CottageGrove,0,19.53,4.03,7.0
20170130_5425_204318,Woodlawn,CottageGrove,0,19.65,1.57,12.5
20170130_5425_204319,Woodlawn,CottageGrove,0,19.85,3.07,9.33
20170130_5425_204320,Woodlawn,CottageGrove,0,20.02,2.58,14.1
20170130_5425_204321,Woodlawn,CottageGrove,0,20.25,2.0,12.25
20170130_5425_204322,Woodlawn,CottageGrove,0,20.45,2.88,16.95
20170130_5425_204323,Woodlawn,CottageGrove,0,20.73,2.92,12.4
20170130_5425_204324,Woodlawn,CottageGrove,0,20.95,2.13,14.22
20170130_5425_204325,Woodlawn,CottageGrove,0,21.18,2.17,15.65
20170130_5425_204326,Woodlawn,CottageGrove,0,21.43,2.37,14.18
20170130_5425_204327,Woodlawn,CottageGrove,0,21.68,2.85,13.2
20170130_5425_204328,Woodlawn,CottageGrove,0,21.9,2.38,16.72
20170130_5425_204329,Woodlawn,CottageGrove,0,22.17,2.67,15.53
20170130_5425_204330,Woodlawn,CottageGrove,0,22.43,2.73,14.23
20170130_5425_204331,Woodlawn,CottageGrove,0,22.67,2.93,14.03
20170130_5425_204332,Woodlawn,CottageGrove,0,22.9,1.48,14.18
20170130_5425_204333,Woodlawn,CottageGrove,0,23.13,2.22,17.68
20170130_5425_204334,Woodlawn,CottageGrove,0,23.43,1.9,13.88
20170130_5425_204335,Woodlawn,CottageGrove,0,23.67,1.63,15.33
20170130_5425_204336,Woodlawn,CottageGrove,0,23.92,2.15,18.28
20170131_5425_204337,Woodlawn,CottageGrove,0,0.23,3.07,10.03
20170131_5425_204338,Woodlawn,CottageGrove,0,0.4,1.82,16.78
20170131_5425_204339,Woodlawn,CottageGrove,0,0.67,1.78,17.12
20170131_5425_204340,Woodlawn,CottageGrove,0,0.97,2.43,22.12
20170131_5425_204341,Woodlawn,CottageGrove,0,1.33,2.52,27.4
20170131_1293_204342,Woodlawn,CottageGrove,0,1.78,2.35,26.18
20170131_1293_204343,Woodlawn,CottageGrove,0,2.22,2.3,32.85
20170131_1293_204344,Woodlawn,CottageGrove,0,2.77,1.78,29.02
20170131_1293_204345,Woodlawn,CottageGrove,1,3.25,1.27,28.55
20170131_1293_204212,Woodlawn,CottageGrove,1,3.73,1.22,29.57
20170131_5425_204213,Woodlawn,CottageGrove,1,4.22,1.45,30.65
20170131_5425_204214,Woodlawn,CottageGrove,1,4.73,2.72,24.1
20170131_5425_204215,Woodlawn,CottageGrove,1,5.13,2.17,24.13
20170131_5425_204216,Woodlawn,CottageGrove,1,5.53,2.3,22.57
20170131_5425_204219,Woodlawn,CottageGrove,1,5.92,2.5,15.03
20170131_5425_204220,Woodlawn,CottageGrove,1,6.17,1.23,16.35
20170131_5425_204221,Woodlawn,CottageGrove,1,6.43,2.4,13.18
20170131_5425_204222,Woodlawn,CottageGrove,1,6.65,2.03,13.03
20170131_5425_204223,Woodlawn,CottageGrove,1,6.87,2.67,14.0
20170131_5425_204224,Woodlawn,CottageGrove,1,7.1,2.92,4.05
20170131_5425_10002765,Woodlawn,CottageGrove,1,7.17,2.35,9.32
20170131_5425_10002766,Woodlawn,CottageGrove,1,7.33,2.1,11.97
20170131_5425_10002767,Woodlawn,CottageGrove,1,7.53,3.57,5.82
20170131_1291_10002768,Woodlawn,CottageGrove,1,7.62,2.02,6.18
20170131_5425_10002769,Woodlawn,CottageGrove,1,7.73,2.78,16.93
20170131_5425_10002771,Woodlawn,CottageGrove,1,8.02,2.67,2.47
20170131_1291_10002772,Woodlawn,CottageGrove,1,8.05,1.83,8.4
20170131_5425_10002773,Woodlawn,CottageGrove,1,8.18,3.33,7.58
20170131_1291_10002774,Woodlawn,CottageGrove,1,8.32,1.62,4.35
20170131_5425_10002775,Woodlawn,CottageGrove,1,8.38,3.07,7.5
20170131_1291_10002776,Woodlawn,CottageGrove,1,8.52,2.73,6.67
20170131_5425_10002777,Woodlawn,CottageGrove,1,8.63,1.88,6.07
20170131_1291_1063967,Woodlawn,CottageGrove,1,8.73,1.6,6.5
20170131_5425_1063968,Woodlawn,CottageGrove,1,8.83,3.3,8.03
20170131_5425_1063969,Woodlawn,CottageGrove,1,8.97,3.0,14.47
20170131_1291_1063865,Woodlawn,CottageGrove,1,9.22,2.92,4.37
20170131_5425_1063866,Woodlawn,CottageGrove,1,9.28,2.5,8.9
20170131_5425_1083565,Woodlawn,CottageGrove,1,9.43,2.03,12.03
20170131_5425_1083566,Woodlawn,CottageGrove,1,9.63,2.15,12.33
20170131_5425_1083567,Woodlawn,CottageGrove,1,9.83,2.68,10.48
20170131_5425_1083568,Woodlawn,CottageGrove,1,10.02,2.45,12.72
20170131_5425_1083569,Woodlawn,CottageGrove,1,10.22,2.35,13.23
20170131_5425_1083570,Woodlawn,CottageGrove,1,10.45,3.08,11.45
