tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,4600 W Armitage,Armitage & Kilpatrick,1,22.73,0.37,410.12
20170621_2169_1035237,4600 W Armitage,Armitage & Kilpatrick,2,5.57,0.38,24.92
20170621_2169_1035238,4600 W Armitage,Armitage & Kilpatrick,2,5.98,0.0,30.42
20170621_2169_1035166,4600 W Armitage,Armitage & Kilpatrick,2,6.48,0.0,7.1
20170621_2169_1035167,4600 W Armitage,Armitage & Kilpatrick,2,6.6,0.0,16.6
20170621_2169_1035165,4600 W Armitage,Armitage & Kilpatrick,2,6.88,0.5,12.58
20170621_2169_1035177,4600 W Armitage,Armitage & Kilpatrick,2,7.08,1.13,19.27
20170621_2169_1035171,4600 W Armitage,Armitage & Kilpatrick,2,7.42,0.62,14.33
20170621_2169_1035183,4600 W Armitage,Armitage & Kilpatrick,2,7.65,0.0,22.3
20170621_2169_1035174,4600 W Armitage,Armitage & Kilpatrick,2,8.02,0.0,4.35
20170621_2169_1035188,4600 W Armitage,Armitage & Kilpatrick,2,8.1,0.0,7.03
20170621_2169_1035185,4600 W Armitage,Armitage & Kilpatrick,2,8.22,0.0,8.43
20170621_2169_1035173,4600 W Armitage,Armitage & Kilpatrick,2,8.35,0.0,8.3
20170621_2169_116123172,4600 W Armitage,Armitage & Kilpatrick,2,8.48,0.72,7.23
20170621_2169_1035182,4600 W Armitage,Armitage & Kilpatrick,2,8.62,0.0,6.47
20170621_2169_1035184,4600 W Armitage,Armitage & Kilpatrick,2,8.72,0.0,7.95
20170621_2169_1035179,4600 W Armitage,Armitage & Kilpatrick,2,8.85,0.0,13.58
20170621_2169_1035172,4600 W Armitage,Armitage & Kilpatrick,2,9.08,6.98,19.0
20170621_2169_1035187,4600 W Armitage,Armitage & Kilpatrick,2,9.4,0.25,8.47
20170621_2169_1035176,4600 W Armitage,Armitage & Kilpatrick,2,9.53,0.0,12.33
20170621_2169_1035168,4600 W Armitage,Armitage & Kilpatrick,2,9.73,1.83,13.27
20170621_2169_1035180,4600 W Armitage,Armitage & Kilpatrick,2,9.97,0.45,6.73
20170621_2169_1035181,4600 W Armitage,Armitage & Kilpatrick,2,10.07,6.98,13.07
20170621_2169_1035178,4600 W Armitage,Armitage & Kilpatrick,2,10.3,0.0,37.83
20170621_2169_1035175,4600 W Armitage,Armitage & Kilpatrick,2,10.92,0.5,0.95
20170621_2169_1035189,4600 W Armitage,Armitage & Kilpatrick,2,10.93,0.0,10.18
20170621_2169_1035169,4600 W Armitage,Armitage & Kilpatrick,2,11.1,0.72,18.87
20170621_2169_1035201,4600 W Armitage,Armitage & Kilpatrick,2,11.42,0.0,30.33
20170621_2169_1035199,4600 W Armitage,Armitage & Kilpatrick,2,11.93,0.0,6.58
20170621_2169_1035196,4600 W Armitage,Armitage & Kilpatrick,2,12.03,0.0,17.88
20170621_2169_1035198,4600 W Armitage,Armitage & Kilpatrick,2,12.33,0.67,25.83
20170621_2169_1035193,4600 W Armitage,Armitage & Kilpatrick,2,12.77,0.0,8.63
20170621_2169_1035195,4600 W Armitage,Armitage & Kilpatrick,2,12.92,0.45,48.07
20170621_2169_1035190,4600 W Armitage,Armitage & Kilpatrick,2,13.72,0.55,9.48
20170621_2169_1035192,4600 W Armitage,Armitage & Kilpatrick,2,13.87,0.0,26.58
