tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Cicero,Armitage & Lacrosse,1,22.75,0.48,411.07
20170621_2169_1035237,Armitage & Cicero,Armitage & Lacrosse,2,5.6,0.0,23.3
20170621_2169_1035238,Armitage & Cicero,Armitage & Lacrosse,2,5.98,0.0,30.03
20170621_2169_1035166,Armitage & Cicero,Armitage & Lacrosse,2,6.48,0.0,8.6
20170621_2169_1035167,Armitage & Cicero,Armitage & Lacrosse,2,6.63,0.0,15.83
20170621_2169_1035165,Armitage & Cicero,Armitage & Lacrosse,2,6.9,1.0,13.5
20170621_2169_1035177,Armitage & Cicero,Armitage & Lacrosse,2,7.12,0.67,20.28
20170621_2169_1035171,Armitage & Cicero,Armitage & Lacrosse,2,7.45,0.0,12.13
20170621_2169_1035183,Armitage & Cicero,Armitage & Lacrosse,2,7.65,0.87,22.88
20170621_2169_1035174,Armitage & Cicero,Armitage & Lacrosse,2,8.03,0.0,4.38
20170621_2169_1035188,Armitage & Cicero,Armitage & Lacrosse,2,8.12,0.55,7.45
20170621_2169_1035185,Armitage & Cicero,Armitage & Lacrosse,2,8.23,0.0,6.93
20170621_2169_1035173,Armitage & Cicero,Armitage & Lacrosse,2,8.35,0.0,9.47
20170621_2169_116123172,Armitage & Cicero,Armitage & Lacrosse,2,8.52,0.72,7.22
20170621_2169_1035182,Armitage & Cicero,Armitage & Lacrosse,2,8.63,0.5,5.78
20170621_2169_1035184,Armitage & Cicero,Armitage & Lacrosse,2,8.73,0.7,8.55
20170621_2169_1035179,Armitage & Cicero,Armitage & Lacrosse,2,8.87,0.7,3.13
20170621_2169_1035172,Armitage & Cicero,Armitage & Lacrosse,2,8.92,9.48,29.35
20170621_2169_1035187,Armitage & Cicero,Armitage & Lacrosse,2,9.42,0.0,19.87
20170621_2169_1035168,Armitage & Cicero,Armitage & Lacrosse,2,9.73,1.18,13.68
20170621_2169_1035180,Armitage & Cicero,Armitage & Lacrosse,2,9.97,0.0,20.7
20170621_2169_1035178,Armitage & Cicero,Armitage & Lacrosse,2,10.32,0.0,2.95
20170621_2169_1035181,Armitage & Cicero,Armitage & Lacrosse,2,10.37,3.65,35.23
20170621_2169_1035175,Armitage & Cicero,Armitage & Lacrosse,2,10.95,0.0,1.33
20170621_2169_1035189,Armitage & Cicero,Armitage & Lacrosse,2,10.97,0.0,9.85
20170621_2169_1035169,Armitage & Cicero,Armitage & Lacrosse,2,11.13,0.62,17.53
20170621_2169_1035201,Armitage & Cicero,Armitage & Lacrosse,2,11.43,1.52,29.92
20170621_2169_1035199,Armitage & Cicero,Armitage & Lacrosse,2,11.93,0.0,6.58
20170621_2169_1035196,Armitage & Cicero,Armitage & Lacrosse,2,12.03,1.88,18.72
20170621_2169_1035198,Armitage & Cicero,Armitage & Lacrosse,2,12.35,1.53,28.12
20170621_2169_1035193,Armitage & Cicero,Armitage & Lacrosse,2,12.82,0.0,7.55
20170621_2169_1035195,Armitage & Cicero,Armitage & Lacrosse,2,12.95,0.0,47.27
20170621_2169_1035190,Armitage & Cicero,Armitage & Lacrosse,2,13.73,0.88,8.25
20170621_2169_1035192,Armitage & Cicero,Armitage & Lacrosse,2,13.87,0.0,27.0
20170621_2169_1035191,Armitage & Cicero,Armitage & Lacrosse,2,14.32,0.43,9.08
20170621_2169_1035197,Armitage & Cicero,Armitage & Lacrosse,2,14.47,0.43,28.48
20170621_2169_1035200,Armitage & Cicero,Armitage & Lacrosse,2,14.95,0.0,3.0
20170621_2169_1035205,Armitage & Cicero,Armitage & Lacrosse,2,15.0,0.42,16.92
20170621_2169_1035202,Armitage & Cicero,Armitage & Lacrosse,2,15.28,0.65,22.87
20170621_2169_1035206,Armitage & Cicero,Armitage & Lacrosse,2,15.67,0.47,7.28
20170621_2169_1035203,Armitage & Cicero,Armitage & Lacrosse,2,15.78,0.4,18.45
20170621_2169_1035207,Armitage & Cicero,Armitage & Lacrosse,2,16.08,0.0,8.2
20170621_2169_1035208,Armitage & Cicero,Armitage & Lacrosse,2,16.22,0.78,2.87
20170621_2169_1035204,Armitage & Cicero,Armitage & Lacrosse,2,16.27,0.5,15.55
20170621_2169_1035211,Armitage & Cicero,Armitage & Lacrosse,2,16.53,0.83,15.08
20170621_2169_1035210,Armitage & Cicero,Armitage & Lacrosse,2,16.78,0.15,14.83
20170621_2169_1035209,Armitage & Cicero,Armitage & Lacrosse,2,17.03,0.4,25.83
20170621_2169_1035218,Armitage & Cicero,Armitage & Lacrosse,2,17.47,0.3,5.2
20170621_2169_116123215,Armitage & Cicero,Armitage & Lacrosse,2,17.55,0.63,8.62
20170621_2169_1035217,Armitage & Cicero,Armitage & Lacrosse,2,17.68,0.0,10.62
20170621_2169_1035215,Armitage & Cicero,Armitage & Lacrosse,2,17.87,1.18,23.58
20170621_2169_1035220,Armitage & Cicero,Armitage & Lacrosse,2,18.27,0.28,15.45
20170621_2169_1035214,Armitage & Cicero,Armitage & Lacrosse,2,18.52,0.0,20.07
20170621_2169_1035216,Armitage & Cicero,Armitage & Lacrosse,2,18.85,2.45,12.3
20170621_2169_1035213,Armitage & Cicero,Armitage & Lacrosse,2,19.05,0.75,7.27
20170621_2169_1035221,Armitage & Cicero,Armitage & Lacrosse,2,19.18,0.0,15.32
20170621_2169_1035222,Armitage & Cicero,Armitage & Lacrosse,2,19.43,0.0,10.15
20170621_2169_1035223,Armitage & Cicero,Armitage & Lacrosse,2,19.6,0.0,15.6
20170621_2169_1035224,Armitage & Cicero,Armitage & Lacrosse,2,19.87,0.95,20.77
