tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Clark,Clark & Wisconsin,2,4.95,0.48,19.67
20170621_2171_1035236,Armitage & Clark,Clark & Wisconsin,2,5.28,0.63,19.68
20170621_2170_1035092,Armitage & Clark,Clark & Wisconsin,2,5.6,0.73,12.97
20170621_2170_1035093,Armitage & Clark,Clark & Wisconsin,2,5.82,0.7,14.68
20170621_2170_1035094,Armitage & Clark,Clark & Wisconsin,2,6.07,0.4,17.83
20170621_2170_1035095,Armitage & Clark,Clark & Wisconsin,2,6.37,0.87,13.15
20170621_2170_1035096,Armitage & Clark,Clark & Wisconsin,2,6.58,0.58,18.17
20170621_2170_1035097,Armitage & Clark,Clark & Wisconsin,2,6.88,0.75,10.32
20170621_2170_10365464,Armitage & Clark,Clark & Wisconsin,2,7.07,0.72,7.5
20170621_2170_1035098,Armitage & Clark,Clark & Wisconsin,2,7.18,0.0,20.97
20170621_2170_1035100,Armitage & Clark,Clark & Wisconsin,2,7.53,0.0,7.05
20170621_2170_1035101,Armitage & Clark,Clark & Wisconsin,2,7.65,0.37,7.3
20170621_2170_1035102,Armitage & Clark,Clark & Wisconsin,2,7.77,0.12,8.1
20170621_2170_1035103,Armitage & Clark,Clark & Wisconsin,2,7.9,0.5,5.92
20170621_2170_1035104,Armitage & Clark,Clark & Wisconsin,2,8.0,0.22,22.52
20170621_2170_1035105,Armitage & Clark,Clark & Wisconsin,2,8.38,8.05,6.77
20170621_2170_1035106,Armitage & Clark,Clark & Wisconsin,2,8.5,1.33,20.23
20170621_2170_1035107,Armitage & Clark,Clark & Wisconsin,2,8.83,1.13,3.58
20170621_2170_1035108,Armitage & Clark,Clark & Wisconsin,2,8.88,8.52,21.88
20170621_2170_1035109,Armitage & Clark,Clark & Wisconsin,2,9.25,0.37,17.02
20170621_2170_1035110,Armitage & Clark,Clark & Wisconsin,2,9.53,0.67,16.47
20170621_2170_1035111,Armitage & Clark,Clark & Wisconsin,2,9.82,18.72,20.82
20170621_2170_1035112,Armitage & Clark,Clark & Wisconsin,2,10.17,0.18,0.85
20170621_2170_1035115,Armitage & Clark,Clark & Wisconsin,2,10.18,0.67,12.58
20170621_2170_1035116,Armitage & Clark,Clark & Wisconsin,2,10.38,1.15,21.37
20170621_2170_1035117,Armitage & Clark,Clark & Wisconsin,2,10.73,0.88,18.77
20170621_2170_1035118,Armitage & Clark,Clark & Wisconsin,2,11.05,0.18,12.07
20170621_2170_1035119,Armitage & Clark,Clark & Wisconsin,2,11.25,0.88,15.97
20170621_2170_1035120,Armitage & Clark,Clark & Wisconsin,2,11.52,0.63,27.65
20170621_2170_1035121,Armitage & Clark,Clark & Wisconsin,2,11.98,1.22,13.67
20170621_2170_1035122,Armitage & Clark,Clark & Wisconsin,2,12.22,0.42,40.82
20170621_2170_1035124,Armitage & Clark,Clark & Wisconsin,2,12.88,0.55,12.88
20170621_2170_1035125,Armitage & Clark,Clark & Wisconsin,2,13.1,0.47,17.38
20170621_2170_1035126,Armitage & Clark,Clark & Wisconsin,2,13.4,0.35,17.7
20170621_2170_1035127,Armitage & Clark,Clark & Wisconsin,2,13.68,0.97,20.27
20170621_2170_1035128,Armitage & Clark,Clark & Wisconsin,2,14.03,0.37,6.43
