tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,4.93,0.3,18.17
20170621_2171_1035236,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,5.23,1.5,20.3
20170621_2170_1035092,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,5.58,1.47,12.8
20170621_2170_1035093,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,5.8,1.1,13.97
20170621_2170_1035094,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,6.02,0.92,18.68
20170621_2170_1035095,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,6.33,1.03,12.57
20170621_2170_1035096,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,6.55,1.35,18.42
20170621_2170_1035097,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,6.85,0.87,9.88
20170621_2170_10365464,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,7.02,0.95,7.7
20170621_2170_1035098,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,7.15,0.38,20.23
20170621_2170_1035100,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,7.48,1.62,7.05
20170621_2170_1035101,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,7.6,1.6,10.35
20170621_2170_1035102,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,7.77,0.0,5.42
20170621_2170_1035103,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,7.87,0.35,7.38
20170621_2170_1035104,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,7.98,0.0,22.15
20170621_2170_1035105,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,8.35,1.3,5.37
20170621_2170_1035106,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,8.45,0.4,16.85
20170621_2170_1035108,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,8.73,18.22,3.52
20170621_2170_1035107,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,8.78,1.72,26.3
20170621_2170_1035109,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,9.22,1.0,12.43
20170621_2170_1035111,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,9.43,21.42,4.0
20170621_2170_1035110,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,9.5,1.3,37.83
20170621_2170_1035112,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,10.13,0.5,0.97
20170621_2170_1035115,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,10.15,0.32,11.73
20170621_2170_1035116,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,10.33,0.27,21.23
20170621_2170_1035117,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,10.7,1.52,19.02
20170621_2170_1035118,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,11.02,1.12,10.82
20170621_2170_1035119,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,11.18,1.43,18.2
20170621_2170_1035120,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,11.5,0.67,27.15
20170621_2170_1035121,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,11.95,0.48,14.2
20170621_2170_1035122,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,12.18,0.0,40.23
20170621_2170_1035124,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,12.85,1.15,12.57
20170621_2170_1035125,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,13.07,0.52,16.57
20170621_2170_1035126,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,13.33,2.02,19.75
20170621_2170_1035127,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,13.67,0.67,18.5
20170621_2170_1035128,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,13.98,1.08,8.08
20170621_2170_1035129,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,14.12,0.8,14.3
20170621_2170_1035130,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,14.35,0.92,19.28
20170621_2170_1035131,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,14.67,0.0,4.9
20170621_2170_1035132,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,14.75,0.5,13.83
20170621_2170_1035133,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,14.98,0.5,9.57
20170621_2170_1035134,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,15.15,0.9,12.58
20170621_2170_1035135,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,15.35,0.0,11.58
20170621_2170_1035136,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,15.55,1.2,7.03
20170621_2170_1035137,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,15.67,10.68,18.52
20170621_2170_1035138,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,15.97,2.27,24.38
20170621_2170_1035140,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,16.38,1.0,12.92
20170621_2170_116122753,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,16.6,1.75,3.97
20170621_2170_1035141,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,16.67,1.37,9.97
20170621_2170_1035142,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,16.82,0.78,7.58
20170621_2170_1035146,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,16.95,11.0,8.75
20170621_2170_1035143,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,17.1,0.27,9.8
20170621_2170_1035145,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,17.27,1.38,40.23
20170621_2170_1035147,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,17.93,1.0,18.45
20170621_2170_1035148,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,18.23,0.0,17.0
20170621_2170_1035149,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,18.52,1.2,14.45
20170621_2170_1035150,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,18.77,1.0,15.93
20170621_2170_1035151,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,19.03,0.0,25.35
20170621_2170_1035152,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,19.45,0.72,24.73
20170621_2170_1035153,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,19.87,1.55,4.65
20170621_2170_1035154,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,19.93,0.0,23.07
20170621_2170_1035155,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,20.32,2.13,16.7
20170621_2170_1035156,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,20.6,1.0,23.52
20170621_2170_1035157,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,21.0,1.55,24.3
20170621_2170_1035158,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,21.4,0.0,18.98
20170621_2170_1035159,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,21.72,0.42,16.75
20170621_2170_1035160,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,2,22.0,0.72,417.52
20170622_2171_1035235,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,4.95,0.32,17.65
20170622_2171_1035236,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,5.25,0.5,17.33
20170622_2170_1035092,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,5.53,0.48,12.38
20170622_2170_1035093,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,5.75,0.0,15.57
20170622_2170_1035094,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,6.0,0.0,18.6
20170622_2170_1035095,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,6.32,0.95,12.75
20170622_2170_1035096,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,6.53,0.33,15.27
20170622_2170_1035097,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,6.78,0.85,15.27
20170622_2170_10365464,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,7.03,1.0,3.6
20170622_2170_1035098,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,7.1,2.3,24.87
20170622_2170_1035100,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,7.52,1.02,4.97
20170622_2170_1035101,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,7.58,1.0,6.55
20170622_2170_1035102,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,7.7,0.0,6.9
20170622_2170_1035103,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,7.82,2.43,11.02
20170622_2170_1035104,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,8.0,0.87,1.62
20170622_2170_1035105,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,8.03,14.63,29.57
20170622_2170_1035106,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,8.52,0.5,11.47
20170622_2170_1035107,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,8.72,0.85,3.1
20170622_2170_1035108,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,8.77,11.0,22.55
20170622_2170_1035109,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,9.13,0.52,14.0
20170622_2170_1035110,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,9.37,1.5,7.33
20170622_2170_1035111,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,9.5,13.2,34.42
20170622_2170_1035112,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,10.07,1.27,2.1
20170622_2170_1035115,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,10.1,1.45,15.03
20170622_2170_1035116,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,10.35,0.28,17.63
20170622_2170_1035117,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,10.65,1.32,21.7
20170622_2170_1035118,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,11.0,1.03,16.08
20170622_2170_1035119,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,11.28,0.6,16.98
20170622_2170_1035120,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,11.57,0.0,22.38
20170622_2170_1035121,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,11.93,0.0,13.52
20170622_2170_1035122,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,12.15,1.0,23.3
20170622_2170_1035123,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,12.55,0.83,13.18
20170622_2170_1035124,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,12.77,1.45,35.97
20170622_2170_1035125,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,13.37,1.0,12.28
20170622_2170_1035127,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,13.57,2.53,27.42
20170622_2170_1035128,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,14.03,0.0,7.05
20170622_2170_1035129,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,14.15,0.75,24.22
20170622_2170_1035130,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,14.55,1.02,3.58
20170622_2170_1035131,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,14.6,1.35,21.98
20170622_2170_1035133,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,14.97,6.77,9.67
20170622_2170_1035134,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,15.13,0.0,11.45
20170622_2170_1035135,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,15.33,0.88,10.68
20170622_2170_1035136,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,15.5,1.47,10.67
20170622_2170_1035137,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,15.68,4.9,17.33
20170622_2170_1035138,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,15.97,0.0,15.53
20170622_2170_1035139,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,16.23,0.47,11.75
20170622_2170_1035140,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,16.43,0.0,4.8
20170622_2170_116122753,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,16.5,1.43,9.12
20170622_2170_1035141,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,16.65,1.7,10.83
20170622_2170_1035142,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,16.83,0.75,8.35
20170622_2170_1035146,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,16.98,45.45,5.82
20170622_2170_1035143,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,17.07,2.17,9.38
20170622_2170_1035145,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,17.23,0.62,38.33
20170622_2170_1035147,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,17.87,1.63,16.8
20170622_2170_1035148,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,18.15,2.03,19.12
20170622_2170_1035149,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,18.47,1.82,20.57
20170622_2170_1035150,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,18.82,1.5,10.52
20170622_2170_1035151,Armitage & Cleveland,Armitage & Lincoln/Sedgwick,3,18.98,0.8,23.82
