tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Kildare,Armitage & Kostner,1,22.72,0.48,409.55
20170621_2169_1035237,Armitage & Kildare,Armitage & Kostner,2,5.53,0.52,23.77
20170621_2169_1035238,Armitage & Kildare,Armitage & Kostner,2,5.93,1.23,33.13
20170621_2169_1035166,Armitage & Kildare,Armitage & Kostner,2,6.48,0.0,5.03
20170621_2169_1035167,Armitage & Kildare,Armitage & Kostner,2,6.57,1.0,16.45
20170621_2169_1035165,Armitage & Kildare,Armitage & Kostner,2,6.85,0.4,13.65
20170621_2169_1035177,Armitage & Kildare,Armitage & Kostner,2,7.07,0.48,18.67
20170621_2169_1035171,Armitage & Kildare,Armitage & Kostner,2,7.38,1.25,13.83
20170621_2169_1035183,Armitage & Kildare,Armitage & Kostner,2,7.62,0.47,19.67
20170621_2169_1035174,Armitage & Kildare,Armitage & Kostner,2,7.93,0.48,6.92
20170621_2169_1035188,Armitage & Kildare,Armitage & Kostner,2,8.05,1.05,7.13
20170621_2169_1035185,Armitage & Kildare,Armitage & Kostner,2,8.17,1.03,9.82
20170621_2169_1035173,Armitage & Kildare,Armitage & Kostner,2,8.33,0.0,7.37
20170621_2169_116123172,Armitage & Kildare,Armitage & Kostner,2,8.47,1.27,7.47
20170621_2169_1035182,Armitage & Kildare,Armitage & Kostner,2,8.58,0.0,5.97
20170621_2169_1035184,Armitage & Kildare,Armitage & Kostner,2,8.68,1.15,8.35
20170621_2169_1035179,Armitage & Kildare,Armitage & Kostner,2,8.82,0.5,11.53
20170621_2169_1035172,Armitage & Kildare,Armitage & Kostner,2,9.02,7.63,19.28
20170621_2169_1035187,Armitage & Kildare,Armitage & Kostner,2,9.33,1.65,10.37
20170621_2169_1035176,Armitage & Kildare,Armitage & Kostner,2,9.52,0.55,2.25
20170621_2169_1035168,Armitage & Kildare,Armitage & Kostner,2,9.55,9.95,23.63
20170621_2169_1035180,Armitage & Kildare,Armitage & Kostner,2,9.95,0.0,19.08
20170621_2169_1035178,Armitage & Kildare,Armitage & Kostner,2,10.27,0.63,3.1
20170621_2169_1035181,Armitage & Kildare,Armitage & Kostner,2,10.32,0.22,35.27
20170621_2169_1035175,Armitage & Kildare,Armitage & Kostner,2,10.9,0.5,0.28
20170621_2169_1035189,Armitage & Kildare,Armitage & Kostner,2,10.9,1.05,10.48
20170621_2169_1035169,Armitage & Kildare,Armitage & Kostner,2,11.08,1.33,18.93
20170621_2169_1035201,Armitage & Kildare,Armitage & Kostner,2,11.4,0.65,32.03
20170621_2169_1035199,Armitage & Kildare,Armitage & Kostner,2,11.93,0.0,4.53
20170621_2169_1035196,Armitage & Kildare,Armitage & Kostner,2,12.0,1.0,17.7
